,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,68.64,69.36,67.04,67.27,2241105.0,68.526,14488
1,2025-04-14 12:00:00-04:00,67.26,69.0,66.91,67.85,3071003.0,67.978,20615
2,2025-04-15 09:30:00-04:00,68.09,69.55,67.98,68.55,2907890.0,68.554,16012
3,2025-04-15 12:00:00-04:00,68.55,69.17,67.95,68.43,3852104.0,68.396,18663
4,2025-04-16 09:30:00-04:00,65.16,66.82,64.95,65.76,3080440.0,66.055,19187
5,2025-04-16 12:00:00-04:00,65.77,66.03,62.95,65.14,6268954.0,64.524,42781
6,2025-04-17 09:30:00-04:00,65.37,65.38,64.18,64.61,2828249.0,64.846,15469
7,2025-04-17 12:00:00-04:00,64.61,65.38,63.48,63.72,5567096.0,64.238,33539
8,2025-04-21 09:30:00-04:00,62.36,62.67,61.14,61.2,2874705.0,61.862,17974
9,2025-04-21 12:00:00-04:00,61.2,62.54,61.15,62.4,5420326.0,61.708,32278
10,2025-04-22 09:30:00-04:00,63.11,63.78,62.56,63.33,2183991.0,63.341,14219
11,2025-04-22 12:00:00-04:00,63.34,64.02,62.76,63.47,3303189.0,63.422,22848
12,2025-04-23 09:30:00-04:00,66.81,68.01,66.38,66.84,4289380.0,67.241,28310
13,2025-04-23 12:00:00-04:00,66.82,67.62,66.34,66.66,5393509.0,66.897,37142
14,2025-04-24 09:30:00-04:00,69.67,71.21,67.55,70.45,6052536.0,69.969,34653
15,2025-04-24 12:00:00-04:00,70.5,71.14,70.31,70.87,4707235.0,70.784,30051
16,2025-04-25 09:30:00-04:00,70.33,71.72,70.29,71.16,2045982.0,71.158,13203
17,2025-04-25 12:00:00-04:00,71.15,72.29,70.89,71.4,3347898.0,71.495,21042
18,2025-04-28 09:30:00-04:00,70.91,71.94,70.14,70.46,1767591.0,71.168,12029
19,2025-04-28 12:00:00-04:00,70.46,71.75,70.04,71.53,3072660.0,71.022,20575
20,2025-04-29 09:30:00-04:00,70.89,71.66,70.43,70.84,1438481.0,71.112,10042
21,2025-04-29 12:00:00-04:00,70.84,71.66,70.22,70.89,3097085.0,71.097,19660
22,2025-04-30 09:30:00-04:00,68.89,70.27,68.52,70.17,2011137.0,69.479,12219
23,2025-04-30 12:00:00-04:00,70.16,71.84,69.64,71.65,3492947.0,70.948,22287
24,2025-05-01 09:30:00-04:00,72.18,73.53,71.4,72.61,3271657.0,72.407,21066
25,2025-05-01 12:00:00-04:00,72.62,73.26,71.64,71.72,4136428.0,72.492,24936
26,2025-05-02 09:30:00-04:00,74.25,75.22,73.69,75.05,2780052.0,74.746,18276
27,2025-05-02 12:00:00-04:00,75.06,75.49,74.31,74.47,3664741.0,74.811,24142
28,2025-05-05 09:30:00-04:00,73.88,74.9,73.78,74.18,1395705.0,74.429,9685
29,2025-05-05 12:00:00-04:00,74.18,74.8,73.8,73.91,1893626.0,74.235,12798
30,2025-05-06 09:30:00-04:00,72.6,73.37,72.59,73.17,1274339.0,73.07,7980
31,2025-05-06 12:00:00-04:00,73.17,73.88,72.83,73.18,2143330.0,73.34,14827
32,2025-05-07 09:30:00-04:00,73.45,74.03,72.91,74.02,1216978.0,73.442,8668
33,2025-05-07 12:00:00-04:00,74.01,75.3,73.0,75.07,3019922.0,74.34,20970
34,2025-05-08 09:30:00-04:00,76.05,76.31,75.07,75.63,2541515.0,75.549,14936
35,2025-05-08 12:00:00-04:00,75.63,76.42,74.82,74.91,2636173.0,75.617,18193
36,2025-05-09 09:30:00-04:00,75.78,76.3,74.76,75.01,1930045.0,75.429,12529
37,2025-05-09 12:00:00-04:00,75.01,75.6,74.65,75.35,2250151.0,75.201,14946
38,2025-05-12 09:30:00-04:00,81.22,82.53,80.66,81.55,4600009.0,81.491,29544
39,2025-05-12 12:00:00-04:00,81.56,82.55,81.51,82.28,4949605.0,82.112,32374
40,2025-05-13 09:30:00-04:00,82.36,85.75,82.25,85.45,3401942.0,84.199,21803
41,2025-05-13 12:00:00-04:00,85.45,85.78,84.95,85.24,3117829.0,85.33,21081
42,2025-05-14 09:30:00-04:00,85.08,86.04,84.5,84.62,2207849.0,85.043,12996
43,2025-05-14 12:00:00-04:00,84.61,85.16,84.33,84.97,2628294.0,84.761,17299
44,2025-05-15 09:30:00-04:00,84.23,84.87,83.5,84.61,2257630.0,84.165,13566
45,2025-05-15 12:00:00-04:00,84.59,85.26,83.94,84.78,2577844.0,84.642,17933
46,2025-05-16 09:30:00-04:00,84.38,84.46,82.53,83.41,2549273.0,83.588,11629
47,2025-05-16 12:00:00-04:00,83.41,84.46,83.37,84.4,2712548.0,84.005,17295
48,2025-05-19 09:30:00-04:00,82.7,84.08,82.54,83.84,1297126.0,83.437,7886
49,2025-05-19 12:00:00-04:00,83.86,84.45,83.41,83.8,2861637.0,83.744,17449
50,2025-05-20 09:30:00-04:00,83.53,84.16,83.05,83.8,1268757.0,83.734,7117
51,2025-05-20 12:00:00-04:00,83.82,84.35,83.28,84.28,2214600.0,83.931,14264
52,2025-05-21 09:30:00-04:00,83.27,84.78,83.11,84.59,1120177.0,84.062,7092
53,2025-05-21 12:00:00-04:00,84.58,84.71,82.23,82.74,2316678.0,83.17,16009
54,2025-05-22 09:30:00-04:00,82.64,83.82,82.05,82.98,1364839.0,83.099,8257
55,2025-05-22 12:00:00-04:00,82.99,83.56,82.48,82.56,1914424.0,83.056,13280
56,2025-05-23 09:30:00-04:00,80.12,80.82,79.77,80.2,1666504.0,80.324,11295
57,2025-05-23 12:00:00-04:00,80.19,81.39,80.14,81.06,2026221.0,80.964,13930
58,2025-05-27 09:30:00-04:00,83.04,84.0,82.3,83.73,1588577.0,83.359,10052
59,2025-05-27 12:00:00-04:00,83.72,84.12,83.37,83.99,2705455.0,83.837,17752
60,2025-05-28 09:30:00-04:00,83.98,84.57,83.58,84.17,1409282.0,84.025,8511
61,2025-05-28 12:00:00-04:00,84.18,85.03,83.65,84.02,3863671.0,84.342,21508
62,2025-05-29 09:30:00-04:00,85.85,86.26,83.75,84.17,1670634.0,84.759,9482
63,2025-05-29 12:00:00-04:00,84.15,85.16,83.61,84.18,2460338.0,84.236,16748
64,2025-05-30 09:30:00-04:00,83.62,83.81,81.71,82.21,1764421.0,82.357,11471
65,2025-05-30 12:00:00-04:00,82.22,82.23,79.49,80.73,6390581.0,80.514,39101
66,2025-06-02 09:30:00-04:00,80.59,81.98,80.42,81.78,1988697.0,81.342,11313
67,2025-06-02 12:00:00-04:00,81.78,82.53,81.51,82.48,1977325.0,82.18,13330
68,2025-06-03 09:30:00-04:00,82.07,83.59,81.95,83.44,1329657.0,82.887,8339
69,2025-06-03 12:00:00-04:00,83.44,84.01,83.05,83.68,2238014.0,83.643,14869
70,2025-06-04 09:30:00-04:00,84.23,84.86,83.49,84.42,1395122.0,84.332,8584
71,2025-06-04 12:00:00-04:00,84.43,85.04,84.17,84.72,2126526.0,84.648,13322
72,2025-06-05 09:30:00-04:00,85.46,86.28,84.34,86.17,2163386.0,85.426,12737
73,2025-06-05 12:00:00-04:00,86.18,86.34,84.37,84.93,3538697.0,85.333,21958
74,2025-06-06 09:30:00-04:00,86.48,87.58,85.85,87.43,1894988.0,86.927,11443
75,2025-06-06 12:00:00-04:00,87.44,87.56,86.31,86.36,2591866.0,86.803,15272
76,2025-06-09 09:30:00-04:00,87.09,89.33,87.02,88.77,2338572.0,88.43,14805
77,2025-06-09 12:00:00-04:00,88.77,89.09,88.13,88.26,2100749.0,88.565,14774
78,2025-06-10 09:30:00-04:00,88.79,90.63,88.34,90.58,2590803.0,89.759,15559
79,2025-06-10 12:00:00-04:00,90.58,91.37,90.31,91.02,3431846.0,90.957,21773
80,2025-06-11 09:30:00-04:00,91.39,91.99,90.98,91.08,2228270.0,91.571,14522
81,2025-06-11 12:00:00-04:00,91.09,91.23,89.87,90.98,2365124.0,90.631,16347
82,2025-06-12 09:30:00-04:00,90.59,91.9,90.49,91.35,1281828.0,91.237,8266
83,2025-06-12 12:00:00-04:00,91.36,91.78,91.26,91.68,1733889.0,91.584,12612
84,2025-06-13 09:30:00-04:00,88.72,91.17,88.18,91.08,1962869.0,89.951,11574
85,2025-06-13 12:00:00-04:00,91.06,91.23,89.21,89.53,2892920.0,90.041,18841
86,2025-06-16 09:30:00-04:00,91.06,93.58,90.85,92.95,2419278.0,92.751,14326
87,2025-06-16 12:00:00-04:00,92.96,93.57,92.73,93.4,3170784.0,93.218,20410
88,2025-06-17 09:30:00-04:00,93.34,95.02,93.12,94.29,2570374.0,94.318,14306
89,2025-06-17 12:00:00-04:00,94.29,94.54,92.55,92.67,3040159.0,93.245,18684
90,2025-06-18 09:30:00-04:00,93.24,93.24,92.14,92.94,1671992.0,92.754,9497
91,2025-06-18 12:00:00-04:00,92.94,93.6,91.8,92.28,2871724.0,92.761,18205
92,2025-06-20 09:30:00-04:00,93.05,93.43,87.75,89.59,5989649.0,90.348,28806
93,2025-06-20 12:00:00-04:00,89.61,90.54,89.34,90.48,3456571.0,90.16,20529
94,2025-06-23 09:30:00-04:00,91.36,92.76,90.72,91.9,2546043.0,92.062,15909
95,2025-06-23 12:00:00-04:00,91.9,91.95,90.29,91.61,3034311.0,91.46,20247
96,2025-06-24 09:30:00-04:00,93.24,95.42,93.23,94.49,2323246.0,94.527,15237
97,2025-06-24 12:00:00-04:00,94.52,95.77,94.44,95.62,2523275.0,95.388,17312
98,2025-06-25 09:30:00-04:00,96.44,97.37,95.54,95.79,1988244.0,96.194,12428
99,2025-06-25 12:00:00-04:00,95.79,96.13,95.32,96.05,2283831.0,95.798,15058
100,2025-06-26 09:30:00-04:00,96.27,96.84,95.83,96.31,2005875.0,96.392,11645
101,2025-06-26 12:00:00-04:00,96.3,96.93,96.16,96.88,2230180.0,96.631,13975
102,2025-06-27 09:30:00-04:00,97.04,98.02,96.87,97.81,1467681.0,97.644,9531
103,2025-06-27 12:00:00-04:00,97.81,97.82,96.39,97.21,2625595.0,97.127,17172
