,date,open,high,low,close,volume,average,barCount
0,2025-04-14,3.62,3.7,3.61,3.67,36872909.0,3.65283,19430
1,2025-04-15,3.74,3.795,3.73,3.77,30313714.0,3.77219,14877
2,2025-04-16,3.76,3.79,3.7145,3.76,31356109.0,3.75786,14375
3,2025-04-17,3.74,3.8,3.74,3.76,24465576.0,3.77541,10693
4,2025-04-21,3.76,3.82,3.69,3.72,16732730.0,3.7278,9204
5,2025-04-22,3.82,3.88,3.82,3.87,27020347.0,3.85214,13117
6,2025-04-23,3.92,3.96,3.9,3.91,37015117.0,3.92731,17408
7,2025-04-24,3.89,3.93,3.89,3.91,19191846.0,3.91056,10868
8,2025-04-25,3.91,3.95,3.91,3.94,13618282.0,3.92753,8339
9,2025-04-28,3.95,4.0,3.94,3.96,22846981.0,3.96102,14205
10,2025-04-29,3.99,4.0,3.95,3.98,20655671.0,3.97138,11199
11,2025-04-30,3.87,3.96,3.87,3.95,40945676.0,3.92551,19732
12,2025-05-01,3.84,3.88,3.76,3.76,33129997.0,3.81681,17925
13,2025-05-02,3.81,3.82,3.745,3.75,31895354.0,3.77704,22093
14,2025-05-05,3.76,3.83,3.745,3.79,20630464.0,3.80798,13074
15,2025-05-06,3.83,3.87,3.83,3.84,25162771.0,3.85128,13144
16,2025-05-07,3.86,3.92,3.86,3.88,29602288.0,3.88691,16082
17,2025-05-08,3.91,3.92,3.86,3.87,20178345.0,3.89065,9912
18,2025-05-09,3.9,3.91,3.86,3.89,40498538.0,3.88352,21374
19,2025-05-12,3.89,3.91,3.805,3.82,45526402.0,3.83842,31224
20,2025-05-13,3.87,3.92,3.87,3.91,28122396.0,3.8964,12991
21,2025-05-14,3.95,4.0,3.95,3.99,26698019.0,3.97644,12342
22,2025-05-15,3.97,4.0,3.95,3.97,24261288.0,3.98081,12922
23,2025-05-16,3.99,4.01,3.98,3.99,22483914.0,3.99328,11610
24,2025-05-19,4.02,4.11,4.02,4.1,40614305.0,4.08435,17182
25,2025-05-20,4.16,4.22,4.16,4.21,17728240.0,4.18849,9482
26,2025-05-21,4.24,4.26,4.18,4.2,34702770.0,4.21993,18917
27,2025-05-22,4.19,4.28,4.18,4.25,30945598.0,4.24001,13341
28,2025-05-23,4.19,4.27,4.17,4.27,25207125.0,4.23014,15936
29,2025-05-27,4.28,4.3,4.27,4.29,16359213.0,4.28196,9207
30,2025-05-28,4.21,4.22,4.15,4.18,17036593.0,4.18563,10469
31,2025-05-29,4.22,4.22,4.18,4.21,17168242.0,4.20482,9710
32,2025-05-30,4.22,4.23,4.18,4.21,16398864.0,4.2084,11708
33,2025-06-02,4.22,4.28,4.1908,4.27,21980902.0,4.24317,12050
34,2025-06-03,4.19,4.24,4.17,4.2,13790257.0,4.20628,11513
35,2025-06-04,4.21,4.24,4.17,4.18,17589546.0,4.20917,9648
36,2025-06-05,4.18,4.21,4.16,4.19,19949426.0,4.18562,11223
37,2025-06-06,4.21,4.22,4.1801,4.2,15065941.0,4.20279,8801
38,2025-06-09,4.19,4.225,4.18,4.2,8737979.0,4.20366,6459
39,2025-06-10,4.15,4.17,4.11,4.12,14384153.0,4.1323,8125
40,2025-06-11,4.15,4.18,4.13,4.15,15143883.0,4.15602,9907
41,2025-06-12,4.21,4.23,4.2,4.22,12195241.0,4.21447,6722
42,2025-06-13,4.16,4.21,4.15,4.19,17394935.0,4.18375,9165
43,2025-06-16,4.23,4.25,4.2,4.22,7360922.0,4.23219,5617
44,2025-06-17,4.17,4.17,4.105,4.12,17142049.0,4.13768,8799
45,2025-06-18,4.14,4.19,4.13,4.17,19686668.0,4.1646,10889
46,2025-06-20,4.14,4.15,4.09,4.1,13705630.0,4.115,8650
47,2025-06-23,4.06,4.12,4.0401,4.11,14924196.0,4.087,9198
48,2025-06-24,4.21,4.23,4.19,4.21,7146990.0,4.21225,5189
49,2025-06-25,4.15,4.2,4.14,4.18,9989213.0,4.17652,6604
50,2025-06-26,4.22,4.22,4.19,4.21,7322171.0,4.20879,5473
51,2025-06-27,4.26,4.26,4.2,4.23,13885154.0,4.22788,7976
52,2025-06-30,4.23,4.27,4.22,4.25,16599798.0,4.25035,8309
53,2025-07-01,4.25,4.26,4.2,4.23,12505814.0,4.23202,7702
54,2025-07-02,4.04,4.05,3.98,4.03,20400805.0,4.01785,10320
55,2025-07-03,4.13,4.18,4.12,4.16,8240651.0,4.15506,5967
56,2025-07-07,4.14,4.15,4.09,4.1,10000477.0,4.12787,8269
