,date,open,high,low,close,volume,average,barCount
0,2025-04-14,4.3,4.535,4.1,4.42,484006.0,4.29057,1855
1,2025-04-15,4.43,4.5699,4.14,4.45,447979.0,4.31915,1667
2,2025-04-16,4.4,4.6,4.35,4.53,294051.0,4.45618,1068
3,2025-04-17,4.55,4.96,4.47,4.755,785604.0,4.74246,2999
4,2025-04-21,4.7,4.86,4.5,4.8,369556.0,4.70766,1436
5,2025-04-22,4.9,5.94,4.85,5.66,1203635.0,5.54,3383
6,2025-04-23,5.8,5.85,5.39,5.4,528287.0,5.61746,2074
7,2025-04-24,5.4,5.52,5.21,5.23,174508.0,5.34177,694
8,2025-04-25,5.22,5.51,5.09,5.41,230264.0,5.37101,1152
9,2025-04-28,5.41,5.5,5.16,5.33,217927.0,5.31357,791
10,2025-04-29,5.32,5.66,5.22,5.47,211784.0,5.48323,1064
11,2025-04-30,5.34,5.56,5.2,5.43,224228.0,5.39753,1182
12,2025-05-01,5.43,5.4581,5.2701,5.36,114361.0,5.37249,661
13,2025-05-02,5.37,5.7298,5.355,5.6,213205.0,5.60403,1039
14,2025-05-05,5.6,5.66,5.38,5.4,135027.0,5.49309,604
15,2025-05-06,5.31,5.415,5.0102,5.31,304666.0,5.19735,1285
16,2025-05-07,5.32,5.61,5.32,5.43,159787.0,5.45942,748
17,2025-05-08,5.56,5.93,5.45,5.79,287264.0,5.74208,1166
18,2025-05-09,5.78,5.813,5.5743,5.62,197597.0,5.67738,814
19,2025-05-12,5.86,5.96,5.6,5.73,295138.0,5.73874,1525
20,2025-05-13,5.84,6.03,4.55,4.65,833226.0,5.00296,3314
21,2025-05-14,4.7,4.715,4.2,4.32,736292.0,4.40487,3073
22,2025-05-15,4.45,4.57,4.28,4.52,552713.0,4.45956,2897
23,2025-05-16,4.6,4.71,4.51,4.58,372614.0,4.60546,1593
24,2025-05-19,4.49,4.78,4.21,4.77,690439.0,4.50803,2679
25,2025-05-20,4.76,5.18,4.74,4.94,698127.0,5.00327,3854
26,2025-05-21,4.86,4.945,4.57,4.65,361285.0,4.69922,1973
27,2025-05-22,4.56,4.76,4.47,4.74,271600.0,4.61784,1591
28,2025-05-23,4.63,4.85,4.61,4.8,186032.0,4.73456,1312
29,2025-05-27,4.9,5.5,4.82,5.44,676585.0,5.27997,3655
30,2025-05-28,5.48,6.02,5.41,5.96,794842.0,5.83139,4405
31,2025-05-29,6.08,6.2696,5.7,5.85,437982.0,5.89055,2419
32,2025-05-30,5.85,5.9,5.56,5.68,335791.0,5.70669,1630
33,2025-06-02,5.445,6.05,5.445,5.95,209934.0,5.90385,1189
34,2025-06-03,5.98,6.66,5.86,6.62,623260.0,6.4051,3135
35,2025-06-04,6.64,7.32,6.59,6.9,550612.0,6.9522,2189
36,2025-06-05,7.0,7.08,6.47,6.685,443369.0,6.68996,1982
37,2025-06-06,6.78,7.1,6.75,6.94,329377.0,6.92702,1750
38,2025-06-09,7.13,7.22,6.72,6.98,305209.0,6.89418,1501
39,2025-06-10,7.06,7.24,6.83,7.1,355511.0,7.05703,1423
40,2025-06-11,7.15,7.38,7.035,7.28,244074.0,7.2028,1573
41,2025-06-12,7.22,7.38,6.9,7.19,177838.0,7.13762,1025
42,2025-06-13,7.0,7.36,6.92,7.31,241810.0,7.22893,1477
43,2025-06-16,7.38,7.62,7.16,7.19,768152.0,7.35308,4349
44,2025-06-17,7.1,7.56,6.86,7.35,479320.0,7.33352,3222
45,2025-06-18,7.35,8.03,7.21,7.97,781248.0,7.78736,4022
46,2025-06-20,8.06,8.06,7.18,7.34,570199.0,7.53268,3401
47,2025-06-23,7.19,7.22,6.5269,6.64,476398.0,6.79594,2351
48,2025-06-24,6.55,6.79,6.55,6.62,253674.0,6.65838,1517
49,2025-06-25,6.7,6.86,6.42,6.78,285199.0,6.63933,1553
50,2025-06-26,6.79,7.05,6.58,6.74,296348.0,6.84132,1295
51,2025-06-27,6.76,6.89,6.53,6.73,398150.0,6.74012,1504
52,2025-06-30,6.81,7.58,6.7503,7.13,436560.0,7.23546,2185
53,2025-07-01,7.12,7.13,6.3901,6.48,482612.0,6.70757,2863
54,2025-07-02,6.46,6.77,6.39,6.605,383665.0,6.63733,2254
55,2025-07-03,6.7,6.91,6.6,6.65,184735.0,6.70064,885
56,2025-07-07,6.6,6.6125,6.33,6.41,235872.0,6.46126,1515
57,2025-07-08,6.43,6.86,6.365,6.81,336865.0,6.57907,2084
58,2025-07-09,6.89,7.15,6.85,7.07,167875.0,6.99675,1082
59,2025-07-10,7.08,7.27,6.9931,7.22,159032.0,7.17463,1019
60,2025-07-11,7.17,7.23,6.82,6.94,132264.0,6.98176,854
61,2025-07-14,6.94,7.04,6.71,6.72,118016.0,6.84854,662
62,2025-07-15,6.81,6.865,6.475,6.5,136862.0,6.58494,883
63,2025-07-16,6.57,6.72,6.38,6.67,158529.0,6.58353,1136
64,2025-07-17,6.74,6.956,6.626,6.78,99763.0,6.77695,549
65,2025-07-18,6.89,7.08,6.7,6.7,119955.0,6.87224,573
66,2025-07-21,6.77,7.11,6.77,6.96,168307.0,6.95769,967
67,2025-07-22,6.97,7.32,6.85,7.06,286553.0,7.12567,1657
68,2025-07-23,7.12,7.44,6.9826,7.33,258026.0,7.27174,1393
69,2025-07-24,7.31,7.48,7.2026,7.38,118653.0,7.3746,688
70,2025-07-25,7.4,7.48,7.27,7.42,112678.0,7.39002,657
71,2025-07-28,7.5,7.63,7.23,7.33,107319.0,7.35608,719
72,2025-07-29,7.4,7.48,6.94,6.95,129292.0,7.14883,946
73,2025-07-30,6.95,7.18,6.72,6.81,144845.0,6.90493,983
74,2025-07-31,6.79,6.95,6.51,6.55,255516.0,6.65833,1472
75,2025-08-01,6.37,6.645,6.36,6.42,171211.0,6.4812,1036
76,2025-08-04,6.5,6.62,6.39,6.52,138117.0,6.5363,882
77,2025-08-05,6.46,6.52,5.43,6.34,641803.0,6.03611,3094
78,2025-08-06,6.55,6.7899,6.46,6.535,326071.0,6.59392,1781
79,2025-08-07,6.57,6.71,6.17,6.42,166603.0,6.3771,838
80,2025-08-08,6.49,6.67,6.1673,6.33,98296.0,6.30436,609
81,2025-08-11,6.39,6.52,6.36,6.43,84593.0,6.41611,473
82,2025-08-12,6.48,6.595,6.4115,6.47,127315.0,6.49978,795
83,2025-08-13,6.53,7.19,6.48,7.05,280660.0,6.84187,1281
84,2025-08-14,6.95,7.44,6.79,7.07,275245.0,7.1462,1467
85,2025-08-15,7.1,7.1,6.62,6.63,135219.0,6.81926,687
86,2025-08-18,6.63,6.68,6.23,6.27,115528.0,6.38813,543
87,2025-08-19,6.3,6.325,6.07,6.2,168097.0,6.23459,1027
88,2025-08-20,6.22,6.22,5.88,5.98,130484.0,5.99233,885
89,2025-08-21,5.94,6.07,5.8521,6.02,89768.0,5.99415,597
90,2025-08-22,6.06,6.49,5.98,6.45,149278.0,6.37581,984
91,2025-08-25,6.44,6.53,6.21,6.27,111404.0,6.30985,683
92,2025-08-26,6.29,6.5,6.28,6.37,83825.0,6.35546,487
93,2025-08-27,6.34,6.41,6.2799,6.3,60643.0,6.34891,522
94,2025-08-28,6.35,6.415,6.205,6.26,83084.0,6.28819,667
95,2025-08-29,6.31,6.31,6.135,6.25,120839.0,6.21574,734
