,date,open,high,low,close,volume,average,barCount
0,2025-04-14,167.0,168.64,157.36,158.04,1076917.0,160.091,7250
1,2025-04-15,159.03,162.49,157.01,158.58,880950.0,159.043,6781
2,2025-04-16,156.1,160.6,155.41,160.04,835730.0,158.382,6280
3,2025-04-17,161.68,162.62,155.88,159.26,913031.0,159.035,6449
4,2025-04-21,157.25,158.12,150.75,151.67,1391599.0,152.314,8758
5,2025-04-22,150.23,155.24,148.88,152.15,2043529.0,152.375,11819
6,2025-04-23,159.87,167.32,159.58,162.66,1959107.0,163.557,12382
7,2025-04-24,162.92,175.43,162.26,173.21,1916019.0,171.732,14494
8,2025-04-25,171.38,175.08,168.41,173.5,1233094.0,172.188,9224
9,2025-04-28,172.66,175.96,170.57,174.51,912860.0,173.814,7030
10,2025-04-29,174.49,177.01,173.83,174.69,684558.0,175.156,4888
11,2025-04-30,169.4,172.55,167.19,172.17,595517.0,170.49,4458
12,2025-05-01,178.75,179.04,172.0,172.19,1045173.0,175.007,6796
13,2025-05-02,174.9,176.27,170.85,171.64,1036810.0,173.126,7552
14,2025-05-05,170.23,175.91,169.65,172.96,634851.0,174.087,5032
15,2025-05-06,170.45,175.28,169.26,172.22,535204.0,172.17,3936
16,2025-05-07,172.33,175.53,170.88,174.33,572633.0,173.199,4420
17,2025-05-08,176.82,181.29,175.25,179.26,792601.0,179.0,5612
18,2025-05-09,181.91,184.0,177.43,178.54,592895.0,179.793,4669
19,2025-05-12,187.22,191.67,186.0,191.61,1440773.0,189.232,10698
20,2025-05-13,192.89,197.55,190.91,195.9,1011838.0,195.435,7327
21,2025-05-14,195.9,198.58,192.61,193.74,922302.0,194.404,6817
22,2025-05-15,192.11,192.31,186.11,190.5,904036.0,189.438,7130
23,2025-05-16,190.71,193.19,188.2,191.29,1445677.0,191.606,10400
24,2025-05-19,187.25,191.55,186.83,189.01,777910.0,189.699,5631
25,2025-05-20,184.29,189.69,183.13,188.94,1404446.0,187.994,10019
26,2025-05-21,188.0,190.37,184.14,185.01,983876.0,187.14,7429
27,2025-05-22,187.47,191.74,186.55,188.58,1275181.0,188.812,10269
28,2025-05-23,184.78,186.9,182.9,185.85,591205.0,185.073,4596
29,2025-05-27,189.89,189.89,187.48,188.95,993014.0,188.733,7269
30,2025-05-28,188.4,190.26,186.85,188.45,1007110.0,188.652,7471
31,2025-05-29,190.57,191.73,186.2,189.36,814455.0,189.198,5970
32,2025-05-30,188.04,189.12,182.43,188.83,894937.0,185.79,7222
33,2025-06-02,188.42,193.18,183.64,193.0,1242566.0,189.862,9526
34,2025-06-03,193.68,195.29,190.36,193.75,1478674.0,193.1,10861
35,2025-06-04,194.19,201.79,193.86,199.73,2416717.0,199.279,16784
36,2025-06-05,234.75,237.18,222.06,225.38,8108411.0,229.501,50258
37,2025-06-06,227.65,227.93,219.14,220.14,1685826.0,222.193,11448
38,2025-06-09,222.43,223.26,216.67,217.23,1190068.0,219.669,7382
39,2025-06-10,218.31,220.0,212.81,213.03,1235263.0,215.252,8767
40,2025-06-11,213.67,214.99,209.64,210.6,1142011.0,212.303,8146
41,2025-06-12,210.22,218.12,209.96,210.66,1230967.0,213.336,8905
42,2025-06-13,207.31,210.51,204.62,205.63,710537.0,207.064,5056
43,2025-06-16,207.32,209.8,202.11,202.5,1030670.0,204.691,6999
44,2025-06-17,201.08,207.09,200.57,205.6,918668.0,204.808,7004
45,2025-06-18,205.82,208.86,200.35,204.15,1156653.0,203.942,8446
46,2025-06-20,207.31,212.94,200.45,201.5,1208351.0,205.051,8812
47,2025-06-23,200.48,204.04,196.0,203.24,709794.0,201.569,4829
