,date,open,high,low,close,volume,average,barCount
0,2025-04-14,2070.97,2075.0,2000.0,2037.12,94039.0,2038.318,673
1,2025-04-15,2070.0,2121.87,2043.01,2118.32,144091.0,2096.414,1045
2,2025-04-16,2062.35,2093.44,2030.0,2064.37,91187.0,2055.001,667
3,2025-04-17,2088.97,2110.91,2050.56,2099.37,79002.0,2091.368,553
4,2025-04-21,2088.47,2115.94,2031.59,2056.43,49609.0,2065.299,368
5,2025-04-22,2099.37,2152.67,2080.54,2128.33,65302.0,2125.308,478
6,2025-04-23,2182.03,2200.0,2129.16,2139.92,91914.0,2157.228,632
7,2025-04-24,2159.26,2210.0,2133.01,2204.81,129726.0,2175.197,993
8,2025-04-25,2204.81,2235.96,2186.0,2225.85,78544.0,2210.933,619
9,2025-04-28,2240.51,2249.07,2186.56,2208.4,58105.0,2210.276,381
10,2025-04-29,2225.39,2295.89,2208.32,2280.86,117289.0,2250.097,893
11,2025-04-30,2230.0,2337.51,2217.82,2330.85,225100.0,2279.936,1683
12,2025-05-01,2337.86,2349.0,2290.6,2294.52,92506.0,2312.679,629
13,2025-05-02,2325.0,2338.28,2257.39,2280.69,116176.0,2287.4,896
14,2025-05-05,2256.0,2278.5,2242.5,2246.54,60210.0,2257.963,412
15,2025-05-06,2225.0,2251.25,2206.88,2229.0,83347.0,2233.493,672
16,2025-05-07,2222.84,2277.6,2217.46,2262.09,127688.0,2250.64,1048
17,2025-05-08,2470.07,2501.0,2380.4,2410.0,305491.0,2432.168,2173
18,2025-05-09,2424.89,2469.61,2413.86,2450.0,113590.0,2442.95,878
19,2025-05-12,2500.0,2520.0,2443.61,2504.61,139071.0,2480.275,1025
20,2025-05-13,2504.61,2561.68,2491.28,2515.12,84485.0,2533.957,612
21,2025-05-14,2516.25,2564.03,2509.4,2564.0,111912.0,2541.431,708
22,2025-05-15,2569.78,2610.3,2547.8,2586.49,110617.0,2579.68,833
23,2025-05-16,2590.5,2608.01,2573.34,2584.92,81362.0,2590.417,550
24,2025-05-19,2574.52,2604.7,2536.4,2578.35,91159.0,2575.713,705
25,2025-05-20,2562.81,2584.24,2545.51,2579.21,62820.0,2563.626,451
26,2025-05-21,2549.32,2625.11,2549.32,2601.97,109998.0,2594.681,829
27,2025-05-22,2563.0,2635.88,2561.0,2606.01,89049.0,2606.663,637
28,2025-05-23,2550.25,2575.0,2501.1,2507.83,166360.0,2535.589,1138
29,2025-05-27,2521.39,2560.02,2504.11,2555.17,66857.0,2538.365,476
30,2025-05-28,2558.79,2584.69,2530.33,2550.71,74741.0,2552.906,544
31,2025-05-29,2578.19,2578.19,2527.05,2545.49,45013.0,2543.666,345
32,2025-05-30,2538.68,2572.71,2525.0,2563.29,60253.0,2550.645,480
33,2025-06-02,2563.0,2595.0,2535.0,2593.44,66234.0,2565.397,463
34,2025-06-03,2606.0,2627.82,2582.0,2602.26,51440.0,2606.548,370
35,2025-06-04,2601.07,2616.45,2569.0,2573.96,72674.0,2592.032,566
36,2025-06-05,2575.0,2593.03,2554.95,2581.74,62001.0,2577.17,438
37,2025-06-06,2540.01,2545.95,2414.0,2482.39,220650.0,2465.988,1622
38,2025-06-09,2477.5,2486.91,2448.6,2448.6,110340.0,2467.895,849
39,2025-06-10,2440.0,2448.67,2364.54,2396.44,163937.0,2399.836,1163
40,2025-06-11,2395.85,2416.95,2345.0,2387.0,132415.0,2392.164,1057
