,date,open,high,low,close,volume,average,barCount
0,2025-04-14,8.88,8.88,8.25,8.52,699573.0,8.473,3743
1,2025-04-15,8.44,8.93,8.39,8.9,473111.0,8.703,2224
2,2025-04-16,8.83,9.72,8.75,9.46,927575.0,9.323,3706
3,2025-04-17,9.53,10.11,9.27,9.87,1361185.0,9.785,6158
4,2025-04-21,10.3,10.47,9.37,9.48,813326.0,9.698,4740
5,2025-04-22,9.47,9.68,9.03,9.22,448229.0,9.3,2039
6,2025-04-23,9.22,9.58,9.19,9.51,390785.0,9.441,2083
7,2025-04-24,9.51,10.51,9.42,10.37,897816.0,10.189,4170
8,2025-04-25,10.12,10.2,9.69,9.96,496461.0,9.933,2379
9,2025-04-28,10.0,10.22,9.76,9.96,440713.0,9.976,2185
10,2025-04-29,9.86,10.4,9.68,10.06,486329.0,10.026,2644
11,2025-04-30,9.76,10.29,9.57,10.08,583368.0,10.018,3362
12,2025-05-01,10.04,10.42,9.81,9.95,360288.0,10.073,2253
13,2025-05-02,10.1,10.26,9.74,10.0,313084.0,10.022,1743
14,2025-05-05,9.94,10.02,9.74,9.81,206749.0,9.836,1218
15,2025-05-06,9.84,10.04,9.59,10.0,348583.0,9.838,1674
16,2025-05-07,10.0,10.0,9.44,9.73,255766.0,9.669,1397
17,2025-05-08,9.79,9.79,9.07,9.13,417063.0,9.215,2106
18,2025-05-09,9.11,9.12,8.6,8.99,502400.0,8.847,2709
19,2025-05-12,9.58,9.95,8.21,9.0,1029806.0,8.9,5449
20,2025-05-13,9.0,9.96,9.0,9.9,992856.0,9.674,4623
21,2025-05-14,10.0,10.08,9.05,9.11,734124.0,9.376,3552
22,2025-05-15,8.91,9.27,8.7,9.11,353589.0,9.021,2253
23,2025-05-16,9.02,9.43,8.82,9.33,372518.0,9.27,2186
24,2025-05-19,9.23,9.3,8.73,9.15,248684.0,9.013,1107
25,2025-05-20,9.17,9.29,9.01,9.26,179172.0,9.158,873
26,2025-05-21,9.23,9.45,9.02,9.09,375503.0,9.18,1918
27,2025-05-22,9.06,9.06,8.76,8.84,318686.0,8.867,1721
