,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,8.88,8.88,8.25,8.31,350167.0,8.446,1550
1,2025-04-14 12:00:00-04:00,8.3,8.67,8.29,8.54,349406.0,8.499,2193
2,2025-04-15 09:30:00-04:00,8.44,8.73,8.39,8.58,168159.0,8.588,719
3,2025-04-15 12:00:00-04:00,8.6,8.93,8.58,8.89,304952.0,8.766,1505
4,2025-04-16 09:30:00-04:00,8.83,9.35,8.75,9.3,392598.0,9.154,1288
5,2025-04-16 12:00:00-04:00,9.31,9.72,9.28,9.46,534977.0,9.447,2418
6,2025-04-17 09:30:00-04:00,9.53,9.71,9.27,9.49,368458.0,9.522,1378
7,2025-04-17 12:00:00-04:00,9.51,10.11,9.48,9.87,992727.0,9.882,4780
8,2025-04-21 09:30:00-04:00,10.3,10.47,9.41,9.66,449788.0,9.83,2645
9,2025-04-21 12:00:00-04:00,9.66,9.69,9.37,9.48,363538.0,9.535,2095
10,2025-04-22 09:30:00-04:00,9.47,9.68,9.03,9.4,197781.0,9.29,854
11,2025-04-22 12:00:00-04:00,9.41,9.5,9.21,9.21,250448.0,9.308,1185
12,2025-04-23 09:30:00-04:00,9.22,9.58,9.19,9.32,137169.0,9.407,571
13,2025-04-23 12:00:00-04:00,9.33,9.58,9.28,9.53,253616.0,9.459,1512
14,2025-04-24 09:30:00-04:00,9.51,9.98,9.42,9.9,175488.0,9.697,854
15,2025-04-24 12:00:00-04:00,9.91,10.51,9.9,10.36,722328.0,10.308,3316
16,2025-04-25 09:30:00-04:00,10.12,10.2,9.82,10.06,147240.0,10.042,648
17,2025-04-25 12:00:00-04:00,10.07,10.12,9.69,9.97,349221.0,9.887,1731
18,2025-04-28 09:30:00-04:00,10.0,10.22,9.9,9.95,164800.0,10.037,721
19,2025-04-28 12:00:00-04:00,9.96,10.02,9.76,9.94,275913.0,9.94,1464
20,2025-04-29 09:30:00-04:00,9.86,10.09,9.68,10.09,146808.0,9.824,653
21,2025-04-29 12:00:00-04:00,10.07,10.4,9.91,10.05,339521.0,10.114,1991
22,2025-04-30 09:30:00-04:00,9.76,10.01,9.57,9.88,149952.0,9.786,867
23,2025-04-30 12:00:00-04:00,9.9,10.29,9.84,10.08,433416.0,10.099,2495
24,2025-05-01 09:30:00-04:00,10.04,10.42,9.91,9.94,169970.0,10.193,871
25,2025-05-01 12:00:00-04:00,9.95,10.06,9.81,9.95,190318.0,9.965,1382
26,2025-05-02 09:30:00-04:00,10.1,10.22,9.74,10.1,152604.0,9.967,697
27,2025-05-02 12:00:00-04:00,10.11,10.26,9.96,9.99,160480.0,10.074,1046
28,2025-05-05 09:30:00-04:00,9.94,10.02,9.74,9.84,53620.0,9.885,278
29,2025-05-05 12:00:00-04:00,9.85,9.91,9.75,9.79,153129.0,9.819,940
30,2025-05-06 09:30:00-04:00,9.84,9.89,9.59,9.7,93617.0,9.722,360
31,2025-05-06 12:00:00-04:00,9.72,10.04,9.66,10.01,254966.0,9.881,1314
32,2025-05-07 09:30:00-04:00,10.0,10.0,9.44,9.7,101528.0,9.645,437
33,2025-05-07 12:00:00-04:00,9.71,9.85,9.54,9.73,154238.0,9.685,960
34,2025-05-08 09:30:00-04:00,9.79,9.79,9.17,9.22,181268.0,9.3,837
35,2025-05-08 12:00:00-04:00,9.26,9.27,9.07,9.13,235795.0,9.151,1269
36,2025-05-09 09:30:00-04:00,9.11,9.12,8.6,8.73,218384.0,8.78,1036
37,2025-05-09 12:00:00-04:00,8.72,9.03,8.69,8.98,284016.0,8.899,1673
38,2025-05-12 09:30:00-04:00,9.58,9.95,8.21,8.82,565692.0,8.772,2578
39,2025-05-12 12:00:00-04:00,8.9,9.38,8.86,8.99,464114.0,9.057,2871
40,2025-05-13 09:30:00-04:00,9.0,9.79,9.0,9.67,443304.0,9.551,1757
41,2025-05-13 12:00:00-04:00,9.67,9.96,9.5,9.9,549552.0,9.774,2866
42,2025-05-14 09:30:00-04:00,10.0,10.08,9.3,9.48,319276.0,9.532,1456
43,2025-05-14 12:00:00-04:00,9.49,9.5,9.05,9.11,414848.0,9.257,2096
44,2025-05-15 09:30:00-04:00,8.91,9.02,8.7,8.95,122359.0,8.853,644
45,2025-05-15 12:00:00-04:00,8.94,9.27,8.9,9.12,231230.0,9.11,1609
46,2025-05-16 09:30:00-04:00,9.02,9.26,8.82,9.17,82600.0,9.094,458
47,2025-05-16 12:00:00-04:00,9.2,9.43,9.19,9.34,289918.0,9.321,1728
48,2025-05-19 09:30:00-04:00,9.23,9.3,8.73,9.07,153502.0,8.955,550
49,2025-05-19 12:00:00-04:00,9.06,9.18,9.02,9.15,95182.0,9.108,557
50,2025-05-20 09:30:00-04:00,9.17,9.22,9.01,9.19,50351.0,9.124,214
51,2025-05-20 12:00:00-04:00,9.19,9.29,9.05,9.27,128821.0,9.171,659
