,date,open,high,low,close,volume,average,barCount
0,2025-04-14,14.83,14.83,13.46,13.92,472167.0,14.325,1981
1,2025-04-15,14.35,14.43,13.77,13.88,205251.0,14.02,1222
2,2025-04-16,13.62,13.87,13.1,13.5,274524.0,13.383,1821
3,2025-04-17,13.52,13.87,12.9,13.35,181552.0,13.293,1250
4,2025-04-21,13.27,13.68,12.77,13.24,361520.0,13.081,2547
5,2025-04-22,13.49,13.63,12.94,13.21,274199.0,13.125,1968
6,2025-04-23,13.4,14.14,13.4,13.53,307323.0,13.752,1883
7,2025-04-24,13.68,14.16,13.38,14.09,219630.0,13.92,1281
8,2025-04-25,13.79,13.97,12.9,13.34,511757.0,13.209,3081
9,2025-04-28,13.39,14.11,13.19,13.56,267710.0,13.509,1782
10,2025-04-29,13.47,13.96,13.06,13.94,287994.0,13.701,1923
11,2025-04-30,14.0,14.48,13.72,14.21,708495.0,14.211,2862
12,2025-05-01,14.22,15.09,13.96,14.96,753523.0,14.85,3760
13,2025-05-02,15.19,15.68,15.04,15.42,558750.0,15.417,2547
14,2025-05-05,15.47,15.66,14.8,15.63,248509.0,15.415,1350
15,2025-05-06,15.48,15.79,14.05,14.46,712688.0,14.712,3423
16,2025-05-07,14.53,14.76,14.03,14.76,303732.0,14.514,2321
17,2025-05-08,15.01,15.66,14.21,15.61,651561.0,15.071,3246
18,2025-05-09,15.59,15.94,14.4,14.65,391844.0,14.949,1807
19,2025-05-12,14.2,15.47,14.17,15.01,529864.0,14.899,2421
20,2025-05-13,15.07,15.81,14.74,15.19,1300893.0,15.213,3748
21,2025-05-14,15.2,15.86,14.89,15.11,576422.0,15.291,2623
22,2025-05-15,15.1,15.49,14.58,15.36,1079578.0,15.277,2426
23,2025-05-16,15.42,15.95,15.23,15.35,393577.0,15.507,2371
24,2025-05-19,15.35,15.74,15.04,15.32,200237.0,15.411,1405
25,2025-05-20,15.28,16.78,15.09,16.1,1813372.0,15.691,5306
26,2025-05-21,15.98,16.75,15.77,16.66,436215.0,16.235,2246
27,2025-05-22,16.6,16.77,15.98,16.32,236599.0,16.242,1535
28,2025-05-23,15.98,16.68,15.86,15.96,364486.0,16.171,2203
29,2025-05-27,16.5,16.9,15.45,15.73,579564.0,15.754,2260
30,2025-05-28,15.76,16.07,15.61,15.84,157589.0,15.835,857
31,2025-05-29,15.93,16.11,15.65,15.66,119373.0,15.843,812
32,2025-05-30,15.62,15.89,14.74,15.58,302206.0,15.499,1832
33,2025-06-02,15.74,16.07,15.26,15.7,219024.0,15.599,1452
34,2025-06-03,15.67,16.24,15.49,16.18,485974.0,16.01,2749
35,2025-06-04,16.36,16.43,15.43,15.52,193132.0,15.784,1152
36,2025-06-05,15.59,15.93,15.27,15.62,206755.0,15.637,1490
37,2025-06-06,15.92,16.21,15.62,16.12,196381.0,16.031,1243
38,2025-06-09,16.28,16.3,15.71,16.19,194342.0,16.071,1396
39,2025-06-10,16.39,16.67,15.77,16.03,281185.0,16.095,1661
40,2025-06-11,15.72,16.17,15.42,15.55,233889.0,15.691,1598
41,2025-06-12,15.4,15.55,14.71,14.92,454348.0,15.09,1840
42,2025-06-13,14.57,14.91,14.18,14.32,312678.0,14.46,2084
43,2025-06-16,14.48,14.48,13.32,13.45,558447.0,13.883,3481
44,2025-06-17,13.7,14.21,12.98,13.78,931796.0,13.739,4561
45,2025-06-18,13.77,14.0,13.37,13.73,716666.0,13.715,3872
46,2025-06-20,13.82,14.09,13.43,13.48,707717.0,13.741,3983
47,2025-06-23,13.34,13.81,12.95,13.77,482887.0,13.348,2806
48,2025-06-24,13.79,14.16,13.58,14.14,427194.0,13.914,2800
49,2025-06-25,14.11,14.32,13.6,14.24,350923.0,14.032,2264
50,2025-06-26,14.24,14.35,13.76,14.0,277409.0,14.016,1794
51,2025-06-27,13.97,14.02,13.45,13.71,207097.0,13.674,1292
52,2025-06-30,13.84,13.98,13.37,13.53,369153.0,13.621,2156
53,2025-07-01,13.48,13.78,13.22,13.7,387114.0,13.602,2735
54,2025-07-02,13.71,14.54,13.65,14.3,420541.0,14.256,2469
55,2025-07-03,14.37,14.63,14.2,14.54,192972.0,14.453,1211
56,2025-07-07,14.48,14.7,13.44,13.53,387405.0,13.725,2208
57,2025-07-08,13.58,14.17,13.5,13.95,320894.0,13.851,1977
58,2025-07-09,14.06,14.53,13.84,14.37,285886.0,14.34,1937
59,2025-07-10,14.55,14.68,14.09,14.64,162642.0,14.455,1224
60,2025-07-11,14.5,14.94,14.3,14.49,190575.0,14.512,1406
61,2025-07-14,14.19,15.17,14.07,15.02,260856.0,14.872,1791
62,2025-07-15,15.12,15.24,14.4,14.62,123563.0,14.6,894
63,2025-07-16,14.55,14.8,14.16,14.32,510086.0,14.355,1895
64,2025-07-17,14.33,14.47,14.25,14.34,699760.0,14.354,2898
65,2025-07-18,14.53,14.74,14.14,14.23,650439.0,14.417,3103
66,2025-07-21,14.33,14.42,13.53,13.62,351908.0,13.871,1636
67,2025-07-22,13.69,13.9,13.28,13.34,454332.0,13.487,2564
68,2025-07-23,13.48,13.62,13.25,13.31,443483.0,13.409,2852
69,2025-07-24,13.32,14.55,13.13,14.26,488909.0,13.97,2883
70,2025-07-25,14.26,14.45,13.85,14.32,324888.0,14.185,2307
71,2025-07-28,14.46,14.46,13.54,13.6,262462.0,13.808,1797
72,2025-07-29,13.63,14.01,13.41,13.88,344322.0,13.716,1851
73,2025-07-30,14.06,15.15,13.97,14.49,398496.0,14.685,2255
74,2025-07-31,14.21,14.5,14.01,14.15,324549.0,14.21,2284
75,2025-08-01,14.17,14.46,13.65,13.67,670624.0,14.03,3677
76,2025-08-04,13.66,13.81,12.86,13.03,540429.0,13.19,2682
77,2025-08-05,12.94,13.57,12.86,13.41,350597.0,13.21,2387
78,2025-08-06,13.33,13.7,13.1,13.46,318649.0,13.439,2311
79,2025-08-07,13.52,13.54,12.83,12.87,356941.0,13.088,2091
80,2025-08-08,12.89,13.09,12.7,13.0,238411.0,12.906,1472
81,2025-08-11,13.01,13.5,12.93,13.19,601836.0,13.155,3758
82,2025-08-12,13.21,13.61,13.04,13.51,569915.0,13.288,3670
83,2025-08-13,13.11,13.94,12.59,13.56,951170.0,13.48,6080
84,2025-08-14,13.55,14.23,13.4,14.13,875365.0,13.829,4334
85,2025-08-15,14.17,15.0,14.16,14.52,593576.0,14.515,3462
86,2025-08-18,14.47,15.55,14.3,15.34,700280.0,15.191,4537
87,2025-08-19,15.18,15.28,14.37,14.47,748370.0,14.739,4269
88,2025-08-20,14.46,15.55,14.26,15.48,806533.0,15.074,3916
89,2025-08-21,15.41,15.41,14.29,14.61,473504.0,14.69,2673
90,2025-08-22,14.73,15.47,14.67,14.88,744254.0,15.133,3916
91,2025-08-25,14.8,15.6,14.65,14.74,961986.0,14.973,4828
92,2025-08-26,14.71,15.14,14.53,15.11,598842.0,14.855,2983
