,date,open,high,low,close,volume,average,barCount
0,2025-04-14,560.75,560.75,532.11,538.8,498490.0,542.678,3202
1,2025-04-15,545.21,554.78,537.35,544.25,211327.0,545.751,1458
2,2025-04-16,516.93,531.08,499.69,524.86,370512.0,518.977,2604
3,2025-04-17,538.0,539.82,514.29,523.58,344404.0,523.54,2425
4,2025-04-21,512.72,514.83,496.4,508.19,246816.0,503.56,1644
5,2025-04-22,512.36,526.57,506.3,511.82,216390.0,513.86,1601
6,2025-04-23,545.91,553.98,532.71,536.97,273750.0,543.243,1921
7,2025-04-24,549.62,582.57,546.75,580.75,403570.0,575.484,3007
8,2025-04-25,577.21,588.25,568.96,583.72,171259.0,579.477,1265
9,2025-04-28,580.01,591.39,564.22,585.21,149679.0,578.273,1265
10,2025-04-29,584.14,593.76,574.86,586.74,270912.0,586.505,2101
11,2025-04-30,565.21,595.92,562.38,593.1,243703.0,580.841,1984
12,2025-05-01,600.0,614.0,594.84,601.63,344924.0,606.978,2570
13,2025-05-02,614.69,649.4,608.96,636.89,661936.0,632.502,4784
14,2025-05-05,634.66,642.6,626.0,627.4,176290.0,631.872,1317
15,2025-05-06,620.3,631.42,612.94,622.99,187410.0,624.703,1375
16,2025-05-07,621.67,640.52,613.0,636.71,153468.0,629.934,1157
17,2025-05-08,648.79,656.41,630.0,639.93,193653.0,644.893,1261
18,2025-05-09,643.02,656.0,630.62,637.77,222420.0,638.601,1182
19,2025-05-12,693.98,721.0,680.0,709.23,471538.0,704.983,3390
20,2025-05-13,705.75,742.2,705.75,737.73,205937.0,729.612,1675
21,2025-05-14,737.0,755.0,725.85,734.28,199439.0,735.777,1141
22,2025-05-15,725.62,730.36,703.34,710.32,367296.0,712.269,2358
23,2025-05-16,712.75,716.79,696.45,715.4,90317.0,708.627,642
24,2025-05-19,692.78,706.71,688.1,702.39,107294.0,699.746,748
25,2025-05-20,695.5,702.23,692.76,700.17,106264.0,696.659,777
26,2025-05-21,691.0,703.97,674.46,678.62,90988.0,685.383,676
27,2025-05-22,680.02,694.82,671.07,672.2,92962.0,677.261,748
28,2025-05-23,649.99,668.11,648.68,662.18,90498.0,660.703,724
29,2025-05-27,683.33,689.52,671.66,685.52,211354.0,684.124,1659
30,2025-05-28,686.06,689.4,675.47,677.48,123971.0,680.993,765
31,2025-05-29,699.51,699.51,677.11,680.72,117614.0,685.613,866
32,2025-05-30,671.53,679.97,643.35,661.9,186921.0,657.736,1185
33,2025-06-02,661.31,671.15,655.5,668.66,79818.0,664.391,626
34,2025-06-03,669.79,688.8,662.79,685.76,96604.0,683.639,797
35,2025-06-04,694.44,721.27,689.19,694.75,113514.0,701.697,854
36,2025-06-05,701.76,705.9,674.82,681.06,162349.0,684.259,996
37,2025-06-06,698.27,698.76,685.52,687.08,51611.0,692.292,403
38,2025-06-09,693.54,711.0,689.89,706.28,103716.0,704.173,744
39,2025-06-10,712.72,738.81,708.79,731.84,283969.0,728.735,2043
40,2025-06-11,736.61,740.9,709.21,720.83,153780.0,722.091,1084
41,2025-06-12,713.44,730.0,713.41,718.57,61035.0,721.143,444
42,2025-06-13,699.9,702.94,670.0,673.01,370148.0,684.946,2237
43,2025-06-16,684.46,712.74,681.22,706.59,152419.0,704.443,1205
44,2025-06-17,700.0,710.73,689.82,690.87,118625.0,697.941,820
45,2025-06-18,693.85,706.4,686.05,693.24,130113.0,697.81,1000
46,2025-06-20,704.97,704.97,676.66,685.9,139969.0,690.408,862
47,2025-06-23,685.9,695.0,671.18,692.62,95360.0,688.199,634
48,2025-06-24,705.85,719.15,700.65,716.58,139833.0,714.419,1068
49,2025-06-25,717.32,724.99,708.82,722.82,85160.0,718.695,573
50,2025-06-26,728.0,744.01,718.99,735.17,122099.0,736.48,867
51,2025-06-27,736.09,745.48,724.98,736.03,88161.0,736.863,667
52,2025-06-30,737.53,741.49,723.2,731.38,83766.0,734.725,674
53,2025-07-01,729.23,756.74,722.24,746.97,176484.0,741.456,1232
54,2025-07-02,743.09,770.0,735.76,764.4,162139.0,762.415,1223
55,2025-07-03,770.0,776.89,754.4,758.64,160123.0,761.179,1020
56,2025-07-07,748.23,755.31,736.63,741.17,98763.0,745.503,751
57,2025-07-08,753.16,770.15,750.16,761.31,130352.0,761.919,994
58,2025-07-09,762.01,778.86,730.0,751.14,179437.0,751.748,1181
59,2025-07-10,756.41,756.41,735.4,740.45,81385.0,743.745,549
60,2025-07-11,739.14,747.6,725.0,736.06,105253.0,739.765,858
61,2025-07-14,729.94,729.94,703.06,721.14,169179.0,714.503,1110
62,2025-07-15,742.75,754.99,716.95,717.62,203796.0,731.394,1516
63,2025-07-16,716.54,722.23,686.87,714.03,336408.0,703.05,2371
64,2025-07-17,709.89,717.72,703.43,713.57,144858.0,710.532,1050
65,2025-07-18,719.89,725.83,705.84,725.24,109218.0,719.003,721
66,2025-07-21,728.59,737.76,723.91,724.77,128976.0,730.507,862
67,2025-07-22,723.49,729.95,702.32,719.98,181478.0,714.749,1065
68,2025-07-23,717.88,721.46,708.0,720.01,124381.0,715.832,903
69,2025-07-24,717.46,720.82,702.56,713.0,113873.0,714.129,930
70,2025-07-25,711.61,718.25,704.02,714.68,68657.0,710.625,571
71,2025-07-28,722.56,741.07,721.72,738.55,131836.0,734.924,1056
72,2025-07-29,745.52,751.49,715.0,724.37,173391.0,731.571,1097
73,2025-07-30,735.57,747.5,726.05,730.54,162679.0,734.753,1172
74,2025-07-31,731.24,740.0,706.0,711.24,446860.0,722.471,3221
75,2025-08-01,740.0,803.0,711.46,785.62,600993.0,766.193,3660
76,2025-08-04,791.34,831.97,778.9,830.63,516072.0,820.716,3399
77,2025-08-05,830.0,834.44,774.14,802.78,399634.0,797.449,2369
78,2025-08-06,802.0,807.4,790.06,805.85,103752.0,800.621,815
79,2025-08-07,817.53,819.5,785.0,797.94,182379.0,795.768,1435
80,2025-08-08,798.52,815.0,794.5,804.29,102337.0,804.753,707
81,2025-08-11,806.23,815.4,795.82,797.51,106989.0,805.915,679
82,2025-08-12,807.8,844.0,803.0,840.56,150185.0,832.071,1120
83,2025-08-13,845.6,865.13,840.0,861.8,125763.0,854.076,973
84,2025-08-14,845.53,854.99,836.51,848.81,151750.0,845.402,1154
85,2025-08-15,851.92,851.92,823.85,826.47,152363.0,832.422,1092
86,2025-08-18,823.59,853.24,823.01,850.31,202134.0,842.143,1617
87,2025-08-19,854.4,868.0,839.95,844.8,171918.0,847.53,1424
88,2025-08-20,840.83,847.57,805.94,826.27,189763.0,820.188,1309
89,2025-08-21,814.22,831.31,812.0,820.74,126355.0,823.357,782
90,2025-08-22,822.24,859.79,820.64,844.0,162657.0,849.354,1287
91,2025-08-25,841.41,850.44,832.2,837.86,130984.0,838.689,847
92,2025-08-26,839.86,857.99,839.86,850.64,100231.0,852.138,586
93,2025-08-27,847.9,870.0,843.53,866.32,99795.0,858.786,754
94,2025-08-28,866.98,875.05,857.4,858.46,112274.0,864.679,811
95,2025-08-29,849.41,853.49,825.16,835.76,123385.0,836.82,986
96,2025-09-02,811.11,824.97,800.97,823.65,146127.0,819.427,1059
97,2025-09-03,830.26,830.26,809.53,827.56,124404.0,820.652,853
98,2025-09-04,827.56,850.15,817.56,848.11,111824.0,841.266,845
99,2025-09-05,853.65,867.22,846.34,865.86,157996.0,859.308,1155
100,2025-09-08,869.31,879.5,850.66,864.32,161356.0,865.456,962
101,2025-09-09,865.71,869.32,848.13,857.87,58575.0,854.61,420
102,2025-09-10,868.88,869.7,846.0,855.18,293028.0,857.274,2041
103,2025-09-11,855.16,860.6,830.37,840.38,187504.0,841.518,1268
104,2025-09-12,844.96,844.96,830.0,834.14,87730.0,835.846,657
105,2025-09-15,838.0,852.54,831.0,849.71,107606.0,845.069,752
106,2025-09-16,846.12,860.2,844.62,857.02,90803.0,854.246,731
107,2025-09-17,856.42,884.46,850.0,877.66,104985.0,871.728,785
108,2025-09-18,895.35,924.4,890.08,917.78,238658.0,915.055,1638
109,2025-09-19,923.37,923.37,893.06,916.36,141648.0,912.263,881
110,2025-09-22,920.4,938.04,917.79,922.81,106601.0,928.79,839
111,2025-09-23,917.64,932.25,907.02,914.27,82143.0,916.323,616
112,2025-09-24,920.33,920.33,899.9,908.45,64902.0,910.152,496
113,2025-09-25,897.65,898.19,872.28,891.39,69753.0,889.347,575
114,2025-09-26,888.55,892.54,877.0,887.55,80606.0,886.506,593
115,2025-09-29,908.52,915.65,885.92,886.59,106098.0,896.078,819
116,2025-09-30,898.16,929.5,894.38,920.64,142528.0,912.099,1112
117,2025-10-01,907.37,923.34,894.89,915.87,110893.0,908.46,792
118,2025-10-02,927.25,940.11,925.04,930.51,93517.0,930.59,743
119,2025-10-03,940.44,954.8,916.8,918.83,106509.0,935.618,732
