,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,560.75,560.75,532.69,535.49,162598.0,546.711,1060
1,2025-04-14 12:00:00-04:00,533.89,548.02,532.11,539.4,335892.0,540.726,2142
2,2025-04-15 09:30:00-04:00,545.21,554.78,542.28,547.06,91620.0,548.368,630
3,2025-04-15 12:00:00-04:00,548.59,552.34,537.35,544.25,119707.0,543.747,828
4,2025-04-16 09:30:00-04:00,516.93,531.08,516.93,522.7,139495.0,524.34,885
5,2025-04-16 12:00:00-04:00,522.36,528.0,499.69,524.87,231017.0,515.739,1719
6,2025-04-17 09:30:00-04:00,538.0,539.82,514.8,516.94,153396.0,524.674,1002
7,2025-04-17 12:00:00-04:00,518.03,527.99,514.29,523.85,191008.0,522.629,1423
8,2025-04-21 09:30:00-04:00,512.72,514.83,497.8,497.8,35486.0,506.824,248
9,2025-04-21 12:00:00-04:00,498.54,510.41,496.4,508.19,211330.0,503.012,1396
10,2025-04-22 09:30:00-04:00,512.36,526.57,509.0,514.59,55199.0,517.556,380
11,2025-04-22 12:00:00-04:00,518.94,522.89,506.3,512.43,161191.0,512.595,1221
12,2025-04-23 09:30:00-04:00,545.91,553.98,536.69,542.65,149057.0,545.609,997
13,2025-04-23 12:00:00-04:00,541.99,550.36,532.71,536.95,124693.0,540.416,924
14,2025-04-24 09:30:00-04:00,549.62,569.73,546.75,566.97,73077.0,561.366,533
15,2025-04-24 12:00:00-04:00,567.76,582.57,567.59,580.75,330493.0,578.606,2474
16,2025-04-25 09:30:00-04:00,577.21,581.52,568.96,574.56,59623.0,573.991,444
17,2025-04-25 12:00:00-04:00,574.56,588.25,574.05,583.66,111636.0,582.406,821
18,2025-04-28 09:30:00-04:00,580.01,591.39,566.4,570.58,55230.0,579.664,446
19,2025-04-28 12:00:00-04:00,569.57,587.74,564.22,586.03,94449.0,577.461,819
20,2025-04-29 09:30:00-04:00,584.14,589.0,574.86,585.99,79137.0,583.981,558
21,2025-04-29 12:00:00-04:00,585.99,593.76,579.89,586.23,191775.0,587.546,1543
22,2025-04-30 09:30:00-04:00,565.21,580.75,562.38,576.07,63403.0,574.08,476
23,2025-04-30 12:00:00-04:00,575.95,595.92,569.43,592.93,180300.0,583.218,1508
24,2025-05-01 09:30:00-04:00,600.0,614.0,594.84,604.69,95649.0,605.702,693
25,2025-05-01 12:00:00-04:00,606.83,612.84,600.0,601.62,249275.0,607.468,1877
26,2025-05-02 09:30:00-04:00,614.69,638.63,608.96,635.73,319464.0,627.855,2075
27,2025-05-02 12:00:00-04:00,636.14,649.4,624.36,636.89,342472.0,636.838,2709
28,2025-05-05 09:30:00-04:00,634.66,642.6,626.0,628.11,65990.0,632.043,432
29,2025-05-05 12:00:00-04:00,628.8,639.34,626.28,627.75,110300.0,631.77,885
30,2025-05-06 09:30:00-04:00,620.3,629.06,612.94,627.47,66830.0,623.08,475
31,2025-05-06 12:00:00-04:00,627.35,631.42,619.93,622.94,120580.0,625.602,900
32,2025-05-07 09:30:00-04:00,621.67,627.83,613.0,627.82,35915.0,621.384,228
33,2025-05-07 12:00:00-04:00,627.28,640.52,618.11,637.18,117553.0,632.546,929
34,2025-05-08 09:30:00-04:00,648.79,654.34,630.0,649.0,58017.0,642.712,389
35,2025-05-08 12:00:00-04:00,648.93,656.41,637.72,639.05,135636.0,645.826,872
36,2025-05-09 09:30:00-04:00,643.02,656.0,632.0,636.0,76663.0,638.644,332
37,2025-05-09 12:00:00-04:00,635.05,642.06,630.62,637.2,145757.0,638.579,850
38,2025-05-12 09:30:00-04:00,693.98,712.35,680.0,711.82,231358.0,698.146,1629
39,2025-05-12 12:00:00-04:00,711.82,721.0,702.98,708.69,240180.0,711.569,1761
40,2025-05-13 09:30:00-04:00,705.75,732.92,705.75,729.14,72301.0,719.379,597
41,2025-05-13 12:00:00-04:00,730.68,742.2,724.81,737.73,133636.0,735.148,1078
42,2025-05-14 09:30:00-04:00,737.0,755.0,730.0,734.75,120257.0,738.376,523
43,2025-05-14 12:00:00-04:00,733.52,739.97,725.85,734.2,79182.0,731.831,618
44,2025-05-15 09:30:00-04:00,725.62,730.36,707.24,714.02,164557.0,712.5,937
45,2025-05-15 12:00:00-04:00,714.39,718.81,703.34,710.17,202739.0,712.081,1421
46,2025-05-16 09:30:00-04:00,712.75,712.75,696.45,709.07,61016.0,706.193,394
47,2025-05-16 12:00:00-04:00,708.58,716.79,708.51,715.45,29301.0,713.695,248
48,2025-05-19 09:30:00-04:00,692.78,706.71,688.1,697.92,60335.0,699.704,411
49,2025-05-19 12:00:00-04:00,700.48,703.49,695.27,701.24,46959.0,699.799,337
50,2025-05-20 09:30:00-04:00,695.5,702.23,694.21,698.82,19618.0,697.787,121
51,2025-05-20 12:00:00-04:00,699.45,701.99,692.76,699.33,86646.0,696.404,656
52,2025-05-21 09:30:00-04:00,691.0,702.06,691.0,701.38,12735.0,696.126,79
53,2025-05-21 12:00:00-04:00,702.5,703.97,674.46,677.62,78253.0,683.634,597
54,2025-05-22 09:30:00-04:00,680.02,694.82,677.0,679.86,24496.0,682.966,167
55,2025-05-22 12:00:00-04:00,680.23,684.99,671.07,671.35,68466.0,675.22,581
56,2025-05-23 09:30:00-04:00,649.99,664.5,648.68,656.5,45154.0,658.512,350
57,2025-05-23 12:00:00-04:00,658.88,668.11,655.42,662.44,45344.0,662.884,374
58,2025-05-27 09:30:00-04:00,683.33,689.52,671.66,686.3,76436.0,683.801,586
59,2025-05-27 12:00:00-04:00,686.18,689.24,678.52,685.84,134918.0,684.307,1073
60,2025-05-28 09:30:00-04:00,686.06,689.4,678.52,682.44,31667.0,682.695,220
61,2025-05-28 12:00:00-04:00,682.42,684.05,675.47,677.47,92304.0,680.41,545
62,2025-05-29 09:30:00-04:00,699.51,699.51,680.98,680.98,60727.0,690.434,359
63,2025-05-29 12:00:00-04:00,681.97,687.71,677.11,680.74,56887.0,680.466,507
64,2025-05-30 09:30:00-04:00,671.53,679.97,656.21,657.9,35242.0,663.277,243
65,2025-05-30 12:00:00-04:00,656.89,665.54,643.35,661.31,151679.0,656.448,942
66,2025-06-02 09:30:00-04:00,661.31,665.43,655.5,661.78,28168.0,660.946,208
67,2025-06-02 12:00:00-04:00,661.22,671.15,660.57,669.24,51650.0,666.27,418
68,2025-06-03 09:30:00-04:00,669.79,686.7,662.79,684.04,25147.0,679.357,150
69,2025-06-03 12:00:00-04:00,684.39,688.8,680.01,685.16,71457.0,685.146,647
70,2025-06-04 09:30:00-04:00,694.44,721.27,689.19,697.13,74718.0,704.24,561
71,2025-06-04 12:00:00-04:00,696.13,700.06,692.6,694.61,38796.0,696.802,293
72,2025-06-05 09:30:00-04:00,701.76,705.9,688.51,703.04,28843.0,697.525,188
73,2025-06-05 12:00:00-04:00,702.18,703.49,674.82,680.91,133506.0,681.393,808
74,2025-06-06 09:30:00-04:00,698.27,698.76,691.53,695.49,23385.0,696.062,163
75,2025-06-06 12:00:00-04:00,696.11,697.05,685.52,686.96,28226.0,689.17,240
76,2025-06-09 09:30:00-04:00,693.54,711.0,689.89,702.45,38233.0,702.729,244
77,2025-06-09 12:00:00-04:00,702.39,709.79,698.57,706.17,65483.0,705.016,500
78,2025-06-10 09:30:00-04:00,712.72,733.0,708.79,729.95,118678.0,725.263,719
79,2025-06-10 12:00:00-04:00,730.17,738.81,724.61,732.63,165291.0,731.229,1324
80,2025-06-11 09:30:00-04:00,736.61,740.9,728.4,732.38,37514.0,734.621,269
81,2025-06-11 12:00:00-04:00,733.18,733.2,709.21,721.14,116266.0,718.048,815
82,2025-06-12 09:30:00-04:00,713.44,730.0,713.41,721.1,33630.0,722.042,203
83,2025-06-12 12:00:00-04:00,722.0,726.97,716.52,718.05,27405.0,720.04,241
84,2025-06-13 09:30:00-04:00,699.9,702.94,680.0,688.12,196915.0,690.31,894
85,2025-06-13 12:00:00-04:00,689.0,689.09,670.0,672.53,173233.0,678.849,1343
86,2025-06-16 09:30:00-04:00,684.46,712.74,681.22,703.81,61763.0,701.257,441
87,2025-06-16 12:00:00-04:00,704.37,710.1,704.03,706.89,90656.0,706.613,764
88,2025-06-17 09:30:00-04:00,700.0,710.73,698.13,704.32,30752.0,704.528,219
89,2025-06-17 12:00:00-04:00,705.68,707.19,689.82,690.37,87873.0,695.636,601
90,2025-06-18 09:30:00-04:00,693.85,706.4,690.28,698.29,58275.0,702.035,441
91,2025-06-18 12:00:00-04:00,699.44,700.06,686.05,693.24,71838.0,694.382,559
92,2025-06-20 09:30:00-04:00,704.97,704.97,676.66,684.39,70913.0,695.06,343
93,2025-06-20 12:00:00-04:00,684.62,689.34,678.89,685.9,69056.0,685.632,519
94,2025-06-23 09:30:00-04:00,685.9,695.0,682.87,684.67,34451.0,687.759,176
95,2025-06-23 12:00:00-04:00,684.1,694.07,671.18,692.42,60909.0,688.448,458
96,2025-06-24 09:30:00-04:00,705.85,717.99,700.65,713.29,44816.0,712.439,307
97,2025-06-24 12:00:00-04:00,713.29,719.15,709.71,716.34,95017.0,715.353,761
98,2025-06-25 09:30:00-04:00,717.32,724.99,711.08,715.31,41780.0,718.039,218
99,2025-06-25 12:00:00-04:00,715.02,723.23,708.82,722.36,43380.0,719.326,355
100,2025-06-26 09:30:00-04:00,728.0,744.01,718.99,736.2,49182.0,736.674,333
101,2025-06-26 12:00:00-04:00,737.86,740.0,733.57,735.38,72917.0,736.349,534
102,2025-06-27 09:30:00-04:00,736.09,745.48,728.73,739.28,26242.0,741.761,170
103,2025-06-27 12:00:00-04:00,739.81,741.03,724.98,736.1,61919.0,734.787,497
104,2025-06-30 09:30:00-04:00,737.53,740.75,723.2,739.65,35864.0,734.771,266
105,2025-06-30 12:00:00-04:00,739.75,741.49,728.35,731.34,47902.0,734.691,408
106,2025-07-01 09:30:00-04:00,729.23,740.0,722.24,735.25,61394.0,729.572,406
107,2025-07-01 12:00:00-04:00,737.24,756.74,735.8,747.35,115090.0,747.795,826
