,date,open,high,low,close,volume,average,barCount
0,2025-04-14,74.76,74.78,69.97,71.02,22933005.0,71.89,116995
1,2025-04-15,71.11,72.8,70.55,71.04,11799728.0,71.508,56677
2,2025-04-16,67.89,70.46,67.17,69.33,18154017.0,69.053,101750
3,2025-04-17,70.47,70.48,67.0,68.8,12155482.0,68.341,59072
4,2025-04-21,67.78,68.0,65.64,66.74,10475489.0,66.462,51261
5,2025-04-22,67.54,70.4,67.44,70.21,12634449.0,69.283,62966
6,2025-04-23,73.71,75.4,72.5,72.93,17502256.0,73.785,94466
7,2025-04-24,74.57,77.59,73.6,77.42,15815729.0,76.126,81312
8,2025-04-25,77.55,80.3,76.9,79.78,13011436.0,78.918,64842
9,2025-04-28,78.77,79.61,76.92,78.56,9276790.0,78.261,47977
10,2025-04-29,77.88,78.19,76.47,76.88,10767949.0,77.168,54974
11,2025-04-30,73.72,77.15,73.5,76.95,11783622.0,75.328,55510
12,2025-05-01,79.47,79.89,77.64,77.77,9233584.0,78.814,52518
13,2025-05-02,79.64,81.67,79.1,80.72,10663083.0,80.555,55742
14,2025-05-05,79.41,81.15,79.05,80.42,7821459.0,80.244,39093
15,2025-05-06,79.02,81.22,78.54,80.51,7679218.0,79.91,40783
16,2025-05-07,80.99,82.87,80.2,82.62,8403016.0,81.422,44491
17,2025-05-08,84.25,86.21,83.36,85.15,11481497.0,84.971,58208
18,2025-05-09,85.68,86.27,84.68,85.86,8273316.0,85.517,43964
19,2025-05-12,92.79,94.2,91.95,92.29,17022421.0,92.962,89627
20,2025-05-13,92.57,97.41,92.54,96.93,18352882.0,96.027,96749
21,2025-05-14,96.26,97.65,94.32,95.32,18042278.0,95.931,90650
22,2025-05-15,94.01,95.61,92.17,95.45,14475525.0,94.177,76405
23,2025-05-16,95.97,98.19,95.7,98.0,14561541.0,97.597,71238
24,2025-05-19,95.71,99.02,95.7,98.65,9091554.0,97.811,45028
25,2025-05-20,97.9,98.63,96.97,98.1,7095405.0,97.896,37844
26,2025-05-21,97.11,98.82,95.26,95.84,8864562.0,97.308,47450
27,2025-05-22,95.41,97.22,94.37,94.83,8701670.0,95.938,49627
28,2025-05-23,92.22,93.84,90.93,93.37,10263765.0,92.477,55832
29,2025-05-27,95.18,96.7,94.19,96.38,10266956.0,95.978,53252
30,2025-05-28,96.67,97.21,95.6,96.18,6150436.0,96.436,33249
31,2025-05-29,98.52,99.63,96.11,96.8,9414540.0,97.128,46378
32,2025-05-30,96.03,96.61,92.22,94.46,11508316.0,94.305,58603
33,2025-06-02,94.63,99.24,94.4,98.18,11848856.0,97.287,56323
34,2025-06-03,98.36,102.93,96.96,102.25,14208597.0,101.064,70165
35,2025-06-04,102.45,103.91,101.7,103.25,9327667.0,103.017,48601
36,2025-06-05,106.3,109.03,105.53,106.29,19665821.0,107.407,93145
37,2025-06-06,108.13,111.05,108.04,108.56,13024270.0,109.738,64962
38,2025-06-09,109.5,112.53,108.58,110.95,11300258.0,111.017,57214
39,2025-06-10,111.67,114.93,111.23,114.14,14900850.0,113.668,66971
40,2025-06-11,115.6,117.26,114.73,116.03,14048844.0,115.978,65381
41,2025-06-12,114.09,116.48,113.52,116.18,10069859.0,115.555,53463
42,2025-06-13,113.8,117.1,113.66,115.6,11112631.0,115.688,54781
43,2025-06-16,117.81,120.97,117.32,119.84,13083167.0,119.614,70311
44,2025-06-17,119.66,123.51,119.35,120.34,13957064.0,121.697,71946
45,2025-06-18,120.46,122.98,120.18,121.82,11959432.0,121.907,61834
46,2025-06-20,122.78,124.16,120.38,123.6,16865179.0,122.581,84595
47,2025-06-23,123.67,124.51,119.81,122.08,13709860.0,122.534,75979
48,2025-06-24,125.06,128.1,124.96,127.91,16606530.0,126.853,84864
49,2025-06-25,126.45,127.5,125.62,127.25,18363595.0,126.592,92097
50,2025-06-26,129.53,129.85,123.79,126.0,43375119.0,125.945,196960
51,2025-06-27,125.13,127.54,123.39,124.76,19938975.0,125.12,96714
52,2025-06-30,124.9,125.08,121.85,123.25,14464369.0,123.421,82100
53,2025-07-01,122.31,123.99,119.08,120.89,15503349.0,121.167,90382
54,2025-07-02,120.48,123.0,118.06,121.74,20621487.0,121.225,97666
55,2025-07-03,122.29,123.63,121.83,122.29,9178097.0,122.824,43326
56,2025-07-07,121.18,121.51,118.91,119.92,12384828.0,119.992,64875
57,2025-07-08,122.37,125.45,121.95,124.42,14312091.0,124.154,73905
58,2025-07-09,124.83,126.15,121.28,122.24,12922660.0,122.921,65876
59,2025-07-10,124.3,124.35,122.02,123.11,9585094.0,122.98,51182
60,2025-07-11,122.01,124.81,121.24,124.53,9969087.0,123.587,51604
61,2025-07-14,120.38,120.44,117.02,118.61,22950599.0,118.848,112858
62,2025-07-15,120.97,121.39,119.12,120.11,14326275.0,120.052,70506
63,2025-07-16,119.05,119.09,114.81,116.43,18954470.0,116.297,92625
64,2025-07-17,113.91,114.2,110.95,113.26,23588270.0,112.605,116253
65,2025-07-18,114.24,114.8,113.28,114.39,11536550.0,114.042,57144
66,2025-07-21,113.6,115.92,112.67,113.23,12707581.0,114.403,65119
67,2025-07-22,113.0,113.0,108.12,109.22,19128022.0,109.311,101280
68,2025-07-23,109.43,110.29,108.87,109.83,11340468.0,109.524,60394
69,2025-07-24,111.03,112.73,110.25,111.73,13268553.0,111.596,64137
70,2025-07-25,110.91,111.5,108.83,111.26,10110903.0,110.567,52357
71,2025-07-28,111.72,112.0,109.86,111.25,8317262.0,110.892,44782
72,2025-07-29,111.98,113.54,110.67,111.96,10706804.0,112.266,49376
73,2025-07-30,112.6,114.89,112.41,114.74,10183303.0,113.864,49214
74,2025-07-31,112.22,112.27,106.94,109.14,19380202.0,109.436,96990
75,2025-08-01,105.49,106.5,103.38,104.88,14518723.0,104.91,77334
76,2025-08-04,106.12,107.88,105.46,107.77,8590303.0,107.147,48849
77,2025-08-05,109.34,110.64,106.83,109.06,10062804.0,108.695,54647
78,2025-08-06,107.73,108.96,106.75,108.78,7664006.0,107.978,39742
79,2025-08-07,114.19,115.28,110.79,111.87,12148341.0,112.315,62050
80,2025-08-08,112.17,119.33,111.67,118.89,20685710.0,117.256,105923
81,2025-08-11,124.96,127.28,121.65,123.72,22707776.0,123.614,112650
82,2025-08-12,124.74,128.55,123.04,127.75,17727348.0,126.527,80697
83,2025-08-13,127.58,128.6,123.35,124.27,11249694.0,125.021,51168
84,2025-08-14,123.2,125.74,121.4,125.29,8044407.0,124.049,40124
85,2025-08-15,123.17,123.38,119.44,120.87,12614751.0,120.935,62894
86,2025-08-18,121.35,123.68,120.66,123.55,6905783.0,122.641,33707
87,2025-08-19,122.94,124.24,121.31,122.05,7349997.0,122.617,35559
88,2025-08-20,118.74,118.91,113.46,117.21,17438861.0,115.722,86346
89,2025-08-21,116.78,117.73,115.61,115.79,7203332.0,116.368,38486
90,2025-08-22,117.65,120.7,116.51,117.68,11194762.0,118.8,55624
91,2025-08-25,117.68,118.08,116.1,116.42,5407540.0,117.131,29324
92,2025-08-26,116.0,118.36,115.81,116.5,7479415.0,117.287,39064
93,2025-08-27,116.87,118.73,116.44,117.75,10423154.0,117.756,49818
94,2025-08-28,118.99,122.58,118.73,122.0,12232774.0,121.282,56490
95,2025-08-29,122.63,122.77,118.06,119.01,9994219.0,119.583,51807
96,2025-09-02,115.91,118.56,114.25,118.48,7557428.0,116.474,38826
97,2025-09-03,119.36,119.44,117.29,118.72,6049929.0,118.346,31969
98,2025-09-04,118.77,124.41,118.52,124.21,11670011.0,121.603,59956
99,2025-09-05,127.77,131.41,125.66,131.37,19672042.0,128.897,99766
100,2025-09-08,130.58,132.26,128.4,131.46,12405883.0,130.839,64374
101,2025-09-09,131.89,138.0,131.56,135.24,14214411.0,134.294,75529
102,2025-09-10,140.01,142.24,138.34,140.0,16176613.0,140.595,88226
103,2025-09-11,147.79,156.26,147.61,150.57,35598978.0,152.555,170434
104,2025-09-12,153.51,158.28,153.21,157.23,20628873.0,156.159,105685
105,2025-09-15,157.12,160.34,156.55,157.77,12035632.0,157.826,62534
106,2025-09-16,157.96,159.56,157.16,158.82,9869661.0,158.323,49897
107,2025-09-17,157.36,160.59,155.26,159.99,12555012.0,158.714,67437
108,2025-09-18,162.92,170.45,162.6,168.89,17325864.0,168.141,91702
109,2025-09-19,162.75,163.7,159.38,162.73,21358627.0,162.043,97152
110,2025-09-22,164.38,167.26,161.59,164.62,16000510.0,165.236,83328
111,2025-09-23,165.68,168.99,165.23,166.41,20479112.0,167.306,101893
112,2025-09-24,165.22,166.0,158.3,161.71,34259339.0,161.814,155006
113,2025-09-25,157.42,158.95,154.65,156.83,19818123.0,156.72,97719
114,2025-09-26,158.51,158.92,155.18,157.27,12814815.0,157.162,65622
115,2025-09-29,159.89,165.8,159.89,163.9,15513623.0,163.791,78497
116,2025-09-30,164.11,168.95,163.96,167.32,12617787.0,166.548,62072
117,2025-10-01,165.62,182.39,165.5,182.15,28508136.0,176.824,137167
118,2025-10-02,184.93,186.18,181.21,183.75,16076721.0,183.347,78066
119,2025-10-03,185.21,191.85,184.92,187.83,20291197.0,188.538,98823
