,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,74.76,74.78,70.41,70.49,11898035.0,72.683,56257
1,2025-04-14 12:00:00-04:00,70.48,72.16,69.97,71.01,11034970.0,71.035,60738
2,2025-04-15 09:30:00-04:00,71.11,72.8,70.98,71.99,5745233.0,71.899,24862
3,2025-04-15 12:00:00-04:00,71.99,72.28,70.55,71.02,6054495.0,71.138,31815
4,2025-04-16 09:30:00-04:00,67.89,70.46,67.89,69.94,7665591.0,69.403,41620
5,2025-04-16 12:00:00-04:00,69.97,70.25,67.17,69.35,10488426.0,68.797,60130
6,2025-04-17 09:30:00-04:00,70.47,70.48,67.0,67.39,6230464.0,68.226,28220
7,2025-04-17 12:00:00-04:00,67.4,69.09,67.2,68.79,5925018.0,68.462,30852
8,2025-04-21 09:30:00-04:00,67.78,68.0,65.8,65.87,4310710.0,66.857,18830
9,2025-04-21 12:00:00-04:00,65.87,66.91,65.64,66.76,6164779.0,66.186,32431
10,2025-04-22 09:30:00-04:00,67.54,69.49,67.44,69.24,5416023.0,68.697,24841
11,2025-04-22 12:00:00-04:00,69.3,70.4,68.86,70.22,7218426.0,69.723,38125
12,2025-04-23 09:30:00-04:00,73.71,75.4,72.5,73.08,10786714.0,74.075,57139
13,2025-04-23 12:00:00-04:00,73.07,74.18,72.52,72.85,6715542.0,73.321,37327
14,2025-04-24 09:30:00-04:00,74.57,76.37,73.6,76.09,8857079.0,75.432,43554
15,2025-04-24 12:00:00-04:00,76.08,77.59,75.97,77.39,6958650.0,77.01,37758
16,2025-04-25 09:30:00-04:00,77.55,79.1,76.9,78.47,5825566.0,78.132,28850
17,2025-04-25 12:00:00-04:00,78.48,80.3,78.35,79.79,7185870.0,79.555,35992
18,2025-04-28 09:30:00-04:00,78.77,79.61,76.96,77.42,5283261.0,78.483,26361
19,2025-04-28 12:00:00-04:00,77.43,78.85,76.92,78.56,3993529.0,77.968,21616
