,date,open,high,low,close,volume,average,barCount
0,2025-04-14,22.31,22.78,20.51,20.73,5098799.0,21.233,20690
1,2025-04-15,21.31,21.58,20.8,21.33,3548554.0,21.161,13799
2,2025-04-16,20.63,21.31,20.51,21.08,3740450.0,20.878,13625
3,2025-04-17,21.32,21.85,21.02,21.53,3124300.0,21.502,12895
4,2025-04-21,21.24,21.35,20.25,20.72,3423095.0,20.572,12478
5,2025-04-22,21.15,22.04,21.02,21.86,3668931.0,21.531,16036
6,2025-04-23,23.21,23.79,22.55,22.96,5825459.0,23.148,22187
7,2025-04-24,23.09,24.62,22.93,24.46,4469561.0,24.111,16440
8,2025-04-25,24.57,25.08,23.86,24.48,4704706.0,24.331,21324
9,2025-04-28,24.21,24.6,23.31,24.11,2881219.0,23.861,12531
10,2025-04-29,24.11,24.42,23.7,23.86,2609015.0,23.956,10720
11,2025-04-30,22.5,22.8,21.45,22.73,4885375.0,22.184,18497
12,2025-05-01,25.04,25.71,23.92,23.93,5994922.0,24.442,21997
13,2025-05-02,24.65,25.62,24.39,25.4,4861047.0,25.181,19502
14,2025-05-05,24.6,24.66,23.73,23.8,3693024.0,24.115,13353
15,2025-05-06,23.26,25.07,23.2,25.04,4710724.0,24.597,18214
16,2025-05-07,27.55,27.87,26.26,27.45,13559827.0,27.061,52437
17,2025-05-08,27.74,28.59,27.3,28.22,5435409.0,28.033,18773
18,2025-05-09,28.35,29.08,27.2,28.27,4838306.0,28.145,17111
19,2025-05-12,32.32,33.73,31.13,33.34,12326672.0,32.753,47039
20,2025-05-13,33.23,35.98,32.88,35.27,11010802.0,34.981,45249
21,2025-05-14,35.68,36.65,34.45,36.12,8618460.0,35.616,33573
22,2025-05-15,35.07,36.79,34.88,35.79,8509787.0,35.939,35204
23,2025-05-16,36.34,38.14,36.19,37.32,14060363.0,37.225,54347
24,2025-05-19,35.8,37.93,35.68,37.56,8306699.0,37.22,31706
25,2025-05-20,38.12,41.45,36.42,39.14,24599085.0,39.401,91902
26,2025-05-21,38.7,41.4,38.25,38.92,14305600.0,40.003,45446
