,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,22.31,22.78,20.51,20.61,2840944.0,21.514,10949
1,2025-04-14 12:00:00-04:00,20.61,21.2,20.51,20.72,2257855.0,20.878,9741
2,2025-04-15 09:30:00-04:00,21.31,21.58,20.8,20.97,1755073.0,21.134,6369
3,2025-04-15 12:00:00-04:00,20.98,21.41,20.9,21.33,1793481.0,21.187,7430
4,2025-04-16 09:30:00-04:00,20.63,21.31,20.51,21.13,1294666.0,20.865,5264
5,2025-04-16 12:00:00-04:00,21.14,21.29,20.56,21.09,2445784.0,20.885,8361
6,2025-04-17 09:30:00-04:00,21.32,21.7,21.02,21.39,1397665.0,21.387,5066
7,2025-04-17 12:00:00-04:00,21.39,21.85,21.33,21.53,1726635.0,21.596,7829
8,2025-04-21 09:30:00-04:00,21.24,21.35,20.27,20.36,1842576.0,20.683,5551
9,2025-04-21 12:00:00-04:00,20.36,20.73,20.25,20.73,1580519.0,20.443,6927
10,2025-04-22 09:30:00-04:00,21.15,21.6,21.02,21.36,1708610.0,21.367,6919
11,2025-04-22 12:00:00-04:00,21.37,22.04,21.37,21.86,1960321.0,21.674,9117
12,2025-04-23 09:30:00-04:00,23.21,23.79,22.55,22.9,3517179.0,23.293,12828
13,2025-04-23 12:00:00-04:00,22.9,23.23,22.6,22.96,2308280.0,22.927,9359
14,2025-04-24 09:30:00-04:00,23.09,24.22,22.93,24.1,2038555.0,23.83,7101
15,2025-04-24 12:00:00-04:00,24.11,24.62,23.9,24.47,2431006.0,24.346,9339
16,2025-04-25 09:30:00-04:00,24.57,25.08,23.86,23.94,2393492.0,24.377,9941
17,2025-04-25 12:00:00-04:00,23.95,24.5,23.95,24.48,2311214.0,24.284,11383
18,2025-04-28 09:30:00-04:00,24.21,24.6,23.31,23.51,1633706.0,23.884,6290
19,2025-04-28 12:00:00-04:00,23.5,24.19,23.31,24.11,1247513.0,23.832,6241
20,2025-04-29 09:30:00-04:00,24.11,24.42,23.7,24.01,1267069.0,23.981,5291
21,2025-04-29 12:00:00-04:00,24.0,24.24,23.76,23.89,1341946.0,23.933,5429
22,2025-04-30 09:30:00-04:00,22.5,22.55,21.45,22.49,3155157.0,21.991,10874
23,2025-04-30 12:00:00-04:00,22.51,22.8,22.34,22.72,1730218.0,22.535,7623
24,2025-05-01 09:30:00-04:00,25.04,25.71,24.11,24.3,3751255.0,24.59,13494
25,2025-05-01 12:00:00-04:00,24.28,24.5,23.92,23.92,2243667.0,24.195,8503
26,2025-05-02 09:30:00-04:00,24.65,25.48,24.39,25.2,2287453.0,24.992,8156
27,2025-05-02 12:00:00-04:00,25.2,25.62,25.11,25.4,2573594.0,25.349,11346
28,2025-05-05 09:30:00-04:00,24.6,24.66,23.82,23.93,1834374.0,24.178,6302
29,2025-05-05 12:00:00-04:00,23.94,24.47,23.73,23.78,1858650.0,24.054,7051
30,2025-05-06 09:30:00-04:00,23.26,24.95,23.2,24.74,2284513.0,24.37,8656
31,2025-05-06 12:00:00-04:00,24.76,25.07,24.35,25.05,2426211.0,24.811,9558
32,2025-05-07 09:30:00-04:00,27.55,27.87,26.26,26.75,7971434.0,27.023,30489
33,2025-05-07 12:00:00-04:00,26.73,27.58,26.68,27.47,5588393.0,27.115,21948
34,2025-05-08 09:30:00-04:00,27.74,28.28,27.3,27.92,2999023.0,27.795,9351
35,2025-05-08 12:00:00-04:00,27.91,28.59,27.78,28.22,2436386.0,28.325,9422
36,2025-05-09 09:30:00-04:00,28.35,29.08,27.2,27.99,3210121.0,28.156,10770
37,2025-05-09 12:00:00-04:00,27.98,28.35,27.71,28.26,1628185.0,28.124,6341
38,2025-05-12 09:30:00-04:00,32.32,33.73,31.13,32.87,8523123.0,32.557,30632
39,2025-05-12 12:00:00-04:00,32.84,33.54,32.58,33.34,3803549.0,33.194,16407
40,2025-05-13 09:30:00-04:00,33.23,35.26,32.88,34.95,5705503.0,34.525,20489
41,2025-05-13 12:00:00-04:00,34.97,35.98,34.8,35.27,5305299.0,35.472,24760
42,2025-05-14 09:30:00-04:00,35.68,36.65,34.45,35.92,5326761.0,35.427,20708
43,2025-05-14 12:00:00-04:00,35.92,36.25,35.46,36.1,3291699.0,35.922,12865
44,2025-05-15 09:30:00-04:00,35.07,36.79,34.88,36.48,4913317.0,35.86,18862
