,date,open,high,low,close,volume,average,barCount
0,2025-04-14,53.7,55.23,53.17,54.79,9584361.0,54.728,47797
1,2025-04-15,55.01,55.16,54.14,54.58,8294502.0,54.579,44833
2,2025-04-16,56.49,57.08,55.5,55.95,13111566.0,56.239,65196
3,2025-04-17,55.6,56.2,54.76,55.08,10955497.0,55.24,54591
4,2025-04-21,57.0,57.16,54.42,55.21,13670215.0,55.313,66502
5,2025-04-22,55.73,56.16,54.35,54.54,12953470.0,55.246,61094
6,2025-04-23,51.75,53.5,51.64,53.15,15227182.0,52.82,77805
7,2025-04-24,54.74,55.74,54.04,55.7,9548895.0,54.974,46696
8,2025-04-25,54.29,54.42,53.48,53.94,8526975.0,53.895,42911
9,2025-04-28,53.51,54.12,53.1,54.07,6075618.0,53.695,33379
10,2025-04-29,53.69,53.95,52.78,52.96,6896909.0,53.129,37405
11,2025-04-30,52.61,52.95,52.2,52.68,6345214.0,52.561,33093
12,2025-05-01,51.48,51.65,50.77,51.49,8571378.0,51.266,44940
13,2025-05-02,52.17,52.47,51.16,51.53,5664424.0,51.598,29390
14,2025-05-05,52.8,53.06,52.25,53.04,8050796.0,52.793,41505
15,2025-05-06,53.77,54.74,53.25,54.61,9693686.0,53.993,48759
16,2025-05-07,53.41,54.33,53.21,53.99,7971251.0,53.998,42252
17,2025-05-08,53.79,54.2,52.73,52.83,5894242.0,53.32,29586
18,2025-05-09,53.47,54.11,52.97,53.98,5696391.0,53.697,27026
19,2025-05-12,51.02,51.77,50.0,50.78,13739852.0,51.004,62102
20,2025-05-13,50.39,50.69,49.63,50.07,11678186.0,50.033,57361
21,2025-05-14,49.2,49.24,48.27,48.66,13243412.0,48.64,71468
22,2025-05-15,49.0,49.87,48.4,49.84,9731575.0,49.213,53227
23,2025-05-16,48.75,50.12,48.61,50.1,7349472.0,49.682,37046
24,2025-05-19,50.78,50.98,49.99,50.93,6958905.0,50.547,34942
25,2025-05-20,50.88,52.37,50.79,52.3,6834654.0,51.882,34070
26,2025-05-21,52.67,53.19,52.08,52.64,8565668.0,52.725,45682
27,2025-05-22,52.6,52.96,52.14,52.65,5711744.0,52.683,31975
28,2025-05-23,53.65,53.8,53.01,53.65,6842225.0,53.477,36101
29,2025-05-27,52.55,53.18,52.49,52.71,6109692.0,52.803,30917
30,2025-05-28,52.92,53.05,52.4,52.85,4984693.0,52.743,22885
31,2025-05-29,52.91,53.1,52.37,52.52,5751561.0,52.631,27282
32,2025-05-30,52.3,52.73,51.8,52.72,6878842.0,52.28,34167
33,2025-06-02,53.9,55.89,53.86,55.58,10668475.0,55.479,57921
34,2025-06-03,54.8,55.45,54.18,55.34,6675163.0,54.975,36557
35,2025-06-04,55.4,55.73,55.09,55.28,5585471.0,55.347,27822
36,2025-06-05,55.73,56.53,54.35,54.51,9577711.0,55.104,48450
37,2025-06-06,54.49,54.51,52.26,52.36,9076249.0,52.908,48112
38,2025-06-09,52.36,53.63,52.08,53.28,5423937.0,53.147,29414
39,2025-06-10,53.41,53.8,52.3,52.56,6936980.0,52.78,37712
40,2025-06-11,53.05,53.33,52.42,53.31,4557005.0,52.97,24870
41,2025-06-12,54.33,55.96,54.14,55.92,9095380.0,55.273,46401
42,2025-06-13,56.5,58.16,56.44,57.9,13786812.0,57.414,56172
43,2025-06-16,56.87,58.78,56.87,58.12,11224267.0,58.075,51807
44,2025-06-17,58.38,58.81,58.06,58.52,7309636.0,58.513,37546
45,2025-06-18,58.0,59.03,57.9,58.26,7385959.0,58.448,33892
46,2025-06-20,58.03,59.16,57.97,58.23,8381302.0,58.557,37763
47,2025-06-23,58.36,60.31,58.31,59.46,8596006.0,59.763,39679
48,2025-06-24,57.79,58.64,57.17,58.09,9217535.0,58.172,44136
49,2025-06-25,57.58,58.53,57.56,58.06,6136907.0,58.153,29875
50,2025-06-26,58.25,59.22,58.06,59.19,6494832.0,58.816,31725
51,2025-06-27,57.44,57.7,56.46,56.76,10513331.0,56.814,47815
52,2025-06-30,56.89,58.32,56.75,58.26,5921972.0,57.695,30051
53,2025-07-01,58.92,59.3,58.39,58.83,6528811.0,58.835,33679
54,2025-07-02,58.94,60.18,58.94,60.06,6484845.0,59.687,34191
55,2025-07-03,59.3,60.19,59.06,59.9,3457468.0,59.879,20009
56,2025-07-07,59.3,60.18,58.41,60.16,5474255.0,59.606,29966
57,2025-07-08,59.61,59.7,56.9,57.61,9732472.0,57.896,50322
58,2025-07-09,57.79,59.0,57.37,58.75,6548707.0,58.393,30441
59,2025-07-10,59.03,59.81,58.59,59.78,5760450.0,59.284,28089
60,2025-07-11,59.88,60.28,59.54,60.13,5971155.0,59.988,30844
61,2025-07-14,60.01,61.17,60.01,60.82,6271541.0,60.798,29960
62,2025-07-15,60.56,60.63,55.37,57.35,22031092.0,56.937,101910
63,2025-07-16,58.09,58.84,57.3,58.45,12525782.0,58.136,60168
64,2025-07-17,57.51,58.08,56.73,57.99,9161502.0,57.41,43058
65,2025-07-18,57.86,58.66,57.86,58.19,7296018.0,58.278,31107
66,2025-07-21,59.0,60.67,58.97,59.86,7401834.0,60.032,32646
