,date,open,high,low,close,volume,average,barCount
0,2025-04-14,97.45,97.61,95.0,95.92,848968.0,96.055,5435
1,2025-04-15,96.0,98.5,96.0,97.11,692436.0,97.292,5319
2,2025-04-16,95.49,99.1,95.38,98.09,1001258.0,97.544,7164
3,2025-04-17,99.04,100.67,97.1,97.86,1066297.0,98.53,7571
4,2025-04-21,96.1,96.8,90.84,93.09,1083455.0,92.9,7967
5,2025-04-22,95.09,99.34,95.09,98.8,1241037.0,98.317,8865
6,2025-04-23,103.19,105.61,100.97,102.04,969081.0,102.285,6995
7,2025-04-24,101.81,106.8,101.53,106.11,916305.0,105.371,6694
8,2025-04-25,106.11,109.19,106.11,108.33,897012.0,108.187,6042
9,2025-04-28,108.13,109.66,107.62,109.36,1103701.0,108.699,7483
10,2025-04-29,108.5,110.1,107.18,109.53,876638.0,109.089,6603
11,2025-04-30,106.51,109.84,105.3,109.58,863211.0,107.817,5814
12,2025-05-01,111.29,115.24,111.25,114.14,1667311.0,113.995,11545
13,2025-05-02,115.0,117.9,114.37,116.64,1055839.0,116.6,7446
14,2025-05-05,115.53,116.71,114.0,116.23,814214.0,116.031,6116
15,2025-05-06,115.37,118.47,114.2,117.01,1505733.0,117.279,10175
16,2025-05-07,115.74,119.82,115.48,118.67,1247565.0,118.091,9346
17,2025-05-08,119.53,120.92,117.86,120.34,1346666.0,120.249,8804
18,2025-05-09,120.25,120.73,117.43,119.33,1735700.0,118.847,10698
19,2025-05-12,137.0,150.81,136.95,150.61,6263497.0,146.569,38474
20,2025-05-13,149.63,158.66,147.9,156.71,4509730.0,155.773,30370
21,2025-05-14,154.75,158.37,152.91,153.81,3479773.0,154.279,22845
22,2025-05-15,153.5,157.41,152.84,155.02,2213402.0,155.85,14879
23,2025-05-16,154.96,159.24,154.04,159.2,4934898.0,156.964,12442
24,2025-05-19,156.78,161.78,156.16,161.24,1250302.0,160.392,8617
25,2025-05-20,160.12,161.38,158.83,159.68,1432786.0,159.761,10638
26,2025-05-21,158.42,158.66,154.83,155.47,1757624.0,156.398,11877
27,2025-05-22,154.69,155.97,152.38,155.29,919596.0,154.886,6706
28,2025-05-23,153.72,158.56,153.28,157.82,1228523.0,156.737,8385
29,2025-05-27,159.28,159.79,155.9,156.91,974021.0,156.834,6955
30,2025-05-28,157.81,158.01,155.58,156.06,748891.0,156.481,5082
31,2025-05-29,158.1,158.51,153.09,154.47,1861874.0,154.069,13496
32,2025-05-30,154.55,156.12,153.65,155.9,1567212.0,155.139,10868
33,2025-06-02,156.54,159.74,154.6,158.49,2010593.0,158.032,12939
34,2025-06-03,160.63,162.33,158.17,161.04,2275241.0,160.408,15436
35,2025-06-04,160.67,160.67,156.75,156.97,1800520.0,158.279,12749
36,2025-06-05,157.35,158.2,155.03,156.03,1353155.0,156.651,10263
37,2025-06-06,156.6,157.94,154.27,155.94,951016.0,155.745,7480
38,2025-06-09,156.72,159.08,154.47,155.05,1188544.0,156.306,8589
39,2025-06-10,154.63,155.76,147.69,148.68,1962856.0,150.017,14269
40,2025-06-11,150.51,152.0,148.25,149.07,2462756.0,149.456,17922
