,date,open,high,low,close,volume,average,barCount
0,2025-04-14,68.58,72.34,67.15,71.73,1355731.0,70.843,7879
1,2025-04-15,73.0,73.88,71.5,73.26,749769.0,72.64,3396
2,2025-04-16,78.62,79.87,75.49,77.25,2116708.0,77.748,9616
3,2025-04-17,76.44,76.44,72.65,74.22,1219884.0,74.564,6099
4,2025-04-21,79.3,81.0,74.36,76.27,1616829.0,77.206,6815
5,2025-04-22,77.05,77.18,71.52,72.04,2106674.0,74.747,10632
6,2025-04-23,65.5,69.15,65.11,67.99,1762666.0,67.447,8751
7,2025-04-24,70.4,70.85,68.06,70.65,1042909.0,69.532,5018
8,2025-04-25,66.13,68.2,65.95,67.98,813865.0,67.345,3805
9,2025-04-28,67.35,69.62,66.57,69.53,922916.0,67.815,4175
10,2025-04-29,67.94,69.07,66.8,67.0,629809.0,67.49,3530
11,2025-04-30,65.74,68.47,65.74,68.27,747780.0,67.334,3930
12,2025-05-01,64.37,64.6,62.57,63.22,1208130.0,63.456,5593
13,2025-05-02,65.1,65.75,62.14,63.04,880311.0,63.414,4293
14,2025-05-05,68.02,68.02,65.62,67.45,793898.0,66.734,3974
15,2025-05-06,70.73,73.21,69.22,73.14,1199092.0,70.805,6192
16,2025-05-07,69.59,71.69,68.77,70.53,883026.0,70.592,4217
17,2025-05-08,70.41,70.99,67.25,67.58,778331.0,68.893,4032
18,2025-05-09,69.5,71.99,68.3,71.69,838847.0,70.662,3771
19,2025-05-12,65.23,65.23,60.35,61.04,1872731.0,62.4,8595
20,2025-05-13,61.23,61.31,59.85,60.89,736828.0,60.691,3545
21,2025-05-14,58.05,58.5,57.1,58.22,893444.0,57.842,3756
22,2025-05-15,59.54,60.75,58.36,60.67,1138812.0,59.675,5219
23,2025-05-16,57.86,60.25,57.4,60.13,876156.0,58.88,4332
24,2025-05-19,62.16,62.94,61.01,62.7,1022446.0,62.115,4192
25,2025-05-20,63.09,66.68,62.75,66.56,1305661.0,65.199,5325
26,2025-05-21,67.29,69.11,67.12,68.4,1447503.0,68.17,5626
27,2025-05-22,67.88,68.72,66.36,67.58,960516.0,67.763,4303
28,2025-05-23,70.79,71.99,69.17,71.25,1131162.0,71.002,5216
29,2025-05-27,68.04,70.66,67.98,69.06,743622.0,69.536,3945
30,2025-05-28,69.44,70.75,69.15,70.62,472691.0,69.99,2173
31,2025-05-29,71.57,72.13,69.6,70.48,508105.0,70.757,2328
32,2025-05-30,69.43,71.66,68.93,71.52,699392.0,70.216,3391
33,2025-06-02,74.56,80.5,74.34,80.27,1807388.0,79.074,10179
34,2025-06-03,77.65,78.47,76.12,78.28,766472.0,77.244,4057
35,2025-06-04,78.9,79.5,77.68,78.75,575726.0,78.755,3005
36,2025-06-05,80.08,82.8,77.5,78.45,882817.0,80.023,4429
37,2025-06-06,78.36,78.36,73.51,73.96,1077350.0,74.997,4702
38,2025-06-09,73.86,75.92,73.36,75.4,629735.0,75.02,3343
