,date,open,high,low,close,volume,average,barCount
0,2025-04-14,10.86,10.93,10.5,10.65,43761555.0,10.696,58204
1,2025-04-15,10.75,11.09,10.7,10.84,46724431.0,10.889,55843
2,2025-04-16,10.69,10.97,10.58,10.8,40446561.0,10.802,49620
3,2025-04-17,10.9,11.08,10.82,11.0,30853721.0,10.974,42842
4,2025-04-21,10.82,10.96,10.55,10.71,31747717.0,10.689,35354
5,2025-04-22,11.01,11.29,10.93,11.19,32919827.0,11.151,50871
6,2025-04-23,11.52,11.64,11.43,11.49,47067830.0,11.538,68132
7,2025-04-24,11.54,11.76,11.46,11.75,45693510.0,11.653,55417
8,2025-04-25,11.87,12.04,11.77,12.01,36070824.0,11.929,48831
9,2025-04-28,12.05,12.23,11.94,12.14,49702977.0,12.073,62937
10,2025-04-29,12.19,12.46,12.15,12.41,42165813.0,12.323,51304
11,2025-04-30,12.13,12.47,12.02,12.43,47634380.0,12.27,59792
12,2025-05-01,12.5,12.51,12.26,12.34,29846020.0,12.401,43392
13,2025-05-02,12.49,12.59,12.37,12.45,37512605.0,12.483,45001
14,2025-05-05,12.4,12.59,12.36,12.47,40090826.0,12.533,53116
15,2025-05-06,12.38,12.56,12.3,12.44,35566652.0,12.469,46104
16,2025-05-07,12.54,12.56,12.28,12.37,39347412.0,12.404,43253
17,2025-05-08,12.54,13.04,12.54,12.8,52284873.0,12.872,69480
18,2025-05-09,12.89,12.98,12.74,12.83,35340349.0,12.848,40828
19,2025-05-12,13.14,13.22,12.89,12.95,39764545.0,12.96,56752
20,2025-05-13,12.99,13.24,12.79,13.14,81541087.0,13.108,112200
21,2025-05-14,12.72,13.73,12.44,13.49,93818098.0,13.316,144385
22,2025-05-15,13.5,13.57,13.07,13.13,38728259.0,13.246,60208
23,2025-05-16,12.8,13.18,12.75,13.05,35321670.0,13.065,60994
24,2025-05-19,12.73,13.14,12.73,13.1,26674296.0,13.054,40091
25,2025-05-20,13.0,13.01,12.62,12.77,41628420.0,12.781,54622
26,2025-05-21,12.48,12.69,11.96,11.99,82871434.0,12.27,102879
27,2025-05-22,11.89,12.45,11.85,12.25,50061726.0,12.231,61918
28,2025-05-23,11.75,12.18,11.72,11.99,69535693.0,11.989,87521
29,2025-05-27,12.04,12.16,11.91,11.94,34886193.0,11.993,50477
30,2025-05-28,11.91,12.25,11.86,12.2,51689782.0,12.148,55443
31,2025-05-29,12.25,12.26,11.85,11.99,53901899.0,12.01,66304
32,2025-05-30,11.95,12.05,11.71,12.01,52686125.0,11.914,54947
33,2025-06-02,12.06,12.07,11.71,12.0,43809422.0,11.892,49716
34,2025-06-03,11.9,12.12,11.83,11.99,23220356.0,12.017,33340
35,2025-06-04,12.02,12.14,11.85,11.94,27541152.0,11.979,37564
36,2025-06-05,12.01,12.21,11.98,12.11,45820460.0,12.096,47016
37,2025-06-06,12.22,12.25,11.95,12.15,35586582.0,12.124,45952
38,2025-06-09,12.17,12.18,11.88,11.92,39949402.0,11.995,39702
39,2025-06-10,11.96,12.25,11.83,11.97,34119173.0,11.978,42556
40,2025-06-11,12.15,12.78,12.02,12.76,79178138.0,12.599,84116
41,2025-06-12,12.54,12.59,11.99,12.0,60850787.0,12.202,63669
42,2025-06-13,11.96,12.05,11.83,11.9,48324578.0,11.962,64963
43,2025-06-16,12.13,12.51,12.01,12.39,64240418.0,12.373,69722
