,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,10.86,10.93,10.5,10.58,17896978.0,10.742,25397
1,2025-04-14 12:00:00-04:00,10.58,10.77,10.53,10.66,25864577.0,10.664,32807
2,2025-04-15 09:30:00-04:00,10.75,11.09,10.7,10.93,25863052.0,10.898,30338
3,2025-04-15 12:00:00-04:00,10.93,11.01,10.78,10.85,20861379.0,10.879,25505
4,2025-04-16 09:30:00-04:00,10.69,10.97,10.69,10.85,15835874.0,10.871,18271
5,2025-04-16 12:00:00-04:00,10.85,10.88,10.58,10.81,24610687.0,10.757,31349
6,2025-04-17 09:30:00-04:00,10.9,11.05,10.82,10.91,14166780.0,10.941,19049
7,2025-04-17 12:00:00-04:00,10.92,11.08,10.89,11.0,16686941.0,11.002,23793
8,2025-04-21 09:30:00-04:00,10.82,10.96,10.62,10.64,11706386.0,10.765,11921
9,2025-04-21 12:00:00-04:00,10.65,10.72,10.55,10.7,20041331.0,10.645,23433
10,2025-04-22 09:30:00-04:00,11.01,11.19,10.93,11.18,12240827.0,11.089,21486
11,2025-04-22 12:00:00-04:00,11.18,11.29,11.07,11.18,20679000.0,11.187,29385
12,2025-04-23 09:30:00-04:00,11.52,11.64,11.47,11.57,16378887.0,11.555,29809
13,2025-04-23 12:00:00-04:00,11.57,11.62,11.43,11.48,30688943.0,11.529,38323
14,2025-04-24 09:30:00-04:00,11.54,11.67,11.46,11.63,18240180.0,11.564,21527
15,2025-04-24 12:00:00-04:00,11.63,11.76,11.63,11.76,27453330.0,11.712,33890
16,2025-04-25 09:30:00-04:00,11.87,11.94,11.77,11.91,15637444.0,11.869,22493
17,2025-04-25 12:00:00-04:00,11.92,12.04,11.88,12.01,20433380.0,11.975,26338
18,2025-04-28 09:30:00-04:00,12.05,12.23,11.97,12.02,15325523.0,12.107,22399
19,2025-04-28 12:00:00-04:00,12.02,12.19,11.94,12.14,34377454.0,12.058,40538
20,2025-04-29 09:30:00-04:00,12.19,12.34,12.15,12.3,21039647.0,12.256,23817
21,2025-04-29 12:00:00-04:00,12.3,12.46,12.27,12.4,21126166.0,12.39,27487
22,2025-04-30 09:30:00-04:00,12.13,12.31,12.02,12.28,21214504.0,12.186,30677
23,2025-04-30 12:00:00-04:00,12.28,12.47,12.23,12.42,26419876.0,12.337,29115
24,2025-05-01 09:30:00-04:00,12.5,12.51,12.32,12.37,13340213.0,12.405,18839
25,2025-05-01 12:00:00-04:00,12.36,12.47,12.26,12.35,16505807.0,12.398,24553
26,2025-05-02 09:30:00-04:00,12.49,12.59,12.39,12.46,18727664.0,12.503,22271
27,2025-05-02 12:00:00-04:00,12.46,12.55,12.37,12.44,18784941.0,12.462,22730
