,date,open,high,low,close,volume,average,barCount
0,2025-04-14,107.17,109.67,107.08,109.46,1687026.0,108.901,10854
1,2025-04-15,109.65,110.53,109.29,109.93,1057701.0,109.922,6775
2,2025-04-16,110.53,110.76,109.22,109.58,1406034.0,110.048,9170
3,2025-04-17,109.64,111.27,109.5,110.86,1038066.0,110.495,6237
4,2025-04-21,110.87,111.64,110.02,110.54,690119.0,110.647,4820
5,2025-04-22,111.02,111.95,110.83,111.41,1082590.0,111.303,6918
6,2025-04-23,110.53,110.73,109.51,110.13,1645427.0,110.138,10291
7,2025-04-24,111.85,111.94,110.83,111.17,1029852.0,111.225,6354
8,2025-04-25,111.89,112.27,110.98,112.14,1545225.0,111.665,9103
9,2025-04-28,112.33,113.44,112.17,112.63,1660505.0,112.806,11200
10,2025-04-29,113.39,114.71,113.0,113.45,1794016.0,113.873,11318
11,2025-04-30,114.28,114.51,112.81,113.49,1676201.0,113.521,11335
12,2025-05-01,112.6,112.65,110.43,111.33,1332722.0,111.363,8557
13,2025-05-02,114.82,114.88,113.75,114.29,1122427.0,114.3,6993
14,2025-05-05,114.1,114.16,112.69,113.08,770686.0,113.214,5018
15,2025-05-06,113.32,113.4,110.55,110.55,1531433.0,111.69,9405
16,2025-05-07,112.03,112.38,111.42,111.7,869924.0,111.851,5942
17,2025-05-08,111.44,111.44,109.76,110.13,1026064.0,110.377,6109
18,2025-05-09,109.46,109.87,108.53,108.7,1076325.0,109.297,6014
19,2025-05-12,106.82,109.26,106.71,108.95,2430985.0,108.522,15189
20,2025-05-13,108.44,108.44,106.65,106.83,1163235.0,107.192,7282
21,2025-05-14,108.09,108.2,104.93,104.99,1276532.0,106.109,7897
22,2025-05-15,107.16,108.51,106.71,108.46,1040742.0,107.693,6735
23,2025-05-16,107.99,109.63,107.96,109.59,663154.0,109.017,4265
24,2025-05-19,109.31,110.73,109.29,110.71,747723.0,110.056,4481
25,2025-05-20,112.34,112.51,111.77,112.28,779373.0,112.215,4352
26,2025-05-21,113.41,113.67,112.7,112.78,862080.0,113.157,5390
27,2025-05-22,111.91,112.75,111.5,112.5,1097045.0,112.28,7111
28,2025-05-23,112.03,112.95,111.96,112.75,554112.0,112.644,3226
29,2025-05-27,113.7,113.91,112.86,113.21,831490.0,113.376,5086
30,2025-05-28,112.02,112.76,111.62,111.87,969154.0,112.008,5924
31,2025-05-29,111.5,112.58,111.06,112.58,630991.0,112.203,4317
32,2025-05-30,115.09,115.86,114.03,115.76,1644015.0,114.993,9864
33,2025-06-02,116.16,116.75,115.81,116.7,863457.0,116.414,5567
34,2025-06-03,115.92,116.3,115.28,115.94,1105406.0,115.889,6206
35,2025-06-04,116.43,117.77,116.4,116.94,568013.0,117.268,3644
36,2025-06-05,117.49,118.25,117.1,117.79,709917.0,117.703,4334
37,2025-06-06,117.24,118.46,117.24,118.02,526686.0,117.997,3459
38,2025-06-09,117.71,118.4,117.53,118.02,372953.0,118.056,2319
39,2025-06-10,118.36,118.98,118.23,118.58,678014.0,118.592,4540
40,2025-06-11,118.54,118.76,117.71,118.07,649987.0,118.257,4071
41,2025-06-12,119.98,120.92,119.75,120.77,768040.0,120.44,4223
42,2025-06-13,119.26,120.07,119.05,119.45,891811.0,119.466,5359
43,2025-06-16,119.0,119.53,118.05,118.09,781327.0,118.674,5094
44,2025-06-17,117.75,117.83,116.26,116.41,803327.0,117.043,4957
45,2025-06-18,116.24,116.3,115.55,115.96,656903.0,116.026,4202
46,2025-06-20,116.74,116.74,115.43,115.77,1029385.0,115.955,6563
47,2025-06-23,115.96,117.69,115.89,117.52,731145.0,116.992,4408
48,2025-06-24,117.89,119.29,117.5,118.83,621443.0,118.571,3691
49,2025-06-25,118.12,118.3,117.63,118.0,580148.0,117.96,3532
50,2025-06-26,119.81,120.44,119.59,120.32,1066430.0,119.987,6881
51,2025-06-27,120.47,120.65,119.58,120.01,1018620.0,120.133,6087
52,2025-06-30,120.12,121.24,120.0,121.01,859672.0,120.839,5303
53,2025-07-01,122.13,123.82,121.85,123.1,887823.0,122.936,6029
54,2025-07-02,123.62,124.45,123.22,123.81,1030235.0,123.926,7456
55,2025-07-03,122.36,122.53,121.12,121.9,604383.0,121.939,3994
56,2025-07-07,122.23,122.66,121.64,122.12,634504.0,122.22,4233
57,2025-07-08,121.35,122.77,120.92,121.68,1014239.0,121.934,6176
58,2025-07-09,122.36,123.13,122.22,122.94,715537.0,122.758,4721
59,2025-07-10,123.77,124.83,123.48,123.73,1095521.0,124.102,7223
60,2025-07-11,122.86,122.86,119.98,121.02,1551047.0,121.102,9654
61,2025-07-14,120.43,121.28,120.34,121.04,1072823.0,120.88,7569
62,2025-07-15,121.44,121.5,119.44,119.67,891879.0,120.04,5964
63,2025-07-16,118.18,119.55,117.8,118.37,1552473.0,118.672,10148
64,2025-07-17,115.67,116.33,113.76,114.52,3116003.0,115.034,20344
65,2025-07-18,115.74,115.77,114.08,114.25,1678147.0,114.767,11303
66,2025-07-21,115.05,115.31,114.13,114.14,1038546.0,114.661,6514
67,2025-07-22,114.9,117.07,114.84,116.83,1786953.0,116.278,9629
68,2025-07-23,116.72,118.32,116.53,117.97,1759885.0,117.719,9719
69,2025-07-24,117.5,118.11,117.21,117.46,1274571.0,117.543,7304
70,2025-07-25,116.77,117.71,116.25,117.7,1628009.0,117.019,9418
71,2025-07-28,117.24,117.25,115.77,116.18,1262870.0,116.382,7621
72,2025-07-29,116.79,117.78,116.47,117.22,954455.0,117.169,6020
73,2025-07-30,117.18,117.61,116.3,116.63,739525.0,116.971,5050
74,2025-07-31,115.7,116.12,113.45,113.74,1196733.0,114.937,7380
75,2025-08-01,112.4,115.54,112.34,115.3,1240258.0,114.606,8240
76,2025-08-04,116.19,117.87,115.92,117.83,1549406.0,117.055,8532
77,2025-08-05,118.03,118.38,117.54,117.73,837175.0,117.937,5614
78,2025-08-06,115.0,115.44,113.48,113.5,1304646.0,114.154,7620
79,2025-08-07,114.52,116.0,114.38,115.92,751861.0,115.25,5147
80,2025-08-08,115.95,116.97,115.75,116.84,1035102.0,116.548,6145
81,2025-08-11,118.07,118.86,117.54,118.55,1493021.0,118.212,8913
82,2025-08-12,118.42,119.43,118.34,119.31,705881.0,119.02,4861
83,2025-08-13,119.97,121.55,119.97,121.2,672560.0,121.087,4230
84,2025-08-14,120.88,122.5,120.78,122.09,695845.0,121.965,4033
85,2025-08-15,122.62,124.31,122.56,124.21,725605.0,123.756,4362
86,2025-08-18,123.79,124.48,123.79,124.01,745578.0,124.155,4378
87,2025-08-19,124.73,125.62,124.68,124.95,587352.0,125.115,3741
88,2025-08-20,126.54,127.68,126.46,127.25,752344.0,127.069,4378
89,2025-08-21,126.7,127.47,126.58,126.82,471169.0,127.144,2878
90,2025-08-22,127.36,128.03,126.86,126.98,878321.0,127.295,4447
91,2025-08-25,126.86,126.95,124.99,125.04,404047.0,125.772,2435
92,2025-08-26,126.31,126.84,125.75,126.64,744920.0,126.289,4767
93,2025-08-27,126.53,127.07,126.26,126.89,363180.0,126.79,2471
94,2025-08-28,126.36,126.88,125.82,126.47,352101.0,126.486,2266
95,2025-08-29,126.25,126.94,126.04,126.55,419984.0,126.456,2785
96,2025-09-02,126.07,126.79,125.65,126.64,441455.0,126.199,3103
97,2025-09-03,126.96,128.44,126.96,128.23,746576.0,128.045,4547
98,2025-09-04,129.07,129.21,128.41,128.42,899029.0,128.69,5185
99,2025-09-05,129.82,130.46,129.15,129.73,847036.0,129.913,5876
100,2025-09-08,128.55,129.07,127.83,128.71,628105.0,128.548,3794
101,2025-09-09,128.22,128.58,127.9,128.05,587465.0,128.178,3956
102,2025-09-10,127.29,127.29,126.09,126.55,614443.0,126.539,4003
103,2025-09-11,127.52,128.05,127.34,127.7,465335.0,127.644,3063
104,2025-09-12,123.86,125.14,123.47,124.12,1043224.0,124.053,6282
105,2025-09-15,123.21,123.53,122.32,123.31,621821.0,123.031,4134
106,2025-09-16,122.97,123.36,122.68,122.78,504504.0,123.069,3395
107,2025-09-17,122.29,122.99,122.26,122.47,689480.0,122.615,4150
108,2025-09-18,122.0,122.76,121.67,122.29,811327.0,122.262,5429
109,2025-09-19,123.34,123.51,122.54,122.93,625137.0,123.049,4300
110,2025-09-22,123.5,124.01,123.19,123.36,514421.0,123.606,3575
111,2025-09-23,123.06,123.4,122.53,122.82,375645.0,122.914,2443
112,2025-09-24,122.53,123.31,122.37,123.0,344646.0,122.851,2229
113,2025-09-25,123.97,124.14,122.21,122.23,806419.0,122.913,5278
114,2025-09-26,123.04,123.86,122.78,123.65,474781.0,123.41,3211
115,2025-09-29,123.35,124.6,123.2,124.1,712393.0,124.014,4788
116,2025-09-30,123.89,128.51,123.83,128.24,1342774.0,126.906,8778
117,2025-10-01,129.0,131.96,128.94,131.72,2012182.0,130.831,13175
118,2025-10-02,131.02,131.52,129.96,130.97,1028475.0,130.63,6951
119,2025-10-03,132.24,133.37,131.95,132.39,702950.0,132.597,4667
