,date,open,high,low,close,volume,average,barCount
0,2025-04-14,1.03,1.0395,0.9504,0.9532,23055434.0,0.98066,20530
1,2025-04-15,0.94,0.98,0.9078,0.9159,15670237.0,0.93689,21848
2,2025-04-16,0.91,0.97,0.9024,0.927,12746405.0,0.93627,18757
3,2025-04-17,0.9219,0.9685,0.9217,0.9539,18344110.0,0.94886,25403
4,2025-04-21,0.94,0.9539,0.92,0.9328,41222165.0,0.93492,40579
5,2025-04-22,0.95,0.9975,0.915,0.9924,62879347.0,0.95638,54837
6,2025-04-23,1.03,1.07,0.8199,0.8411,134536333.0,0.90057,79146
7,2025-04-24,0.8615,0.865,0.7266,0.7765,154774604.0,0.78697,80707
8,2025-04-25,0.7735,0.78,0.7169,0.7637,122849431.0,0.74113,64356
9,2025-04-28,0.7686,0.838,0.752,0.7766,63173320.0,0.78567,47198
10,2025-04-29,0.7743,0.8123,0.76,0.7685,24397350.0,0.78321,20933
11,2025-04-30,0.7454,0.7624,0.7245,0.7583,20663209.0,0.74176,21371
12,2025-05-01,0.7632,0.7925,0.74,0.7476,27919709.0,0.76407,27791
13,2025-05-02,0.7478,0.773,0.718,0.7446,40357280.0,0.74666,45067
14,2025-05-05,0.7315,0.7581,0.7161,0.739,44845461.0,0.74144,33848
15,2025-05-06,0.74,0.77,0.7,0.7012,30617612.0,0.72839,23955
16,2025-05-07,0.8,0.9198,0.7651,0.872,85656461.0,0.88008,69853
17,2025-05-08,0.8901,0.912,0.8702,0.872,29847926.0,0.89134,32272
18,2025-05-09,0.6995,0.7531,0.65,0.6708,144061814.0,0.70415,80941
19,2025-05-12,0.7039,0.7256,0.6712,0.7074,98960684.0,0.69329,61418
20,2025-05-13,0.7074,0.7398,0.697,0.7111,62049475.0,0.71382,59637
21,2025-05-14,0.72,0.7753,0.717,0.75,67074783.0,0.75108,54810
22,2025-05-15,0.7491,0.7492,0.6808,0.7309,59586656.0,0.71243,53165
23,2025-05-16,0.725,0.7853,0.7231,0.7843,67979537.0,0.76131,50708
24,2025-05-19,0.75,0.793,0.722,0.7927,85600328.0,0.76185,57466
25,2025-05-20,0.795,0.795,0.73,0.7405,102208704.0,0.75375,62694
26,2025-05-21,0.725,0.74,0.6825,0.6885,85651029.0,0.70164,54697
27,2025-05-22,0.6994,0.7039,0.6711,0.68,111422261.0,0.6897,75121
28,2025-05-23,0.667,0.688,0.661,0.6807,91756955.0,0.67279,58674
29,2025-05-27,0.6997,0.7137,0.6721,0.6867,101088540.0,0.6937,67118
30,2025-05-28,0.6867,0.6978,0.6717,0.6778,58847577.0,0.68266,42126
31,2025-05-29,0.6835,0.711,0.6816,0.686,79110878.0,0.69358,42559
32,2025-05-30,0.6787,0.682,0.645,0.6522,66256936.0,0.6586,43659
33,2025-06-02,0.65,0.65,0.5919,0.5968,89355837.0,0.60923,71877
34,2025-06-03,0.59,0.6033,0.5661,0.5907,70504274.0,0.58752,57617
35,2025-06-04,0.59,0.6446,0.5856,0.6276,92449274.0,0.62245,48645
36,2025-06-05,0.6103,0.7272,0.6103,0.6601,106405509.0,0.6812,58608
37,2025-06-06,0.6588,0.6915,0.6559,0.6798,51356301.0,0.67482,39589
38,2025-06-09,0.6104,0.6588,0.5622,0.5663,110593065.0,0.60208,74815
39,2025-06-10,0.587,0.613,0.587,0.6028,81799794.0,0.60067,54712
40,2025-06-11,0.62,0.6599,0.601,0.6076,67992436.0,0.62532,51718
41,2025-06-12,0.5973,0.61,0.596,0.6014,51516000.0,0.60196,43838
42,2025-06-13,0.5806,0.5914,0.5631,0.575,66173464.0,0.57868,62098
43,2025-06-16,0.5767,0.578,0.5477,0.5563,75505250.0,0.5582,51158
44,2025-06-17,0.547,0.5749,0.5425,0.5674,80113953.0,0.55838,51090
45,2025-06-18,0.563,0.602,0.5626,0.5795,88078842.0,0.58862,50526
46,2025-06-20,0.5807,0.5878,0.5314,0.5345,72367872.0,0.55283,43540
47,2025-06-23,0.53,0.553,0.514,0.53,62793186.0,0.53635,41625
48,2025-06-24,0.54,0.5701,0.5311,0.5499,70599524.0,0.54959,42770
49,2025-06-25,0.5417,0.5496,0.5111,0.5122,66119731.0,0.52422,46032
50,2025-06-26,0.5173,0.5399,0.5084,0.538,72251226.0,0.52352,46032
51,2025-06-27,0.54,0.5938,0.5387,0.5584,95806434.0,0.56718,57700
52,2025-06-30,0.588,0.588,0.5253,0.533,90870301.0,0.55388,57169
53,2025-07-01,0.5351,0.6,0.5267,0.565,105787941.0,0.56755,67789
54,2025-07-02,0.565,0.5785,0.542,0.5662,58605918.0,0.56094,44924
55,2025-07-03,0.57,0.623,0.5665,0.61,49745617.0,0.60299,32617
56,2025-07-07,0.6067,0.632,0.57,0.6256,138348226.0,0.61168,80415
57,2025-07-08,0.6483,0.766,0.6445,0.7318,119353409.0,0.7254,59337
58,2025-07-09,0.7804,0.798,0.7106,0.7373,61507984.0,0.74449,46680
59,2025-07-10,0.7456,0.885,0.7407,0.8828,100278917.0,0.83177,64645
