,date,open,high,low,close,volume,average,barCount
0,2025-04-14,8.15,8.42,7.92,8.33,86551.0,8.201,579
1,2025-04-15,8.32,8.45,8.18,8.33,56157.0,8.303,393
2,2025-04-16,8.37,8.37,7.9,8.18,47467.0,8.141,344
3,2025-04-17,8.17,8.58,8.14,8.45,76862.0,8.381,428
4,2025-04-21,8.56,8.81,8.23,8.38,38988.0,8.421,254
5,2025-04-22,8.37,8.54,8.09,8.2,72557.0,8.27,511
6,2025-04-23,8.47,8.92,8.3,8.41,84097.0,8.613,465
7,2025-04-24,8.46,8.6,8.37,8.38,44806.0,8.481,314
8,2025-04-25,8.27,8.86,8.14,8.66,68669.0,8.567,496
9,2025-04-28,8.65,8.97,8.59,8.74,81204.0,8.762,533
10,2025-04-29,8.67,9.3,8.65,9.18,65943.0,9.039,438
11,2025-04-30,8.97,9.32,8.65,9.12,65573.0,9.082,494
12,2025-05-01,9.13,9.9,8.93,9.64,184546.0,9.541,953
13,2025-05-02,9.69,10.38,9.41,10.05,137260.0,10.131,926
14,2025-05-05,10.05,10.3,9.51,9.63,151439.0,9.95,772
15,2025-05-06,9.54,9.73,9.11,9.33,87156.0,9.321,592
16,2025-05-07,9.42,9.98,9.32,9.48,47965.0,9.483,305
17,2025-05-08,9.63,10.4,9.63,9.91,162158.0,10.04,911
18,2025-05-09,9.91,10.19,9.65,9.99,68623.0,9.934,428
19,2025-05-12,10.25,10.68,9.1,9.2,326825.0,9.658,1674
20,2025-05-13,11.5,12.78,10.44,11.01,1129359.0,11.61,5665
21,2025-05-14,11.05,11.73,9.58,10.11,344053.0,10.415,2008
22,2025-05-15,9.96,10.71,9.64,10.65,158180.0,10.304,903
23,2025-05-16,10.66,11.47,10.41,11.43,208134.0,11.05,894
24,2025-05-19,11.31,12.66,11.31,12.2,496886.0,12.129,2327
25,2025-05-20,12.22,12.33,11.83,11.95,120809.0,12.025,784
26,2025-05-21,11.81,12.17,11.27,11.61,123668.0,11.684,745
27,2025-05-22,11.58,12.2,11.36,12.09,130811.0,11.97,843
28,2025-05-23,11.82,12.11,11.57,11.65,182696.0,11.852,858
29,2025-05-27,11.91,12.77,11.75,12.64,283762.0,12.294,1420
30,2025-05-28,12.6,12.6,12.01,12.19,136820.0,12.252,796
31,2025-05-29,12.39,12.41,11.9,12.05,96886.0,12.162,614
32,2025-05-30,12.0,12.27,11.75,12.14,113021.0,12.058,632
33,2025-06-02,12.15,12.64,12.0,12.35,131972.0,12.28,836
34,2025-06-03,12.69,13.44,12.01,13.22,456989.0,13.001,2609
35,2025-06-04,13.22,14.01,12.96,13.78,295865.0,13.607,1429
36,2025-06-05,13.78,15.14,13.38,14.18,819292.0,14.596,3228
37,2025-06-06,14.44,15.25,13.53,14.62,339899.0,14.472,1569
38,2025-06-09,15.06,15.2,14.15,14.76,335813.0,14.658,1505
39,2025-06-10,14.88,15.64,14.51,15.44,313343.0,15.174,1598
40,2025-06-11,15.5,15.63,15.08,15.2,160371.0,15.332,1032
41,2025-06-12,14.78,15.71,14.78,15.05,135623.0,15.299,904
