,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,8.15,8.31,7.99,8.05,30457.0,8.155,175
1,2025-04-14 12:00:00-04:00,8.05,8.42,7.92,8.32,56094.0,8.226,404
2,2025-04-15 09:30:00-04:00,8.32,8.45,8.22,8.27,18743.0,8.325,115
3,2025-04-15 12:00:00-04:00,8.29,8.37,8.18,8.36,37414.0,8.292,278
4,2025-04-16 09:30:00-04:00,8.37,8.37,8.22,8.23,14228.0,8.281,86
5,2025-04-16 12:00:00-04:00,8.23,8.25,7.9,8.2,33239.0,8.081,258
6,2025-04-17 09:30:00-04:00,8.17,8.49,8.14,8.37,40757.0,8.297,167
7,2025-04-17 12:00:00-04:00,8.39,8.58,8.35,8.46,36105.0,8.475,261
8,2025-04-21 09:30:00-04:00,8.56,8.81,8.23,8.38,20200.0,8.47,101
9,2025-04-21 12:00:00-04:00,8.38,8.5,8.23,8.38,18788.0,8.369,153
10,2025-04-22 09:30:00-04:00,8.37,8.54,8.28,8.45,19561.0,8.408,96
11,2025-04-22 12:00:00-04:00,8.48,8.54,8.09,8.19,52996.0,8.218,415
12,2025-04-23 09:30:00-04:00,8.47,8.92,8.37,8.53,54738.0,8.705,265
13,2025-04-23 12:00:00-04:00,8.52,8.56,8.3,8.39,29359.0,8.443,200
14,2025-04-24 09:30:00-04:00,8.46,8.6,8.39,8.55,12559.0,8.556,77
15,2025-04-24 12:00:00-04:00,8.53,8.57,8.37,8.38,32247.0,8.452,237
16,2025-04-25 09:30:00-04:00,8.27,8.53,8.14,8.31,18005.0,8.284,88
17,2025-04-25 12:00:00-04:00,8.33,8.86,8.32,8.69,50664.0,8.668,408
18,2025-04-28 09:30:00-04:00,8.65,8.97,8.63,8.84,48807.0,8.795,266
19,2025-04-28 12:00:00-04:00,8.82,8.82,8.59,8.74,32397.0,8.714,267
20,2025-04-29 09:30:00-04:00,8.67,9.01,8.65,8.89,23193.0,8.84,128
21,2025-04-29 12:00:00-04:00,8.89,9.3,8.87,9.21,42750.0,9.147,310
22,2025-04-30 09:30:00-04:00,8.97,9.17,8.65,9.11,33570.0,8.989,220
23,2025-04-30 12:00:00-04:00,9.14,9.32,9.03,9.13,32003.0,9.181,274
24,2025-05-01 09:30:00-04:00,9.13,9.66,8.93,9.38,86378.0,9.389,369
25,2025-05-01 12:00:00-04:00,9.36,9.9,9.36,9.65,98168.0,9.676,584
26,2025-05-02 09:30:00-04:00,9.69,10.14,9.41,9.94,28740.0,9.923,154
27,2025-05-02 12:00:00-04:00,9.94,10.38,9.93,10.05,108520.0,10.186,772
28,2025-05-05 09:30:00-04:00,10.05,10.3,9.8,10.07,92093.0,10.079,352
29,2025-05-05 12:00:00-04:00,10.05,10.11,9.51,9.63,59346.0,9.75,420
30,2025-05-06 09:30:00-04:00,9.54,9.73,9.11,9.3,44330.0,9.305,271
31,2025-05-06 12:00:00-04:00,9.32,9.43,9.21,9.36,42826.0,9.339,321
32,2025-05-07 09:30:00-04:00,9.42,9.98,9.39,9.39,12521.0,9.557,89
33,2025-05-07 12:00:00-04:00,9.38,9.55,9.32,9.51,35444.0,9.458,216
34,2025-05-08 09:30:00-04:00,9.63,10.05,9.63,9.91,40459.0,9.916,195
35,2025-05-08 12:00:00-04:00,9.94,10.4,9.79,9.92,121699.0,10.081,716
36,2025-05-09 09:30:00-04:00,9.91,10.19,9.82,9.83,13763.0,9.993,82
37,2025-05-09 12:00:00-04:00,9.76,10.08,9.65,10.03,54860.0,9.919,346
38,2025-05-12 09:30:00-04:00,10.25,10.68,9.8,9.8,119313.0,10.167,438
39,2025-05-12 12:00:00-04:00,9.78,9.92,9.1,9.16,207512.0,9.365,1236
40,2025-05-13 09:30:00-04:00,11.5,12.78,10.44,11.04,753101.0,11.794,3463
41,2025-05-13 12:00:00-04:00,11.15,11.8,10.88,11.07,376258.0,11.243,2202
42,2025-05-14 09:30:00-04:00,11.05,11.73,9.58,9.93,182496.0,10.444,983
43,2025-05-14 12:00:00-04:00,9.99,10.72,9.98,10.12,161557.0,10.384,1025
44,2025-05-15 09:30:00-04:00,9.96,10.35,9.64,10.24,65561.0,9.991,323
45,2025-05-15 12:00:00-04:00,10.22,10.71,10.15,10.64,92619.0,10.526,580
46,2025-05-16 09:30:00-04:00,10.66,10.74,10.41,10.56,44357.0,10.583,185
47,2025-05-16 12:00:00-04:00,10.6,11.47,10.6,11.47,163777.0,11.177,709
48,2025-05-19 09:30:00-04:00,11.31,12.66,11.31,12.27,354221.0,12.102,1492
49,2025-05-19 12:00:00-04:00,12.23,12.37,11.89,12.23,142665.0,12.195,835
50,2025-05-20 09:30:00-04:00,12.22,12.3,11.93,12.22,35706.0,12.087,200
51,2025-05-20 12:00:00-04:00,12.25,12.33,11.83,11.92,85103.0,11.999,584
52,2025-05-21 09:30:00-04:00,11.81,12.17,11.79,11.87,40253.0,11.983,181
53,2025-05-21 12:00:00-04:00,11.9,11.9,11.27,11.61,83415.0,11.54,564
54,2025-05-22 09:30:00-04:00,11.58,11.95,11.36,11.84,28143.0,11.751,157
55,2025-05-22 12:00:00-04:00,11.87,12.2,11.79,12.12,102668.0,12.029,686
56,2025-05-23 09:30:00-04:00,11.82,12.0,11.57,11.91,40275.0,11.785,210
57,2025-05-23 12:00:00-04:00,11.94,12.11,11.57,11.63,142421.0,11.871,648
58,2025-05-27 09:30:00-04:00,11.91,12.52,11.75,12.4,156964.0,12.107,554
59,2025-05-27 12:00:00-04:00,12.4,12.77,12.35,12.64,126798.0,12.526,866
60,2025-05-28 09:30:00-04:00,12.6,12.6,12.01,12.23,63172.0,12.223,367
61,2025-05-28 12:00:00-04:00,12.24,12.39,12.12,12.19,73648.0,12.277,429
62,2025-05-29 09:30:00-04:00,12.39,12.41,11.9,12.19,52499.0,12.199,294
63,2025-05-29 12:00:00-04:00,12.2,12.25,12.0,12.06,44387.0,12.119,320
64,2025-05-30 09:30:00-04:00,12.0,12.24,11.75,12.24,44097.0,11.932,222
65,2025-05-30 12:00:00-04:00,12.25,12.27,11.9,12.16,68924.0,12.139,410
66,2025-06-02 09:30:00-04:00,12.15,12.61,12.0,12.6,53617.0,12.284,292
67,2025-06-02 12:00:00-04:00,12.59,12.64,12.05,12.35,78355.0,12.278,544
68,2025-06-03 09:30:00-04:00,12.69,13.08,12.01,13.01,123831.0,12.679,631
69,2025-06-03 12:00:00-04:00,13.07,13.44,12.85,13.21,333158.0,13.12,1978
70,2025-06-04 09:30:00-04:00,13.22,13.5,12.96,13.3,49283.0,13.149,276
71,2025-06-04 12:00:00-04:00,13.27,14.01,13.18,13.78,246582.0,13.699,1153
72,2025-06-05 09:30:00-04:00,13.78,15.14,13.38,14.82,417700.0,14.54,1521
73,2025-06-05 12:00:00-04:00,14.77,15.08,13.95,14.17,401592.0,14.653,1707
74,2025-06-06 09:30:00-04:00,14.44,15.02,13.53,15.02,216622.0,14.295,978
75,2025-06-06 12:00:00-04:00,15.02,15.25,14.35,14.64,123277.0,14.783,591
76,2025-06-09 09:30:00-04:00,15.06,15.2,14.27,14.47,181823.0,14.721,701
77,2025-06-09 12:00:00-04:00,14.48,14.88,14.15,14.78,153990.0,14.584,804
78,2025-06-10 09:30:00-04:00,14.88,15.19,14.51,15.1,111404.0,14.855,643
79,2025-06-10 12:00:00-04:00,15.1,15.64,15.05,15.42,201939.0,15.35,955
