,date,open,high,low,close,volume,average,barCount
0,2025-04-14,136.8,136.8,132.87,134.64,4487053.0,134.972,28456
1,2025-04-15,134.76,136.49,133.72,133.94,5099852.0,134.733,28636
2,2025-04-16,132.28,132.54,127.85,129.76,4645407.0,130.111,29919
3,2025-04-17,130.9,131.3,128.44,128.62,4670135.0,129.957,28668
4,2025-04-21,126.89,127.2,121.23,122.82,7053025.0,122.741,44009
5,2025-04-22,124.5,127.99,123.39,127.24,5977858.0,125.991,34792
6,2025-04-23,134.91,135.87,130.99,131.4,5699494.0,133.425,33974
7,2025-04-24,132.35,137.86,132.0,137.51,3913783.0,136.405,25681
8,2025-04-25,137.49,139.0,136.75,138.49,2996946.0,138.003,19824
9,2025-04-28,139.65,140.67,138.08,140.14,3234673.0,139.647,21388
10,2025-04-29,139.81,141.16,139.55,140.79,2285586.0,140.488,15040
11,2025-04-30,138.48,141.3,135.56,140.72,4479128.0,139.258,19955
12,2025-05-01,146.56,148.64,145.33,145.49,6574666.0,147.043,40784
13,2025-05-02,148.33,153.06,148.33,150.73,7137202.0,151.425,42699
14,2025-05-05,149.0,150.82,148.52,149.29,2768952.0,149.868,17340
15,2025-05-06,146.98,148.95,145.72,147.7,2731603.0,147.775,17324
16,2025-05-07,147.5,149.9,147.24,149.37,3376746.0,148.466,21396
17,2025-05-08,149.05,151.81,148.61,150.3,2936468.0,150.498,18352
18,2025-05-09,150.04,151.8,149.79,150.34,2550348.0,150.485,14711
19,2025-05-12,156.31,157.43,154.41,157.22,4071895.0,156.198,23502
20,2025-05-13,158.22,163.22,157.57,162.27,6930087.0,161.563,46978
21,2025-05-14,162.36,163.41,161.05,162.95,3770029.0,162.374,24497
22,2025-05-15,161.36,161.74,158.91,159.4,5356235.0,160.374,32531
23,2025-05-16,160.0,160.84,158.52,160.49,3972635.0,159.895,22255
24,2025-05-19,158.3,161.97,157.82,159.64,4640468.0,160.512,28391
25,2025-05-20,158.63,160.36,157.53,160.31,4535528.0,159.504,32647
26,2025-05-21,158.35,160.9,156.45,157.18,3253696.0,158.698,19636
27,2025-05-22,156.97,159.19,156.82,157.31,4199276.0,158.362,26048
28,2025-05-23,154.99,157.38,154.25,155.97,3433646.0,156.058,22704
29,2025-05-27,159.32,162.4,158.92,161.91,3976281.0,161.465,23569
30,2025-05-28,161.87,164.32,161.28,163.85,4267629.0,162.827,26601
31,2025-05-29,165.0,165.32,161.49,162.9,3603233.0,163.075,22842
32,2025-05-30,163.43,165.75,161.55,165.53,4930365.0,164.107,32179
33,2025-06-02,164.17,167.0,162.6,166.57,3605836.0,165.336,24608
34,2025-06-03,166.8,169.33,166.59,169.14,3993314.0,167.931,23606
35,2025-06-04,169.71,170.48,167.57,168.1,3607440.0,169.041,22668
36,2025-06-05,169.0,172.26,168.75,171.14,4300196.0,170.985,29317
37,2025-06-06,174.0,174.79,172.66,174.02,3787968.0,173.844,24316
38,2025-06-09,174.86,178.72,173.79,177.15,5592405.0,177.547,38711
39,2025-06-10,177.71,177.85,174.28,177.48,6022912.0,176.314,39385
40,2025-06-11,177.55,179.55,176.2,176.38,7171832.0,177.816,45025
41,2025-06-12,189.96,202.49,188.88,199.86,38957301.0,198.51,195830
42,2025-06-13,201.58,216.6,201.2,215.22,37910930.0,211.381,178627
43,2025-06-16,213.2,215.17,209.97,211.1,13883894.0,211.926,75257
44,2025-06-17,210.66,215.88,207.48,208.18,10104532.0,211.19,54925
45,2025-06-18,211.09,214.72,209.57,210.87,8758320.0,211.857,49874
46,2025-06-20,212.79,213.8,204.64,205.17,10472838.0,208.336,52242
47,2025-06-23,205.51,207.27,202.54,207.04,5914633.0,205.268,38319
48,2025-06-24,209.99,216.37,208.55,215.27,10301542.0,213.949,61330
49,2025-06-25,214.94,216.93,210.23,210.72,7186245.0,212.743,39290
50,2025-06-26,212.0,214.42,210.35,212.82,6454141.0,212.746,38548
51,2025-06-27,213.69,214.65,209.96,210.24,6087312.0,212.231,35840
52,2025-06-30,226.5,228.22,218.38,218.63,16396954.0,221.546,92637
53,2025-07-01,219.3,223.17,216.3,218.96,9652690.0,219.567,56666
54,2025-07-02,217.68,231.9,216.72,229.98,14732361.0,225.356,88624
55,2025-07-03,233.22,237.99,231.2,237.32,11308212.0,234.902,62691
56,2025-07-07,235.11,235.25,229.5,232.26,9344921.0,232.55,52651
57,2025-07-08,237.13,241.44,233.19,234.5,12581055.0,236.541,69379
58,2025-07-09,235.51,236.51,232.0,235.81,6654366.0,234.702,36181
59,2025-07-10,239.94,240.06,233.5,235.0,7230248.0,236.649,37150
60,2025-07-11,231.37,234.0,229.87,230.56,4937197.0,231.727,29405
61,2025-07-14,229.45,230.64,225.12,229.28,5679792.0,228.356,33964
62,2025-07-15,232.41,235.6,229.2,234.96,6544107.0,233.131,36590
63,2025-07-16,235.5,241.33,233.19,241.3,7737728.0,237.709,49420
64,2025-07-17,243.34,251.6,242.01,248.75,10849816.0,248.421,56838
65,2025-07-18,248.5,249.68,245.0,245.45,5990186.0,246.926,30297
66,2025-07-21,245.31,246.8,243.24,243.54,4079559.0,244.995,22769
67,2025-07-22,242.31,242.32,235.41,238.11,6411308.0,237.993,38392
68,2025-07-23,239.95,243.42,238.66,241.9,4408551.0,241.355,22970
69,2025-07-24,242.41,244.08,240.56,242.83,4760131.0,242.279,28322
70,2025-07-25,242.34,245.47,241.43,245.12,3552778.0,244.218,21927
71,2025-07-28,246.0,247.78,243.42,247.71,4125533.0,245.816,21256
72,2025-07-29,248.7,253.07,246.59,249.98,5193402.0,249.861,31166
73,2025-07-30,248.64,251.05,245.6,250.6,4054258.0,249.206,25992
74,2025-07-31,255.77,260.87,253.31,253.77,9521974.0,257.142,58680
75,2025-08-01,247.83,248.41,242.0,244.42,7279026.0,245.417,45288
76,2025-08-04,245.9,252.91,245.9,252.53,4781533.0,250.785,30793
77,2025-08-05,255.41,258.49,251.37,255.67,6978204.0,255.068,43536
78,2025-08-06,256.84,256.84,251.72,256.43,5280894.0,254.164,31136
79,2025-08-07,257.71,257.76,246.52,249.39,7048926.0,251.667,42637
80,2025-08-08,250.03,250.9,247.86,250.05,4747306.0,249.481,30261
81,2025-08-11,248.4,254.69,245.56,252.68,5140477.0,252.69,31111
82,2025-08-12,252.58,257.87,251.08,253.86,5196260.0,253.574,31460
83,2025-08-13,257.17,257.67,242.63,244.18,7583978.0,247.825,47314
84,2025-08-14,244.95,248.92,242.57,244.96,6113296.0,245.491,40726
85,2025-08-15,246.92,250.63,242.92,248.28,5864018.0,247.729,36318
86,2025-08-18,246.2,249.16,243.62,249.07,3154653.0,246.628,19511
87,2025-08-19,249.25,249.25,232.23,234.62,9586016.0,237.539,58689
88,2025-08-20,232.18,235.88,228.25,235.06,6032835.0,231.997,38239
89,2025-08-21,233.35,235.92,232.43,233.16,3582928.0,233.868,24636
90,2025-08-22,234.06,238.5,231.46,236.37,4750709.0,236.217,29133
91,2025-08-25,237.35,239.03,235.27,235.41,3350613.0,236.973,23020
92,2025-08-26,235.0,236.91,232.71,234.21,3041693.0,234.929,19805
93,2025-08-27,235.0,236.53,232.68,235.81,2827422.0,235.443,18135
94,2025-08-28,235.54,241.95,235.12,240.32,4678605.0,239.914,28903
95,2025-08-29,237.61,238.22,223.11,226.13,9602457.0,226.464,60418
96,2025-09-02,222.0,225.45,218.79,225.3,5805580.0,223.504,37049
97,2025-09-03,225.9,225.9,221.75,223.45,4273989.0,223.354,29663
98,2025-09-04,222.0,223.57,219.56,223.0,5765066.0,221.949,38041
99,2025-09-05,232.55,234.62,225.88,232.8,8525613.0,230.453,55094
100,2025-09-08,239.89,242.42,235.31,238.48,10495497.0,239.359,68739
101,2025-09-09,239.94,243.49,234.56,241.51,14535401.0,239.097,90588
102,2025-09-10,319.44,345.72,312.09,328.33,88740730.0,332.447,425197
103,2025-09-11,330.34,331.0,304.6,307.86,48714772.0,313.941,228060
104,2025-09-12,305.79,307.97,291.75,292.18,34633516.0,295.86,169816
105,2025-09-15,306.45,307.03,297.29,302.14,22448293.0,301.862,115724
106,2025-09-16,314.06,319.97,302.27,306.65,33651645.0,308.93,160874
107,2025-09-17,307.69,308.66,295.03,301.41,16699532.0,299.621,85821
108,2025-09-18,303.04,303.82,292.0,296.62,13038229.0,298.077,67542
109,2025-09-19,299.01,311.11,297.32,308.66,16868694.0,303.868,82169
110,2025-09-22,309.63,329.5,306.92,328.15,26729384.0,320.587,134313
111,2025-09-23,324.0,325.0,310.05,313.83,21637515.0,313.915,110922
112,2025-09-24,311.86,312.47,300.03,308.46,20553058.0,305.023,107177
113,2025-09-25,295.27,298.75,288.55,291.33,24186712.0,293.17,120486
114,2025-09-26,293.0,294.0,283.0,283.46,16304523.0,286.163,81732
115,2025-09-29,284.6,285.98,279.61,282.76,13676133.0,282.267,74257
116,2025-09-30,283.69,284.0,275.9,281.24,14499179.0,278.935,72731
117,2025-10-01,278.8,289.99,277.88,289.01,14462981.0,285.778,72738
118,2025-10-02,291.8,294.97,286.05,288.78,8312122.0,289.288,37489
119,2025-10-03,289.6,294.64,284.0,286.14,8313145.0,289.185,41069
