,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,136.8,136.8,133.4,133.47,2049688.0,135.28,12120
1,2025-04-14 12:00:00-04:00,133.42,136.06,132.87,134.63,2437365.0,134.713,16336
2,2025-04-15 09:30:00-04:00,134.76,136.49,134.4,135.58,1911505.0,135.487,8903
3,2025-04-15 12:00:00-04:00,135.58,135.79,133.72,133.9,3188347.0,134.28,19733
4,2025-04-16 09:30:00-04:00,132.28,132.54,129.79,131.24,1611037.0,131.181,9432
5,2025-04-16 12:00:00-04:00,131.24,131.68,127.85,129.7,3034370.0,129.543,20487
6,2025-04-17 09:30:00-04:00,130.9,131.3,129.54,130.16,1469568.0,130.629,6972
7,2025-04-17 12:00:00-04:00,130.21,130.83,128.44,128.59,3200567.0,129.649,21696
8,2025-04-21 09:30:00-04:00,126.89,127.2,121.73,122.11,2884275.0,123.555,18634
9,2025-04-21 12:00:00-04:00,122.11,123.03,121.23,122.62,4168750.0,122.178,25375
10,2025-04-22 09:30:00-04:00,124.5,126.45,123.39,126.28,2691572.0,124.897,13846
11,2025-04-22 12:00:00-04:00,126.28,127.99,125.55,127.22,3286286.0,126.887,20946
12,2025-04-23 09:30:00-04:00,134.91,135.87,132.1,132.63,3487350.0,134.436,19134
13,2025-04-23 12:00:00-04:00,132.61,132.76,130.99,131.37,2212144.0,131.831,14840
14,2025-04-24 09:30:00-04:00,132.35,136.63,132.0,135.81,1532903.0,135.275,9603
15,2025-04-24 12:00:00-04:00,135.89,137.86,135.82,137.51,2380880.0,137.133,16078
16,2025-04-25 09:30:00-04:00,137.49,138.79,136.75,137.51,1388233.0,137.739,8875
17,2025-04-25 12:00:00-04:00,137.55,139.0,137.33,138.49,1608713.0,138.232,10949
18,2025-04-28 09:30:00-04:00,139.65,140.58,138.29,138.84,1283876.0,139.657,7855
19,2025-04-28 12:00:00-04:00,138.76,140.67,138.08,140.13,1950797.0,139.64,13533
20,2025-04-29 09:30:00-04:00,139.81,140.94,139.59,140.2,988311.0,140.315,6267
21,2025-04-29 12:00:00-04:00,140.18,141.16,139.55,140.73,1297275.0,140.619,8773
22,2025-04-30 09:30:00-04:00,138.48,139.2,135.56,138.94,1259410.0,137.609,7032
23,2025-04-30 12:00:00-04:00,139.02,141.3,138.41,140.6,3219718.0,139.904,12923
24,2025-05-01 09:30:00-04:00,146.56,148.64,145.34,146.87,4121711.0,147.532,25171
25,2025-05-01 12:00:00-04:00,146.86,147.19,145.33,145.51,2452955.0,146.222,15613
26,2025-05-02 09:30:00-04:00,148.33,153.06,148.33,151.17,4331233.0,151.411,24094
27,2025-05-02 12:00:00-04:00,151.17,152.36,150.65,150.69,2805969.0,151.446,18605
28,2025-05-05 09:30:00-04:00,149.0,150.65,148.52,149.82,1349361.0,149.711,7882
29,2025-05-05 12:00:00-04:00,149.79,150.82,149.04,149.31,1419591.0,150.017,9458
30,2025-05-06 09:30:00-04:00,146.98,148.61,145.72,148.25,1217876.0,147.508,6870
31,2025-05-06 12:00:00-04:00,148.27,148.95,147.51,147.64,1513727.0,147.989,10454
32,2025-05-07 09:30:00-04:00,147.5,148.53,147.24,148.41,1265779.0,147.909,6772
33,2025-05-07 12:00:00-04:00,148.41,149.9,147.39,149.29,2110967.0,148.801,14624
34,2025-05-08 09:30:00-04:00,149.05,151.45,148.61,150.66,1424582.0,149.866,8550
35,2025-05-08 12:00:00-04:00,150.66,151.81,150.23,150.34,1511886.0,151.093,9802
36,2025-05-09 09:30:00-04:00,150.04,151.8,150.04,150.81,1128184.0,150.838,5935
