,date,open,high,low,close,volume,average,barCount
0,2025-04-14,8.54,8.6,8.31,8.48,2740918.0,8.483,10150
1,2025-04-15,8.5,8.61,8.44,8.52,1914936.0,8.506,6700
2,2025-04-16,8.45,8.53,8.28,8.41,1594961.0,8.4,5101
3,2025-04-17,8.39,8.58,8.36,8.53,1767927.0,8.484,6435
4,2025-04-21,8.42,8.66,8.37,8.47,1953688.0,8.505,6436
5,2025-04-22,8.9,9.43,8.9,9.35,5904753.0,9.233,18076
6,2025-04-23,9.46,9.51,9.14,9.24,5143661.0,9.27,21333
7,2025-04-24,9.39,9.62,9.06,9.61,3717382.0,9.399,12188
8,2025-04-25,9.62,9.89,9.57,9.88,3444005.0,9.768,11760
9,2025-04-28,9.86,10.0,9.77,9.9,2327653.0,9.875,8710
10,2025-04-29,9.92,10.14,9.91,10.03,2465582.0,10.052,9423
11,2025-04-30,9.82,10.05,9.66,10.03,3376449.0,9.935,14094
12,2025-05-01,10.03,10.04,9.71,9.75,2175868.0,9.802,9695
13,2025-05-02,10.01,10.02,9.53,9.64,3538859.0,9.719,16018
14,2025-05-05,9.64,9.68,9.5,9.57,2924902.0,9.575,10440
15,2025-05-06,9.43,9.84,9.36,9.71,2189228.0,9.704,8334
16,2025-05-07,9.7,9.76,9.49,9.55,1945696.0,9.578,7615
17,2025-05-08,9.73,10.1,9.71,9.97,2642486.0,10.019,9104
18,2025-05-09,9.98,10.0,9.57,9.85,4404847.0,9.747,16837
19,2025-05-12,10.1,10.21,9.55,9.75,5418348.0,9.709,20244
20,2025-05-13,9.8,9.94,9.65,9.87,8167227.0,9.828,24181
21,2025-05-14,9.86,9.98,9.36,9.73,8805993.0,9.756,29348
22,2025-05-15,9.61,9.66,8.81,8.95,9742947.0,9.076,26563
23,2025-05-16,8.9,9.03,8.61,8.94,7696452.0,8.8,21321
24,2025-05-19,8.86,9.12,8.81,9.04,2797397.0,9.044,8845
25,2025-05-20,9.02,9.08,8.87,9.01,2683397.0,8.98,9251
26,2025-05-21,8.92,8.93,8.56,8.58,3199149.0,8.725,11829
27,2025-05-22,8.53,9.09,8.53,8.85,7452524.0,8.931,18023
28,2025-05-23,8.32,8.77,8.22,8.64,6986416.0,8.607,18563
29,2025-05-27,8.72,8.88,8.63,8.68,6409017.0,8.737,13238
30,2025-05-28,8.63,8.83,8.45,8.68,5814824.0,8.706,14462
31,2025-05-29,8.96,8.96,8.53,8.58,3707766.0,8.695,10988
32,2025-05-30,8.51,9.0,8.49,8.91,5879653.0,8.748,16101
33,2025-06-02,8.98,9.25,8.81,9.12,5153308.0,9.02,15745
34,2025-06-03,9.0,9.18,8.89,9.13,6663987.0,9.058,17536
35,2025-06-04,9.16,9.29,8.68,8.96,9523920.0,8.936,21062
36,2025-06-05,8.96,9.17,8.83,8.84,5828632.0,8.984,17137
37,2025-06-06,8.92,8.97,8.5,8.78,7365973.0,8.677,16838
38,2025-06-09,8.6,8.74,8.46,8.51,10577621.0,8.55,21497
39,2025-06-10,8.6,8.79,8.49,8.56,6249117.0,8.625,15285
40,2025-06-11,8.59,9.12,8.46,9.11,7717735.0,8.887,16375
41,2025-06-12,8.79,8.95,8.5,8.52,8311748.0,8.686,17053
42,2025-06-13,8.43,8.48,8.25,8.36,4311639.0,8.375,12073
43,2025-06-16,8.52,9.43,8.45,9.42,7142802.0,9.179,20277
44,2025-06-17,9.29,9.46,9.2,9.26,4086389.0,9.315,12904
45,2025-06-18,9.35,9.38,9.12,9.25,5545887.0,9.295,13703
46,2025-06-20,9.3,9.34,8.97,9.0,4439526.0,9.168,11801
47,2025-06-23,8.94,9.07,8.81,9.04,4357478.0,8.966,12647
48,2025-06-24,9.21,10.07,9.18,9.96,7707109.0,9.816,18742
49,2025-06-25,9.85,9.93,9.6,9.64,4977379.0,9.769,15601
50,2025-06-26,9.64,9.7,9.31,9.37,3860919.0,9.413,12720
51,2025-06-27,9.37,9.53,9.33,9.39,3335546.0,9.413,8872
52,2025-06-30,9.45,9.72,9.44,9.64,3471162.0,9.626,9949
53,2025-07-01,9.61,9.61,9.36,9.45,3995846.0,9.464,13884
54,2025-07-02,9.72,9.9,9.36,9.42,6316483.0,9.51,20654
55,2025-07-03,9.51,9.51,9.31,9.41,2446600.0,9.394,8389
56,2025-07-07,9.34,9.4,9.04,9.17,3409315.0,9.155,10034
57,2025-07-08,9.22,9.32,9.07,9.21,2758724.0,9.181,8364
58,2025-07-09,9.22,9.39,9.16,9.35,3732653.0,9.298,12127
59,2025-07-10,9.11,9.12,8.92,9.05,4015518.0,9.028,11861
60,2025-07-11,8.96,9.07,8.69,8.69,2703281.0,8.846,7629
61,2025-07-14,8.72,8.79,8.55,8.67,2865134.0,8.642,11065
