,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,8.54,8.6,8.31,8.36,852701.0,8.484,3410
1,2025-04-14 12:00:00-04:00,8.35,8.56,8.32,8.5,1888217.0,8.482,6740
2,2025-04-15 09:30:00-04:00,8.5,8.61,8.44,8.51,563356.0,8.526,2176
3,2025-04-15 12:00:00-04:00,8.51,8.58,8.45,8.52,1351580.0,8.497,4524
4,2025-04-16 09:30:00-04:00,8.45,8.53,8.4,8.44,424090.0,8.466,1264
5,2025-04-16 12:00:00-04:00,8.44,8.48,8.28,8.42,1170871.0,8.376,3837
6,2025-04-17 09:30:00-04:00,8.39,8.48,8.36,8.44,416926.0,8.412,1659
7,2025-04-17 12:00:00-04:00,8.45,8.58,8.4,8.54,1351001.0,8.506,4776
8,2025-04-21 09:30:00-04:00,8.42,8.66,8.42,8.55,763942.0,8.565,2293
9,2025-04-21 12:00:00-04:00,8.55,8.59,8.37,8.48,1189746.0,8.466,4143
10,2025-04-22 09:30:00-04:00,8.9,9.41,8.9,9.41,2904207.0,9.152,9444
11,2025-04-22 12:00:00-04:00,9.41,9.43,9.16,9.36,3000546.0,9.311,8632
12,2025-04-23 09:30:00-04:00,9.46,9.51,9.17,9.33,2848820.0,9.296,11289
13,2025-04-23 12:00:00-04:00,9.33,9.37,9.14,9.24,2294841.0,9.238,10044
14,2025-04-24 09:30:00-04:00,9.39,9.44,9.06,9.33,1392346.0,9.245,4932
15,2025-04-24 12:00:00-04:00,9.32,9.62,9.31,9.62,2325036.0,9.492,7256
16,2025-04-25 09:30:00-04:00,9.62,9.79,9.57,9.74,960932.0,9.7,4020
17,2025-04-25 12:00:00-04:00,9.74,9.89,9.7,9.88,2483073.0,9.795,7740
18,2025-04-28 09:30:00-04:00,9.86,10.0,9.77,9.82,1026076.0,9.883,3292
19,2025-04-28 12:00:00-04:00,9.81,9.94,9.77,9.91,1301577.0,9.868,5418
20,2025-04-29 09:30:00-04:00,9.92,10.08,9.91,10.04,821782.0,10.014,3061
21,2025-04-29 12:00:00-04:00,10.04,10.14,10.01,10.04,1643800.0,10.071,6362
22,2025-04-30 09:30:00-04:00,9.82,9.96,9.66,9.94,1388615.0,9.884,6161
23,2025-04-30 12:00:00-04:00,9.94,10.05,9.89,10.03,1987834.0,9.971,7933
24,2025-05-01 09:30:00-04:00,10.03,10.04,9.73,9.75,821852.0,9.856,3412
25,2025-05-01 12:00:00-04:00,9.75,9.84,9.71,9.75,1354016.0,9.769,6283
26,2025-05-02 09:30:00-04:00,10.01,10.02,9.53,9.58,1396906.0,9.758,6118
27,2025-05-02 12:00:00-04:00,9.58,9.8,9.58,9.65,2141953.0,9.693,9900
28,2025-05-05 09:30:00-04:00,9.64,9.68,9.52,9.54,970236.0,9.591,3745
29,2025-05-05 12:00:00-04:00,9.54,9.63,9.5,9.58,1954666.0,9.568,6695
30,2025-05-06 09:30:00-04:00,9.43,9.84,9.36,9.72,879110.0,9.703,3268
31,2025-05-06 12:00:00-04:00,9.72,9.78,9.65,9.71,1310118.0,9.705,5066
32,2025-05-07 09:30:00-04:00,9.7,9.76,9.59,9.63,571892.0,9.623,2331
33,2025-05-07 12:00:00-04:00,9.63,9.65,9.49,9.55,1373804.0,9.56,5284
34,2025-05-08 09:30:00-04:00,9.73,10.1,9.71,10.03,1238664.0,10.008,4111
35,2025-05-08 12:00:00-04:00,10.03,10.1,9.96,9.96,1403822.0,10.03,4993
36,2025-05-09 09:30:00-04:00,9.98,10.0,9.57,9.72,2123581.0,9.706,8694
37,2025-05-09 12:00:00-04:00,9.72,9.89,9.68,9.85,2281266.0,9.785,8143
38,2025-05-12 09:30:00-04:00,10.1,10.21,9.55,9.63,2551493.0,9.715,10080
39,2025-05-12 12:00:00-04:00,9.63,9.78,9.61,9.75,2866855.0,9.705,10164
40,2025-05-13 09:30:00-04:00,9.8,9.92,9.74,9.82,3467675.0,9.85,9105
41,2025-05-13 12:00:00-04:00,9.82,9.94,9.65,9.8,4699552.0,9.812,15076
42,2025-05-14 09:30:00-04:00,9.86,9.98,9.36,9.77,4153869.0,9.783,13634
43,2025-05-14 12:00:00-04:00,9.77,9.9,9.6,9.72,4652124.0,9.732,15714
44,2025-05-15 09:30:00-04:00,9.61,9.66,8.97,9.03,4533874.0,9.177,12099
45,2025-05-15 12:00:00-04:00,9.02,9.1,8.81,8.95,5209073.0,8.988,14464
46,2025-05-16 09:30:00-04:00,8.9,8.9,8.61,8.76,4066884.0,8.713,11530
47,2025-05-16 12:00:00-04:00,8.76,9.03,8.71,8.95,3629568.0,8.899,9791
