,date,open,high,low,close,volume,average,barCount
0,2025-04-14,93.37,99.1,93.36,94.78,13775294.0,96.275,73903
1,2025-04-15,95.0,96.54,93.69,94.07,6640806.0,94.715,36713
2,2025-04-16,92.39,93.41,91.53,92.35,7359818.0,92.405,39112
3,2025-04-17,93.75,94.24,92.27,93.69,6775070.0,93.333,39564
4,2025-04-21,93.13,94.55,92.68,94.36,4445934.0,93.721,25447
5,2025-04-22,96.68,100.78,95.64,98.34,7433216.0,98.187,42566
6,2025-04-23,102.12,105.71,100.32,100.43,10069945.0,102.662,58995
7,2025-04-24,99.98,103.82,98.75,103.27,5229217.0,102.049,32145
8,2025-04-25,102.92,104.12,102.15,104.01,3470685.0,103.481,21322
9,2025-04-28,103.66,105.17,101.89,103.09,2684394.0,103.215,16733
10,2025-04-29,103.32,105.1,103.14,104.15,2979499.0,104.437,18561
11,2025-04-30,102.93,105.68,102.81,105.57,3174236.0,104.571,20540
12,2025-05-01,106.36,107.04,105.16,105.97,2236777.0,106.339,13565
13,2025-05-02,109.9,111.61,109.08,110.92,6249778.0,110.459,37492
14,2025-05-05,108.53,111.17,107.82,110.85,2467460.0,110.188,14561
15,2025-05-06,109.85,112.56,109.76,111.32,2656403.0,111.368,16100
16,2025-05-07,109.49,109.72,108.33,109.39,3155672.0,108.978,21156
17,2025-05-08,110.13,111.3,109.39,109.9,2803976.0,110.373,17318
18,2025-05-09,110.06,111.66,108.85,109.65,2293188.0,109.745,14692
19,2025-05-12,117.46,120.09,116.01,116.38,9689015.0,117.701,56832
20,2025-05-13,116.82,121.89,115.55,119.45,5720210.0,119.471,35668
21,2025-05-14,121.84,122.99,117.27,118.89,4344954.0,119.749,26109
22,2025-05-15,115.63,117.92,114.25,117.84,4357369.0,116.394,23438
23,2025-05-16,119.16,119.51,117.5,117.61,2198227.0,118.157,12732
24,2025-05-19,116.0,118.74,115.56,118.45,1949565.0,117.626,12384
25,2025-05-20,117.94,119.96,116.33,117.38,2825960.0,117.749,19773
26,2025-05-21,117.12,118.44,115.58,116.2,2921063.0,116.651,17390
27,2025-05-22,116.0,120.0,115.47,119.8,3876531.0,118.253,21938
28,2025-05-23,116.44,119.4,116.44,119.24,4062768.0,118.535,27300
29,2025-05-27,98.22,103.2,97.31,102.98,30434283.0,100.29,154274
30,2025-05-28,100.52,100.61,97.49,97.88,12112927.0,98.964,60320
31,2025-05-29,100.15,101.17,98.11,98.29,9400344.0,99.243,48237
32,2025-05-30,97.6,97.7,95.24,96.51,9701630.0,96.387,51162
33,2025-06-02,96.69,96.72,95.32,96.44,3895023.0,95.94,22342
34,2025-06-03,96.4,98.94,95.52,98.33,4806709.0,97.603,27405
35,2025-06-04,98.81,101.16,97.83,99.65,5303639.0,99.778,29406
36,2025-06-05,101.11,101.14,98.91,99.33,4285140.0,99.74,23269
37,2025-06-06,99.29,100.84,99.19,100.6,3889025.0,99.974,18172
38,2025-06-09,102.0,103.55,101.61,101.62,5104957.0,102.48,27340
39,2025-06-10,100.89,102.51,99.02,102.39,3182249.0,101.483,19057
40,2025-06-11,103.07,104.26,102.8,103.16,3505651.0,103.287,19447
41,2025-06-12,103.0,103.56,102.29,103.43,2856125.0,103.139,17215
42,2025-06-13,101.66,102.72,100.05,100.58,3941173.0,101.154,24011
43,2025-06-16,102.12,103.0,101.42,102.79,3813939.0,102.151,23853
44,2025-06-17,101.84,103.41,101.54,102.53,2761695.0,102.803,17420
45,2025-06-18,102.4,103.0,101.56,102.25,2631364.0,102.454,17742
46,2025-06-20,102.68,102.92,100.45,101.21,5403022.0,101.373,28293
47,2025-06-23,100.39,102.0,99.65,101.95,2948478.0,100.97,16568
48,2025-06-24,102.73,107.75,102.73,107.16,6983930.0,105.999,40657
49,2025-06-25,107.86,108.68,106.82,107.14,2991338.0,107.544,18580
50,2025-06-26,106.81,106.87,103.65,105.75,2940523.0,104.948,17463
51,2025-06-27,106.03,106.03,104.58,105.14,2571207.0,105.056,16167
52,2025-06-30,104.43,105.14,102.25,104.66,2939907.0,103.951,17542
53,2025-07-01,104.45,105.82,104.4,105.49,1924905.0,105.168,12539
