,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,93.37,99.1,93.36,95.21,9055775.0,96.754,51284
1,2025-04-14 12:00:00-04:00,95.23,96.22,94.5,94.78,4719519.0,95.355,22619
2,2025-04-15 09:30:00-04:00,95.0,96.54,93.69,94.8,3780387.0,94.987,21542
3,2025-04-15 12:00:00-04:00,94.8,95.03,93.96,94.1,2860419.0,94.357,15171
4,2025-04-16 09:30:00-04:00,92.39,93.41,91.82,92.72,3675572.0,92.56,17010
5,2025-04-16 12:00:00-04:00,92.74,92.88,91.53,92.34,3684246.0,92.251,22102
6,2025-04-17 09:30:00-04:00,93.75,94.24,92.3,92.36,3767482.0,93.213,18321
7,2025-04-17 12:00:00-04:00,92.36,94.18,92.27,93.65,3007588.0,93.483,21243
8,2025-04-21 09:30:00-04:00,93.13,94.32,92.68,93.54,2065674.0,93.492,11315
9,2025-04-21 12:00:00-04:00,93.52,94.55,92.97,94.36,2380260.0,93.919,14132
10,2025-04-22 09:30:00-04:00,96.68,97.78,95.64,97.36,2718969.0,96.743,14396
11,2025-04-22 12:00:00-04:00,97.36,100.78,97.35,98.32,4714247.0,99.02,28170
12,2025-04-23 09:30:00-04:00,102.12,105.71,100.93,101.19,7436702.0,103.309,43127
13,2025-04-23 12:00:00-04:00,101.19,101.56,100.32,100.39,2633243.0,100.833,15868
14,2025-04-24 09:30:00-04:00,99.98,102.29,98.75,102.05,2684689.0,100.941,16134
15,2025-04-24 12:00:00-04:00,102.03,103.82,102.0,103.27,2544528.0,103.219,16011
16,2025-04-25 09:30:00-04:00,102.92,104.07,102.15,103.2,1862577.0,103.393,11540
17,2025-04-25 12:00:00-04:00,103.18,104.12,102.99,104.0,1608108.0,103.583,9782
18,2025-04-28 09:30:00-04:00,103.66,105.17,101.89,102.57,1733931.0,103.475,10435
19,2025-04-28 12:00:00-04:00,102.55,103.29,102.24,103.04,950463.0,102.741,6298
20,2025-04-29 09:30:00-04:00,103.32,105.1,103.14,104.67,1801939.0,104.473,10451
21,2025-04-29 12:00:00-04:00,104.67,104.99,103.92,104.16,1177560.0,104.383,8110
22,2025-04-30 09:30:00-04:00,102.93,105.52,102.81,104.52,2042363.0,104.255,13099
23,2025-04-30 12:00:00-04:00,104.49,105.68,104.2,105.57,1131873.0,105.14,7441
24,2025-05-01 09:30:00-04:00,106.36,106.97,105.16,106.3,1233172.0,106.309,7291
25,2025-05-01 12:00:00-04:00,106.29,107.04,105.84,105.97,1003605.0,106.375,6274
26,2025-05-02 09:30:00-04:00,109.9,110.49,109.08,109.64,2915237.0,109.847,16872
27,2025-05-02 12:00:00-04:00,109.64,111.61,109.64,110.95,3334541.0,110.994,20620
28,2025-05-05 09:30:00-04:00,108.53,111.0,107.82,110.44,1444267.0,109.715,8636
29,2025-05-05 12:00:00-04:00,110.44,111.17,110.44,110.79,1023193.0,110.855,5925
30,2025-05-06 09:30:00-04:00,109.85,112.3,109.76,112.16,1514017.0,111.08,7991
31,2025-05-06 12:00:00-04:00,112.15,112.56,111.11,111.29,1142386.0,111.751,8109
32,2025-05-07 09:30:00-04:00,109.49,109.64,108.34,108.93,1790808.0,108.99,11511
33,2025-05-07 12:00:00-04:00,108.92,109.72,108.33,109.38,1364864.0,108.962,9645
34,2025-05-08 09:30:00-04:00,110.13,111.14,109.39,110.53,1418816.0,110.194,8701
35,2025-05-08 12:00:00-04:00,110.53,111.3,109.87,109.9,1385160.0,110.556,8617
36,2025-05-09 09:30:00-04:00,110.06,111.66,108.85,109.5,1115864.0,109.889,6809
37,2025-05-09 12:00:00-04:00,109.52,109.94,109.05,109.62,1177324.0,109.608,7883
38,2025-05-12 09:30:00-04:00,117.46,120.09,116.16,117.18,6412168.0,118.082,36906
39,2025-05-12 12:00:00-04:00,117.18,118.14,116.01,116.37,3276847.0,116.955,19926
40,2025-05-13 09:30:00-04:00,116.82,120.36,115.55,120.26,3161392.0,118.715,19099
41,2025-05-13 12:00:00-04:00,120.25,121.89,119.37,119.44,2558818.0,120.406,16569
42,2025-05-14 09:30:00-04:00,121.84,122.99,120.01,120.02,1925654.0,121.018,11195
43,2025-05-14 12:00:00-04:00,120.01,120.22,117.27,118.89,2419300.0,118.738,14914
44,2025-05-15 09:30:00-04:00,115.63,117.35,114.25,117.3,2330158.0,115.648,12833
45,2025-05-15 12:00:00-04:00,117.29,117.92,116.63,117.82,2027211.0,117.252,10605
46,2025-05-16 09:30:00-04:00,119.16,119.51,117.68,117.81,1404545.0,118.374,7528
47,2025-05-16 12:00:00-04:00,117.8,118.08,117.5,117.6,793682.0,117.773,5204
48,2025-05-19 09:30:00-04:00,116.0,118.74,115.56,118.29,1054282.0,117.21,6250
49,2025-05-19 12:00:00-04:00,118.3,118.5,117.77,118.49,895283.0,118.115,6134
50,2025-05-20 09:30:00-04:00,117.94,119.96,117.41,117.62,1307214.0,118.534,8994
51,2025-05-20 12:00:00-04:00,117.62,117.66,116.33,117.37,1518746.0,117.073,10779
52,2025-05-21 09:30:00-04:00,117.12,118.44,116.17,116.42,1309300.0,117.017,7269
53,2025-05-21 12:00:00-04:00,116.4,117.13,115.58,116.2,1611763.0,116.353,10121
54,2025-05-22 09:30:00-04:00,116.0,118.15,115.47,117.89,1712934.0,116.998,9142
55,2025-05-22 12:00:00-04:00,117.86,120.0,117.86,119.82,2163597.0,119.247,12796
56,2025-05-23 09:30:00-04:00,116.44,119.19,116.44,118.09,2109092.0,118.329,13919
57,2025-05-23 12:00:00-04:00,118.09,119.4,117.95,119.36,1953676.0,118.757,13381
58,2025-05-27 09:30:00-04:00,98.22,103.0,97.31,102.97,20249341.0,99.563,96896
59,2025-05-27 12:00:00-04:00,102.98,103.2,100.31,102.98,10184942.0,101.736,57378
60,2025-05-28 09:30:00-04:00,100.52,100.61,99.0,99.31,6143892.0,99.659,30483
61,2025-05-28 12:00:00-04:00,99.31,99.37,97.49,97.86,5969035.0,98.25,29837
62,2025-05-29 09:30:00-04:00,100.15,101.17,98.43,98.53,6892640.0,99.491,32664
63,2025-05-29 12:00:00-04:00,98.52,99.24,98.11,98.32,2507704.0,98.56,15573
64,2025-05-30 09:30:00-04:00,97.6,97.7,95.24,97.0,5539076.0,96.344,26387
65,2025-05-30 12:00:00-04:00,97.01,97.23,95.66,96.5,4162554.0,96.444,24775
66,2025-06-02 09:30:00-04:00,96.69,96.72,95.32,95.85,2390991.0,95.792,13163
67,2025-06-02 12:00:00-04:00,95.86,96.52,95.71,96.45,1504032.0,96.175,9179
68,2025-06-03 09:30:00-04:00,96.4,97.69,95.52,97.23,2387717.0,96.854,13180
69,2025-06-03 12:00:00-04:00,97.25,98.94,97.18,98.34,2418992.0,98.342,14225
70,2025-06-04 09:30:00-04:00,98.81,101.16,97.83,100.9,3118209.0,99.641,16646
71,2025-06-04 12:00:00-04:00,100.89,100.89,99.51,99.7,2185430.0,99.974,12760
72,2025-06-05 09:30:00-04:00,101.11,101.14,98.91,99.8,2741331.0,99.846,14197
73,2025-06-05 12:00:00-04:00,99.79,100.07,99.11,99.35,1543809.0,99.551,9072
74,2025-06-06 09:30:00-04:00,99.29,100.0,99.19,99.7,1944790.0,99.625,7819
75,2025-06-06 12:00:00-04:00,99.7,100.84,99.65,100.61,1944235.0,100.322,10353
76,2025-06-09 09:30:00-04:00,102.0,103.55,101.95,102.07,3405468.0,102.677,17607
77,2025-06-09 12:00:00-04:00,102.07,102.54,101.61,101.63,1699489.0,102.085,9733
78,2025-06-10 09:30:00-04:00,100.89,101.68,99.02,101.02,1743997.0,101.058,9998
79,2025-06-10 12:00:00-04:00,101.03,102.51,101.01,102.42,1438252.0,101.997,9059
