,date,open,high,low,close,volume,average,barCount
0,2025-04-14,1.46,1.49,1.37,1.4,1594027.0,1.43037,5895
1,2025-04-15,1.4,1.455,1.39,1.44,837120.0,1.42735,2869
2,2025-04-16,1.43,1.43,1.35,1.37,730324.0,1.3778,2278
3,2025-04-17,1.36,1.43,1.33,1.39,940063.0,1.38953,1791
4,2025-04-21,1.37,1.46,1.365,1.37,766246.0,1.40235,2369
5,2025-04-22,1.39,1.55,1.39,1.53,1808197.0,1.49594,3999
6,2025-04-23,1.56,1.65,1.56,1.62,1281494.0,1.61431,3552
7,2025-04-24,1.62,1.62,1.53,1.59,954161.0,1.57151,2711
8,2025-04-25,1.59,1.59,1.48,1.5,1082779.0,1.51717,3099
9,2025-04-28,1.5,1.58,1.485,1.55,995305.0,1.518,2875
10,2025-04-29,1.54,1.61,1.52,1.54,1202578.0,1.56543,3212
11,2025-04-30,1.49,1.585,1.48,1.56,551596.0,1.53843,1514
12,2025-05-01,1.58,1.6,1.5218,1.55,580957.0,1.5614,1749
13,2025-05-02,1.58,1.655,1.55,1.57,982174.0,1.60124,2781
14,2025-05-05,1.57,1.595,1.515,1.52,587282.0,1.55142,1690
15,2025-05-06,1.52,1.53,1.365,1.395,1865542.0,1.42405,4395
16,2025-05-07,1.41,1.44,1.34,1.35,902878.0,1.35642,1947
17,2025-05-08,1.33,1.4,1.225,1.35,2105464.0,1.28645,3953
18,2025-05-09,1.35,1.42,1.33,1.33,709490.0,1.36818,2685
19,2025-05-12,1.39,1.48,1.36,1.37,2563416.0,1.3993,6963
20,2025-05-13,1.37,1.43,1.3,1.35,1650308.0,1.3554,3866
21,2025-05-14,1.35,1.36,1.28,1.28,2241414.0,1.30723,3365
22,2025-05-15,1.27,1.36,1.26,1.31,2909066.0,1.31335,6854
23,2025-05-16,1.32,1.5291,1.31,1.45,2583536.0,1.44655,6290
24,2025-05-19,1.46,1.47,1.3,1.36,1466536.0,1.34629,3298
25,2025-05-20,1.36,1.41,1.33,1.41,1526679.0,1.37721,2883
26,2025-05-21,1.38,1.39,1.29,1.32,1525899.0,1.32962,3518
27,2025-05-22,1.32,1.44,1.29,1.39,1278674.0,1.37642,3027
28,2025-05-23,1.38,1.44,1.35,1.37,1220160.0,1.38394,3364
29,2025-05-27,1.38,1.47,1.38,1.41,1412574.0,1.43202,2827
30,2025-05-28,1.45,1.465,1.35,1.37,1747944.0,1.39743,4538
31,2025-05-29,1.4,1.425,1.37,1.39,950751.0,1.4019,2948
32,2025-05-30,1.38,1.39,1.28,1.32,1224330.0,1.31528,2441
33,2025-06-02,1.33,1.4,1.315,1.33,1511399.0,1.35101,3682
34,2025-06-03,1.32,1.41,1.28,1.36,1138098.0,1.36405,2460
35,2025-06-04,1.36,1.3899,1.33,1.33,526769.0,1.35184,1334
36,2025-06-05,1.33,1.39,1.3,1.33,1125906.0,1.34505,2023
37,2025-06-06,1.37,1.58,1.35,1.5,3496961.0,1.49426,7990
38,2025-06-09,1.53,1.55,1.46,1.5,1460343.0,1.4938,3078
39,2025-06-10,1.51,1.605,1.51,1.54,2279221.0,1.55073,4001
40,2025-06-11,1.58,1.593,1.5,1.5,1088850.0,1.53183,2252
41,2025-06-12,1.5,1.55,1.48,1.52,747826.0,1.51653,2065
42,2025-06-13,1.49,1.55,1.465,1.52,1089781.0,1.51985,2162
43,2025-06-16,1.54,1.59,1.5,1.54,1914653.0,1.53995,4110
44,2025-06-17,1.55,1.56,1.415,1.42,2163901.0,1.47837,3883
45,2025-06-18,1.42,1.54,1.38,1.49,1403170.0,1.48703,2268
46,2025-06-20,1.49,1.5,1.41,1.45,1685515.0,1.44593,2393
47,2025-06-23,1.45,1.5,1.41,1.48,1166909.0,1.45582,2088
48,2025-06-24,1.5,1.55,1.48,1.5,1558585.0,1.52207,2637
49,2025-06-25,1.5,1.52,1.41,1.42,1552119.0,1.4502,3056
50,2025-06-26,1.43,1.44,1.4,1.43,1311636.0,1.42326,3527
51,2025-06-27,1.44,1.5,1.39,1.42,1276953.0,1.43789,2259
52,2025-06-30,1.44,1.45,1.4,1.42,1069087.0,1.42627,2302
53,2025-07-01,1.42,1.5,1.395,1.45,2042319.0,1.45896,5093
54,2025-07-02,1.45,1.6982,1.45,1.61,3669765.0,1.61425,6580
55,2025-07-03,1.61,1.63,1.58,1.62,528806.0,1.60432,1177
56,2025-07-07,1.61,1.63,1.56,1.59,1016117.0,1.59027,2025
57,2025-07-08,1.6,1.71,1.6,1.7,1544089.0,1.68026,3033
58,2025-07-09,1.75,2.04,1.73,1.9,8470122.0,1.9347,12983
59,2025-07-10,1.92,1.9632,1.85,1.91,1676906.0,1.89905,3708
60,2025-07-11,1.89,1.92,1.81,1.83,1150076.0,1.84991,2408
61,2025-07-14,1.83,2.005,1.825,1.95,2144459.0,1.93166,3119
62,2025-07-15,1.96,1.97,1.84,1.85,1381253.0,1.88088,2892
63,2025-07-16,1.88,1.95,1.83,1.84,2196231.0,1.87436,3329
64,2025-07-17,1.85,1.915,1.82,1.82,1440505.0,1.85965,2339
65,2025-07-18,1.85,1.905,1.7401,1.76,1814346.0,1.83399,3046
66,2025-07-21,1.78,1.92,1.7621,1.83,1620924.0,1.86777,2923
67,2025-07-22,1.74,1.74,1.47,1.52,8603912.0,1.56679,12667
68,2025-07-23,1.59,1.7,1.54,1.66,3596231.0,1.64161,5346
69,2025-07-24,1.65,1.72,1.6,1.6,4565810.0,1.64044,6696
70,2025-07-25,1.59,1.6364,1.545,1.57,2635863.0,1.58793,3288
71,2025-07-28,1.59,1.63,1.54,1.58,1731523.0,1.58044,2834
72,2025-07-29,1.59,1.7,1.57,1.57,2871094.0,1.62706,3847
73,2025-07-30,1.62,1.85,1.6188,1.73,4558601.0,1.76902,7279
74,2025-07-31,1.72,1.755,1.67,1.71,1621175.0,1.71166,3876
75,2025-08-01,1.67,1.69,1.625,1.67,1816118.0,1.66097,3834
76,2025-08-04,1.71,1.79,1.7,1.76,2117958.0,1.75285,3390
77,2025-08-05,1.77,1.94,1.74,1.93,3232020.0,1.84121,4647
78,2025-08-06,1.95,2.0,1.815,1.83,3276133.0,1.89515,6721
79,2025-08-07,1.89,1.905,1.81,1.88,2079246.0,1.86223,4412
80,2025-08-08,1.84,1.88,1.77,1.78,1731256.0,1.8105,3244
81,2025-08-11,1.79,1.825,1.7,1.74,2102781.0,1.74921,4151
82,2025-08-12,1.74,1.8099,1.72,1.8,1951556.0,1.76866,5326
83,2025-08-13,1.83,1.985,1.81,1.91,4260833.0,1.91614,8069
84,2025-08-14,1.9,1.95,1.8044,1.85,3103075.0,1.85958,6124
85,2025-08-15,2.6,3.4899,2.51,2.94,129889689.0,3.06128,232574
86,2025-08-18,2.9,2.95,2.62,2.95,15863278.0,2.73822,21631
87,2025-08-19,2.95,3.34,2.95,3.22,14751811.0,3.18639,24023
88,2025-08-20,3.14,3.245,2.9421,3.21,7573739.0,3.11263,13649
89,2025-08-21,3.19,3.895,3.16,3.64,20179962.0,3.61782,39635
90,2025-08-22,3.65,4.205,3.62,4.18,22428949.0,3.98692,46558
91,2025-08-25,4.17,4.295,3.96,3.98,8515714.0,4.14216,19225
92,2025-08-26,4.0,4.2788,3.98,4.26,8836326.0,4.16252,18248
93,2025-08-27,4.35,4.59,4.14,4.59,12153263.0,4.38331,30412
94,2025-08-28,4.58,4.825,4.49,4.55,9509792.0,4.64431,23340
95,2025-08-29,4.52,4.765,4.41,4.51,8245611.0,4.57717,17609
96,2025-09-02,4.49,4.93,4.4763,4.76,8975127.0,4.72285,25015
97,2025-09-03,4.81,5.225,4.715,4.75,8227081.0,4.92085,23047
98,2025-09-04,4.74,4.7605,4.49,4.56,5364519.0,4.60326,14954
99,2025-09-05,4.63,4.64,4.32,4.36,5442334.0,4.45101,17426
100,2025-09-08,4.37,4.56,4.155,4.16,5541724.0,4.28851,16377
101,2025-09-09,4.13,4.2487,4.02,4.13,5084648.0,4.11923,13034
102,2025-09-10,4.12,4.21,3.885,4.08,5603772.0,4.01858,14960
103,2025-09-11,4.07,4.17,4.05,4.14,2817808.0,4.12322,7329
104,2025-09-12,4.11,4.14,3.77,3.79,4860628.0,3.87326,14471
105,2025-09-15,3.81,3.86,3.47,3.59,5977761.0,3.58663,17347
106,2025-09-16,3.63,4.14,3.6,3.89,8502493.0,3.96831,21643
107,2025-09-17,3.88,4.0101,3.785,3.82,3025915.0,3.89083,10664
108,2025-09-18,3.84,4.1,3.75,3.8,6625460.0,3.88794,19315
109,2025-09-19,3.79,3.85,3.62,3.75,9313621.0,3.70033,21107
110,2025-09-22,3.74,3.97,3.7211,3.85,4155002.0,3.83577,12435
111,2025-09-23,3.87,3.97,3.615,3.71,5228077.0,3.77149,13104
112,2025-09-24,3.76,4.0,3.73,3.86,5945850.0,3.87685,17369
113,2025-09-25,3.75,3.76,3.47,3.485,3974950.0,3.56643,13160
114,2025-09-26,3.48,3.545,3.37,3.51,2849330.0,3.47756,8400
115,2025-09-29,3.615,3.73,3.53,3.63,3001142.0,3.61935,10061
116,2025-09-30,3.61,3.725,3.28,3.29,5738237.0,3.42094,16005
117,2025-10-01,3.27,3.49,3.265,3.34,3743315.0,3.38626,10691
118,2025-10-02,3.38,3.42,3.26,3.33,3872509.0,3.3279,9742
119,2025-10-03,3.38,3.38,3.195,3.25,3317917.0,3.26186,9731
