,date,open,high,low,close,volume,average,barCount
0,2025-04-14,95.76,97.33,91.46,92.62,97783462.0,93.809,362329
1,2025-04-15,93.5,98.99,93.05,98.4,96579197.0,96.861,362375
2,2025-04-16,96.28,97.3,89.62,92.71,97772730.0,93.418,395071
3,2025-04-17,94.71,95.11,92.27,93.78,68652819.0,93.531,231999
4,2025-04-21,92.84,96.48,89.31,90.8,67335908.0,92.125,264941
5,2025-04-22,93.02,96.34,91.35,93.99,73664388.0,94.049,251586
6,2025-04-23,98.87,103.76,97.83,100.82,89039387.0,101.256,365109
7,2025-04-24,101.53,108.0,100.91,107.78,82353442.0,105.491,292362
8,2025-04-25,108.0,112.88,106.55,112.78,81849037.0,109.707,300421
9,2025-04-28,113.78,114.86,108.87,114.65,90363239.0,112.296,341584
10,2025-04-29,113.99,117.23,113.24,116.08,65275858.0,114.944,240834
11,2025-04-30,111.61,118.78,110.54,118.44,85424819.0,115.168,306590
12,2025-05-01,120.01,120.19,116.0,116.2,68709420.0,118.549,263081
13,2025-05-02,118.68,124.42,118.63,124.28,80047019.0,122.585,302878
14,2025-05-05,123.7,125.26,121.36,123.77,79480195.0,123.727,317908
15,2025-05-06,112.71,113.91,105.32,108.86,156976847.0,108.165,588788
16,2025-05-07,107.95,111.85,107.0,110.48,78309314.0,109.744,287079
17,2025-05-08,112.3,120.38,112.07,119.15,102243799.0,117.785,381683
18,2025-05-09,118.97,119.16,114.9,117.3,64978737.0,116.892,238777
19,2025-05-12,120.72,120.94,115.01,118.46,72833471.0,117.661,268773
20,2025-05-13,119.94,130.6,119.31,128.1,113261457.0,126.873,435310
21,2025-05-14,129.03,133.49,127.55,130.18,73173373.0,129.958,291719
22,2025-05-15,128.38,130.2,125.74,128.12,53466402.0,128.21,212671
23,2025-05-16,129.28,130.33,126.76,129.52,41524879.0,128.631,163480
24,2025-05-19,124.68,127.77,124.32,126.33,53855400.0,126.035,221361
25,2025-05-20,127.21,128.2,124.65,125.59,47414333.0,126.199,188963
26,2025-05-21,125.11,127.11,119.41,120.58,62108571.0,123.82,244979
27,2025-05-22,121.95,126.33,121.37,122.29,55308398.0,124.369,214578
28,2025-05-23,120.9,125.54,120.68,123.31,48452680.0,123.339,174117
29,2025-05-27,126.8,127.88,120.88,123.39,67577542.0,124.144,257121
30,2025-05-28,124.21,125.65,122.91,123.76,48778914.0,124.628,175883
31,2025-05-29,125.35,126.47,121.53,122.32,48359871.0,123.002,185159
32,2025-05-30,123.47,131.94,122.75,131.78,136300281.0,127.604,518679
33,2025-06-02,131.44,134.48,128.86,132.04,71341248.0,131.543,279358
34,2025-06-03,133.06,135.28,130.1,133.17,71315359.0,132.591,260231
35,2025-06-04,132.8,132.82,125.58,130.01,77745187.0,129.011,295627
36,2025-06-05,129.28,132.85,118.95,119.91,102742875.0,125.905,415030
37,2025-06-06,123.69,128.13,121.92,127.72,66190995.0,125.549,261389
38,2025-06-09,127.09,132.23,124.8,132.06,55462264.0,129.409,219956
39,2025-06-10,131.09,134.07,129.41,132.81,52034910.0,132.098,204564
40,2025-06-11,133.98,140.0,132.99,136.39,74826035.0,136.659,294414
41,2025-06-12,136.39,137.1,134.63,135.19,40489395.0,135.703,158361
42,2025-06-13,133.8,139.99,133.35,137.4,70758014.0,137.667,285341
43,2025-06-16,140.05,144.86,139.81,141.41,58329415.0,142.677,234913
44,2025-06-17,141.49,141.69,136.08,138.2,53058513.0,139.166,212869
45,2025-06-18,139.1,140.36,137.49,139.96,44368937.0,139.003,179937
