,date,open,high,low,close,volume,average,barCount
0,2025-04-14,25.13,25.13,24.59,25.0,468585.0,24.897,2870
1,2025-04-15,25.01,25.25,24.85,25.06,348484.0,25.032,2097
2,2025-04-16,25.1,25.57,24.98,25.14,671523.0,25.254,4128
3,2025-04-17,25.12,25.52,25.01,25.32,433983.0,25.328,2636
4,2025-04-21,25.29,25.43,24.1,24.36,520882.0,24.461,3060
5,2025-04-22,24.5,24.86,24.5,24.81,454905.0,24.725,2785
6,2025-04-23,25.22,25.47,24.6,24.74,552059.0,24.962,2961
7,2025-04-24,24.86,25.09,24.59,24.89,503570.0,24.906,2790
8,2025-04-25,24.91,25.3,24.53,25.22,669044.0,25.098,3762
9,2025-04-28,25.19,25.74,24.96,25.19,629513.0,25.296,3932
10,2025-04-29,25.08,25.8,24.92,25.62,511566.0,25.583,3184
11,2025-04-30,25.62,25.79,25.14,25.72,442809.0,25.579,2783
12,2025-05-01,25.72,25.77,25.11,25.27,396282.0,25.392,2523
13,2025-05-02,25.74,25.98,25.42,25.63,391147.0,25.599,2589
14,2025-05-05,25.5,25.5,24.85,25.24,974471.0,25.095,4635
15,2025-05-06,25.01,25.16,24.6,24.68,1390054.0,24.799,6928
16,2025-05-07,26.0,26.85,25.27,26.41,1800965.0,26.148,10755
17,2025-05-08,26.26,27.27,26.26,26.8,1600892.0,26.857,8729
18,2025-05-09,26.83,27.19,26.76,27.01,933488.0,27.013,4978
19,2025-05-12,27.35,27.9,26.82,26.99,1725191.0,27.099,7951
20,2025-05-13,26.78,26.94,26.21,26.22,879018.0,26.529,5311
21,2025-05-14,26.18,26.24,25.81,26.01,770104.0,26.0,4441
22,2025-05-15,26.17,26.33,26.01,26.29,673370.0,26.236,3600
23,2025-05-16,26.36,27.05,26.32,27.05,539952.0,26.86,2989
24,2025-05-19,26.93,27.21,26.76,27.2,600612.0,27.037,3308
25,2025-05-20,27.28,27.49,27.14,27.42,573111.0,27.355,3271
26,2025-05-21,27.35,27.48,26.91,26.91,723920.0,27.189,4663
27,2025-05-22,26.75,26.92,26.38,26.4,444750.0,26.518,2597
28,2025-05-23,26.27,26.61,26.19,26.56,842598.0,26.472,4535
29,2025-05-27,26.96,27.39,26.68,27.33,508955.0,27.224,2953
30,2025-05-28,27.3,27.4,26.97,27.1,416943.0,27.081,2580
31,2025-05-29,27.11,27.32,26.71,27.13,418397.0,27.014,2667
32,2025-05-30,26.81,26.97,26.38,26.77,373189.0,26.829,2565
33,2025-06-02,26.84,26.98,26.36,26.71,463519.0,26.679,2813
34,2025-06-03,26.62,26.66,26.2,26.52,690385.0,26.488,4592
35,2025-06-04,26.41,26.64,26.2,26.26,730898.0,26.328,4725
36,2025-06-05,26.21,26.3,25.95,25.97,582612.0,26.061,3738
37,2025-06-06,26.22,26.3,25.96,26.16,330875.0,26.108,1886
38,2025-06-09,26.25,26.42,26.11,26.17,471419.0,26.271,2475
39,2025-06-10,26.36,27.75,26.18,27.6,924872.0,27.36,5291
40,2025-06-11,27.67,27.81,27.11,27.37,506231.0,27.422,3266
41,2025-06-12,27.22,27.4,26.93,27.25,411095.0,27.224,2209
42,2025-06-13,26.88,27.09,26.62,26.65,651628.0,26.827,3602
43,2025-06-16,26.7,27.12,26.58,26.69,468205.0,26.793,2643
44,2025-06-17,26.48,26.59,26.19,26.27,334209.0,26.354,2036
45,2025-06-18,26.24,26.54,26.15,26.32,472612.0,26.373,2789
46,2025-06-20,26.4,26.54,26.32,26.5,451761.0,26.439,2382
47,2025-06-23,26.3,26.46,26.03,26.45,365934.0,26.342,1926
48,2025-06-24,26.73,26.87,26.5,26.75,408919.0,26.742,2357
49,2025-06-25,26.66,26.89,26.45,26.62,380100.0,26.699,2408
50,2025-06-26,26.73,26.85,26.44,26.57,344167.0,26.587,2021
51,2025-06-27,26.68,26.93,26.35,26.54,430936.0,26.575,2654
52,2025-06-30,26.53,26.77,26.32,26.72,513323.0,26.633,2781
53,2025-07-01,26.54,27.88,26.54,27.43,702311.0,27.35,3835
54,2025-07-02,27.43,27.61,27.03,27.26,898006.0,27.337,5023
55,2025-07-03,27.26,27.47,27.17,27.2,213090.0,27.306,1354
56,2025-07-07,27.12,27.48,26.69,26.74,401200.0,26.93,2353
57,2025-07-08,26.78,27.27,26.78,27.14,401701.0,27.067,2553
58,2025-07-09,27.31,27.43,26.97,27.22,345486.0,27.191,2013
59,2025-07-10,27.21,27.7,27.06,27.27,531951.0,27.408,3604
60,2025-07-11,27.02,27.72,26.85,27.53,624464.0,27.443,3367
61,2025-07-14,27.63,27.8,26.95,27.41,512169.0,27.354,3435
62,2025-07-15,27.68,27.91,27.02,27.05,545771.0,27.269,3503
63,2025-07-16,27.1,27.35,26.63,27.09,364270.0,27.01,2323
64,2025-07-17,26.93,27.2,26.82,27.15,347748.0,27.049,2060
65,2025-07-18,27.17,27.31,26.89,26.96,300251.0,27.025,2023
66,2025-07-21,26.99,27.12,26.84,26.94,283318.0,26.988,1691
67,2025-07-22,27.06,27.58,26.97,27.55,409379.0,27.452,2452
68,2025-07-23,27.78,28.15,27.7,28.12,440700.0,27.95,2907
69,2025-07-24,28.1,28.36,28.01,28.11,380892.0,28.146,2060
70,2025-07-25,28.16,28.44,27.95,28.43,476963.0,28.271,2934
71,2025-07-28,28.35,28.39,27.88,28.13,524382.0,28.044,3075
72,2025-07-29,27.96,28.18,27.85,28.07,356669.0,28.017,2181
73,2025-07-30,28.22,28.22,27.47,27.5,542040.0,27.789,3174
74,2025-07-31,27.14,27.33,26.54,26.67,598039.0,26.804,3402
75,2025-08-01,26.67,26.79,26.17,26.64,648293.0,26.619,3970
76,2025-08-04,26.58,27.16,26.38,26.96,697943.0,26.918,2960
77,2025-08-05,26.84,26.99,26.47,26.62,986660.0,26.721,4745
78,2025-08-06,22.26,23.74,21.03,23.61,6814580.0,22.927,29527
79,2025-08-07,23.75,23.86,22.62,22.83,3060188.0,23.022,14663
80,2025-08-08,22.83,23.05,22.33,22.55,2221496.0,22.726,11583
81,2025-08-11,22.6,22.91,21.77,22.02,1384430.0,22.071,7420
82,2025-08-12,22.01,23.1,21.96,23.07,1012108.0,22.793,5518
83,2025-08-13,23.13,23.73,22.82,23.66,778704.0,23.413,4477
84,2025-08-14,23.44,23.44,22.86,23.03,610542.0,23.082,3297
85,2025-08-15,23.12,23.22,22.67,22.7,664270.0,22.798,3500
86,2025-08-18,22.79,23.13,22.7,23.03,781570.0,22.947,4199
87,2025-08-19,23.22,23.9,23.07,23.6,1110301.0,23.568,4907
88,2025-08-20,23.73,23.86,23.5,23.66,633846.0,23.665,3423
89,2025-08-21,23.44,23.99,23.42,23.43,865662.0,23.652,4355
90,2025-08-22,23.72,24.61,23.69,24.49,1869132.0,24.221,8187
91,2025-08-25,24.46,24.49,23.74,23.78,502751.0,23.912,3367
92,2025-08-26,23.9,23.97,23.61,23.73,422878.0,23.771,2494
93,2025-08-27,23.8,24.04,23.7,23.89,579038.0,23.831,3624
94,2025-08-28,23.98,23.98,23.58,23.76,806631.0,23.712,4657
95,2025-08-29,23.56,23.78,23.36,23.74,596895.0,23.684,3701
96,2025-09-02,23.64,23.95,23.3,23.49,645687.0,23.48,4593
97,2025-09-03,23.36,23.62,23.26,23.33,507466.0,23.401,2738
98,2025-09-04,23.33,23.49,23.05,23.29,728134.0,23.229,4706
99,2025-09-05,23.22,23.68,22.28,22.65,2060598.0,22.85,11656
100,2025-09-08,22.56,22.9,22.12,22.33,1137729.0,22.331,7217
101,2025-09-09,22.34,22.46,22.12,22.28,1236427.0,22.271,6522
102,2025-09-10,22.2,22.45,22.0,22.12,621904.0,22.161,4283
103,2025-09-11,22.23,22.55,22.21,22.55,564567.0,22.378,3593
104,2025-09-12,22.41,22.58,22.21,22.27,721883.0,22.342,4502
105,2025-09-15,22.3,22.33,21.73,21.75,917890.0,21.854,5623
106,2025-09-16,21.76,21.86,21.32,21.37,958346.0,21.461,5691
107,2025-09-17,21.39,21.57,21.03,21.13,1220437.0,21.256,8047
108,2025-09-18,21.06,21.49,20.95,21.38,898147.0,21.321,5827
109,2025-09-19,21.47,21.51,21.11,21.26,1662494.0,21.251,7966
110,2025-09-22,21.22,21.28,20.51,20.81,1442945.0,20.887,8649
111,2025-09-23,20.87,21.19,20.83,21.11,1280919.0,21.034,5642
112,2025-09-24,21.07,21.53,21.07,21.39,1310217.0,21.382,5477
113,2025-09-25,21.41,21.54,20.73,20.76,2054152.0,20.999,8745
114,2025-09-26,20.88,21.45,20.8,21.45,1986509.0,21.238,7893
115,2025-09-29,21.37,21.82,21.19,21.73,1072083.0,21.632,6510
116,2025-09-30,21.69,22.28,21.57,22.27,982486.0,22.048,5034
117,2025-10-01,22.2,22.59,22.11,22.51,1321768.0,22.439,8308
118,2025-10-02,22.5,22.62,22.12,22.15,893660.0,22.283,4761
119,2025-10-03,22.21,22.65,22.15,22.51,668983.0,22.54,4436
