,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,25.13,25.13,24.63,24.69,193696.0,24.877,1076
1,2025-04-14 12:00:00-04:00,24.67,25.1,24.59,25.0,274889.0,24.911,1794
2,2025-04-15 09:30:00-04:00,25.01,25.25,24.89,24.96,97143.0,25.065,626
3,2025-04-15 12:00:00-04:00,24.98,25.14,24.85,25.07,251341.0,25.019,1471
4,2025-04-16 09:30:00-04:00,25.1,25.53,25.03,25.35,231124.0,25.252,1322
5,2025-04-16 12:00:00-04:00,25.35,25.57,24.98,25.14,440399.0,25.255,2806
6,2025-04-17 09:30:00-04:00,25.12,25.38,25.01,25.22,103438.0,25.213,708
7,2025-04-17 12:00:00-04:00,25.23,25.52,25.2,25.31,330545.0,25.364,1928
8,2025-04-21 09:30:00-04:00,25.29,25.43,24.51,24.52,141447.0,24.882,897
9,2025-04-21 12:00:00-04:00,24.53,24.59,24.1,24.35,379435.0,24.304,2163
10,2025-04-22 09:30:00-04:00,24.5,24.82,24.5,24.75,110147.0,24.675,749
11,2025-04-22 12:00:00-04:00,24.78,24.86,24.52,24.83,344758.0,24.741,2036
12,2025-04-23 09:30:00-04:00,25.22,25.47,24.95,25.03,210058.0,25.253,1126
13,2025-04-23 12:00:00-04:00,25.03,25.06,24.6,24.73,342001.0,24.783,1835
14,2025-04-24 09:30:00-04:00,24.86,25.07,24.59,24.96,191648.0,24.86,983
15,2025-04-24 12:00:00-04:00,24.96,25.09,24.81,24.87,311922.0,24.934,1807
16,2025-04-25 09:30:00-04:00,24.91,25.02,24.53,25.01,160064.0,24.828,995
17,2025-04-25 12:00:00-04:00,25.01,25.3,24.98,25.23,508980.0,25.182,2767
18,2025-04-28 09:30:00-04:00,25.19,25.74,24.96,25.34,188807.0,25.487,1196
19,2025-04-28 12:00:00-04:00,25.33,25.34,25.06,25.2,440706.0,25.214,2736
20,2025-04-29 09:30:00-04:00,25.08,25.58,24.92,25.57,141119.0,25.327,794
21,2025-04-29 12:00:00-04:00,25.57,25.8,25.51,25.62,370447.0,25.68,2390
22,2025-04-30 09:30:00-04:00,25.62,25.62,25.14,25.53,160019.0,25.417,944
23,2025-04-30 12:00:00-04:00,25.53,25.79,25.45,25.71,282790.0,25.67,1839
24,2025-05-01 09:30:00-04:00,25.72,25.77,25.11,25.29,152792.0,25.475,890
25,2025-05-01 12:00:00-04:00,25.29,25.45,25.17,25.29,243490.0,25.339,1633
26,2025-05-02 09:30:00-04:00,25.74,25.98,25.42,25.5,117416.0,25.57,838
27,2025-05-02 12:00:00-04:00,25.52,25.7,25.52,25.63,273731.0,25.612,1751
28,2025-05-05 09:30:00-04:00,25.5,25.5,24.85,25.01,451244.0,24.983,1544
29,2025-05-05 12:00:00-04:00,25.02,25.3,24.97,25.25,523227.0,25.191,3091
30,2025-05-06 09:30:00-04:00,25.01,25.16,24.72,24.91,233028.0,24.93,1419
31,2025-05-06 12:00:00-04:00,24.93,25.12,24.6,24.69,1157026.0,24.773,5509
32,2025-05-07 09:30:00-04:00,26.0,26.85,25.27,26.23,725669.0,26.105,3950
33,2025-05-07 12:00:00-04:00,26.23,26.41,25.57,26.41,1075296.0,26.177,6805
34,2025-05-08 09:30:00-04:00,26.26,27.2,26.26,27.15,423821.0,26.775,2450
35,2025-05-08 12:00:00-04:00,27.15,27.27,26.54,26.8,1177071.0,26.886,6279
36,2025-05-09 09:30:00-04:00,26.83,27.19,26.76,26.99,218388.0,27.021,1196
37,2025-05-09 12:00:00-04:00,26.98,27.16,26.81,27.0,715100.0,27.01,3782
38,2025-05-12 09:30:00-04:00,27.35,27.9,26.88,27.17,520239.0,27.222,2525
39,2025-05-12 12:00:00-04:00,27.18,27.37,26.82,27.0,1204952.0,27.045,5426
40,2025-05-13 09:30:00-04:00,26.78,26.94,26.43,26.73,279797.0,26.712,1583
41,2025-05-13 12:00:00-04:00,26.72,26.74,26.21,26.23,599221.0,26.443,3728
42,2025-05-14 09:30:00-04:00,26.18,26.24,25.86,25.98,237925.0,26.026,1071
43,2025-05-14 12:00:00-04:00,25.97,26.2,25.81,26.01,532179.0,25.989,3370
44,2025-05-15 09:30:00-04:00,26.17,26.3,26.01,26.29,136400.0,26.16,701
45,2025-05-15 12:00:00-04:00,26.3,26.33,26.13,26.3,536970.0,26.255,2899
46,2025-05-16 09:30:00-04:00,26.36,26.75,26.32,26.69,124007.0,26.621,717
47,2025-05-16 12:00:00-04:00,26.68,27.05,26.63,27.05,415945.0,26.931,2272
48,2025-05-19 09:30:00-04:00,26.93,27.11,26.76,26.96,195609.0,26.892,948
49,2025-05-19 12:00:00-04:00,26.96,27.21,26.96,27.21,405003.0,27.107,2360
50,2025-05-20 09:30:00-04:00,27.28,27.49,27.14,27.41,87804.0,27.389,551
51,2025-05-20 12:00:00-04:00,27.42,27.49,27.15,27.43,485307.0,27.349,2720
52,2025-05-21 09:30:00-04:00,27.35,27.48,27.25,27.42,152073.0,27.374,1022
53,2025-05-21 12:00:00-04:00,27.42,27.43,26.91,26.91,571847.0,27.14,3641
54,2025-05-22 09:30:00-04:00,26.75,26.92,26.41,26.53,124333.0,26.555,685
55,2025-05-22 12:00:00-04:00,26.54,26.64,26.38,26.39,320417.0,26.504,1912
56,2025-05-23 09:30:00-04:00,26.27,26.42,26.19,26.28,132963.0,26.293,631
57,2025-05-23 12:00:00-04:00,26.28,26.61,26.23,26.57,709635.0,26.506,3904
58,2025-05-27 09:30:00-04:00,26.96,27.17,26.68,27.09,113047.0,27.0,585
59,2025-05-27 12:00:00-04:00,27.09,27.39,27.07,27.34,395908.0,27.288,2368
60,2025-05-28 09:30:00-04:00,27.3,27.4,27.01,27.02,97338.0,27.151,565
61,2025-05-28 12:00:00-04:00,27.03,27.17,26.97,27.1,319605.0,27.059,2015
62,2025-05-29 09:30:00-04:00,27.11,27.32,26.72,26.74,101749.0,26.958,612
63,2025-05-29 12:00:00-04:00,26.74,27.15,26.71,27.13,316648.0,27.031,2055
64,2025-05-30 09:30:00-04:00,26.81,26.88,26.38,26.83,66977.0,26.742,477
65,2025-05-30 12:00:00-04:00,26.82,26.97,26.72,26.76,306212.0,26.848,2088
66,2025-06-02 09:30:00-04:00,26.84,26.98,26.36,26.72,104125.0,26.677,614
67,2025-06-02 12:00:00-04:00,26.72,26.72,26.61,26.71,359394.0,26.68,2199
68,2025-06-03 09:30:00-04:00,26.62,26.62,26.2,26.54,162218.0,26.47,1206
69,2025-06-03 12:00:00-04:00,26.54,26.66,26.38,26.52,528167.0,26.494,3386
70,2025-06-04 09:30:00-04:00,26.41,26.64,26.21,26.26,135629.0,26.333,935
71,2025-06-04 12:00:00-04:00,26.26,26.43,26.2,26.26,595269.0,26.327,3790
72,2025-06-05 09:30:00-04:00,26.21,26.3,25.98,26.09,144743.0,26.127,934
73,2025-06-05 12:00:00-04:00,26.09,26.19,25.95,25.97,437869.0,26.039,2804
74,2025-06-06 09:30:00-04:00,26.22,26.3,26.0,26.06,79108.0,26.145,452
75,2025-06-06 12:00:00-04:00,26.07,26.19,25.96,26.17,251767.0,26.097,1434
76,2025-06-09 09:30:00-04:00,26.25,26.42,26.11,26.18,110038.0,26.233,590
77,2025-06-09 12:00:00-04:00,26.18,26.42,26.17,26.17,361381.0,26.282,1885
78,2025-06-10 09:30:00-04:00,26.36,27.0,26.18,26.99,154373.0,26.705,900
79,2025-06-10 12:00:00-04:00,26.99,27.75,26.94,27.62,770499.0,27.491,4391
80,2025-06-11 09:30:00-04:00,27.67,27.81,27.37,27.38,127808.0,27.597,649
81,2025-06-11 12:00:00-04:00,27.39,27.47,27.11,27.37,378423.0,27.362,2617
82,2025-06-12 09:30:00-04:00,27.22,27.4,26.93,27.26,147605.0,27.192,608
83,2025-06-12 12:00:00-04:00,27.26,27.34,27.14,27.23,263490.0,27.242,1601
84,2025-06-13 09:30:00-04:00,26.88,27.06,26.79,27.01,95058.0,26.965,615
85,2025-06-13 12:00:00-04:00,27.01,27.09,26.62,26.63,556570.0,26.803,2987
