,date,open,high,low,close,volume,average,barCount
0,2025-04-14,41.82,42.46,41.73,42.32,724922.0,42.151,4776
1,2025-04-15,42.13,43.88,41.4,41.53,1726140.0,41.886,8412
2,2025-04-16,41.76,41.8,40.91,41.44,1229331.0,41.406,7729
3,2025-04-17,40.67,41.12,40.0,40.71,1178551.0,40.707,7159
4,2025-04-21,40.61,40.87,40.31,40.48,717937.0,40.555,3790
5,2025-04-22,41.65,42.55,41.51,42.34,780700.0,42.092,5510
6,2025-04-23,42.39,43.0,42.19,42.32,752573.0,42.557,5278
7,2025-04-24,42.6,43.13,42.29,43.06,820907.0,42.824,5185
8,2025-04-25,42.5,42.59,41.82,42.07,550852.0,42.186,3496
9,2025-04-28,42.5,42.6,42.04,42.47,572259.0,42.372,3511
10,2025-04-29,42.49,43.04,42.4,42.63,545062.0,42.7,3624
11,2025-04-30,43.16,43.19,42.47,42.75,493553.0,42.773,3474
12,2025-05-01,42.5,42.64,42.03,42.2,461553.0,42.353,2999
13,2025-05-02,43.43,43.45,42.84,43.13,670491.0,43.143,4746
14,2025-05-05,43.39,43.46,42.74,42.81,603181.0,43.017,3928
15,2025-05-06,43.14,43.16,42.04,42.17,877253.0,42.586,5946
16,2025-05-07,42.51,42.74,42.08,42.63,999620.0,42.432,7219
17,2025-05-08,42.58,43.05,42.05,42.16,1155987.0,42.428,8660
18,2025-05-09,43.05,43.26,41.73,41.86,984945.0,42.156,5894
19,2025-05-12,42.02,42.97,41.97,42.96,906288.0,42.503,6363
20,2025-05-13,43.02,43.05,42.03,42.11,1276264.0,42.542,9008
21,2025-05-14,42.55,42.55,41.13,41.15,1108868.0,41.714,8228
22,2025-05-15,41.45,42.27,41.11,42.24,726968.0,41.862,4621
23,2025-05-16,42.09,42.67,41.94,42.65,417674.0,42.475,2550
24,2025-05-19,42.72,42.83,42.47,42.8,913424.0,42.668,5320
25,2025-05-20,42.8,42.97,42.67,42.7,498447.0,42.791,3498
26,2025-05-21,42.97,43.01,42.2,42.32,1048623.0,42.643,6950
27,2025-05-22,42.41,42.51,42.1,42.32,826313.0,42.33,5667
28,2025-05-23,42.1,42.15,41.77,42.05,706864.0,41.98,4825
29,2025-05-27,43.87,44.08,43.54,43.85,1117358.0,43.764,6850
30,2025-05-28,44.09,44.5,43.99,44.38,873486.0,44.3,5824
31,2025-05-29,44.75,45.11,44.51,45.0,1045755.0,44.902,6919
32,2025-05-30,45.2,45.41,44.78,45.13,1290789.0,45.127,7584
33,2025-06-02,45.07,45.21,44.71,44.9,1084009.0,44.94,7100
