,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,41.82,42.33,41.73,41.98,332508.0,42.033,1942
1,2025-04-14 12:00:00-04:00,41.98,42.46,41.89,42.35,392414.0,42.252,2834
2,2025-04-15 09:30:00-04:00,42.13,42.22,41.76,41.81,220432.0,42.01,1541
3,2025-04-15 12:00:00-04:00,41.84,43.88,41.4,41.53,1505708.0,41.868,6871
4,2025-04-16 09:30:00-04:00,41.76,41.8,41.35,41.54,598985.0,41.597,3824
5,2025-04-16 12:00:00-04:00,41.55,41.56,40.91,41.44,630346.0,41.226,3905
6,2025-04-17 09:30:00-04:00,40.67,40.93,40.0,40.65,580725.0,40.557,3338
7,2025-04-17 12:00:00-04:00,40.64,41.12,40.58,40.71,597826.0,40.853,3821
8,2025-04-21 09:30:00-04:00,40.61,40.87,40.31,40.45,152799.0,40.621,599
9,2025-04-21 12:00:00-04:00,40.45,40.78,40.4,40.48,565138.0,40.537,3191
10,2025-04-22 09:30:00-04:00,41.65,42.39,41.51,42.28,338255.0,41.997,2139
11,2025-04-22 12:00:00-04:00,42.34,42.55,41.66,42.35,442445.0,42.165,3371
12,2025-04-23 09:30:00-04:00,42.39,43.0,42.38,42.61,394838.0,42.676,2764
13,2025-04-23 12:00:00-04:00,42.55,42.73,42.19,42.32,357735.0,42.426,2514
14,2025-04-24 09:30:00-04:00,42.6,42.75,42.29,42.66,263477.0,42.545,1580
15,2025-04-24 12:00:00-04:00,42.68,43.13,42.66,43.06,557430.0,42.956,3605
16,2025-04-25 09:30:00-04:00,42.5,42.59,41.98,42.02,281370.0,42.295,1678
17,2025-04-25 12:00:00-04:00,42.04,42.22,41.82,42.1,269482.0,42.072,1818
18,2025-04-28 09:30:00-04:00,42.5,42.6,42.19,42.2,349099.0,42.42,2047
19,2025-04-28 12:00:00-04:00,42.19,42.51,42.04,42.47,223160.0,42.296,1464
20,2025-04-29 09:30:00-04:00,42.49,42.69,42.4,42.67,216121.0,42.534,1323
21,2025-04-29 12:00:00-04:00,42.66,43.04,42.6,42.63,328941.0,42.81,2301
22,2025-04-30 09:30:00-04:00,43.16,43.19,42.47,42.79,195234.0,42.76,1267
23,2025-04-30 12:00:00-04:00,42.79,42.92,42.6,42.75,298319.0,42.782,2207
24,2025-05-01 09:30:00-04:00,42.5,42.64,42.03,42.22,93188.0,42.418,681
25,2025-05-01 12:00:00-04:00,42.22,42.5,42.06,42.21,368365.0,42.337,2318
26,2025-05-02 09:30:00-04:00,43.43,43.45,42.84,42.97,329593.0,43.099,2217
27,2025-05-02 12:00:00-04:00,42.99,43.33,42.99,43.09,340898.0,43.186,2529
28,2025-05-05 09:30:00-04:00,43.39,43.46,42.96,43.31,190533.0,43.241,1171
29,2025-05-05 12:00:00-04:00,43.32,43.34,42.74,42.79,412648.0,42.914,2757
30,2025-05-06 09:30:00-04:00,43.14,43.16,42.43,42.78,553232.0,42.774,3460
31,2025-05-06 12:00:00-04:00,42.79,42.89,42.04,42.18,324021.0,42.265,2486
32,2025-05-07 09:30:00-04:00,42.51,42.74,42.08,42.2,441968.0,42.383,3022
33,2025-05-07 12:00:00-04:00,42.19,42.7,42.15,42.62,557652.0,42.471,4197
34,2025-05-08 09:30:00-04:00,42.58,43.05,42.05,42.61,529730.0,42.568,3525
35,2025-05-08 12:00:00-04:00,42.59,42.77,42.05,42.16,626257.0,42.31,5135
36,2025-05-09 09:30:00-04:00,43.05,43.26,42.22,42.24,313032.0,42.654,2041
37,2025-05-09 12:00:00-04:00,42.26,42.3,41.73,41.85,671913.0,41.924,3853
38,2025-05-12 09:30:00-04:00,42.02,42.58,41.97,42.3,474503.0,42.36,3075
39,2025-05-12 12:00:00-04:00,42.28,42.97,42.28,42.96,431785.0,42.66,3288
40,2025-05-13 09:30:00-04:00,43.02,43.05,42.5,42.68,517809.0,42.805,3423
41,2025-05-13 12:00:00-04:00,42.67,42.71,42.03,42.1,758455.0,42.362,5585
42,2025-05-14 09:30:00-04:00,42.55,42.55,41.69,41.88,533050.0,42.064,3815
43,2025-05-14 12:00:00-04:00,41.88,41.92,41.13,41.16,575818.0,41.39,4413
44,2025-05-15 09:30:00-04:00,41.45,42.09,41.11,42.0,402883.0,41.623,2324
45,2025-05-15 12:00:00-04:00,42.0,42.27,41.94,42.27,324085.0,42.16,2297
46,2025-05-16 09:30:00-04:00,42.09,42.5,41.94,42.41,164686.0,42.287,983
47,2025-05-16 12:00:00-04:00,42.43,42.67,42.42,42.66,252988.0,42.597,1567
48,2025-05-19 09:30:00-04:00,42.72,42.83,42.47,42.61,343581.0,42.633,1872
49,2025-05-19 12:00:00-04:00,42.61,42.8,42.54,42.8,569843.0,42.689,3448
50,2025-05-20 09:30:00-04:00,42.8,42.97,42.72,42.78,170822.0,42.847,1222
51,2025-05-20 12:00:00-04:00,42.79,42.92,42.67,42.7,327625.0,42.761,2276
52,2025-05-21 09:30:00-04:00,42.97,43.01,42.56,42.93,600604.0,42.848,3887
53,2025-05-21 12:00:00-04:00,42.95,42.95,42.2,42.32,448019.0,42.37,3063
54,2025-05-22 09:30:00-04:00,42.41,42.51,42.24,42.32,332494.0,42.354,2192
55,2025-05-22 12:00:00-04:00,42.31,42.4,42.1,42.33,493819.0,42.314,3475
56,2025-05-23 09:30:00-04:00,42.1,42.1,41.77,41.9,359915.0,41.934,2250
57,2025-05-23 12:00:00-04:00,41.9,42.15,41.86,42.02,346949.0,42.028,2575
58,2025-05-27 09:30:00-04:00,43.87,44.08,43.62,43.64,486210.0,43.785,3233
59,2025-05-27 12:00:00-04:00,43.64,43.97,43.54,43.83,631148.0,43.748,3617
60,2025-05-28 09:30:00-04:00,44.09,44.47,43.99,44.13,455877.0,44.246,3040
61,2025-05-28 12:00:00-04:00,44.14,44.5,44.14,44.38,417609.0,44.359,2784
62,2025-05-29 09:30:00-04:00,44.75,45.04,44.51,44.62,386176.0,44.856,2594
63,2025-05-29 12:00:00-04:00,44.63,45.11,44.56,45.0,659579.0,44.93,4325
64,2025-05-30 09:30:00-04:00,45.2,45.41,44.88,44.92,579162.0,45.2,3478
65,2025-05-30 12:00:00-04:00,44.92,45.26,44.78,45.13,711627.0,45.068,4106
66,2025-06-02 09:30:00-04:00,45.07,45.21,44.74,44.97,493221.0,45.011,3175
67,2025-06-02 12:00:00-04:00,44.98,45.02,44.71,44.9,590788.0,44.88,3925
68,2025-06-03 09:30:00-04:00,44.95,45.38,44.74,45.14,380059.0,45.077,2234
69,2025-06-03 12:00:00-04:00,45.15,45.39,45.11,45.3,544173.0,45.257,3341
70,2025-06-04 09:30:00-04:00,45.7,46.15,45.63,45.98,258128.0,45.904,1578
71,2025-06-04 12:00:00-04:00,45.98,46.08,45.71,45.71,344150.0,45.845,2272
72,2025-06-05 09:30:00-04:00,46.0,46.19,45.76,46.05,261183.0,46.022,1785
73,2025-06-05 12:00:00-04:00,46.05,46.12,45.54,45.57,437037.0,45.743,3080
74,2025-06-06 09:30:00-04:00,45.45,45.88,45.42,45.46,193150.0,45.657,1320
75,2025-06-06 12:00:00-04:00,45.46,45.53,45.28,45.48,351074.0,45.422,2477
76,2025-06-09 09:30:00-04:00,45.68,46.1,45.59,46.01,371465.0,45.785,2251
77,2025-06-09 12:00:00-04:00,46.0,46.44,45.96,46.17,813068.0,46.199,4705
78,2025-06-10 09:30:00-04:00,46.54,46.72,46.12,46.33,449897.0,46.387,2878
79,2025-06-10 12:00:00-04:00,46.32,46.37,46.07,46.22,275669.0,46.228,1814
80,2025-06-11 09:30:00-04:00,46.93,47.23,46.76,46.78,482197.0,46.921,3212
81,2025-06-11 12:00:00-04:00,46.79,46.93,46.62,46.73,431804.0,46.751,2900
82,2025-06-12 09:30:00-04:00,46.98,47.28,46.68,46.99,331059.0,47.032,2160
83,2025-06-12 12:00:00-04:00,46.99,47.4,46.99,47.4,365633.0,47.272,2376
84,2025-06-13 09:30:00-04:00,46.65,47.16,46.6,47.12,223254.0,46.889,1321
85,2025-06-13 12:00:00-04:00,47.12,47.24,46.92,47.11,479942.0,47.079,2612
86,2025-06-16 09:30:00-04:00,47.28,47.7,46.94,47.42,326084.0,47.413,2003
87,2025-06-16 12:00:00-04:00,47.42,47.59,47.28,47.44,505212.0,47.43,3088
88,2025-06-17 09:30:00-04:00,46.92,46.98,46.44,46.69,294651.0,46.757,1788
89,2025-06-17 12:00:00-04:00,46.7,46.99,46.46,46.55,439339.0,46.682,3310
90,2025-06-18 09:30:00-04:00,46.55,46.81,46.25,46.68,155811.0,46.551,1106
91,2025-06-18 12:00:00-04:00,46.68,46.8,46.45,46.56,304276.0,46.596,2270
92,2025-06-20 09:30:00-04:00,46.6,46.83,46.37,46.61,296649.0,46.634,1917
