,date,open,high,low,close,volume,average,barCount
0,2025-04-14,464.46,465.05,452.63,457.48,27382228.0,458.858,149256
1,2025-04-15,458.54,462.38,456.15,457.99,21833728.0,459.129,116612
2,2025-04-16,449.01,452.62,437.76,444.18,30687351.0,445.156,166019
3,2025-04-17,447.17,447.75,441.36,444.1,25701475.0,444.858,148258
4,2025-04-21,438.23,439.08,427.93,433.11,25603865.0,431.965,124357
5,2025-04-22,438.82,447.58,437.62,444.48,32472918.0,443.016,167557
6,2025-04-23,458.17,463.38,452.88,454.56,35175254.0,458.008,195647
7,2025-04-24,456.48,467.66,455.83,467.35,27161495.0,463.792,134982
8,2025-04-25,466.97,473.09,465.39,472.56,25189001.0,469.777,130511
9,2025-04-28,473.01,474.81,466.03,472.41,20593222.0,470.282,98688
10,2025-04-29,470.09,476.43,469.59,475.53,20338159.0,473.873,94785
11,2025-04-30,467.13,477.2,462.43,475.47,27173820.0,469.562,134521
12,2025-05-01,483.41,487.18,480.74,481.68,26016492.0,483.846,133252
13,2025-05-02,486.54,490.91,484.83,488.83,24267175.0,488.681,120626
14,2025-05-05,484.6,489.03,484.1,485.93,16124657.0,486.676,87597
15,2025-05-06,479.56,485.05,478.19,481.41,20304184.0,481.745,96875
16,2025-05-07,482.08,485.8,476.78,483.3,23747715.0,481.14,127698
17,2025-05-08,488.53,492.7,484.17,488.29,25612010.0,489.621,121930
18,2025-05-09,490.21,491.54,486.19,487.97,16701123.0,488.441,79309
19,2025-05-12,507.0,507.89,501.48,507.85,25257926.0,505.262,130399
20,2025-05-13,509.19,517.39,508.42,515.59,34682849.0,514.93,192591
21,2025-05-14,516.75,519.23,515.75,518.68,31087780.0,517.651,181837
22,2025-05-15,516.52,521.93,515.17,519.25,31628020.0,518.52,187853
23,2025-05-16,520.69,521.7,517.1,521.51,27019975.0,520.028,162143
24,2025-05-19,514.3,522.53,514.24,522.01,29002744.0,519.807,167416
25,2025-05-20,519.46,520.93,516.66,520.27,25439566.0,519.283,159839
26,2025-05-21,516.29,523.0,511.24,513.04,50725300.0,517.076,310660
27,2025-05-22,513.67,517.71,512.3,514.0,36748353.0,515.521,235409
28,2025-05-23,506.2,511.84,505.58,509.24,35695531.0,509.042,225674
29,2025-05-27,516.15,521.71,514.59,521.22,32539987.0,519.461,201089
30,2025-05-28,522.18,523.68,518.39,518.91,28022930.0,521.076,186309
31,2025-05-29,526.32,526.48,517.32,519.93,38819480.0,520.696,256088
32,2025-05-30,519.44,520.68,511.93,519.11,43267169.0,517.186,286428
33,2025-06-02,517.27,523.45,515.97,523.21,29130636.0,520.45,189412
34,2025-06-03,523.58,528.74,522.69,527.3,29680295.0,526.515,185299
35,2025-06-04,528.02,529.84,525.96,528.77,26500556.0,528.753,161128
36,2025-06-05,530.18,533.05,522.66,524.79,38659696.0,528.275,243715
37,2025-06-06,530.0,531.8,528.21,529.92,27632140.0,530.379,181226
38,2025-06-09,530.14,532.35,529.01,530.7,22789489.0,531.211,128173
39,2025-06-10,531.17,534.9,528.89,534.21,29565611.0,532.458,164795
40,2025-06-11,535.63,536.78,530.11,532.41,36604204.0,533.694,219008
41,2025-06-12,531.07,534.65,530.84,533.66,22332522.0,533.284,144962
42,2025-06-13,527.67,531.87,525.73,526.96,36739379.0,528.526,245299
43,2025-06-16,530.51,535.37,530.45,534.29,23028795.0,533.907,142785
44,2025-06-17,531.71,533.33,527.91,529.08,27437050.0,530.799,184243
45,2025-06-18,530.1,532.55,527.4,528.99,29412149.0,530.362,191761
46,2025-06-20,532.26,533.56,524.89,526.83,33553336.0,527.827,219086
47,2025-06-23,526.82,532.17,523.65,531.65,33935045.0,528.986,219363
