,date,open,high,low,close,volume,average,barCount
0,2025-04-14,72.39,72.45,70.7,71.24,123894.0,71.695,550
1,2025-04-15,71.42,72.19,71.25,71.58,68667.0,71.663,326
2,2025-04-16,70.24,70.61,68.6,69.77,86424.0,69.779,458
3,2025-04-17,70.5,70.54,69.7,70.0,59525.0,70.182,230
4,2025-04-21,69.73,69.73,68.06,68.99,75958.0,68.698,314
5,2025-04-22,69.62,70.46,69.31,69.94,50817.0,69.829,235
6,2025-04-23,72.22,73.39,71.72,71.92,85766.0,72.491,433
7,2025-04-24,72.8,74.35,72.55,74.24,88435.0,73.821,495
8,2025-04-25,74.21,75.11,73.9,75.02,70914.0,74.528,366
9,2025-04-28,75.25,75.73,74.13,75.22,80963.0,74.767,431
10,2025-04-29,74.86,75.39,74.68,74.93,67817.0,75.038,296
11,2025-04-30,73.61,75.08,72.97,74.97,86965.0,74.1,413
12,2025-05-01,76.12,76.31,75.21,75.45,55936.0,75.881,227
13,2025-05-02,76.7,78.13,76.61,77.91,99218.0,77.696,526
14,2025-05-05,77.88,78.13,77.56,77.62,87424.0,77.871,396
15,2025-05-06,76.49,76.93,75.86,76.71,68710.0,76.549,317
16,2025-05-07,76.61,77.32,76.18,77.18,77849.0,76.613,449
17,2025-05-08,78.76,80.38,78.15,79.73,124089.0,79.6,767
18,2025-05-09,80.1,80.6,79.45,80.13,105446.0,80.046,618
19,2025-05-12,83.39,83.61,82.35,83.02,219878.0,82.933,1146
20,2025-05-13,82.91,84.0,82.74,83.6,153240.0,83.574,805
21,2025-05-14,84.0,84.45,83.45,83.97,173048.0,83.98,675
22,2025-05-15,83.69,84.34,83.28,83.93,145781.0,83.907,445
23,2025-05-16,84.26,84.8,83.94,84.77,203966.0,84.323,698
24,2025-05-19,83.76,84.93,83.43,84.86,196223.0,84.427,826
25,2025-05-20,85.75,86.86,85.23,86.43,510858.0,86.243,2398
26,2025-05-21,86.5,87.0,84.34,84.66,291239.0,85.905,1620
27,2025-05-22,84.9,87.69,84.36,86.92,544097.0,86.75,2600
28,2025-05-23,85.02,86.81,84.69,86.09,305809.0,85.834,1554
29,2025-05-27,87.78,87.81,86.42,87.4,250512.0,87.143,1207
30,2025-05-28,86.89,87.28,86.19,86.27,173641.0,86.767,815
31,2025-05-29,87.38,87.38,85.32,85.47,164462.0,85.974,865
32,2025-05-30,84.92,84.94,83.24,84.71,306337.0,84.28,1371
33,2025-06-02,84.67,85.99,84.08,85.9,193365.0,84.98,960
34,2025-06-03,85.96,86.86,85.45,86.84,215229.0,86.373,1012
35,2025-06-04,87.23,87.94,86.6,87.58,248874.0,87.481,1499
36,2025-06-05,88.07,88.12,86.01,86.49,297346.0,87.266,1231
37,2025-06-06,87.51,88.57,87.02,88.23,219831.0,88.273,1176
38,2025-06-09,89.12,89.58,88.45,89.12,274264.0,89.244,1456
39,2025-06-10,89.51,89.95,88.88,89.47,329626.0,89.511,1448
40,2025-06-11,90.17,90.33,88.71,89.2,608589.0,89.594,3441
41,2025-06-12,89.29,89.76,88.99,89.17,396998.0,89.336,2287
42,2025-06-13,87.85,88.69,87.27,87.56,270523.0,87.943,1421
43,2025-06-16,88.5,89.7,88.45,89.21,206069.0,89.237,1127
44,2025-06-17,89.0,89.5,88.05,88.33,156832.0,88.828,834
45,2025-06-18,88.81,89.54,88.1,88.65,186475.0,88.867,982
46,2025-06-20,89.2,89.3,87.55,87.85,248426.0,88.201,1209
47,2025-06-23,87.37,88.3,86.45,88.15,222767.0,87.648,985
48,2025-06-24,89.46,90.29,89.37,90.17,281913.0,89.997,1193
49,2025-06-25,90.51,90.63,89.72,90.02,220078.0,90.048,1088
50,2025-06-26,90.52,90.92,90.02,90.85,240205.0,90.577,1278
51,2025-06-27,91.31,91.74,90.24,90.96,227370.0,91.269,1237
52,2025-06-30,91.97,91.97,91.37,91.81,261189.0,91.702,1363
53,2025-07-01,91.7,91.9,90.39,91.41,300883.0,91.399,1543
54,2025-07-02,91.57,92.86,91.06,92.77,376382.0,92.187,2090
55,2025-07-03,93.07,93.75,92.82,93.55,267351.0,93.396,1438
56,2025-07-07,93.13,93.38,91.75,92.34,367538.0,92.565,1867
57,2025-07-08,93.04,93.48,92.87,93.03,384104.0,93.161,1952
58,2025-07-09,93.6,93.89,92.55,93.54,241422.0,93.339,1161
59,2025-07-10,93.88,93.88,92.79,93.44,290016.0,93.531,1225
60,2025-07-11,92.78,93.07,92.08,92.15,207745.0,92.548,1246
61,2025-07-14,91.98,92.53,91.34,92.3,251307.0,92.003,1337
62,2025-07-15,93.48,93.48,92.4,92.49,245506.0,92.876,1031
63,2025-07-16,92.82,93.63,91.43,93.52,292675.0,92.67,1651
64,2025-07-17,93.95,95.1,93.75,95.04,492062.0,94.662,2793
65,2025-07-18,95.31,95.47,94.6,94.98,482726.0,94.952,2637
66,2025-07-21,95.27,96.24,94.82,94.88,385910.0,95.624,2059
67,2025-07-22,94.76,94.76,92.84,93.84,354684.0,93.706,1775
68,2025-07-23,94.21,94.81,93.7,94.81,200816.0,94.337,1027
69,2025-07-24,94.48,94.48,93.5,93.7,380962.0,93.861,1369
70,2025-07-25,93.64,93.92,93.05,93.8,212383.0,93.612,1074
71,2025-07-28,94.23,94.23,93.47,93.76,256492.0,93.694,1356
72,2025-07-29,94.32,94.74,93.16,93.44,200153.0,93.826,938
73,2025-07-30,94.1,94.37,92.92,93.58,303883.0,93.921,1820
74,2025-07-31,93.6,93.77,91.77,92.02,730423.0,92.672,3898
75,2025-08-01,90.83,91.22,89.23,90.45,403346.0,90.393,2095
76,2025-08-04,91.23,92.26,91.23,92.26,372838.0,91.869,1389
77,2025-08-05,93.12,93.46,91.82,92.52,338847.0,92.691,1738
78,2025-08-06,92.5,92.55,91.37,92.28,466780.0,91.979,2284
79,2025-08-07,93.49,93.72,91.66,92.55,260552.0,92.634,953
80,2025-08-08,92.62,93.14,92.45,92.77,143825.0,92.776,741
81,2025-08-11,92.78,93.96,92.44,92.7,310009.0,93.088,1441
82,2025-08-12,93.29,94.71,92.8,94.69,369304.0,94.122,1869
83,2025-08-13,95.24,95.48,94.5,95.27,271832.0,95.018,1505
84,2025-08-14,94.21,94.75,93.52,94.63,309760.0,94.177,1035
85,2025-08-15,94.55,94.55,93.56,93.98,113663.0,94.023,579
86,2025-08-18,94.07,94.34,93.72,94.31,217037.0,94.183,829
87,2025-08-19,94.35,94.35,92.58,92.77,226537.0,93.26,1083
88,2025-08-20,92.43,92.43,90.31,91.98,343720.0,91.162,1462
89,2025-08-21,91.71,91.99,91.25,91.6,116704.0,91.652,602
90,2025-08-22,91.76,94.55,91.76,94.08,214556.0,93.916,1260
91,2025-08-25,94.08,94.09,93.5,93.61,142612.0,93.879,760
92,2025-08-26,93.89,94.63,93.89,94.42,134116.0,94.329,646
93,2025-08-27,94.64,95.28,94.26,94.99,218859.0,94.908,968
94,2025-08-28,95.31,96.57,95.22,96.35,246944.0,96.142,1332
95,2025-08-29,95.76,95.76,94.41,94.77,318906.0,94.739,1525
