,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,72.39,72.45,70.7,70.83,78498.0,71.852,333
1,2025-04-14 12:00:00-04:00,70.85,71.91,70.73,71.29,45396.0,71.423,217
2,2025-04-15 09:30:00-04:00,71.42,72.19,71.42,71.66,36684.0,71.74,171
3,2025-04-15 12:00:00-04:00,71.77,71.94,71.25,71.55,31983.0,71.576,155
4,2025-04-16 09:30:00-04:00,70.24,70.61,69.77,70.35,29603.0,70.229,122
5,2025-04-16 12:00:00-04:00,70.29,70.39,68.6,69.72,56821.0,69.544,336
6,2025-04-17 09:30:00-04:00,70.5,70.5,69.71,69.84,20100.0,70.113,89
7,2025-04-17 12:00:00-04:00,69.91,70.54,69.7,69.98,39425.0,70.217,141
8,2025-04-21 09:30:00-04:00,69.73,69.73,68.06,68.17,38255.0,68.987,132
9,2025-04-21 12:00:00-04:00,68.13,69.02,68.13,68.92,37703.0,68.405,182
10,2025-04-22 09:30:00-04:00,69.62,69.95,69.31,69.77,19119.0,69.662,78
11,2025-04-22 12:00:00-04:00,69.96,70.46,69.41,69.91,31698.0,69.929,157
12,2025-04-23 09:30:00-04:00,72.22,73.39,71.95,72.23,46231.0,72.714,210
13,2025-04-23 12:00:00-04:00,72.22,72.68,71.72,72.04,39535.0,72.23,223
14,2025-04-24 09:30:00-04:00,72.8,73.88,72.55,73.65,43745.0,73.493,257
15,2025-04-24 12:00:00-04:00,73.71,74.35,73.67,74.31,44690.0,74.142,238
16,2025-04-25 09:30:00-04:00,74.21,74.68,73.9,74.27,33923.0,74.268,164
17,2025-04-25 12:00:00-04:00,74.31,75.11,74.26,75.03,36991.0,74.766,202
18,2025-04-28 09:30:00-04:00,75.25,75.73,74.19,74.36,35790.0,75.145,151
19,2025-04-28 12:00:00-04:00,74.3,75.26,74.13,75.21,45173.0,74.468,280
20,2025-04-29 09:30:00-04:00,74.86,75.21,74.68,74.91,36262.0,74.985,125
21,2025-04-29 12:00:00-04:00,75.08,75.39,74.71,75.03,31555.0,75.099,171
22,2025-04-30 09:30:00-04:00,73.61,74.19,72.97,74.19,40158.0,73.519,176
23,2025-04-30 12:00:00-04:00,74.21,75.08,73.84,74.88,46807.0,74.599,237
24,2025-05-01 09:30:00-04:00,76.12,76.31,75.21,75.81,31082.0,75.936,122
25,2025-05-01 12:00:00-04:00,75.85,76.03,75.35,75.41,24854.0,75.813,105
26,2025-05-02 09:30:00-04:00,76.7,77.81,76.61,77.81,41232.0,77.38,205
27,2025-05-02 12:00:00-04:00,77.83,78.13,77.69,77.91,57986.0,77.92,321
28,2025-05-05 09:30:00-04:00,77.88,78.07,77.64,77.74,49267.0,77.866,189
29,2025-05-05 12:00:00-04:00,77.83,78.13,77.56,77.59,38157.0,77.877,207
30,2025-05-06 09:30:00-04:00,76.49,76.7,75.86,76.56,26530.0,76.437,136
31,2025-05-06 12:00:00-04:00,76.58,76.93,76.19,76.73,42180.0,76.619,181
32,2025-05-07 09:30:00-04:00,76.61,76.74,76.29,76.47,27909.0,76.498,119
33,2025-05-07 12:00:00-04:00,76.46,77.32,76.18,77.15,49940.0,76.677,330
34,2025-05-08 09:30:00-04:00,78.76,79.8,78.15,79.58,46146.0,78.881,308
35,2025-05-08 12:00:00-04:00,79.51,80.38,79.5,79.7,77943.0,80.026,459
36,2025-05-09 09:30:00-04:00,80.1,80.6,79.79,80.09,69933.0,80.141,406
37,2025-05-09 12:00:00-04:00,80.09,80.22,79.45,80.05,35513.0,79.859,212
38,2025-05-12 09:30:00-04:00,83.39,83.61,82.35,82.62,128810.0,82.896,703
39,2025-05-12 12:00:00-04:00,82.71,83.33,82.68,83.01,91068.0,82.985,443
40,2025-05-13 09:30:00-04:00,82.91,83.89,82.74,83.78,77599.0,83.353,397
41,2025-05-13 12:00:00-04:00,83.69,84.0,83.5,83.62,75641.0,83.802,408
42,2025-05-14 09:30:00-04:00,84.0,84.45,83.62,84.11,70391.0,84.001,337
43,2025-05-14 12:00:00-04:00,84.17,84.44,83.45,83.94,102657.0,83.966,338
44,2025-05-15 09:30:00-04:00,83.69,84.34,83.28,84.13,59792.0,83.837,204
45,2025-05-15 12:00:00-04:00,84.05,84.32,83.55,84.1,85989.0,83.955,241
46,2025-05-16 09:30:00-04:00,84.26,84.8,83.94,84.15,69198.0,84.378,313
47,2025-05-16 12:00:00-04:00,84.2,84.76,84.0,84.62,134768.0,84.294,385
