,date,open,high,low,close,volume,average,barCount
0,2025-04-14,57.13,57.67,56.62,57.01,2152122.0,57.212,13412
1,2025-04-15,57.4,57.73,57.08,57.26,1886368.0,57.381,11040
2,2025-04-16,57.15,57.65,56.77,57.16,1848077.0,57.225,11412
3,2025-04-17,58.08,58.71,57.94,58.17,1807244.0,58.288,10463
4,2025-04-21,58.44,58.55,57.86,58.47,1163804.0,58.191,6452
5,2025-04-22,59.38,60.08,59.21,59.62,1493198.0,59.638,9287
6,2025-04-23,61.11,61.88,60.16,60.2,2495447.0,60.914,15746
7,2025-04-24,60.83,61.84,60.73,61.69,2120035.0,61.346,12873
8,2025-04-25,61.16,61.18,60.42,60.56,1577507.0,60.695,9895
9,2025-04-28,60.54,60.97,60.45,60.87,1171216.0,60.709,7194
10,2025-04-29,61.52,61.58,60.83,60.88,1334164.0,61.029,7638
11,2025-04-30,58.62,59.51,58.46,59.4,2246011.0,59.012,13216
12,2025-05-01,59.6,59.65,58.49,58.55,1567527.0,58.882,9084
13,2025-05-02,59.97,60.15,59.53,59.7,1404581.0,59.84,8650
14,2025-05-05,60.0,60.09,59.38,59.57,940536.0,59.562,5596
15,2025-05-06,60.12,60.18,59.67,59.8,1229715.0,59.879,6699
16,2025-05-07,60.17,60.97,59.74,60.02,2024430.0,60.209,13013
17,2025-05-08,59.57,59.61,58.98,59.18,1852286.0,59.237,9713
18,2025-05-09,59.69,60.04,59.43,59.98,785170.0,59.795,4561
19,2025-05-12,62.02,62.28,61.2,61.41,1952570.0,61.575,10792
20,2025-05-13,62.04,62.5,61.77,62.27,1598221.0,62.268,8653
21,2025-05-14,62.65,62.65,61.94,62.03,1129419.0,62.168,6857
22,2025-05-15,62.42,62.8,61.94,62.75,2169552.0,62.376,12288
23,2025-05-16,61.85,62.67,61.73,62.64,1899411.0,62.213,10643
24,2025-05-19,61.34,62.41,61.3,62.39,1789638.0,61.948,9616
25,2025-05-20,62.44,62.65,62.08,62.24,1402696.0,62.36,7845
26,2025-05-21,62.44,62.65,61.97,61.98,1413054.0,62.334,8095
27,2025-05-22,61.84,61.88,61.11,61.12,2758505.0,61.495,15784
28,2025-05-23,61.16,61.73,60.89,61.58,2581882.0,61.477,13899
29,2025-05-27,61.08,61.18,60.58,60.8,2813444.0,60.836,16318
30,2025-05-28,60.27,60.29,59.76,59.95,2285046.0,60.047,12356
31,2025-05-29,60.3,60.4,59.99,60.2,1473447.0,60.228,7791
32,2025-05-30,59.8,59.8,58.96,59.43,2558014.0,59.362,15929
33,2025-06-02,59.38,59.64,59.05,59.58,2654402.0,59.432,15525
34,2025-06-03,58.08,58.96,57.79,58.85,3135374.0,58.439,18377
35,2025-06-04,59.08,59.33,58.53,58.55,1872732.0,58.856,11136
36,2025-06-05,59.68,59.86,59.1,59.24,1803125.0,59.504,11424
37,2025-06-06,59.19,59.33,58.7,59.03,1904694.0,59.006,10748
38,2025-06-09,58.62,59.44,58.53,59.31,1885555.0,59.11,10987
39,2025-06-10,59.12,59.53,59.04,59.47,1941264.0,59.325,12042
40,2025-06-11,59.38,59.55,58.78,58.83,1999550.0,59.106,11193
41,2025-06-12,58.37,58.72,58.04,58.68,1727205.0,58.493,10104
42,2025-06-13,57.94,58.39,57.7,58.0,2368330.0,58.003,11878
43,2025-06-16,58.44,58.86,58.21,58.31,2556595.0,58.489,12465
44,2025-06-17,58.1,58.16,57.0,57.01,2125476.0,57.442,10939
45,2025-06-18,57.15,57.28,56.87,56.94,1405119.0,57.086,7551
46,2025-06-20,56.4,56.51,55.72,55.89,2482101.0,55.989,13311
47,2025-06-23,55.66,57.13,55.64,57.09,2370233.0,56.412,12099
48,2025-06-24,57.11,57.47,57.09,57.19,2547889.0,57.285,12394
49,2025-06-25,56.62,56.82,56.2,56.71,2108183.0,56.568,10772
50,2025-06-26,57.9,58.91,57.79,58.58,3146853.0,58.541,15865
51,2025-06-27,58.47,58.84,58.31,58.74,1715013.0,58.579,9441
52,2025-06-30,58.21,58.42,57.88,58.33,2167958.0,58.274,11145
53,2025-07-01,57.7,58.89,57.67,58.3,3626180.0,58.369,18001
54,2025-07-02,58.96,60.2,58.77,60.18,5510708.0,59.664,28104
55,2025-07-03,58.94,59.32,58.71,59.02,2607030.0,58.964,13972
56,2025-07-07,58.24,58.4,57.65,57.66,2968486.0,57.992,15768
57,2025-07-08,58.36,59.65,58.25,58.73,3157797.0,58.828,17258
58,2025-07-09,58.48,58.83,58.23,58.71,2208663.0,58.563,13625
59,2025-07-10,60.15,60.59,59.99,60.1,4965521.0,60.239,26153
60,2025-07-11,59.97,61.13,59.82,61.1,3317328.0,60.536,18433
61,2025-07-14,60.26,60.36,59.6,59.82,2214709.0,59.86,12955
62,2025-07-15,59.29,59.41,58.15,58.47,2702210.0,58.53,15821
63,2025-07-16,59.12,59.8,58.79,59.72,2569943.0,59.434,15034
64,2025-07-17,59.67,60.12,59.48,60.03,1888247.0,59.814,11181
65,2025-07-18,60.47,60.71,59.98,60.54,1880650.0,60.467,10857
66,2025-07-21,61.77,62.48,61.76,62.05,2353232.0,62.14,12604
67,2025-07-22,63.38,64.41,63.34,64.33,2986403.0,63.972,16458
68,2025-07-23,64.39,64.76,64.27,64.62,1967184.0,64.509,10990
69,2025-07-24,64.08,64.57,63.76,63.83,2237527.0,64.054,12047
70,2025-07-25,63.28,63.28,62.77,63.1,1893680.0,63.026,11060
71,2025-07-28,61.88,62.39,61.53,62.19,2115688.0,62.039,11612
72,2025-07-29,62.26,62.49,62.02,62.27,1582943.0,62.282,8779
73,2025-07-30,61.08,61.54,59.06,59.49,6126396.0,60.203,31850
74,2025-07-31,58.47,60.02,58.4,59.77,3411997.0,59.488,21226
75,2025-08-01,59.8,60.07,59.35,59.65,1821784.0,59.693,10310
76,2025-08-04,59.9,60.19,59.77,60.0,1947374.0,59.973,11897
77,2025-08-05,60.16,60.29,59.49,59.7,1669756.0,59.829,9011
78,2025-08-06,60.4,60.67,60.09,60.09,1482073.0,60.325,8616
79,2025-08-07,60.76,61.11,60.42,60.77,1541648.0,60.761,9322
80,2025-08-08,61.32,62.14,61.12,61.86,1538197.0,61.708,7946
81,2025-08-11,61.7,62.19,61.52,62.14,1790162.0,61.882,9754
82,2025-08-12,62.85,63.38,62.77,63.1,2061860.0,63.109,11249
83,2025-08-13,63.4,63.84,63.23,63.57,1481743.0,63.546,9110
84,2025-08-14,62.45,62.54,61.92,62.52,1619557.0,62.242,8459
85,2025-08-15,61.76,61.83,61.2,61.24,1432946.0,61.423,6887
86,2025-08-18,60.64,60.74,60.22,60.36,1549591.0,60.443,9719
87,2025-08-19,61.03,61.12,60.47,60.59,2444071.0,60.747,13502
88,2025-08-20,60.55,60.99,60.37,60.62,1247274.0,60.755,7571
89,2025-08-21,60.73,61.35,60.59,61.3,1077634.0,61.045,5415
90,2025-08-22,61.13,62.82,61.13,62.69,1834805.0,62.367,10191
91,2025-08-25,62.76,63.08,62.26,62.33,1311264.0,62.572,7828
92,2025-08-26,61.91,62.16,61.76,61.95,991750.0,61.948,5687
93,2025-08-27,61.78,62.19,61.66,62.11,895844.0,61.944,5703
94,2025-08-28,62.71,63.03,62.51,62.88,1332779.0,62.859,7140
95,2025-08-29,62.82,63.26,62.63,62.72,1114008.0,62.916,5902
96,2025-09-02,61.6,62.08,61.4,61.89,1292451.0,61.73,7460
97,2025-09-03,62.45,62.54,62.1,62.48,1311287.0,62.37,7982
