,date,open,high,low,close,volume,average,barCount
0,2025-04-14,32.22,32.32,31.77,32.29,1671612.0,32.069,9263
1,2025-04-15,32.34,32.51,32.04,32.45,1855566.0,32.306,10503
2,2025-04-16,32.56,32.61,32.02,32.19,1919851.0,32.265,12945
3,2025-04-17,32.09,32.67,32.09,32.6,1667428.0,32.529,9784
4,2025-04-21,32.66,32.7,32.02,32.19,1126794.0,32.286,7124
5,2025-04-22,32.57,32.73,31.97,32.19,1491717.0,32.187,9962
6,2025-04-23,32.41,32.48,31.67,31.69,2672909.0,31.855,16895
7,2025-04-24,31.86,32.13,31.58,32.03,1909945.0,31.982,11669
8,2025-04-25,32.04,32.3,31.84,32.2,2423132.0,32.12,10746
9,2025-04-28,32.37,32.67,32.23,32.54,2424026.0,32.476,7513
10,2025-04-29,32.49,32.91,32.33,32.71,1851450.0,32.732,9295
11,2025-04-30,32.88,33.0,32.38,32.82,2928784.0,32.65,11331
12,2025-05-01,32.66,32.69,32.08,32.48,1716077.0,32.484,9201
13,2025-05-02,32.82,32.97,32.45,32.89,2185803.0,32.689,7057
14,2025-05-05,32.98,33.04,32.54,33.0,3002568.0,32.802,11841
15,2025-05-06,32.86,33.04,31.97,32.11,3558572.0,32.28,16646
16,2025-05-07,32.25,32.83,32.21,32.75,3768501.0,32.622,20237
17,2025-05-08,32.62,34.11,32.36,33.1,6794934.0,33.058,28871
18,2025-05-09,33.22,33.72,33.02,33.15,3243132.0,33.197,15718
19,2025-05-12,32.65,33.6,32.55,33.35,4184124.0,33.265,20822
20,2025-05-13,33.09,33.09,32.54,32.82,2996728.0,32.765,17097
21,2025-05-14,32.87,33.11,32.18,32.29,2181475.0,32.428,12414
22,2025-05-15,32.44,33.13,32.23,33.12,2020091.0,32.705,10047
23,2025-05-16,33.08,34.2,33.06,34.02,3342191.0,33.939,17777
24,2025-05-19,34.09,34.32,33.8,34.25,2466469.0,34.048,12613
25,2025-05-20,33.68,33.8,32.57,33.09,4821848.0,33.002,26193
26,2025-05-21,33.15,33.33,32.81,32.83,2699597.0,33.039,15944
27,2025-05-22,32.83,32.93,32.2,32.31,1984929.0,32.363,12564
28,2025-05-23,32.16,32.6,32.15,32.45,1492643.0,32.409,9091
29,2025-05-27,32.63,32.81,32.21,32.69,1617978.0,32.614,10205
30,2025-05-28,32.67,32.82,32.57,32.63,1780230.0,32.679,11240
31,2025-05-29,32.59,32.77,32.42,32.64,1461842.0,32.64,9157
32,2025-05-30,32.64,33.11,32.29,32.88,2611294.0,32.916,15069
33,2025-06-02,33.0,33.27,32.65,33.26,1956972.0,33.105,11249
34,2025-06-03,33.09,33.54,32.85,33.29,1413243.0,33.337,9497
35,2025-06-04,33.34,33.72,33.25,33.44,1403837.0,33.496,9391
36,2025-06-05,33.7,33.77,33.39,33.75,1626377.0,33.617,9317
37,2025-06-06,33.71,33.97,33.61,33.78,1781554.0,33.774,10381
38,2025-06-09,33.77,33.86,33.37,33.39,1674614.0,33.585,10334
39,2025-06-10,33.4,34.03,33.4,33.58,2756240.0,33.755,12674
40,2025-06-11,33.59,34.18,33.59,34.05,2473469.0,33.944,11304
41,2025-06-12,34.08,35.37,34.08,35.27,5653352.0,34.899,24826
42,2025-06-13,35.09,35.38,34.72,34.84,2042642.0,34.92,11819
43,2025-06-16,34.92,35.15,34.58,35.1,1468131.0,34.944,8627
44,2025-06-17,34.99,35.14,34.43,34.56,1668448.0,34.656,9850
45,2025-06-18,34.6,34.99,34.42,34.91,1788155.0,34.828,9741
46,2025-06-20,34.86,34.89,34.39,34.86,1715900.0,34.662,11322
47,2025-06-23,34.86,35.46,34.85,35.4,1471863.0,35.297,9184
48,2025-06-24,35.5,36.32,35.42,36.14,2373754.0,36.001,12796
49,2025-06-25,35.87,36.04,35.65,35.91,1353713.0,35.879,7376
50,2025-06-26,36.08,36.14,35.01,35.27,1867243.0,35.367,11333
51,2025-06-27,35.74,35.94,35.29,35.87,1900645.0,35.699,9397
52,2025-06-30,35.87,36.22,35.6,36.03,2307803.0,36.009,11900
53,2025-07-01,36.09,36.33,35.62,35.88,2417413.0,35.922,11212
54,2025-07-02,35.87,36.25,35.77,36.19,2463135.0,36.041,9931
55,2025-07-03,36.13,36.43,35.95,36.37,578393.0,36.247,3855
56,2025-07-07,36.32,36.42,35.54,35.59,1910189.0,35.807,13319
57,2025-07-08,35.59,35.91,35.22,35.51,2579004.0,35.499,18021
58,2025-07-09,35.65,35.9,35.46,35.87,1519231.0,35.68,9854
59,2025-07-10,36.0,36.56,35.92,36.12,1213709.0,36.227,8000
60,2025-07-11,36.08,36.08,35.51,35.84,903889.0,35.849,5685
61,2025-07-14,35.93,36.33,35.81,36.24,1277405.0,36.193,7853
62,2025-07-15,36.46,36.69,36.17,36.51,1243758.0,36.431,7910
