,date,open,high,low,close,volume,average,barCount
0,2025-04-14,23.0,23.2,22.55,22.74,594456.0,22.842,4320
1,2025-04-15,22.94,23.39,22.82,22.98,520183.0,23.115,3782
2,2025-04-16,22.79,22.9,21.81,22.1,683160.0,22.242,5087
3,2025-04-17,22.14,22.66,21.71,21.75,596165.0,21.993,3696
4,2025-04-21,21.42,21.51,20.74,21.0,762040.0,20.956,3974
5,2025-04-22,21.45,21.81,21.17,21.31,621606.0,21.408,3768
6,2025-04-23,22.1,22.99,21.94,21.97,780112.0,22.303,5270
7,2025-04-24,21.82,22.74,21.82,22.51,567604.0,22.511,3460
8,2025-04-25,22.43,22.73,22.25,22.56,416085.0,22.465,2673
9,2025-04-28,22.61,23.42,22.43,22.68,380885.0,22.78,2536
10,2025-04-29,22.52,23.04,22.4,22.7,280596.0,22.781,2018
11,2025-04-30,22.48,22.69,21.75,22.48,606999.0,22.247,3933
12,2025-05-01,22.57,23.34,22.24,23.02,696411.0,22.996,4479
13,2025-05-02,23.32,24.21,23.23,24.03,661652.0,23.926,4309
14,2025-05-05,23.66,24.15,23.27,23.88,721682.0,23.935,4663
15,2025-05-06,23.32,23.98,23.26,23.92,463810.0,23.76,3023
16,2025-05-07,24.11,24.79,24.06,24.25,764382.0,24.311,3894
17,2025-05-08,24.62,24.74,23.66,23.85,1088059.0,23.953,6864
18,2025-05-09,24.05,25.26,23.87,24.19,1417699.0,24.423,8309
19,2025-05-12,24.38,24.9,18.37,20.18,9535084.0,20.556,37393
20,2025-05-13,20.05,20.2,17.6,19.78,7806364.0,18.861,34454
21,2025-05-14,19.62,22.81,19.16,22.79,5642207.0,21.335,20205
22,2025-05-15,22.5,23.5,22.1,22.9,2153326.0,22.954,10699
23,2025-05-16,23.07,23.73,22.56,23.39,1469076.0,23.164,6563
24,2025-05-19,22.8,23.05,21.93,22.0,1059133.0,22.456,5256
25,2025-05-20,21.78,22.32,21.72,22.16,1052375.0,22.105,6408
26,2025-05-21,21.85,22.0,21.1,21.14,906432.0,21.506,5356
27,2025-05-22,20.96,21.17,20.75,20.95,729324.0,20.993,4083
28,2025-05-23,20.61,20.99,19.56,19.76,953048.0,20.006,6010
29,2025-05-27,20.13,20.79,20.07,20.24,781181.0,20.334,4323
30,2025-05-28,20.25,20.5,19.9,19.95,565867.0,20.133,3576
31,2025-05-29,20.15,20.33,19.83,20.17,644731.0,20.071,3867
32,2025-05-30,18.25,18.63,17.52,17.73,6864835.0,18.001,28616
33,2025-06-02,17.71,18.43,16.67,18.21,2807716.0,17.691,15210
34,2025-06-03,17.49,17.59,15.85,16.15,5445462.0,16.622,24629
35,2025-06-04,16.13,16.29,15.5,16.2,4755465.0,16.027,18847
36,2025-06-05,16.24,19.1,16.09,19.03,6272021.0,17.946,28332
37,2025-06-06,18.99,19.01,17.02,17.48,2705111.0,17.643,12947
38,2025-06-09,15.78,16.73,14.9,15.99,4357922.0,16.049,20924
39,2025-06-10,16.0,16.82,15.86,16.74,3726826.0,16.423,20418
40,2025-06-11,16.81,17.41,16.6,17.27,1904131.0,17.107,9397
41,2025-06-12,17.43,18.13,17.36,18.07,2465379.0,17.843,12321
42,2025-06-13,17.68,18.0,16.73,16.84,2399530.0,17.132,15007
43,2025-06-16,24.31,25.29,23.87,25.11,9837271.0,24.693,40524
44,2025-06-17,24.91,25.46,23.97,24.38,3483317.0,24.636,19527
45,2025-06-18,24.59,25.3,24.16,24.87,2308754.0,24.817,14164
46,2025-06-20,25.34,26.15,25.0,25.12,1910808.0,25.492,10957
47,2025-06-23,24.91,25.52,24.23,25.15,1409041.0,24.953,8713
48,2025-06-24,25.27,26.05,25.16,25.24,1838987.0,25.551,8854
49,2025-06-25,25.07,25.19,24.15,24.63,2053721.0,24.741,10597
50,2025-06-26,25.21,25.59,24.36,25.46,1858623.0,25.122,9653
51,2025-06-27,25.99,29.16,25.64,28.81,5135254.0,28.353,23518
52,2025-06-30,28.9,29.0,27.41,27.7,1423794.0,28.085,7740
53,2025-07-01,27.78,28.48,27.49,28.36,1352658.0,28.02,8292
54,2025-07-02,28.61,29.71,28.08,29.49,1562190.0,29.292,10277
55,2025-07-03,29.8,31.58,29.57,31.36,1957581.0,30.778,10625
56,2025-07-07,30.95,32.07,30.36,31.36,1684532.0,31.181,10398
57,2025-07-08,31.58,32.77,30.89,32.66,1536879.0,31.814,8518
58,2025-07-09,32.93,33.04,32.05,32.22,1285850.0,32.464,7153
59,2025-07-10,32.23,32.43,31.51,32.13,1901209.0,31.938,10750
60,2025-07-11,32.07,32.07,30.21,30.86,2110294.0,30.904,13014
61,2025-07-14,30.68,30.83,29.43,29.91,1651370.0,29.879,9338
62,2025-07-15,29.87,30.36,29.57,29.6,1152042.0,29.931,8220
63,2025-07-16,29.49,29.78,28.57,29.09,1406523.0,29.128,8557
64,2025-07-17,29.01,29.29,28.76,28.93,1297829.0,29.041,9025
65,2025-07-18,29.21,29.41,28.45,28.61,1147169.0,28.788,7722
66,2025-07-21,28.98,29.77,28.17,28.33,1400387.0,28.469,8232
67,2025-07-22,28.5,28.5,27.65,28.12,919672.0,28.069,6426
68,2025-07-23,28.16,29.65,28.12,29.61,907352.0,29.168,5773
69,2025-07-24,29.99,30.07,29.02,29.84,1307187.0,29.697,7403
70,2025-07-25,29.78,29.89,28.88,29.67,576720.0,29.524,4007
71,2025-07-28,29.45,29.87,29.11,29.77,672730.0,29.646,4339
72,2025-07-29,30.13,30.3,29.29,29.51,766836.0,29.601,4544
73,2025-07-30,30.02,34.2,29.43,32.82,4395375.0,32.145,23977
74,2025-07-31,32.42,33.8,32.19,32.59,1929897.0,32.96,11965
75,2025-08-01,29.45,29.73,26.04,26.93,6031538.0,26.843,34176
76,2025-08-04,27.13,28.07,26.06,26.33,3114693.0,26.838,20631
77,2025-08-05,26.17,26.98,26.14,26.73,1486140.0,26.676,10706
78,2025-08-06,27.0,27.64,26.52,26.99,1520015.0,27.2,10247
79,2025-08-07,27.08,27.47,26.67,27.35,699202.0,27.145,4661
80,2025-08-08,27.59,27.91,26.47,27.08,994517.0,26.963,6294
81,2025-08-11,27.34,27.54,26.97,27.48,593787.0,27.289,4089
82,2025-08-12,27.91,28.47,27.5,28.0,921438.0,27.97,6124
83,2025-08-13,28.12,28.75,27.74,28.41,689413.0,28.335,4339
84,2025-08-14,28.0,28.45,27.47,28.37,712625.0,28.065,4491
85,2025-08-15,28.49,28.5,27.77,27.86,549018.0,28.113,2566
86,2025-08-18,27.32,28.07,27.24,27.87,493549.0,27.775,2748
87,2025-08-19,27.76,27.9,27.29,27.49,880864.0,27.546,4396
88,2025-08-20,27.34,27.98,27.17,27.65,963649.0,27.707,4908
89,2025-08-21,26.84,27.53,26.52,27.5,941335.0,27.255,5359
90,2025-08-22,27.56,29.69,27.39,29.62,1398450.0,29.174,7745
91,2025-08-25,29.95,30.07,29.34,29.88,1119152.0,29.717,5707
92,2025-08-26,54.11,55.19,50.62,50.87,22984724.0,52.732,112220
93,2025-08-27,54.31,59.64,53.9,58.76,13537296.0,57.436,57130
94,2025-08-28,58.67,58.85,54.74,56.95,5109455.0,56.584,24352
95,2025-08-29,57.14,61.87,56.25,61.79,6418739.0,58.563,29152
96,2025-09-02,60.94,65.54,60.35,65.24,4708678.0,63.862,23925
97,2025-09-03,65.06,65.24,62.28,63.91,2690051.0,63.525,15853
98,2025-09-04,63.94,67.36,63.39,67.22,2317477.0,66.44,13060
99,2025-09-05,67.13,70.19,66.18,67.24,3517085.0,68.39,18956
100,2025-09-08,81.53,84.48,75.5,80.63,13379678.0,79.18,68901
