,date,open,high,low,close,volume,average,barCount
0,2025-04-14,2.39,2.59,2.24,2.58,408436.0,2.47199,2020
1,2025-04-15,2.56,2.71,2.4922,2.645,237160.0,2.65057,1231
2,2025-04-16,2.59,2.7,2.5,2.55,166574.0,2.56047,769
3,2025-04-17,2.55,2.5891,2.5,2.57,160303.0,2.54851,1001
4,2025-04-21,2.54,2.64,2.5052,2.56,170998.0,2.57569,899
5,2025-04-22,2.56,2.6378,2.5,2.61,132610.0,2.58329,747
6,2025-04-23,2.7,2.76,2.59,2.6,140842.0,2.63089,642
7,2025-04-24,2.59,2.59,2.48,2.5,184828.0,2.52243,670
8,2025-04-25,2.48,2.525,2.37,2.51,172752.0,2.46168,577
9,2025-04-28,2.53,2.6187,2.41,2.45,60659.0,2.46818,313
10,2025-04-29,2.44,2.44,2.345,2.37,114990.0,2.36865,563
11,2025-04-30,2.33,2.57,2.24,2.55,248019.0,2.47738,873
12,2025-05-01,2.56,2.58,2.46,2.53,126555.0,2.52257,493
13,2025-05-02,2.56,2.63,2.5,2.6,105546.0,2.59159,456
14,2025-05-05,2.58,2.64,2.47,2.48,47995.0,2.5061,242
15,2025-05-06,2.46,2.55,2.26,2.29,223384.0,2.325,670
16,2025-05-07,2.29,2.43,2.26,2.41,128183.0,2.3705,473
17,2025-05-08,2.41,2.54,2.38,2.51,71594.0,2.48693,310
18,2025-05-09,2.47,2.61,2.415,2.44,105761.0,2.49807,424
19,2025-05-12,2.45,2.49,2.35,2.48,240030.0,2.44392,922
20,2025-05-13,2.48,2.48,2.285,2.32,344351.0,2.34801,1144
21,2025-05-14,2.34,2.39,2.23,2.24,548737.0,2.28313,658
22,2025-05-15,2.2,3.0,2.2,2.88,1500486.0,2.75077,4251
23,2025-05-16,2.93,3.3855,2.89,3.22,1034550.0,3.18834,3364
24,2025-05-19,3.19,3.54,3.09,3.52,628599.0,3.31642,2712
25,2025-05-20,3.52,3.5399,3.19,3.29,398504.0,3.31755,1655
26,2025-05-21,3.23,3.37,3.2018,3.34,314190.0,3.28092,1487
27,2025-05-22,3.37,3.5688,3.315,3.505,203512.0,3.48381,1029
28,2025-05-23,3.42,3.465,3.3,3.31,223218.0,3.38485,1088
29,2025-05-27,3.4,3.6,3.23,3.54,228428.0,3.41887,931
30,2025-05-28,3.54,3.735,3.4513,3.58,178541.0,3.64123,873
31,2025-05-29,3.63,3.72,3.51,3.55,232137.0,3.62038,926
32,2025-05-30,3.52,3.69,3.42,3.64,195562.0,3.57828,890
33,2025-06-02,3.64,3.88,3.56,3.84,259718.0,3.75724,1019
34,2025-06-03,3.79,3.98,3.755,3.85,232289.0,3.8913,847
35,2025-06-04,3.85,4.15,3.83,4.12,286204.0,4.03476,1153
36,2025-06-05,4.12,4.29,4.06,4.11,518995.0,4.19031,2242
37,2025-06-06,4.16,4.36,4.0827,4.2,333392.0,4.27525,1376
38,2025-06-09,4.27,4.29,4.16,4.25,121604.0,4.24029,701
39,2025-06-10,4.25,4.4,4.175,4.27,165904.0,4.29521,885
40,2025-06-11,4.29,4.37,4.05,4.08,225044.0,4.15902,1077
41,2025-06-12,4.06,4.185,3.97,4.0,153653.0,4.02777,816
42,2025-06-13,3.92,4.06,3.8595,3.95,141230.0,3.97242,869
43,2025-06-16,4.01,4.06,3.91,3.99,245023.0,3.99765,905
44,2025-06-17,4.0,4.165,3.891,3.99,174137.0,4.04455,790
45,2025-06-18,3.99,4.02,3.87,3.92,92006.0,3.94412,446
46,2025-06-20,3.96,4.0041,3.76,3.84,222827.0,3.86278,666
47,2025-06-23,3.84,3.8808,3.71,3.83,155100.0,3.7956,606
48,2025-06-24,3.88,3.97,3.8502,3.96,131098.0,3.92075,516
49,2025-06-25,3.99,4.0,3.875,3.97,76219.0,3.95428,300
50,2025-06-26,3.98,4.03,3.84,3.98,100202.0,3.94907,414
51,2025-06-27,3.99,3.99,3.82,3.87,125127.0,3.86302,611
52,2025-06-30,3.88,3.9271,3.772,3.81,163246.0,3.8313,510
