,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,2.39,2.51,2.24,2.415,172893.0,2.41164,745
1,2025-04-14 12:00:00-04:00,2.415,2.59,2.415,2.575,235543.0,2.51628,1275
2,2025-04-15 09:30:00-04:00,2.56,2.71,2.4922,2.66,104456.0,2.65322,530
3,2025-04-15 12:00:00-04:00,2.66,2.6999,2.62,2.645,132704.0,2.64849,701
4,2025-04-16 09:30:00-04:00,2.59,2.7,2.5,2.54,79255.0,2.58086,189
5,2025-04-16 12:00:00-04:00,2.52,2.58,2.515,2.555,87319.0,2.54197,580
6,2025-04-17 09:30:00-04:00,2.55,2.5891,2.5,2.515,52941.0,2.53255,223
7,2025-04-17 12:00:00-04:00,2.52,2.58,2.52,2.56,107362.0,2.55639,778
8,2025-04-21 09:30:00-04:00,2.54,2.64,2.5052,2.575,42216.0,2.58127,186
9,2025-04-21 12:00:00-04:00,2.58,2.625,2.53,2.56,128782.0,2.57386,713
10,2025-04-22 09:30:00-04:00,2.56,2.6378,2.5,2.5591,41984.0,2.55526,182
11,2025-04-22 12:00:00-04:00,2.56,2.63,2.55,2.605,90626.0,2.59627,565
12,2025-04-23 09:30:00-04:00,2.7,2.76,2.5901,2.62,26478.0,2.6838,129
13,2025-04-23 12:00:00-04:00,2.61,2.67,2.59,2.59,114364.0,2.61865,513
14,2025-04-24 09:30:00-04:00,2.59,2.59,2.5299,2.54,43952.0,2.55848,189
15,2025-04-24 12:00:00-04:00,2.55,2.55,2.48,2.49,140876.0,2.51118,481
16,2025-04-25 09:30:00-04:00,2.48,2.48,2.37,2.45,66665.0,2.42392,190
17,2025-04-25 12:00:00-04:00,2.4474,2.525,2.44,2.52,106087.0,2.4854,387
18,2025-04-28 09:30:00-04:00,2.53,2.6187,2.44,2.46,22558.0,2.51462,85
19,2025-04-28 12:00:00-04:00,2.45,2.46,2.41,2.445,38101.0,2.44069,228
20,2025-04-29 09:30:00-04:00,2.44,2.44,2.35,2.38,33139.0,2.37779,220
21,2025-04-29 12:00:00-04:00,2.375,2.395,2.345,2.37,81851.0,2.36494,343
22,2025-04-30 09:30:00-04:00,2.33,2.46,2.24,2.445,59425.0,2.38671,194
23,2025-04-30 12:00:00-04:00,2.45,2.57,2.438,2.55,188594.0,2.50595,679
24,2025-05-01 09:30:00-04:00,2.56,2.5642,2.47,2.48,57384.0,2.50894,149
25,2025-05-01 12:00:00-04:00,2.47,2.58,2.46,2.535,69171.0,2.53388,344
26,2025-05-02 09:30:00-04:00,2.56,2.63,2.5,2.59,50829.0,2.57967,150
27,2025-05-02 12:00:00-04:00,2.59,2.63,2.57,2.6,54717.0,2.60267,306
28,2025-05-05 09:30:00-04:00,2.58,2.64,2.48,2.49,15174.0,2.52452,95
29,2025-05-05 12:00:00-04:00,2.49,2.53,2.47,2.475,32821.0,2.49758,147
30,2025-05-06 09:30:00-04:00,2.46,2.55,2.31,2.32,120147.0,2.36023,285
31,2025-05-06 12:00:00-04:00,2.32,2.34,2.26,2.28,103237.0,2.284,385
32,2025-05-07 09:30:00-04:00,2.29,2.43,2.26,2.375,74439.0,2.35392,182
33,2025-05-07 12:00:00-04:00,2.375,2.42,2.36,2.41,53744.0,2.39345,291
34,2025-05-08 09:30:00-04:00,2.41,2.525,2.38,2.5,25106.0,2.4543,94
35,2025-05-08 12:00:00-04:00,2.51,2.54,2.4509,2.5,46488.0,2.50454,216
36,2025-05-09 09:30:00-04:00,2.47,2.61,2.463,2.5,59713.0,2.52994,183
37,2025-05-09 12:00:00-04:00,2.5,2.5,2.415,2.435,46048.0,2.45673,241
38,2025-05-12 09:30:00-04:00,2.45,2.46,2.35,2.43,75628.0,2.41798,269
39,2025-05-12 12:00:00-04:00,2.4398,2.49,2.42,2.47,164402.0,2.45586,653
40,2025-05-13 09:30:00-04:00,2.48,2.48,2.37,2.37,38776.0,2.40565,191
41,2025-05-13 12:00:00-04:00,2.38,2.405,2.285,2.315,305575.0,2.34069,953
42,2025-05-14 09:30:00-04:00,2.34,2.39,2.23,2.325,424673.0,2.27924,325
43,2025-05-14 12:00:00-04:00,2.33,2.345,2.24,2.245,124064.0,2.29646,333
44,2025-05-15 09:30:00-04:00,2.2,2.869,2.2,2.69,769663.0,2.62796,1956
45,2025-05-15 12:00:00-04:00,2.6809,3.0,2.67,2.88,730823.0,2.88011,2295
46,2025-05-16 09:30:00-04:00,2.93,3.29,2.89,3.23,596720.0,3.11653,1755
47,2025-05-16 12:00:00-04:00,3.23,3.3855,3.21,3.22,437830.0,3.28621,1609
48,2025-05-19 09:30:00-04:00,3.19,3.37,3.09,3.2076,301092.0,3.22494,999
49,2025-05-19 12:00:00-04:00,3.22,3.54,3.17,3.5183,327507.0,3.40053,1713
50,2025-05-20 09:30:00-04:00,3.52,3.5399,3.26,3.2925,203436.0,3.3677,765
51,2025-05-20 12:00:00-04:00,3.3,3.31,3.19,3.285,195068.0,3.26525,890
52,2025-05-21 09:30:00-04:00,3.23,3.3199,3.2018,3.2736,120490.0,3.27004,499
53,2025-05-21 12:00:00-04:00,3.275,3.37,3.24,3.34,193700.0,3.28768,988
54,2025-05-22 09:30:00-04:00,3.37,3.48,3.315,3.47,82070.0,3.43722,365
55,2025-05-22 12:00:00-04:00,3.47,3.5688,3.44,3.505,121442.0,3.5153,664
56,2025-05-23 09:30:00-04:00,3.42,3.465,3.335,3.45,109210.0,3.3871,418
57,2025-05-23 12:00:00-04:00,3.45,3.46,3.3,3.305,114008.0,3.38269,670
58,2025-05-27 09:30:00-04:00,3.4,3.51,3.23,3.46,125978.0,3.34109,387
59,2025-05-27 12:00:00-04:00,3.49,3.6,3.435,3.54,102450.0,3.51451,544
60,2025-05-28 09:30:00-04:00,3.54,3.6897,3.4513,3.6,71076.0,3.62281,274
61,2025-05-28 12:00:00-04:00,3.6012,3.735,3.57,3.59,107465.0,3.65341,599
62,2025-05-29 09:30:00-04:00,3.63,3.72,3.51,3.62,127851.0,3.66131,395
63,2025-05-29 12:00:00-04:00,3.62,3.64,3.53,3.555,104286.0,3.5702,531
64,2025-05-30 09:30:00-04:00,3.52,3.6,3.42,3.495,46827.0,3.53404,214
65,2025-05-30 12:00:00-04:00,3.49,3.69,3.465,3.63,148735.0,3.59221,676
66,2025-06-02 09:30:00-04:00,3.64,3.83,3.56,3.78,123595.0,3.69128,414
67,2025-06-02 12:00:00-04:00,3.775,3.88,3.75,3.845,136123.0,3.81713,605
68,2025-06-03 09:30:00-04:00,3.79,3.98,3.755,3.89,83454.0,3.90653,272
69,2025-06-03 12:00:00-04:00,3.88,3.955,3.84,3.855,148835.0,3.88276,575
70,2025-06-04 09:30:00-04:00,3.85,4.04,3.83,4.02,79709.0,3.95398,327
71,2025-06-04 12:00:00-04:00,4.0,4.15,3.97,4.12,206495.0,4.06595,826
72,2025-06-05 09:30:00-04:00,4.12,4.29,4.06,4.19,211566.0,4.17894,730
73,2025-06-05 12:00:00-04:00,4.19,4.29,4.085,4.1,307429.0,4.19813,1512
74,2025-06-06 09:30:00-04:00,4.16,4.36,4.0827,4.325,136214.0,4.28355,379
75,2025-06-06 12:00:00-04:00,4.33,4.36,4.175,4.19,197178.0,4.26952,997
76,2025-06-09 09:30:00-04:00,4.27,4.29,4.16,4.23,48248.0,4.22042,227
77,2025-06-09 12:00:00-04:00,4.23,4.29,4.22,4.25,73356.0,4.25337,474
78,2025-06-10 09:30:00-04:00,4.25,4.285,4.175,4.285,53412.0,4.23586,241
79,2025-06-10 12:00:00-04:00,4.285,4.4,4.26,4.28,112492.0,4.32339,644
80,2025-06-11 09:30:00-04:00,4.29,4.37,4.13,4.23,99820.0,4.19949,387
81,2025-06-11 12:00:00-04:00,4.225,4.25,4.05,4.08,125224.0,4.12675,690
82,2025-06-12 09:30:00-04:00,4.06,4.185,4.01,4.03,52739.0,4.05861,281
83,2025-06-12 12:00:00-04:00,4.03,4.06,3.97,4.0,100914.0,4.01166,535
84,2025-06-13 09:30:00-04:00,3.92,4.06,3.8595,3.9794,33789.0,3.95245,142
85,2025-06-13 12:00:00-04:00,3.985,4.05,3.922,3.96,107441.0,3.9787,727
86,2025-06-16 09:30:00-04:00,4.01,4.04,3.91,3.99,154397.0,3.9942,468
87,2025-06-16 12:00:00-04:00,3.9905,4.06,3.97,3.985,90626.0,4.00351,437
88,2025-06-17 09:30:00-04:00,4.0,4.15,3.891,4.13,86005.0,4.02528,292
89,2025-06-17 12:00:00-04:00,4.13,4.165,3.97,3.985,88132.0,4.06335,498
90,2025-06-18 09:30:00-04:00,3.99,4.02,3.9,3.95,46221.0,3.96607,182
91,2025-06-18 12:00:00-04:00,3.96,3.98,3.87,3.91,45785.0,3.92196,264
92,2025-06-20 09:30:00-04:00,3.96,4.0041,3.76,3.84,146638.0,3.86555,316
93,2025-06-20 12:00:00-04:00,3.81,3.93,3.8,3.86,76189.0,3.85745,350
94,2025-06-23 09:30:00-04:00,3.84,3.8808,3.7717,3.81,30947.0,3.83624,94
95,2025-06-23 12:00:00-04:00,3.8,3.845,3.71,3.835,124153.0,3.78547,512
96,2025-06-24 09:30:00-04:00,3.88,3.94,3.8502,3.9,78044.0,3.9067,199
97,2025-06-24 12:00:00-04:00,3.9,3.97,3.88,3.96,53054.0,3.94142,317
98,2025-06-25 09:30:00-04:00,3.99,3.9901,3.875,3.93,38732.0,3.93847,82
99,2025-06-25 12:00:00-04:00,3.93,4.0,3.92,3.965,37487.0,3.9706,218
100,2025-06-26 09:30:00-04:00,3.98,4.01,3.84,3.91,31568.0,3.91969,137
101,2025-06-26 12:00:00-04:00,3.9,4.03,3.9,3.99,68634.0,3.96259,277
102,2025-06-27 09:30:00-04:00,3.99,3.99,3.89,3.91,13941.0,3.94099,99
103,2025-06-27 12:00:00-04:00,3.91,3.915,3.82,3.84,111186.0,3.85324,512
104,2025-06-30 09:30:00-04:00,3.88,3.9271,3.815,3.855,30208.0,3.8834,156
105,2025-06-30 12:00:00-04:00,3.86,3.8616,3.772,3.815,133038.0,3.81947,354
106,2025-07-01 09:30:00-04:00,3.8,3.99,3.78,3.97,65334.0,3.89723,188
