,date,open,high,low,close,volume,average,barCount
0,2025-04-14,62.77,62.82,61.84,62.54,3656039.0,62.516,22526
1,2025-04-15,62.83,63.43,62.58,62.78,3023890.0,62.989,19388
2,2025-04-16,64.09,64.91,63.77,64.03,4164130.0,64.313,26453
3,2025-04-17,64.37,65.66,64.31,65.04,3323881.0,65.074,20089
4,2025-04-21,64.67,64.74,63.88,64.65,2981022.0,64.22,18071
5,2025-04-22,65.39,65.75,64.86,65.17,4159047.0,65.337,26269
6,2025-04-23,66.11,66.11,64.34,64.51,4473349.0,64.934,26962
7,2025-04-24,65.14,65.25,64.6,65.05,4214197.0,64.97,25818
8,2025-04-25,65.34,65.99,65.15,65.86,2674451.0,65.687,15827
9,2025-04-28,65.82,66.28,65.76,66.02,2778829.0,65.992,16766
10,2025-04-29,65.32,65.91,65.26,65.51,2071195.0,65.6,12038
11,2025-04-30,65.31,65.32,64.02,64.48,3473575.0,64.632,21506
12,2025-05-01,64.57,65.35,64.31,64.8,2850012.0,64.946,16712
13,2025-05-02,67.12,67.16,65.86,66.64,4970729.0,66.582,30132
14,2025-05-05,65.68,65.71,64.97,65.12,3063008.0,65.272,19223
15,2025-05-06,65.96,66.15,65.06,65.1,2635647.0,65.468,15865
16,2025-05-07,65.41,65.46,64.81,65.05,2552402.0,65.143,13945
17,2025-05-08,64.96,65.54,64.89,65.08,2682084.0,65.186,15410
18,2025-05-09,65.91,66.17,65.5,66.15,2289590.0,65.833,12934
19,2025-05-12,66.69,67.09,66.14,66.38,3501149.0,66.511,19757
20,2025-05-13,66.76,67.87,66.55,67.61,2734026.0,67.373,15365
21,2025-05-14,67.33,67.54,66.93,67.09,2198276.0,67.214,12830
22,2025-05-15,66.72,67.44,66.31,67.39,1902621.0,66.892,11154
23,2025-05-16,67.05,67.15,66.37,66.62,1547107.0,66.672,8670
24,2025-05-19,66.46,66.67,65.93,66.67,2088122.0,66.356,11644
25,2025-05-20,66.65,66.92,66.48,66.62,1834686.0,66.706,11305
26,2025-05-21,67.19,67.2,66.34,66.36,2416818.0,66.835,14684
27,2025-05-22,65.98,66.24,65.4,65.95,2784808.0,65.81,16469
28,2025-05-23,65.55,66.3,65.38,66.3,2032303.0,65.812,11381
29,2025-05-27,66.71,66.78,66.37,66.69,2064970.0,66.567,11441
30,2025-05-28,66.63,66.71,65.94,66.04,2307590.0,66.237,13734
31,2025-05-29,66.42,66.5,66.07,66.44,2107074.0,66.272,12533
32,2025-05-30,66.57,66.58,65.96,66.22,2507078.0,66.272,15895
33,2025-06-02,67.4,67.5,66.82,67.45,2514364.0,67.263,14615
34,2025-06-03,67.6,68.2,67.16,67.83,2539791.0,67.881,15046
35,2025-06-04,68.0,68.31,67.09,67.27,3000938.0,67.631,17504
36,2025-06-05,68.15,68.15,67.38,67.53,2629123.0,67.687,15089
37,2025-06-06,67.69,68.22,67.69,68.02,2179497.0,67.993,12384
38,2025-06-09,67.81,68.57,67.38,68.26,2237433.0,68.111,12074
39,2025-06-10,69.94,70.43,69.84,70.05,3444537.0,70.125,17584
40,2025-06-11,70.31,71.06,69.99,71.02,2794437.0,70.54,16637
41,2025-06-12,71.23,71.53,70.9,71.44,2526804.0,71.342,13812
42,2025-06-13,72.33,72.57,71.4,72.54,4546634.0,72.077,23549
43,2025-06-16,72.43,72.72,71.39,71.43,4523188.0,71.837,26024
44,2025-06-17,72.5,72.66,72.07,72.33,3096039.0,72.39,17472
45,2025-06-18,72.2,72.65,71.79,72.0,3315721.0,72.153,20365
46,2025-06-20,72.51,72.95,72.23,72.4,3611558.0,72.55,21001
47,2025-06-23,72.67,73.16,70.8,70.84,5792400.0,71.969,31861
48,2025-06-24,70.52,71.15,69.91,70.14,5226303.0,70.534,29679
49,2025-06-25,70.09,70.31,67.25,69.44,19252490.0,68.887,110899
50,2025-06-26,71.05,71.29,70.45,70.99,3772235.0,70.894,20644
51,2025-06-27,71.19,71.35,70.71,70.98,2663125.0,71.035,15777
52,2025-06-30,70.41,70.66,70.06,70.41,2551303.0,70.369,14552
53,2025-07-01,70.68,71.4,70.3,71.19,2810568.0,70.914,18092
54,2025-07-02,71.53,72.4,71.0,72.28,2144235.0,71.78,13246
55,2025-07-03,72.0,72.2,71.72,71.92,1825853.0,71.912,10646
56,2025-07-07,69.96,70.66,69.21,69.82,3798339.0,69.885,22989
57,2025-07-08,69.92,71.46,69.92,71.26,2940052.0,70.958,18093
58,2025-07-09,71.85,71.96,71.31,71.73,3236119.0,71.611,18956
59,2025-07-10,71.62,72.36,71.32,72.3,2705475.0,71.986,16359
60,2025-07-11,71.88,72.56,71.71,72.3,3554628.0,72.201,20466
61,2025-07-14,71.94,72.02,70.98,71.1,3036177.0,71.285,18236
62,2025-07-15,70.84,71.02,70.22,70.4,2655391.0,70.509,14593
63,2025-07-16,70.52,70.96,70.01,70.67,2789677.0,70.524,16392
64,2025-07-17,70.09,70.58,70.0,70.34,2068995.0,70.344,11373
65,2025-07-18,71.22,71.34,70.05,70.28,3819542.0,70.64,21494
66,2025-07-21,70.72,70.81,70.28,70.32,2543584.0,70.524,14217
67,2025-07-22,70.59,71.32,70.53,71.15,3153722.0,71.104,17013
68,2025-07-23,71.83,72.83,71.75,72.76,3360644.0,72.46,20638
69,2025-07-24,72.06,72.76,71.92,72.38,3173750.0,72.452,20373
70,2025-07-25,71.94,72.2,71.48,71.99,1837585.0,71.957,11187
71,2025-07-28,71.89,72.45,71.82,72.21,2079790.0,72.184,12723
72,2025-07-29,72.46,73.2,72.37,73.11,2808749.0,72.759,17416
73,2025-07-30,71.76,72.15,71.3,71.72,3899880.0,71.723,24028
74,2025-07-31,71.56,72.6,71.28,72.21,3931845.0,72.106,23564
75,2025-08-01,72.55,72.78,71.55,72.0,3983503.0,71.996,24059
76,2025-08-04,71.73,71.89,71.28,71.85,3076637.0,71.632,17158
77,2025-08-05,71.99,72.46,71.69,72.4,2442429.0,72.09,13260
78,2025-08-06,73.26,73.77,72.06,72.24,3440578.0,72.904,20095
79,2025-08-07,72.08,72.34,71.32,71.37,3623547.0,71.669,18815
80,2025-08-08,72.16,72.32,71.42,71.65,2944843.0,71.833,15913
81,2025-08-11,71.74,71.99,71.13,71.41,1584089.0,71.394,8811
82,2025-08-12,71.98,72.74,71.75,72.25,1836039.0,72.37,10628
83,2025-08-13,72.37,72.88,72.29,72.75,2958392.0,72.508,14526
84,2025-08-14,72.42,72.69,71.96,72.64,2555204.0,72.3,13809
85,2025-08-15,71.73,72.16,71.39,71.85,2485484.0,71.815,14438
86,2025-08-18,71.02,71.71,70.8,71.51,2187600.0,71.34,11873
87,2025-08-19,71.77,72.01,71.28,71.45,1681614.0,71.627,9422
