,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,62.77,62.82,62.01,62.02,1874220.0,62.526,10564
1,2025-04-14 12:00:00-04:00,62.02,62.78,61.84,62.54,1781819.0,62.505,11962
2,2025-04-15 09:30:00-04:00,62.83,63.43,62.58,63.17,1562139.0,63.064,9670
3,2025-04-15 12:00:00-04:00,63.18,63.24,62.75,62.79,1461751.0,62.909,9718
4,2025-04-16 09:30:00-04:00,64.09,64.89,63.92,64.62,1840895.0,64.42,11012
5,2025-04-16 12:00:00-04:00,64.62,64.91,63.77,64.06,2323235.0,64.228,15441
6,2025-04-17 09:30:00-04:00,64.37,65.23,64.31,65.11,1332052.0,64.832,7532
7,2025-04-17 12:00:00-04:00,65.12,65.66,64.94,65.06,1991829.0,65.236,12557
8,2025-04-21 09:30:00-04:00,64.67,64.74,63.88,63.99,1162458.0,64.117,7273
9,2025-04-21 12:00:00-04:00,63.98,64.69,63.95,64.66,1818564.0,64.286,10798
10,2025-04-22 09:30:00-04:00,65.39,65.66,65.17,65.59,1594590.0,65.381,9630
11,2025-04-22 12:00:00-04:00,65.6,65.75,64.86,65.17,2564457.0,65.309,16639
12,2025-04-23 09:30:00-04:00,66.11,66.11,64.61,64.81,2233469.0,65.232,13706
13,2025-04-23 12:00:00-04:00,64.81,65.07,64.34,64.5,2239880.0,64.636,13256
14,2025-04-24 09:30:00-04:00,65.14,65.14,64.6,64.91,2219355.0,64.916,13428
15,2025-04-24 12:00:00-04:00,64.91,65.25,64.76,65.05,1994842.0,65.031,12390
16,2025-04-25 09:30:00-04:00,65.34,65.97,65.15,65.94,1478314.0,65.604,8360
17,2025-04-25 12:00:00-04:00,65.93,65.99,65.42,65.86,1196137.0,65.79,7467
18,2025-04-28 09:30:00-04:00,65.82,66.28,65.76,65.83,1521216.0,65.993,8501
19,2025-04-28 12:00:00-04:00,65.85,66.15,65.77,66.02,1257613.0,65.991,8265
20,2025-04-29 09:30:00-04:00,65.32,65.91,65.26,65.66,1192010.0,65.628,6407
21,2025-04-29 12:00:00-04:00,65.68,65.9,65.4,65.51,879185.0,65.562,5631
22,2025-04-30 09:30:00-04:00,65.31,65.32,64.23,64.25,1729852.0,64.897,10031
23,2025-04-30 12:00:00-04:00,64.25,64.72,64.02,64.47,1743723.0,64.369,11475
24,2025-05-01 09:30:00-04:00,64.57,65.35,64.5,64.55,1351710.0,65.063,8096
25,2025-05-01 12:00:00-04:00,64.55,65.26,64.31,64.81,1498302.0,64.841,8616
26,2025-05-02 09:30:00-04:00,67.12,67.16,65.86,66.53,2799097.0,66.514,16094
27,2025-05-02 12:00:00-04:00,66.53,66.94,66.05,66.64,2171632.0,66.669,14038
28,2025-05-05 09:30:00-04:00,65.68,65.71,64.97,65.47,1688393.0,65.246,10269
29,2025-05-05 12:00:00-04:00,65.46,65.54,65.06,65.11,1374615.0,65.304,8954
30,2025-05-06 09:30:00-04:00,65.96,66.15,65.25,65.39,1425306.0,65.666,9009
31,2025-05-06 12:00:00-04:00,65.37,65.67,65.06,65.08,1210341.0,65.235,6856
32,2025-05-07 09:30:00-04:00,65.41,65.41,65.04,65.39,1204360.0,65.192,6012
33,2025-05-07 12:00:00-04:00,65.39,65.46,64.81,65.05,1348042.0,65.1,7933
34,2025-05-08 09:30:00-04:00,64.96,65.52,64.89,65.45,1535280.0,65.161,8147
35,2025-05-08 12:00:00-04:00,65.44,65.54,65.03,65.06,1146804.0,65.219,7263
36,2025-05-09 09:30:00-04:00,65.91,65.92,65.5,65.73,1100892.0,65.716,5384
37,2025-05-09 12:00:00-04:00,65.74,66.17,65.62,66.15,1188698.0,65.941,7550
38,2025-05-12 09:30:00-04:00,66.69,67.09,66.16,66.19,2069388.0,66.632,11139
39,2025-05-12 12:00:00-04:00,66.2,66.48,66.14,66.37,1431761.0,66.338,8618
40,2025-05-13 09:30:00-04:00,66.76,67.45,66.55,67.42,1284322.0,67.023,6945
41,2025-05-13 12:00:00-04:00,67.42,67.87,67.33,67.62,1449704.0,67.683,8420
42,2025-05-14 09:30:00-04:00,67.33,67.54,67.05,67.18,1214409.0,67.264,6583
43,2025-05-14 12:00:00-04:00,67.16,67.32,66.93,67.1,983867.0,67.152,6247
44,2025-05-15 09:30:00-04:00,66.72,66.94,66.31,66.89,1028634.0,66.629,5604
45,2025-05-15 12:00:00-04:00,66.88,67.44,66.85,67.41,873987.0,67.202,5550
46,2025-05-16 09:30:00-04:00,67.05,67.15,66.37,66.52,806827.0,66.682,4427
47,2025-05-16 12:00:00-04:00,66.51,66.85,66.51,66.62,740280.0,66.661,4243
48,2025-05-19 09:30:00-04:00,66.46,66.55,65.93,66.52,1061819.0,66.258,6005
49,2025-05-19 12:00:00-04:00,66.52,66.67,66.26,66.67,1026303.0,66.458,5639
50,2025-05-20 09:30:00-04:00,66.65,66.92,66.55,66.78,879256.0,66.754,4698
51,2025-05-20 12:00:00-04:00,66.78,66.9,66.48,66.62,955430.0,66.662,6607
52,2025-05-21 09:30:00-04:00,67.19,67.2,66.79,66.82,1234327.0,66.975,7177
53,2025-05-21 12:00:00-04:00,66.83,67.1,66.34,66.36,1182491.0,66.69,7507
