,date,open,high,low,close,volume,average,barCount
0,2025-04-14,35.01,35.12,32.97,33.12,26493458.0,34.033,100115
1,2025-04-15,33.25,34.59,33.07,33.48,19881828.0,33.672,82602
2,2025-04-16,31.9,33.65,30.92,31.89,31080807.0,32.444,127345
3,2025-04-17,32.12,32.25,30.44,31.5,21784052.0,31.218,85058
4,2025-04-21,30.77,30.91,28.9,29.51,27583679.0,29.561,110446
5,2025-04-22,30.02,31.05,29.57,30.58,25398639.0,30.478,96671
6,2025-04-23,33.01,34.99,32.62,32.9,45343462.0,33.846,170522
7,2025-04-24,33.65,36.48,33.51,35.81,40046619.0,35.173,142373
8,2025-04-25,35.91,36.74,35.3,36.47,30711751.0,36.023,112180
9,2025-04-28,36.54,37.82,36.06,37.27,34263494.0,36.958,130298
10,2025-04-29,36.92,37.29,35.94,36.0,22921453.0,36.454,86314
11,2025-04-30,29.12,32.0,28.78,31.86,73106106.0,30.288,249940
12,2025-05-01,32.14,33.78,31.15,32.73,42886108.0,32.786,154385
13,2025-05-02,32.97,34.13,32.69,33.71,36115663.0,33.448,134019
14,2025-05-05,33.05,33.5,32.12,32.17,25474676.0,32.722,98945
15,2025-05-06,31.72,33.34,31.52,32.94,27969226.0,32.576,105197
16,2025-05-07,31.1,32.97,30.54,32.48,45333855.0,31.342,180324
17,2025-05-08,32.93,33.19,31.95,32.11,33911544.0,32.456,121493
18,2025-05-09,32.14,32.84,31.19,31.99,26124161.0,32.004,95600
19,2025-05-12,33.89,35.07,32.95,33.52,39618280.0,33.887,151809
20,2025-05-13,34.46,39.1,34.18,38.89,73311459.0,37.645,276713
21,2025-05-14,45.95,46.57,43.08,45.0,121461346.0,45.031,443273
22,2025-05-15,44.05,45.38,41.41,43.96,70341700.0,43.755,257899
23,2025-05-16,45.55,47.8,45.03,46.15,79527518.0,46.291,285128
24,2025-05-19,44.25,46.41,44.14,44.79,36688482.0,45.328,121492
25,2025-05-20,44.81,44.87,42.39,42.77,33454983.0,43.471,110004
26,2025-05-21,43.52,44.33,41.23,41.65,44592343.0,43.069,150958
27,2025-05-22,41.69,42.44,41.18,41.32,24363615.0,41.76,84210
28,2025-05-23,39.82,40.48,39.11,40.09,29679709.0,39.755,111696
29,2025-05-27,41.44,43.09,40.81,41.57,31896637.0,42.262,113941
30,2025-05-28,41.81,42.94,40.95,41.96,28921650.0,41.822,104738
31,2025-05-29,43.13,43.97,41.04,41.15,28019761.0,41.9,98861
32,2025-05-30,40.78,40.93,39.05,40.02,26169559.0,39.829,95712
33,2025-06-02,39.64,41.24,39.51,41.2,19672096.0,40.469,71329
34,2025-06-03,41.32,43.9,41.13,43.19,33808536.0,42.883,126471
35,2025-06-04,43.82,44.72,42.88,44.13,24886266.0,43.805,90335
36,2025-06-05,43.65,44.18,40.34,40.77,30725506.0,42.127,119280
37,2025-06-06,42.04,42.42,41.39,41.55,19558937.0,41.864,72660
38,2025-06-09,42.25,43.37,41.88,43.12,21132274.0,42.791,74618
39,2025-06-10,43.18,43.65,42.34,42.91,17283454.0,42.815,63721
40,2025-06-11,43.67,44.55,42.78,43.21,28225139.0,43.579,94549
41,2025-06-12,42.62,44.08,42.32,43.36,19502261.0,43.497,73186
42,2025-06-13,42.04,42.47,40.74,41.56,29911843.0,41.683,105948
43,2025-06-16,42.27,44.42,42.07,43.69,26840770.0,43.463,99667
44,2025-06-17,43.24,44.22,42.91,43.11,16598661.0,43.445,61694
45,2025-06-18,43.07,45.67,42.79,44.47,33060763.0,44.484,108686
46,2025-06-20,45.7,46.18,44.14,45.32,31572629.0,45.102,106523
47,2025-06-23,43.49,43.6,40.77,40.89,53310985.0,42.171,189539
48,2025-06-24,41.39,43.15,41.05,42.84,35398363.0,42.374,129404
49,2025-06-25,43.34,46.93,43.12,46.61,66216537.0,45.804,241138
50,2025-06-26,47.06,49.52,46.07,49.27,56336355.0,48.355,192844
51,2025-06-27,49.48,49.97,46.86,47.58,36252312.0,48.407,129342
52,2025-06-30,48.66,50.55,48.23,49.01,37728270.0,49.548,135342
53,2025-07-01,48.3,48.67,46.37,47.2,33926649.0,47.655,118994
54,2025-07-02,47.22,48.88,47.07,48.74,21472397.0,48.056,73821
55,2025-07-03,49.24,49.63,48.42,48.56,14674370.0,48.993,48225
