,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,13.16,13.27,12.96,13.02,1569974.0,13.147,5521
1,2025-04-14 12:00:00-04:00,13.02,13.21,12.97,13.11,2207361.0,13.115,8127
2,2025-04-15 09:30:00-04:00,13.47,13.76,13.42,13.63,949674.0,13.641,3870
3,2025-04-15 12:00:00-04:00,13.63,13.66,13.54,13.59,1097104.0,13.593,5140
4,2025-04-16 09:30:00-04:00,13.24,13.32,13.14,13.24,581498.0,13.223,2550
5,2025-04-16 12:00:00-04:00,13.24,13.27,13.04,13.13,1117568.0,13.146,4916
6,2025-04-17 09:30:00-04:00,13.41,13.64,13.41,13.6,746449.0,13.565,2553
7,2025-04-17 12:00:00-04:00,13.6,13.66,13.53,13.55,927321.0,13.6,4476
8,2025-04-21 09:30:00-04:00,13.45,13.45,13.21,13.24,565217.0,13.322,1523
9,2025-04-21 12:00:00-04:00,13.24,13.3,13.18,13.27,970547.0,13.241,3843
10,2025-04-22 09:30:00-04:00,13.48,13.6,13.47,13.56,447067.0,13.546,1610
11,2025-04-22 12:00:00-04:00,13.56,13.62,13.49,13.57,758228.0,13.565,2917
12,2025-04-23 09:30:00-04:00,13.65,13.76,13.59,13.63,577805.0,13.676,2319
13,2025-04-23 12:00:00-04:00,13.63,13.74,13.58,13.64,1015222.0,13.633,3659
14,2025-04-24 09:30:00-04:00,13.72,13.77,13.66,13.76,349347.0,13.73,995
15,2025-04-24 12:00:00-04:00,13.77,13.82,13.74,13.81,599229.0,13.785,1869
16,2025-04-25 09:30:00-04:00,13.74,13.79,13.67,13.79,357791.0,13.739,1216
17,2025-04-25 12:00:00-04:00,13.79,13.89,13.77,13.89,642907.0,13.837,2641
18,2025-04-28 09:30:00-04:00,14.08,14.2,14.07,14.12,440711.0,14.132,1240
19,2025-04-28 12:00:00-04:00,14.12,14.19,14.06,14.13,816991.0,14.122,2951
20,2025-04-29 09:30:00-04:00,14.15,14.28,14.15,14.23,445605.0,14.221,1154
21,2025-04-29 12:00:00-04:00,14.24,14.34,14.23,14.33,609990.0,14.297,2368
22,2025-04-30 09:30:00-04:00,14.11,14.16,14.01,14.13,554249.0,14.098,1797
23,2025-04-30 12:00:00-04:00,14.13,14.25,14.08,14.2,673210.0,14.176,2628
24,2025-05-01 09:30:00-04:00,13.96,14.03,13.88,13.94,975418.0,13.96,3204
25,2025-05-01 12:00:00-04:00,13.95,14.0,13.9,13.92,1136780.0,13.945,4145
26,2025-05-02 09:30:00-04:00,13.68,13.88,13.59,13.84,800907.0,13.779,2750
27,2025-05-02 12:00:00-04:00,13.85,13.92,13.83,13.87,866111.0,13.868,2905
28,2025-05-05 09:30:00-04:00,13.96,14.09,13.91,14.08,698610.0,14.02,2024
29,2025-05-05 12:00:00-04:00,14.07,14.1,13.98,14.0,985383.0,14.047,3125
30,2025-05-06 09:30:00-04:00,13.98,14.05,13.95,13.98,520898.0,13.993,1525
31,2025-05-06 12:00:00-04:00,13.98,14.01,13.92,13.92,764939.0,13.959,3113
32,2025-05-07 09:30:00-04:00,13.9,14.07,13.9,14.07,522161.0,14.029,1662
33,2025-05-07 12:00:00-04:00,14.07,14.1,13.96,14.02,796706.0,14.027,3771
34,2025-05-08 09:30:00-04:00,13.94,14.05,13.92,14.0,1399181.0,13.988,3717
35,2025-05-08 12:00:00-04:00,14.0,14.12,13.97,13.97,2081628.0,14.029,5308
36,2025-05-09 09:30:00-04:00,14.25,14.28,14.12,14.19,773991.0,14.161,1605
37,2025-05-09 12:00:00-04:00,14.18,14.25,14.12,14.2,1114115.0,14.195,4021
38,2025-05-12 09:30:00-04:00,14.4,14.49,14.35,14.41,704778.0,14.434,2029
39,2025-05-12 12:00:00-04:00,14.42,14.48,14.39,14.43,961812.0,14.436,3304
40,2025-05-13 09:30:00-04:00,14.5,14.65,14.49,14.64,607480.0,14.577,1806
41,2025-05-13 12:00:00-04:00,14.63,14.65,14.57,14.6,979449.0,14.612,3428
42,2025-05-14 09:30:00-04:00,14.86,14.9,14.65,14.7,783749.0,14.697,2395
43,2025-05-14 12:00:00-04:00,14.69,14.71,14.59,14.64,761842.0,14.649,2622
44,2025-05-15 09:30:00-04:00,14.53,14.64,14.52,14.64,389536.0,14.583,1369
45,2025-05-15 12:00:00-04:00,14.64,14.72,14.62,14.71,1294559.0,14.692,5287
46,2025-05-16 09:30:00-04:00,14.3,14.38,14.27,14.37,686636.0,14.319,2036
47,2025-05-16 12:00:00-04:00,14.37,14.43,14.34,14.36,983165.0,14.38,3787
48,2025-05-19 09:30:00-04:00,14.36,14.54,14.32,14.52,556738.0,14.455,2096
49,2025-05-19 12:00:00-04:00,14.52,14.54,14.47,14.52,895224.0,14.506,3641
50,2025-05-20 09:30:00-04:00,14.67,14.79,14.67,14.73,483119.0,14.745,1303
51,2025-05-20 12:00:00-04:00,14.73,14.74,14.66,14.71,596169.0,14.711,2185
52,2025-05-21 09:30:00-04:00,14.84,14.99,14.83,14.98,513482.0,14.943,1526
53,2025-05-21 12:00:00-04:00,14.98,15.0,14.83,14.89,722401.0,14.914,2948
54,2025-05-22 09:30:00-04:00,14.9,15.0,14.89,14.98,326013.0,14.956,1259
55,2025-05-22 12:00:00-04:00,14.98,15.03,14.94,14.95,946302.0,14.985,2973
56,2025-05-23 09:30:00-04:00,14.84,15.04,14.76,15.01,645874.0,14.994,2115
57,2025-05-23 12:00:00-04:00,15.01,15.15,14.99,15.14,889406.0,15.105,2948
58,2025-05-27 09:30:00-04:00,15.3,15.44,15.23,15.4,691208.0,15.379,2612
59,2025-05-27 12:00:00-04:00,15.4,15.45,15.37,15.44,1206458.0,15.409,4061
60,2025-05-28 09:30:00-04:00,15.14,15.19,15.05,15.08,563016.0,15.108,1599
61,2025-05-28 12:00:00-04:00,15.08,15.15,15.07,15.11,851699.0,15.112,3359
62,2025-05-29 09:30:00-04:00,15.23,15.24,15.1,15.11,526778.0,15.163,1696
63,2025-05-29 12:00:00-04:00,15.11,15.17,15.1,15.13,822188.0,15.138,2851
64,2025-05-30 09:30:00-04:00,15.34,15.43,15.29,15.34,478420.0,15.362,1836
65,2025-05-30 12:00:00-04:00,15.34,15.43,15.22,15.42,747933.0,15.363,3015
66,2025-06-02 09:30:00-04:00,15.43,15.44,15.31,15.41,462322.0,15.404,1365
67,2025-06-02 12:00:00-04:00,15.41,15.5,15.39,15.47,636092.0,15.453,2439
68,2025-06-03 09:30:00-04:00,15.25,15.36,15.19,15.35,309207.0,15.299,1115
69,2025-06-03 12:00:00-04:00,15.34,15.39,15.3,15.35,752871.0,15.348,2488
70,2025-06-04 09:30:00-04:00,15.31,15.4,15.27,15.31,613893.0,15.344,1940
71,2025-06-04 12:00:00-04:00,15.32,15.35,15.25,15.25,581128.0,15.302,2152
72,2025-06-05 09:30:00-04:00,15.19,15.19,15.07,15.17,514241.0,15.143,1827
73,2025-06-05 12:00:00-04:00,15.16,15.21,15.13,15.19,820167.0,15.174,2873
74,2025-06-06 09:30:00-04:00,15.19,15.25,15.14,15.23,448111.0,15.215,1905
75,2025-06-06 12:00:00-04:00,15.22,15.24,15.15,15.15,729652.0,15.195,2426
76,2025-06-09 09:30:00-04:00,15.26,15.27,15.19,15.26,340895.0,15.244,1082
77,2025-06-09 12:00:00-04:00,15.26,15.27,15.22,15.24,630365.0,15.246,2396
78,2025-06-10 09:30:00-04:00,15.12,15.14,15.03,15.04,367182.0,15.068,1243
79,2025-06-10 12:00:00-04:00,15.05,15.07,15.01,15.03,589025.0,15.049,2016
80,2025-06-11 09:30:00-04:00,14.99,15.0,14.88,14.99,404946.0,14.963,1328
81,2025-06-11 12:00:00-04:00,14.99,15.0,14.86,14.88,1109590.0,14.924,3547
82,2025-06-12 09:30:00-04:00,15.08,15.21,15.08,15.14,391337.0,15.144,1672
83,2025-06-12 12:00:00-04:00,15.14,15.19,15.12,15.16,566551.0,15.163,2037
84,2025-06-13 09:30:00-04:00,14.91,15.13,14.87,15.1,543489.0,15.011,1667
85,2025-06-13 12:00:00-04:00,15.11,15.12,15.01,15.06,586591.0,15.061,2097
86,2025-06-16 09:30:00-04:00,15.16,15.28,15.13,15.2,618839.0,15.222,2380
87,2025-06-16 12:00:00-04:00,15.2,15.22,15.07,15.08,785117.0,15.136,2826
88,2025-06-17 09:30:00-04:00,14.97,15.01,14.92,14.96,473366.0,14.958,1611
89,2025-06-17 12:00:00-04:00,14.96,15.0,14.88,14.93,909116.0,14.921,3066
90,2025-06-18 09:30:00-04:00,14.93,15.0,14.88,14.96,365840.0,14.957,1160
91,2025-06-18 12:00:00-04:00,14.96,15.01,14.92,14.94,1100857.0,14.959,3844
92,2025-06-20 09:30:00-04:00,14.89,14.9,14.79,14.83,397652.0,14.834,1278
93,2025-06-20 12:00:00-04:00,14.83,14.88,14.82,14.85,658372.0,14.842,2221
94,2025-06-23 09:30:00-04:00,14.6,14.69,14.58,14.65,799459.0,14.648,2694
95,2025-06-23 12:00:00-04:00,14.65,14.77,14.55,14.75,714725.0,14.688,2558
96,2025-06-24 09:30:00-04:00,15.03,15.15,14.98,15.1,609344.0,15.101,2149
97,2025-06-24 12:00:00-04:00,15.1,15.16,15.09,15.16,819575.0,15.138,2631
98,2025-06-25 09:30:00-04:00,14.89,14.92,14.83,14.9,396033.0,14.888,1462
99,2025-06-25 12:00:00-04:00,14.89,14.94,14.88,14.92,821162.0,14.909,2443
100,2025-06-26 09:30:00-04:00,15.01,15.22,15.01,15.21,382351.0,15.17,1666
101,2025-06-26 12:00:00-04:00,15.21,15.25,15.19,15.23,789933.0,15.224,3033
102,2025-06-27 09:30:00-04:00,15.14,15.26,15.14,15.25,753193.0,15.208,2822
103,2025-06-27 12:00:00-04:00,15.25,15.27,15.16,15.19,946678.0,15.214,3213
104,2025-06-30 09:30:00-04:00,15.1,15.18,15.05,15.18,494621.0,15.134,1601
105,2025-06-30 12:00:00-04:00,15.18,15.19,15.06,15.11,1309906.0,15.105,3836
106,2025-07-01 09:30:00-04:00,15.16,15.22,15.07,15.1,1391329.0,15.137,4374
107,2025-07-01 12:00:00-04:00,15.1,15.16,15.08,15.1,3793895.0,15.121,8738
108,2025-07-02 09:30:00-04:00,15.06,15.11,15.0,15.07,961690.0,15.038,2729
109,2025-07-02 12:00:00-04:00,15.07,15.1,15.02,15.1,2370553.0,15.049,5643
110,2025-07-03 09:30:00-04:00,15.22,15.36,15.22,15.33,528918.0,15.316,1606
111,2025-07-03 12:00:00-04:00,15.33,15.33,15.27,15.3,229927.0,15.288,822
112,2025-07-07 09:30:00-04:00,15.0,15.04,14.95,14.98,519376.0,14.987,1331
113,2025-07-07 12:00:00-04:00,14.98,15.01,14.8,14.85,1694378.0,14.875,4291
114,2025-07-08 09:30:00-04:00,14.78,14.79,14.7,14.78,736387.0,14.744,1730
115,2025-07-08 12:00:00-04:00,14.78,14.83,14.76,14.8,1046381.0,14.796,2870
116,2025-07-09 09:30:00-04:00,14.88,14.88,14.78,14.81,600026.0,14.824,1422
117,2025-07-09 12:00:00-04:00,14.81,14.89,14.8,14.89,828838.0,14.846,2463
118,2025-07-10 09:30:00-04:00,14.81,14.83,14.76,14.82,292962.0,14.804,911
119,2025-07-10 12:00:00-04:00,14.81,14.83,14.79,14.82,575934.0,14.813,1655
120,2025-07-11 09:30:00-04:00,14.88,14.9,14.8,14.87,422729.0,14.852,911
121,2025-07-11 12:00:00-04:00,14.88,14.91,14.85,14.88,944594.0,14.887,2329
122,2025-07-14 09:30:00-04:00,14.83,14.87,14.79,14.86,322220.0,14.837,1033
123,2025-07-14 12:00:00-04:00,14.85,14.87,14.83,14.84,627500.0,14.85,1910
124,2025-07-15 09:30:00-04:00,14.81,14.81,14.67,14.7,627228.0,14.699,1856
125,2025-07-15 12:00:00-04:00,14.71,14.75,14.66,14.71,820553.0,14.708,2706
126,2025-07-16 09:30:00-04:00,14.61,14.61,14.4,14.5,2052776.0,14.48,4776
127,2025-07-16 12:00:00-04:00,14.5,14.61,14.48,14.6,947324.0,14.554,2433
128,2025-07-17 09:30:00-04:00,14.6,14.74,14.57,14.74,701777.0,14.683,2198
129,2025-07-17 12:00:00-04:00,14.74,14.78,14.72,14.77,1421109.0,14.754,4345
130,2025-07-18 09:30:00-04:00,14.65,14.69,14.61,14.62,702647.0,14.642,1946
131,2025-07-18 12:00:00-04:00,14.62,14.62,14.51,14.53,1366754.0,14.546,3217
132,2025-07-21 09:30:00-04:00,14.64,14.88,14.64,14.87,547602.0,14.816,1521
133,2025-07-21 12:00:00-04:00,14.86,14.87,14.71,14.73,1159488.0,14.766,3444
134,2025-07-22 09:30:00-04:00,14.86,14.96,14.86,14.95,528505.0,14.928,1677
135,2025-07-22 12:00:00-04:00,14.95,15.08,14.94,15.02,2704722.0,15.04,6188
136,2025-07-23 09:30:00-04:00,15.74,15.93,15.73,15.91,611906.0,15.869,2594
137,2025-07-23 12:00:00-04:00,15.9,15.97,15.89,15.97,965331.0,15.937,3556
138,2025-07-24 09:30:00-04:00,16.35,16.37,16.28,16.3,569783.0,16.33,2192
139,2025-07-24 12:00:00-04:00,16.3,16.34,16.23,16.23,776141.0,16.286,2975
140,2025-07-25 09:30:00-04:00,16.18,16.21,16.11,16.18,373568.0,16.175,1244
141,2025-07-25 12:00:00-04:00,16.18,16.23,16.17,16.21,603142.0,16.208,2362
142,2025-07-28 09:30:00-04:00,15.67,15.69,15.57,15.58,432261.0,15.619,1497
143,2025-07-28 12:00:00-04:00,15.58,15.59,15.5,15.53,889583.0,15.54,2359
144,2025-07-29 09:30:00-04:00,15.52,15.52,15.38,15.41,429381.0,15.426,1247
145,2025-07-29 12:00:00-04:00,15.42,15.44,15.38,15.41,771260.0,15.408,2358
146,2025-07-30 09:30:00-04:00,15.51,15.54,15.4,15.44,537376.0,15.451,1579
147,2025-07-30 12:00:00-04:00,15.44,15.47,15.31,15.36,1654401.0,15.394,5169
148,2025-07-31 09:30:00-04:00,15.22,15.3,15.01,15.11,640258.0,15.147,2684
149,2025-07-31 12:00:00-04:00,15.11,15.16,15.02,15.11,2193712.0,15.103,7863
150,2025-08-01 09:30:00-04:00,15.36,15.36,14.92,15.04,986075.0,15.023,4210
151,2025-08-01 12:00:00-04:00,15.04,15.11,15.0,15.07,1048762.0,15.058,3835
152,2025-08-04 09:30:00-04:00,15.18,15.22,15.11,15.15,1391273.0,15.152,3523
153,2025-08-04 12:00:00-04:00,15.15,15.23,15.12,15.23,1243079.0,15.174,3089
154,2025-08-05 09:30:00-04:00,15.25,15.26,15.1,15.21,617978.0,15.178,1882
155,2025-08-05 12:00:00-04:00,15.21,15.27,15.19,15.2,883304.0,15.223,2145
156,2025-08-06 09:30:00-04:00,15.36,15.48,15.33,15.47,585143.0,15.423,1893
157,2025-08-06 12:00:00-04:00,15.47,15.49,15.44,15.46,549314.0,15.471,1821
158,2025-08-07 09:30:00-04:00,15.74,15.75,15.62,15.64,440005.0,15.666,1703
159,2025-08-07 12:00:00-04:00,15.63,15.67,15.56,15.59,809409.0,15.609,2505
160,2025-08-08 09:30:00-04:00,15.76,15.85,15.71,15.83,542687.0,15.808,1251
161,2025-08-08 12:00:00-04:00,15.83,15.88,15.82,15.87,591637.0,15.853,1796
162,2025-08-11 09:30:00-04:00,15.89,15.94,15.79,15.82,1124648.0,15.83,2603
163,2025-08-11 12:00:00-04:00,15.82,15.84,15.73,15.75,1636275.0,15.77,4371
164,2025-08-12 09:30:00-04:00,16.2,16.28,16.11,16.28,906961.0,16.206,1878
165,2025-08-12 12:00:00-04:00,16.27,16.34,16.26,16.3,628092.0,16.307,1802
166,2025-08-13 09:30:00-04:00,16.3,16.36,16.23,16.25,519219.0,16.294,1357
167,2025-08-13 12:00:00-04:00,16.25,16.29,16.21,16.23,751921.0,16.24,2274
168,2025-08-14 09:30:00-04:00,16.63,16.76,16.63,16.68,782395.0,16.697,2029
169,2025-08-14 12:00:00-04:00,16.68,16.76,16.63,16.75,947416.0,16.701,2678
170,2025-08-15 09:30:00-04:00,17.4,17.46,17.15,17.19,844589.0,17.272,2762
171,2025-08-15 12:00:00-04:00,17.2,17.21,17.14,17.14,1439489.0,17.171,4351
172,2025-08-18 09:30:00-04:00,16.89,17.02,16.88,17.02,352652.0,16.96,887
173,2025-08-18 12:00:00-04:00,17.02,17.04,16.96,16.98,878723.0,16.987,2122
174,2025-08-19 09:30:00-04:00,16.73,16.83,16.68,16.69,575779.0,16.734,1425
175,2025-08-19 12:00:00-04:00,16.69,16.7,16.62,16.62,717272.0,16.645,2036
176,2025-08-20 09:30:00-04:00,16.71,16.73,16.59,16.66,456406.0,16.657,1400
177,2025-08-20 12:00:00-04:00,16.66,16.73,16.66,16.73,798395.0,16.696,2259
178,2025-08-21 09:30:00-04:00,16.62,16.65,16.52,16.59,429699.0,16.606,1306
179,2025-08-21 12:00:00-04:00,16.59,16.62,16.57,16.59,800846.0,16.592,1953
180,2025-08-22 09:30:00-04:00,16.66,16.9,16.66,16.8,609800.0,16.833,1753
181,2025-08-22 12:00:00-04:00,16.8,16.85,16.77,16.8,1350098.0,16.81,3614
182,2025-08-25 09:30:00-04:00,16.73,16.82,16.73,16.76,429721.0,16.776,1507
183,2025-08-25 12:00:00-04:00,16.76,16.78,16.69,16.71,635529.0,16.73,2064
184,2025-08-26 09:30:00-04:00,16.59,16.67,16.57,16.66,411105.0,16.635,1300
185,2025-08-26 12:00:00-04:00,16.66,16.75,16.65,16.75,509772.0,16.706,1667
186,2025-08-27 09:30:00-04:00,16.47,16.53,16.39,16.5,538002.0,16.467,1361
187,2025-08-27 12:00:00-04:00,16.5,16.55,16.47,16.51,725814.0,16.522,2144
188,2025-08-28 09:30:00-04:00,16.57,16.59,16.49,16.5,1521185.0,16.512,2984
189,2025-08-28 12:00:00-04:00,16.5,16.54,16.47,16.53,1906497.0,16.507,5313
190,2025-08-29 09:30:00-04:00,16.37,16.43,16.33,16.41,515799.0,16.374,1645
191,2025-08-29 12:00:00-04:00,16.41,16.46,16.4,16.43,788841.0,16.438,2606
192,2025-09-02 09:30:00-04:00,16.34,16.44,16.25,16.34,644230.0,16.376,1808
193,2025-09-02 12:00:00-04:00,16.34,16.48,16.32,16.47,782246.0,16.403,2329
194,2025-09-03 09:30:00-04:00,16.01,16.15,16.01,16.1,544655.0,16.095,1571
195,2025-09-03 12:00:00-04:00,16.1,16.15,16.04,16.14,789959.0,16.098,2716
196,2025-09-04 09:30:00-04:00,16.45,16.55,16.41,16.52,824793.0,16.505,1800
197,2025-09-04 12:00:00-04:00,16.52,16.61,16.5,16.6,1505723.0,16.551,2841
198,2025-09-05 09:30:00-04:00,16.63,16.65,16.38,16.44,631043.0,16.488,2212
199,2025-09-05 12:00:00-04:00,16.45,16.49,16.43,16.46,1217647.0,16.455,3385
200,2025-09-08 09:30:00-04:00,16.64,16.68,16.55,16.66,1109587.0,16.607,2579
201,2025-09-08 12:00:00-04:00,16.66,16.68,16.6,16.68,909327.0,16.641,2853
202,2025-09-09 09:30:00-04:00,16.44,16.66,16.39,16.66,809271.0,16.532,2783
203,2025-09-09 12:00:00-04:00,16.65,16.67,16.55,16.57,1580086.0,16.618,4193
204,2025-09-10 09:30:00-04:00,16.81,16.88,16.77,16.86,342179.0,16.837,1249
205,2025-09-10 12:00:00-04:00,16.86,16.87,16.79,16.82,964214.0,16.83,2794
206,2025-09-11 09:30:00-04:00,16.71,16.81,16.66,16.79,402746.0,16.768,1300
207,2025-09-11 12:00:00-04:00,16.79,16.82,16.73,16.74,865799.0,16.771,2500
208,2025-09-12 09:30:00-04:00,16.67,16.74,16.63,16.64,743964.0,16.682,2209
209,2025-09-12 12:00:00-04:00,16.64,16.73,16.62,16.71,1126137.0,16.674,2980
210,2025-09-15 09:30:00-04:00,16.88,16.88,16.76,16.8,404605.0,16.801,1309
211,2025-09-15 12:00:00-04:00,16.8,16.84,16.77,16.78,651103.0,16.801,2089
212,2025-09-16 09:30:00-04:00,16.68,16.68,16.5,16.53,398634.0,16.541,1479
213,2025-09-16 12:00:00-04:00,16.54,16.59,16.52,16.56,683983.0,16.561,2201
214,2025-09-17 09:30:00-04:00,16.58,16.68,16.58,16.64,770913.0,16.643,1661
215,2025-09-17 12:00:00-04:00,16.64,16.68,16.48,16.57,1842205.0,16.59,5651
216,2025-09-18 09:30:00-04:00,16.58,16.72,16.55,16.68,667440.0,16.636,1925
217,2025-09-18 12:00:00-04:00,16.69,16.74,16.68,16.71,795345.0,16.708,2445
218,2025-09-19 09:30:00-04:00,16.84,16.92,16.83,16.87,427444.0,16.874,1163
219,2025-09-19 12:00:00-04:00,16.87,16.9,16.86,16.86,731236.0,16.881,2092
220,2025-09-22 09:30:00-04:00,17.0,17.01,16.93,16.98,245015.0,16.972,751
221,2025-09-22 12:00:00-04:00,16.98,17.11,16.98,17.1,588975.0,17.063,2196
222,2025-09-23 09:30:00-04:00,17.18,17.21,17.07,17.09,292728.0,17.151,1012
223,2025-09-23 12:00:00-04:00,17.09,17.11,16.96,16.96,670138.0,17.021,2168
224,2025-09-24 09:30:00-04:00,16.87,16.99,16.87,16.91,182977.0,16.949,723
225,2025-09-24 12:00:00-04:00,16.91,16.95,16.88,16.92,890321.0,16.916,2737
226,2025-09-25 09:30:00-04:00,16.89,16.92,16.84,16.89,250184.0,16.88,905
227,2025-09-25 12:00:00-04:00,16.89,16.9,16.79,16.84,770236.0,16.849,2420
228,2025-09-26 09:30:00-04:00,16.98,17.07,16.96,17.01,410096.0,17.015,1332
229,2025-09-26 12:00:00-04:00,17.01,17.07,16.99,17.06,837887.0,17.047,2137
230,2025-09-29 09:30:00-04:00,17.0,17.0,16.84,16.85,341037.0,16.887,1041
231,2025-09-29 12:00:00-04:00,16.86,16.89,16.83,16.84,741229.0,16.862,2277
232,2025-09-30 09:30:00-04:00,16.81,16.82,16.62,16.64,496683.0,16.686,1845
233,2025-09-30 12:00:00-04:00,16.64,16.77,16.63,16.76,1046725.0,16.684,3251
234,2025-10-01 09:30:00-04:00,16.59,16.59,16.41,16.41,874922.0,16.473,2603
235,2025-10-01 12:00:00-04:00,16.41,16.47,16.39,16.39,716579.0,16.427,2410
236,2025-10-02 09:30:00-04:00,16.36,16.36,16.21,16.27,489734.0,16.265,1491
237,2025-10-02 12:00:00-04:00,16.26,16.34,16.25,16.3,603331.0,16.295,1780
238,2025-10-03 09:30:00-04:00,16.55,16.6,16.51,16.57,421661.0,16.571,1231
239,2025-10-03 12:00:00-04:00,16.57,16.58,16.52,16.54,750424.0,16.559,2131
