,date,open,high,low,close,volume,average,barCount
0,2025-04-14,11.15,11.16,9.97,10.47,290106173.0,10.597,334881
1,2025-04-15,10.6,11.02,10.41,10.6,182915311.0,10.685,187312
2,2025-04-16,9.15,9.75,8.33,9.34,289539034.0,9.164,360404
3,2025-04-17,9.56,9.56,8.9,9.2,195113565.0,9.188,214208
4,2025-04-21,8.66,8.74,8.15,8.71,212602189.0,8.384,236432
5,2025-04-22,8.96,9.4,8.85,9.18,204624745.0,9.139,190027
6,2025-04-23,10.58,10.9,10.1,10.29,296278987.0,10.544,323434
7,2025-04-24,11.05,12.09,10.85,12.0,269778761.0,11.668,277718
8,2025-04-25,11.63,12.59,11.51,12.34,219412630.0,12.067,224330
9,2025-04-28,12.16,12.53,11.45,12.29,175253081.0,11.943,184245
10,2025-04-29,11.81,12.27,11.62,11.86,147565071.0,11.971,153403
11,2025-04-30,10.99,12.21,10.75,12.16,174409357.0,11.441,192896
12,2025-05-01,12.53,12.81,12.05,12.1,166175512.0,12.446,174477
13,2025-05-02,12.89,13.69,12.89,13.29,183284617.0,13.327,211057
14,2025-05-05,12.93,13.41,12.87,13.05,105114454.0,13.145,120614
15,2025-05-06,12.33,12.95,12.12,12.64,122117704.0,12.561,128737
16,2025-05-07,12.61,13.4,12.23,13.28,162047902.0,12.741,178879
17,2025-05-08,13.84,14.34,13.38,13.66,170548254.0,13.883,187528
18,2025-05-09,14.21,14.47,13.74,14.11,125010685.0,14.092,143272
19,2025-05-12,16.89,17.47,16.5,17.13,201344264.0,16.974,259145
20,2025-05-13,17.39,18.86,17.28,18.6,176577083.0,18.339,220359
21,2025-05-14,18.97,19.37,18.43,18.84,139862019.0,18.79,185085
22,2025-05-15,18.32,18.91,17.82,18.47,106618874.0,18.34,144665
23,2025-05-16,18.57,18.6,17.76,18.39,84437787.0,18.171,125806
24,2025-05-19,17.15,18.21,17.09,18.06,85931811.0,17.803,133754
25,2025-05-20,17.62,18.0,17.44,17.97,65038391.0,17.715,92879
26,2025-05-21,17.55,18.59,16.65,17.0,129019438.0,17.631,184319
27,2025-05-22,16.96,17.43,16.48,16.51,117469500.0,16.883,170266
28,2025-05-23,15.21,16.0,15.1,15.73,129521231.0,15.521,192633
29,2025-05-27,16.73,17.51,16.35,17.29,108291245.0,17.116,156734
30,2025-05-28,17.42,17.57,16.89,17.04,89128369.0,17.283,121656
31,2025-05-29,18.18,18.21,16.9,17.2,146910394.0,17.345,189067
32,2025-05-30,16.9,16.9,15.24,16.17,169919920.0,16.061,238258
33,2025-06-02,16.06,17.1,16.04,16.9,86763511.0,16.617,119850
34,2025-06-03,16.93,18.38,16.57,18.3,136239964.0,17.849,187444
