,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,11.15,11.16,10.01,10.11,167859823.0,10.704,201802
1,2025-04-14 12:00:00-04:00,10.12,10.87,9.97,10.45,122246350.0,10.449,133079
2,2025-04-15 09:30:00-04:00,10.6,11.02,10.46,10.76,111779327.0,10.736,116312
3,2025-04-15 12:00:00-04:00,10.76,10.91,10.41,10.57,71135984.0,10.605,71000
4,2025-04-16 09:30:00-04:00,9.15,9.75,9.11,9.43,108815497.0,9.503,138614
5,2025-04-16 12:00:00-04:00,9.43,9.5,8.33,9.35,180723537.0,8.961,221790
6,2025-04-17 09:30:00-04:00,9.56,9.56,8.92,8.97,99558686.0,9.176,118872
7,2025-04-17 12:00:00-04:00,8.98,9.44,8.9,9.18,95554879.0,9.2,95336
8,2025-04-21 09:30:00-04:00,8.66,8.72,8.15,8.16,110120120.0,8.407,129366
9,2025-04-21 12:00:00-04:00,8.15,8.74,8.15,8.68,102482069.0,8.359,107066
10,2025-04-22 09:30:00-04:00,8.96,9.31,8.85,9.13,99149299.0,9.145,95258
11,2025-04-22 12:00:00-04:00,9.14,9.4,8.86,9.19,105475446.0,9.134,94769
12,2025-04-23 09:30:00-04:00,10.58,10.9,10.27,10.43,175305761.0,10.63,215834
13,2025-04-23 12:00:00-04:00,10.43,10.71,10.1,10.24,120973226.0,10.419,107600
14,2025-04-24 09:30:00-04:00,11.05,11.76,10.85,11.63,150302333.0,11.462,164785
15,2025-04-24 12:00:00-04:00,11.63,12.09,11.62,12.04,119476428.0,11.927,112933
16,2025-04-25 09:30:00-04:00,11.63,12.06,11.51,11.92,100891353.0,11.833,113776
17,2025-04-25 12:00:00-04:00,11.93,12.59,11.88,12.33,118521277.0,12.266,110554
18,2025-04-28 09:30:00-04:00,12.16,12.53,11.52,11.72,93127467.0,12.05,106986
19,2025-04-28 12:00:00-04:00,11.73,12.32,11.45,12.25,82125614.0,11.821,77259
20,2025-04-29 09:30:00-04:00,11.81,12.14,11.62,11.89,66743323.0,11.919,78272
21,2025-04-29 12:00:00-04:00,11.89,12.27,11.68,11.87,80821748.0,12.015,75131
22,2025-04-30 09:30:00-04:00,10.99,11.6,10.75,11.51,94625348.0,11.181,110872
23,2025-04-30 12:00:00-04:00,11.51,12.21,11.22,12.11,79784009.0,11.748,82024
24,2025-05-01 09:30:00-04:00,12.53,12.81,12.12,12.4,95832250.0,12.453,109286
25,2025-05-01 12:00:00-04:00,12.4,12.67,12.05,12.06,70343262.0,12.436,65191
26,2025-05-02 09:30:00-04:00,12.89,13.47,12.89,13.45,89784255.0,13.201,110640
27,2025-05-02 12:00:00-04:00,13.45,13.69,13.21,13.32,93500362.0,13.448,100417
28,2025-05-05 09:30:00-04:00,12.93,13.34,12.87,13.06,58595740.0,13.119,72024
29,2025-05-05 12:00:00-04:00,13.06,13.41,12.99,13.01,46518714.0,13.178,48590
30,2025-05-06 09:30:00-04:00,12.33,12.7,12.12,12.63,60008960.0,12.438,67935
31,2025-05-06 12:00:00-04:00,12.63,12.95,12.41,12.62,62108744.0,12.68,60802
32,2025-05-07 09:30:00-04:00,12.61,12.75,12.41,12.74,54051612.0,12.555,60730
