,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,544.02,544.28,535.23,535.74,20665358.0,540.723,106636
1,2025-04-14 12:00:00-04:00,535.73,542.58,533.86,538.97,26671667.0,538.891,134669
2,2025-04-15 09:30:00-04:00,539.68,543.23,538.14,540.97,15427898.0,540.843,78735
3,2025-04-15 12:00:00-04:00,541.0,541.62,536.81,537.71,18468945.0,538.491,88251
4,2025-04-16 09:30:00-04:00,531.68,535.11,529.65,531.71,14113600.0,532.192,74965
5,2025-04-16 12:00:00-04:00,531.73,532.12,520.29,525.73,34336951.0,525.396,173147
6,2025-04-17 09:30:00-04:00,527.58,529.31,523.91,526.76,13683414.0,527.028,74923
7,2025-04-17 12:00:00-04:00,526.76,531.17,525.71,526.37,24068888.0,528.282,128066
8,2025-04-21 09:30:00-04:00,521.14,521.7,510.8,511.07,16474542.0,515.636,79906
9,2025-04-21 12:00:00-04:00,511.05,514.87,508.46,514.0,28932379.0,511.244,149141
10,2025-04-22 09:30:00-04:00,520.12,526.55,519.19,526.17,16345706.0,523.255,87165
11,2025-04-22 12:00:00-04:00,526.2,529.31,521.76,526.92,33285246.0,525.91,172289
12,2025-04-23 09:30:00-04:00,540.43,545.43,535.57,537.43,30832855.0,541.699,173676
13,2025-04-23 12:00:00-04:00,537.42,539.59,533.88,535.41,28143277.0,536.508,142907
14,2025-04-24 09:30:00-04:00,536.74,543.9,535.45,542.76,16278351.0,540.886,82153
15,2025-04-24 12:00:00-04:00,542.81,547.43,542.25,546.5,23729567.0,545.611,111347
16,2025-04-25 09:30:00-04:00,546.65,548.12,543.69,547.07,14003189.0,546.255,78112
17,2025-04-25 12:00:00-04:00,547.09,551.05,546.76,550.54,21552648.0,549.432,109104
18,2025-04-28 09:30:00-04:00,551.39,553.55,547.03,547.48,13789018.0,550.459,67685
19,2025-04-28 12:00:00-04:00,547.42,552.28,545.02,550.93,17823296.0,548.821,79915
20,2025-04-29 09:30:00-04:00,548.91,553.3,548.55,551.73,10939710.0,551.176,57137
21,2025-04-29 12:00:00-04:00,551.73,555.45,550.51,554.14,18590615.0,554.05,91767
22,2025-04-30 09:30:00-04:00,547.59,549.84,541.52,549.49,20554230.0,545.705,97157
23,2025-04-30 12:00:00-04:00,549.43,556.52,547.14,554.35,32731116.0,551.961,145348
24,2025-05-01 09:30:00-04:00,560.37,564.07,558.65,560.38,17404418.0,561.32,94852
25,2025-05-01 12:00:00-04:00,560.4,562.69,557.86,558.45,20010041.0,560.877,97289
26,2025-05-02 09:30:00-04:00,564.69,566.39,562.38,566.23,12924073.0,564.956,66755
27,2025-05-02 12:00:00-04:00,566.23,568.38,566.02,566.62,22828634.0,567.254,117203
28,2025-05-05 09:30:00-04:00,562.55,565.31,561.7,565.0,12141064.0,563.728,66824
29,2025-05-05 12:00:00-04:00,565.0,566.65,563.09,563.53,14037705.0,565.065,68574
30,2025-05-06 09:30:00-04:00,557.93,561.94,556.96,560.37,12088188.0,559.679,59019
31,2025-05-06 12:00:00-04:00,560.38,563.35,558.32,558.8,20081106.0,560.241,98417
32,2025-05-07 09:30:00-04:00,560.13,561.98,558.38,559.94,10505806.0,560.167,58393
33,2025-05-07 12:00:00-04:00,559.91,563.82,556.04,561.22,24457018.0,559.895,129611
34,2025-05-08 09:30:00-04:00,565.22,569.65,561.7,568.38,20113704.0,565.289,104013
35,2025-05-08 12:00:00-04:00,568.4,570.31,564.54,564.91,22881606.0,567.805,115233
36,2025-05-09 09:30:00-04:00,566.48,567.5,562.76,565.55,10748554.0,565.114,57092
37,2025-05-09 12:00:00-04:00,565.56,565.89,562.87,564.28,12836404.0,564.456,67061
38,2025-05-12 09:30:00-04:00,581.48,581.73,577.04,578.17,21370592.0,579.169,121509
