,date,open,high,low,close,volume,average,barCount
0,2025-04-14,3.55,3.57,3.465,3.52,2087546.0,3.51386,5948
1,2025-04-15,3.47,3.475,3.39,3.42,1016964.0,3.42964,3713
2,2025-04-16,3.49,3.53,3.425,3.45,641361.0,3.47147,1871
3,2025-04-17,3.59,3.61,3.535,3.59,771754.0,3.57734,2236
4,2025-04-21,3.56,3.5954,3.44,3.49,521798.0,3.46957,1541
5,2025-04-22,3.59,3.67,3.59,3.65,535584.0,3.63685,1742
6,2025-04-23,3.63,3.68,3.55,3.65,1051480.0,3.63298,3097
7,2025-04-24,3.59,3.6,3.495,3.5,768070.0,3.52691,2075
8,2025-04-25,3.51,3.57,3.495,3.56,301495.0,3.53176,1009
9,2025-04-28,3.59,3.59,3.53,3.53,423873.0,3.55076,1574
10,2025-04-29,3.57,3.61,3.545,3.57,388674.0,3.57824,1621
11,2025-04-30,3.51,3.52,3.43,3.48,585423.0,3.4792,1926
12,2025-05-01,3.46,3.505,3.43,3.45,394559.0,3.46542,1340
13,2025-05-02,3.53,3.57,3.51,3.55,546976.0,3.54213,1793
14,2025-05-05,3.55,3.565,3.47,3.48,611026.0,3.50208,2065
15,2025-05-06,3.44,3.4686,3.41,3.41,289912.0,3.43394,850
16,2025-05-07,3.47,3.4999,3.43,3.43,837128.0,3.45886,2876
17,2025-05-08,3.46,3.56,3.44,3.52,468659.0,3.51398,1672
18,2025-05-09,3.55,3.59,3.53,3.57,577832.0,3.56496,1932
19,2025-05-12,3.75,3.765,3.7,3.72,533047.0,3.72831,1502
20,2025-05-13,3.75,3.83,3.735,3.81,347425.0,3.78931,966
21,2025-05-14,3.85,3.86,3.785,3.81,1535721.0,3.83726,2956
22,2025-05-15,3.75,3.76,3.7,3.71,525101.0,3.71963,1749
23,2025-05-16,3.84,3.87,3.82,3.86,497818.0,3.85079,1716
24,2025-05-19,3.9,4.13,3.895,4.1,1387613.0,3.98514,2833
25,2025-05-20,4.46,4.5,4.41,4.42,1052308.0,4.44744,2399
26,2025-05-21,4.67,4.77,4.51,4.53,1416062.0,4.6369,4227
27,2025-05-22,4.51,4.58,4.47,4.48,1595524.0,4.51516,5487
28,2025-05-23,4.44,4.56,4.42,4.56,1429350.0,4.48299,4087
29,2025-05-27,4.61,4.63,4.505,4.56,1670889.0,4.57227,4867
30,2025-05-28,4.58,4.585,4.49,4.51,728086.0,4.5343,2737
31,2025-05-29,4.61,4.65,4.57,4.61,898447.0,4.6091,4428
32,2025-05-30,4.53,4.5302,4.42,4.44,684130.0,4.45298,2407
33,2025-06-02,4.58,4.62,4.49,4.58,1744038.0,4.55088,5323
34,2025-06-03,4.6,4.76,4.56,4.72,833694.0,4.69389,2342
35,2025-06-04,4.72,4.74,4.66,4.67,436797.0,4.69022,1449
36,2025-06-05,4.72,4.775,4.7,4.7,781653.0,4.72913,2226
37,2025-06-06,4.64,4.655,4.5992,4.6,776164.0,4.62476,2027
38,2025-06-09,4.7,4.785,4.7,4.76,716194.0,4.75181,1892
39,2025-06-10,4.86,4.98,4.8593,4.96,996304.0,4.92727,2778
40,2025-06-11,4.83,4.89,4.805,4.87,589532.0,4.85248,1761
41,2025-06-12,4.88,4.895,4.83,4.85,622670.0,4.86557,1488
42,2025-06-13,5.46,5.515,5.3,5.45,2980755.0,5.4047,6930
43,2025-06-16,5.45,5.4688,5.19,5.2,1314206.0,5.26048,3917
44,2025-06-17,5.37,5.445,5.325,5.36,1623759.0,5.37343,5041
45,2025-06-18,5.47,5.515,5.365,5.4,1381293.0,5.43208,4512
46,2025-06-20,5.28,5.33,5.21,5.23,755498.0,5.2518,2224
47,2025-06-23,5.32,5.325,5.0801,5.11,1949302.0,5.15419,6542
48,2025-06-24,4.57,4.605,4.5101,4.55,2326685.0,4.55632,5302
49,2025-06-25,4.45,4.45,4.38,4.39,1016701.0,4.41487,3008
50,2025-06-26,4.41,4.485,4.3841,4.44,704503.0,4.43938,2039
51,2025-06-27,4.34,4.4499,4.3,4.42,1010630.0,4.39669,2471
52,2025-06-30,4.46,4.46,4.4,4.42,612793.0,4.42875,2255
53,2025-07-01,4.44,4.64,4.405,4.6,1872774.0,4.54987,4957
54,2025-07-02,4.81,5.01,4.79,5.0,1790764.0,4.91315,5207
55,2025-07-03,4.98,5.04,4.97,4.99,614241.0,5.00619,2030
56,2025-07-07,4.96,4.99,4.891,4.98,1111141.0,4.945,3267
57,2025-07-08,4.99,5.24,4.96,5.15,1774441.0,5.12652,5103
58,2025-07-09,5.16,5.21,5.09,5.17,1559251.0,5.14088,5361
59,2025-07-10,5.11,5.285,5.11,5.25,801040.0,5.23195,2320
60,2025-07-11,5.14,5.19,5.065,5.17,550649.0,5.14401,1909
61,2025-07-14,5.26,5.3,5.16,5.19,731660.0,5.2034,2392
62,2025-07-15,5.09,5.11,5.01,5.03,620399.0,5.05319,1771
63,2025-07-16,5.0,5.0,4.8648,4.96,582879.0,4.94328,2103
64,2025-07-17,4.92,4.96,4.895,4.95,943273.0,4.92671,2558
65,2025-07-18,5.0,5.06,4.97,4.99,704000.0,5.00839,2549
66,2025-07-21,5.25,5.395,5.25,5.36,1088647.0,5.33022,2941
67,2025-07-22,5.11,5.195,5.09,5.14,1061449.0,5.15041,3398
68,2025-07-23,5.13,5.405,5.12,5.38,1853599.0,5.30702,5623
69,2025-07-24,5.33,5.5,5.295,5.37,1535873.0,5.39711,4633
70,2025-07-25,5.16,5.16,4.96,5.12,910035.0,5.07987,2623
71,2025-07-28,5.22,5.265,5.18,5.25,531186.0,5.22708,1657
72,2025-07-29,5.2,5.23,5.11,5.23,787039.0,5.1714,2912
