,date,open,high,low,close,volume,average,barCount
0,2025-04-14,20.45,20.68,20.07,20.48,5509494.0,20.429,28294
1,2025-04-15,20.53,20.72,20.37,20.53,4099454.0,20.532,19327
2,2025-04-16,20.37,20.5,19.5,20.12,6564813.0,20.051,31191
3,2025-04-17,20.46,20.48,20.09,20.26,5696431.0,20.246,25477
4,2025-04-21,19.99,20.08,19.55,20.01,4438994.0,19.791,20945
5,2025-04-22,20.65,20.94,20.55,20.86,7082345.0,20.757,32950
6,2025-04-23,21.85,22.14,21.61,21.78,7887296.0,21.899,38638
7,2025-04-24,23.33,23.42,22.83,23.34,7672694.0,23.128,40593
8,2025-04-25,23.05,23.4,23.02,23.28,5048122.0,23.22,23583
9,2025-04-28,23.3,23.45,22.75,23.15,4343907.0,23.072,21662
10,2025-04-29,22.62,23.19,22.58,22.98,4492746.0,22.931,21211
11,2025-04-30,22.17,22.75,21.97,22.71,5520198.0,22.504,25472
12,2025-05-01,22.85,23.05,22.64,22.74,4062845.0,22.83,21562
13,2025-05-02,23.15,23.62,23.15,23.45,5610694.0,23.422,27145
14,2025-05-05,23.31,23.41,22.93,22.97,3569759.0,23.116,17901
15,2025-05-06,22.6,22.84,22.5,22.55,3211676.0,22.635,15823
16,2025-05-07,22.82,23.16,22.6,23.06,3521595.0,22.869,18617
17,2025-05-08,23.27,23.47,22.96,23.16,4808732.0,23.219,23550
18,2025-05-09,23.83,24.04,23.72,23.93,4910577.0,23.908,21284
19,2025-05-12,25.3,25.54,24.9,25.42,6983729.0,25.274,33175
20,2025-05-13,25.43,26.15,25.36,26.13,4497632.0,25.945,22453
21,2025-05-14,26.06,26.29,25.96,26.07,4010735.0,26.09,17690
22,2025-05-15,25.98,26.1,25.75,25.95,3147912.0,25.92,15114
23,2025-05-16,25.82,25.9,25.62,25.82,2185390.0,25.757,12289
24,2025-05-19,25.5,25.87,25.39,25.83,3615772.0,25.691,17791
25,2025-05-20,25.74,25.94,25.62,25.87,4367628.0,25.803,18612
26,2025-05-21,25.88,26.08,25.14,25.25,4681362.0,25.674,23085
27,2025-05-22,25.65,25.78,25.18,25.18,6258423.0,25.443,30687
28,2025-05-23,24.47,24.69,24.27,24.41,5891857.0,24.461,29016
29,2025-05-27,25.73,25.73,25.2,25.38,5359346.0,25.4,25370
30,2025-05-28,25.42,25.45,24.97,24.99,4857894.0,25.198,20591
31,2025-05-29,25.87,25.89,25.28,25.42,4443594.0,25.472,19060
32,2025-05-30,25.37,25.37,24.54,25.01,5149759.0,24.988,24333
33,2025-06-02,24.62,25.08,24.61,25.05,3528329.0,24.876,15572
34,2025-06-03,24.8,25.85,24.72,25.67,6024579.0,25.478,27127
35,2025-06-04,27.72,28.67,27.7,28.41,11271918.0,28.247,49885
36,2025-06-05,28.73,28.98,28.18,28.29,8748842.0,28.631,38866
37,2025-06-06,28.46,28.59,28.32,28.45,4419130.0,28.448,19408
38,2025-06-09,28.99,29.69,28.98,29.6,6455599.0,29.486,28443
39,2025-06-10,29.38,30.42,29.29,30.4,7853471.0,30.085,34141
40,2025-06-11,30.3,30.54,29.71,29.89,6572555.0,30.163,32399
41,2025-06-12,29.82,30.17,29.77,29.91,5697446.0,29.948,22265
42,2025-06-13,29.28,29.8,29.1,29.18,6026585.0,29.377,25020
43,2025-06-16,29.63,29.82,29.45,29.66,5246527.0,29.659,21212
44,2025-06-17,29.22,29.37,28.71,28.8,4281474.0,29.025,19487
45,2025-06-18,28.71,29.34,28.65,29.02,5245290.0,29.078,21865
46,2025-06-20,29.23,29.28,28.43,28.67,5345831.0,28.74,23833
47,2025-06-23,28.46,29.15,28.43,29.1,5006052.0,28.92,20330
48,2025-06-24,29.65,30.21,29.6,30.17,5537708.0,30.022,20647
49,2025-06-25,29.6,29.95,29.14,29.94,6691611.0,29.63,26819
50,2025-06-26,30.12,30.31,29.97,30.14,4055540.0,30.141,18188
51,2025-06-27,30.19,30.26,29.81,30.1,3806243.0,30.074,17648
52,2025-06-30,30.45,30.59,30.25,30.41,5223391.0,30.434,23927
53,2025-07-01,30.0,30.33,29.69,30.07,4399228.0,30.102,20360
54,2025-07-02,31.12,31.92,31.11,31.7,7159693.0,31.541,31804
55,2025-07-03,32.13,32.35,31.94,32.29,3862420.0,32.163,17406
56,2025-07-07,31.94,32.17,31.44,31.56,5270971.0,31.749,22367
57,2025-07-08,31.83,32.62,31.7,32.52,5924486.0,32.418,23174
58,2025-07-09,32.12,32.26,31.53,31.97,5704278.0,31.88,19217
59,2025-07-10,32.6,33.14,32.34,33.14,6911862.0,32.917,25199
60,2025-07-11,32.13,32.44,32.1,32.27,5629589.0,32.27,20546
61,2025-07-14,31.8,31.96,31.37,31.79,5019009.0,31.722,19277
