,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,20.45,20.58,20.08,20.12,2320713.0,20.414,11309
1,2025-04-14 12:00:00-04:00,20.12,20.68,20.07,20.48,3188781.0,20.44,16985
2,2025-04-15 09:30:00-04:00,20.53,20.72,20.39,20.6,2157993.0,20.561,9285
3,2025-04-15 12:00:00-04:00,20.6,20.69,20.37,20.53,1941461.0,20.5,10042
4,2025-04-16 09:30:00-04:00,20.37,20.5,20.21,20.23,1791613.0,20.335,8140
5,2025-04-16 12:00:00-04:00,20.24,20.3,19.5,20.14,4773200.0,19.944,23051
6,2025-04-17 09:30:00-04:00,20.46,20.48,20.1,20.14,2929007.0,20.235,12265
7,2025-04-17 12:00:00-04:00,20.14,20.44,20.09,20.26,2767424.0,20.258,13212
8,2025-04-21 09:30:00-04:00,19.99,20.08,19.55,19.55,1376071.0,19.79,7650
9,2025-04-21 12:00:00-04:00,19.55,20.02,19.55,20.01,3062923.0,19.792,13295
10,2025-04-22 09:30:00-04:00,20.65,20.92,20.55,20.76,2984230.0,20.739,14124
11,2025-04-22 12:00:00-04:00,20.77,20.94,20.57,20.87,4098115.0,20.771,18826
12,2025-04-23 09:30:00-04:00,21.85,22.14,21.73,21.88,4147840.0,21.928,20489
13,2025-04-23 12:00:00-04:00,21.89,22.13,21.61,21.76,3739456.0,21.866,18149
14,2025-04-24 09:30:00-04:00,23.33,23.42,22.83,22.89,3797178.0,23.096,19172
15,2025-04-24 12:00:00-04:00,22.88,23.38,22.85,23.35,3875516.0,23.159,21421
16,2025-04-25 09:30:00-04:00,23.05,23.31,23.02,23.17,2393266.0,23.192,10153
17,2025-04-25 12:00:00-04:00,23.18,23.4,23.1,23.27,2654856.0,23.244,13430
18,2025-04-28 09:30:00-04:00,23.3,23.45,22.83,22.9,2077036.0,23.151,9994
19,2025-04-28 12:00:00-04:00,22.9,23.19,22.75,23.16,2266871.0,22.999,11668
20,2025-04-29 09:30:00-04:00,22.62,22.94,22.58,22.88,1925798.0,22.792,9695
21,2025-04-29 12:00:00-04:00,22.88,23.19,22.8,22.97,2566948.0,23.036,11516
22,2025-04-30 09:30:00-04:00,22.17,22.47,21.97,22.44,1467931.0,22.276,7738
23,2025-04-30 12:00:00-04:00,22.43,22.75,22.25,22.7,4052267.0,22.586,17734
24,2025-05-01 09:30:00-04:00,22.85,23.05,22.64,22.76,939473.0,22.853,6277
25,2025-05-01 12:00:00-04:00,22.76,22.97,22.69,22.74,3123372.0,22.823,15285
26,2025-05-02 09:30:00-04:00,23.15,23.5,23.15,23.45,2206736.0,23.369,10127
27,2025-05-02 12:00:00-04:00,23.45,23.62,23.29,23.46,3403958.0,23.456,17018
28,2025-05-05 09:30:00-04:00,23.31,23.41,23.01,23.09,1710209.0,23.193,8324
29,2025-05-05 12:00:00-04:00,23.09,23.18,22.93,22.96,1859550.0,23.045,9577
30,2025-05-06 09:30:00-04:00,22.6,22.78,22.51,22.66,1088637.0,22.658,6222
31,2025-05-06 12:00:00-04:00,22.67,22.84,22.5,22.55,2123039.0,22.624,9601
32,2025-05-07 09:30:00-04:00,22.82,22.88,22.67,22.87,1255301.0,22.771,6027
33,2025-05-07 12:00:00-04:00,22.87,23.16,22.6,23.06,2266294.0,22.923,12590
34,2025-05-08 09:30:00-04:00,23.27,23.34,22.96,23.2,1762736.0,23.135,9297
35,2025-05-08 12:00:00-04:00,23.19,23.47,23.1,23.14,3045996.0,23.267,14253
36,2025-05-09 09:30:00-04:00,23.83,24.04,23.78,23.86,3032901.0,23.912,11756
37,2025-05-09 12:00:00-04:00,23.85,23.98,23.72,23.92,1877676.0,23.901,9528
38,2025-05-12 09:30:00-04:00,25.3,25.42,24.9,25.2,2968582.0,25.167,15018
39,2025-05-12 12:00:00-04:00,25.2,25.54,25.18,25.41,4015147.0,25.352,18157
40,2025-05-13 09:30:00-04:00,25.43,26.12,25.36,26.07,2010274.0,25.786,9807
41,2025-05-13 12:00:00-04:00,26.07,26.15,25.94,26.13,2487358.0,26.075,12646
42,2025-05-14 09:30:00-04:00,26.06,26.24,25.96,26.15,1909262.0,26.08,7822
43,2025-05-14 12:00:00-04:00,26.15,26.29,25.98,26.06,2101473.0,26.1,9868
44,2025-05-15 09:30:00-04:00,25.98,26.09,25.75,26.02,1481734.0,25.909,7164
45,2025-05-15 12:00:00-04:00,26.02,26.1,25.77,25.98,1666178.0,25.929,7950
46,2025-05-16 09:30:00-04:00,25.82,25.9,25.62,25.67,1029988.0,25.74,5857
47,2025-05-16 12:00:00-04:00,25.67,25.85,25.62,25.83,1155402.0,25.773,6432
48,2025-05-19 09:30:00-04:00,25.5,25.73,25.39,25.64,1615209.0,25.583,7835
49,2025-05-19 12:00:00-04:00,25.64,25.87,25.59,25.84,2000563.0,25.779,9956
50,2025-05-20 09:30:00-04:00,25.74,25.88,25.62,25.88,2263583.0,25.774,9663
51,2025-05-20 12:00:00-04:00,25.88,25.94,25.66,25.87,2104045.0,25.835,8949
52,2025-05-21 09:30:00-04:00,25.88,26.07,25.8,26.02,1955278.0,25.939,8619
53,2025-05-21 12:00:00-04:00,26.03,26.08,25.14,25.26,2726084.0,25.483,14466
54,2025-05-22 09:30:00-04:00,25.65,25.78,25.21,25.31,3750298.0,25.488,18033
55,2025-05-22 12:00:00-04:00,25.32,25.53,25.18,25.18,2508125.0,25.376,12654
56,2025-05-23 09:30:00-04:00,24.47,24.61,24.27,24.34,2824599.0,24.421,15077
57,2025-05-23 12:00:00-04:00,24.34,24.69,24.29,24.42,3067258.0,24.498,13939
58,2025-05-27 09:30:00-04:00,25.73,25.73,25.2,25.33,3136273.0,25.419,15465
59,2025-05-27 12:00:00-04:00,25.34,25.49,25.24,25.38,2223073.0,25.374,9905
