,date,open,high,low,close,volume,average,barCount
0,2025-04-14,74.93,75.23,71.6,72.67,2014485.0,72.922,13449
1,2025-04-15,72.26,73.5,71.85,72.0,1428779.0,72.493,9438
2,2025-04-16,71.52,73.12,71.29,72.82,3024749.0,72.24,17761
3,2025-04-17,73.49,76.44,72.89,75.78,2892376.0,75.034,19828
4,2025-04-21,74.45,74.65,72.62,73.93,1442245.0,73.32,10209
5,2025-04-22,74.7,75.91,74.6,75.36,1033354.0,75.352,7389
6,2025-04-23,79.15,81.18,77.56,78.09,2528371.0,79.04,16994
7,2025-04-24,79.16,83.27,79.13,83.04,2692499.0,82.127,13622
8,2025-04-25,83.38,83.81,82.0,82.7,2472087.0,82.968,15670
9,2025-04-28,82.21,82.89,80.56,82.16,1557736.0,81.765,11956
10,2025-04-29,81.59,82.68,81.22,81.6,3743233.0,81.923,24147
11,2025-04-30,87.14,91.51,85.47,91.03,7458615.0,88.86,46850
12,2025-05-01,92.0,93.17,89.89,90.01,3149861.0,91.15,22634
13,2025-05-02,91.55,93.29,91.29,93.07,1748821.0,92.559,11788
14,2025-05-05,92.01,94.33,91.98,93.58,1453761.0,93.701,9807
15,2025-05-06,92.46,94.41,91.92,93.9,1133005.0,93.567,8010
16,2025-05-07,94.03,95.67,93.32,95.45,2147370.0,94.869,13304
17,2025-05-08,96.31,97.23,94.97,96.3,1232636.0,96.347,9065
18,2025-05-09,97.11,97.73,95.63,95.71,1478470.0,96.212,9380
19,2025-05-12,101.13,103.04,100.0,101.95,3440960.0,101.999,21254
20,2025-05-13,102.06,105.98,101.55,105.47,2447737.0,104.364,18658
21,2025-05-14,105.15,105.86,104.48,105.19,2347249.0,105.204,16055
22,2025-05-15,106.99,108.0,105.91,107.43,2797136.0,107.283,17414
23,2025-05-16,107.81,108.98,107.0,107.79,1590431.0,108.002,10871
24,2025-05-19,105.91,109.67,105.66,109.04,1675162.0,108.473,10967
25,2025-05-20,109.47,109.48,106.27,106.97,1905891.0,107.471,13181
26,2025-05-21,106.5,107.83,103.73,104.43,2111872.0,105.377,13112
27,2025-05-22,106.08,111.47,105.35,108.86,4867719.0,108.696,31924
28,2025-05-23,108.28,113.17,108.28,112.74,3302117.0,111.764,21800
29,2025-05-27,113.87,117.36,113.2,117.05,2477401.0,116.091,16695
30,2025-05-28,117.24,118.63,116.81,117.34,1749097.0,117.689,10213
31,2025-05-29,117.56,118.2,116.28,118.14,1172041.0,117.504,7790
32,2025-05-30,117.17,119.13,116.67,117.94,1895716.0,118.031,11055
33,2025-06-02,117.01,119.76,116.78,119.15,1952610.0,118.891,11876
34,2025-06-03,119.1,124.04,118.75,123.23,2993293.0,122.485,16933
35,2025-06-04,123.73,127.69,123.73,127.64,3559258.0,126.661,22578
36,2025-06-05,128.11,129.95,127.36,127.7,2325547.0,128.607,17712
37,2025-06-06,128.94,129.96,126.76,126.97,2081292.0,127.974,14135
38,2025-06-09,129.54,132.23,128.87,130.17,3035868.0,131.029,19873
39,2025-06-10,129.97,130.69,126.34,127.99,3340414.0,127.92,22530
40,2025-06-11,129.05,129.08,125.71,126.49,1922159.0,127.241,13492
41,2025-06-12,126.16,127.35,125.78,126.07,1418631.0,126.462,8569
42,2025-06-13,125.17,128.31,124.63,127.27,1598590.0,127.099,10339
43,2025-06-16,128.7,131.49,127.61,131.04,1879266.0,130.37,11999
44,2025-06-17,130.45,133.5,130.0,130.87,1290047.0,131.234,8536
45,2025-06-18,130.87,133.76,130.36,131.3,1521287.0,132.355,10002
46,2025-06-20,132.17,132.61,130.32,130.96,2490889.0,131.318,13503
47,2025-06-23,132.06,133.89,130.91,133.08,2459905.0,132.577,13236
