,date,open,high,low,close,volume,average,barCount
0,2025-04-14,36.09,36.67,34.93,36.56,3271177.0,35.962,14722
1,2025-04-15,36.59,37.33,36.34,36.71,2117674.0,36.824,10038
2,2025-04-16,35.98,36.59,34.75,35.17,2326316.0,35.652,11078
3,2025-04-17,35.6,35.82,35.34,35.66,1328450.0,35.66,7107
4,2025-04-21,35.46,35.55,34.19,34.58,1729728.0,34.698,7317
5,2025-04-22,35.23,35.84,35.18,35.7,1627600.0,35.583,6823
6,2025-04-23,36.61,36.95,35.82,36.35,1832607.0,36.416,8645
7,2025-04-24,36.53,37.13,36.5,37.02,757314.0,36.87,3930
8,2025-04-25,37.13,37.82,36.67,37.81,1020611.0,37.361,5594
9,2025-04-28,38.0,38.06,36.97,37.65,1104599.0,37.562,4984
10,2025-04-29,37.5,37.95,37.39,37.88,783584.0,37.788,3864
11,2025-04-30,37.21,37.58,36.28,37.41,3340401.0,37.042,17242
12,2025-05-01,37.94,38.02,37.45,37.71,843991.0,37.818,4843
13,2025-05-02,38.1,38.58,37.99,38.52,1194152.0,38.29,6009
14,2025-05-05,38.18,38.51,37.99,38.17,972899.0,38.304,5291
15,2025-05-06,37.61,37.97,37.36,37.41,1056776.0,37.664,5637
16,2025-05-07,37.67,38.02,37.28,37.92,1358888.0,37.685,7279
17,2025-05-08,38.22,38.83,38.11,38.66,1194311.0,38.556,7117
18,2025-05-09,38.7,39.04,38.6,38.77,877465.0,38.814,4455
19,2025-05-12,40.32,41.37,40.25,41.33,3483478.0,40.63,14088
20,2025-05-13,41.63,42.08,41.45,41.48,1656968.0,41.797,8511
21,2025-05-14,41.49,41.5,40.94,41.03,855207.0,41.242,4969
22,2025-05-15,40.84,41.4,40.67,41.4,560795.0,41.085,3056
23,2025-05-16,41.57,41.74,41.31,41.48,919210.0,41.511,4743
24,2025-05-19,40.6,41.4,40.55,41.24,718766.0,41.116,4646
25,2025-05-20,41.35,41.49,40.91,41.45,845572.0,41.213,4862
26,2025-05-21,40.97,41.36,39.7,39.98,1452185.0,40.485,9153
27,2025-05-22,39.9,40.5,39.72,40.13,1285435.0,40.261,8505
28,2025-05-23,38.72,39.51,38.63,38.83,1890816.0,39.071,12634
29,2025-05-27,40.01,40.82,39.85,40.78,1002491.0,40.465,6836
30,2025-05-28,40.87,40.9,40.44,40.61,945201.0,40.628,5677
31,2025-05-29,41.13,41.13,40.27,40.58,750496.0,40.636,4943
32,2025-05-30,40.36,40.69,39.66,40.43,1035980.0,40.285,6876
33,2025-06-02,40.25,40.72,40.13,40.69,683831.0,40.514,4725
34,2025-06-03,40.8,41.21,40.7,41.14,634026.0,41.001,4384
35,2025-06-04,41.21,41.28,41.02,41.18,598430.0,41.189,4015
