,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,36.09,36.42,35.07,35.12,1709089.0,35.837,7038
1,2025-04-14 12:00:00-04:00,35.1,36.67,34.93,36.56,1562088.0,36.099,7684
2,2025-04-15 09:30:00-04:00,36.59,37.26,36.34,37.16,907252.0,36.91,4146
3,2025-04-15 12:00:00-04:00,37.18,37.33,36.37,36.72,1210422.0,36.759,5892
4,2025-04-16 09:30:00-04:00,35.98,36.59,35.6,36.05,794041.0,36.065,3442
5,2025-04-16 12:00:00-04:00,36.0,36.23,34.75,35.19,1532275.0,35.439,7636
6,2025-04-17 09:30:00-04:00,35.6,35.8,35.34,35.61,555084.0,35.654,2627
7,2025-04-17 12:00:00-04:00,35.64,35.82,35.42,35.67,773366.0,35.664,4480
8,2025-04-21 09:30:00-04:00,35.46,35.55,34.39,34.43,751869.0,34.991,3333
9,2025-04-21 12:00:00-04:00,34.43,34.81,34.19,34.59,977859.0,34.473,3984
10,2025-04-22 09:30:00-04:00,35.23,35.77,35.18,35.74,655342.0,35.485,2988
11,2025-04-22 12:00:00-04:00,35.75,35.84,35.27,35.73,972258.0,35.649,3835
12,2025-04-23 09:30:00-04:00,36.61,36.95,35.99,36.23,1172424.0,36.514,5460
13,2025-04-23 12:00:00-04:00,36.24,36.52,35.82,36.4,660183.0,36.242,3185
14,2025-04-24 09:30:00-04:00,36.53,36.91,36.5,36.79,347450.0,36.765,1677
15,2025-04-24 12:00:00-04:00,36.82,37.13,36.76,37.05,409864.0,36.959,2253
16,2025-04-25 09:30:00-04:00,37.13,37.46,36.67,37.43,373486.0,37.011,1784
17,2025-04-25 12:00:00-04:00,37.44,37.82,37.21,37.81,647125.0,37.563,3810
18,2025-04-28 09:30:00-04:00,38.0,38.06,37.39,37.42,471922.0,37.787,1978
19,2025-04-28 12:00:00-04:00,37.42,37.78,36.97,37.67,632677.0,37.394,3006
20,2025-04-29 09:30:00-04:00,37.5,37.79,37.39,37.68,286482.0,37.61,1059
21,2025-04-29 12:00:00-04:00,37.71,37.95,37.61,37.89,497102.0,37.891,2805
22,2025-04-30 09:30:00-04:00,37.21,37.24,36.28,37.12,660289.0,36.826,3290
23,2025-04-30 12:00:00-04:00,37.13,37.58,36.75,37.41,2680112.0,37.095,13952
24,2025-05-01 09:30:00-04:00,37.94,37.99,37.57,37.63,359932.0,37.816,1603
25,2025-05-01 12:00:00-04:00,37.63,38.02,37.45,37.74,484059.0,37.818,3240
26,2025-05-02 09:30:00-04:00,38.1,38.33,37.99,38.21,560500.0,38.172,2320
27,2025-05-02 12:00:00-04:00,38.22,38.58,38.21,38.55,633652.0,38.393,3689
28,2025-05-05 09:30:00-04:00,38.18,38.51,37.99,38.36,472432.0,38.258,2338
29,2025-05-05 12:00:00-04:00,38.36,38.51,38.06,38.12,500467.0,38.347,2953
30,2025-05-06 09:30:00-04:00,37.61,37.97,37.36,37.84,439126.0,37.679,1934
31,2025-05-06 12:00:00-04:00,37.84,37.96,37.39,37.4,617650.0,37.654,3703
32,2025-05-07 09:30:00-04:00,37.67,37.84,37.51,37.77,516927.0,37.648,2237
33,2025-05-07 12:00:00-04:00,37.78,38.02,37.28,37.92,841961.0,37.708,5042
34,2025-05-08 09:30:00-04:00,38.22,38.8,38.11,38.72,544801.0,38.401,2826
35,2025-05-08 12:00:00-04:00,38.72,38.83,38.45,38.65,649510.0,38.686,4291
36,2025-05-09 09:30:00-04:00,38.7,39.04,38.6,38.9,416352.0,38.815,1821
37,2025-05-09 12:00:00-04:00,38.9,38.94,38.68,38.78,461113.0,38.812,2634
38,2025-05-12 09:30:00-04:00,40.32,40.82,40.25,40.75,2713862.0,40.488,9987
39,2025-05-12 12:00:00-04:00,40.76,41.37,40.73,41.35,769616.0,41.132,4101
40,2025-05-13 09:30:00-04:00,41.63,42.08,41.63,41.72,963947.0,41.884,4203
41,2025-05-13 12:00:00-04:00,41.72,41.85,41.45,41.48,693021.0,41.676,4308
42,2025-05-14 09:30:00-04:00,41.49,41.5,41.12,41.21,347517.0,41.292,1841
43,2025-05-14 12:00:00-04:00,41.2,41.44,40.94,41.05,507690.0,41.207,3128
44,2025-05-15 09:30:00-04:00,40.84,41.15,40.67,41.06,266758.0,40.909,1396
45,2025-05-15 12:00:00-04:00,41.07,41.4,41.01,41.39,294037.0,41.245,1660
46,2025-05-16 09:30:00-04:00,41.57,41.65,41.31,41.59,403915.0,41.499,1998
47,2025-05-16 12:00:00-04:00,41.6,41.74,41.31,41.47,515295.0,41.52,2745
48,2025-05-19 09:30:00-04:00,40.6,41.25,40.55,41.14,345511.0,40.962,1999
49,2025-05-19 12:00:00-04:00,41.15,41.4,41.11,41.23,373255.0,41.259,2647
50,2025-05-20 09:30:00-04:00,41.35,41.36,40.91,41.33,388884.0,41.147,1784
51,2025-05-20 12:00:00-04:00,41.33,41.49,40.94,41.43,456688.0,41.269,3078
52,2025-05-21 09:30:00-04:00,40.97,41.35,40.83,41.3,395125.0,41.087,2484
53,2025-05-21 12:00:00-04:00,41.3,41.36,39.7,39.98,1057060.0,40.26,6669
