,date,open,high,low,close,volume,average,barCount
0,2025-04-14,3.44,3.535,3.27,3.48,1498069.0,3.43904,5650
1,2025-04-15,3.47,3.51,3.36,3.42,1135474.0,3.43052,4255
2,2025-04-16,3.36,3.39,3.16,3.28,1385421.0,3.25252,6132
3,2025-04-17,3.3,3.38,3.225,3.32,725267.0,3.29725,3108
4,2025-04-21,3.33,3.4,3.25,3.34,907956.0,3.3163,3785
5,2025-04-22,3.428,3.89,3.4,3.85,1522993.0,3.69117,5930
6,2025-04-23,3.97,4.03,3.8,3.92,1150039.0,3.91067,4993
7,2025-04-24,3.92,4.275,3.88,4.12,1507108.0,4.16109,5404
8,2025-04-25,4.1,4.27,4.0109,4.2,1288120.0,4.15706,4310
9,2025-04-28,4.26,4.465,4.16,4.29,1824773.0,4.25248,4394
10,2025-04-29,4.33,4.45,4.17,4.435,889881.0,4.33507,3456
11,2025-04-30,4.44,4.55,4.27,4.49,1028114.0,4.43574,3992
12,2025-05-01,4.56,4.58,4.21,4.25,1150698.0,4.36127,4468
13,2025-05-02,4.27,4.525,4.19,4.42,1723616.0,4.39163,5663
14,2025-05-05,4.48,4.625,4.36,4.44,3113839.0,4.46898,10759
15,2025-05-06,5.39,6.56,5.28,6.56,18804706.0,6.08657,57536
16,2025-05-07,6.51,6.53,5.96,6.44,5083510.0,6.29076,18159
17,2025-05-08,6.54,6.54,6.32,6.37,5960516.0,6.45427,16918
18,2025-05-09,6.4,6.44,5.8292,6.23,3005645.0,6.12505,11916
19,2025-05-12,6.39,6.39,5.77,6.17,3020461.0,6.00359,12601
20,2025-05-13,6.13,6.32,6.0,6.3,1993591.0,6.21885,9554
21,2025-05-14,6.35,7.19,6.31,6.92,4842301.0,6.86409,15378
22,2025-05-15,6.83,6.9594,6.54,6.85,1741865.0,6.74347,7897
23,2025-05-16,6.85,7.17,6.77,7.15,2006079.0,6.96287,9165
24,2025-05-19,6.99,7.125,6.8493,6.995,1191064.0,7.02021,5357
25,2025-05-20,7.04,7.26,7.02,7.18,1468355.0,7.1569,6208
26,2025-05-21,7.125,7.34,7.01,7.05,1492420.0,7.14673,6308
27,2025-05-22,7.07,7.579,6.91,7.5,1882105.0,7.38279,8966
28,2025-05-23,7.3,7.475,7.165,7.38,1405746.0,7.31159,6606
29,2025-05-27,7.45,7.61,7.275,7.36,1173209.0,7.40175,5463
30,2025-05-28,7.37,7.43,7.22,7.22,694282.0,7.29456,3831
31,2025-05-29,7.31,7.35,7.05,7.21,793669.0,7.2261,4394
32,2025-05-30,7.19,7.28,7.04,7.2,1225609.0,7.15822,6272
33,2025-06-02,7.125,7.25,6.82,7.24,1524969.0,7.06557,7270
34,2025-06-03,7.37,7.605,7.24,7.46,2039356.0,7.44982,8674
35,2025-06-04,7.43,7.78,7.31,7.65,1669341.0,7.58364,7633
36,2025-06-05,7.48,7.755,7.3118,7.51,1515974.0,7.5822,8125
37,2025-06-06,7.56,7.8,7.48,7.72,1409735.0,7.67373,8056
38,2025-06-09,7.74,7.749,7.5,7.66,1217367.0,7.64633,5867
39,2025-06-10,7.65,7.9199,7.61,7.66,1091253.0,7.72956,4703
40,2025-06-11,7.75,7.84,7.62,7.76,1062534.0,7.74155,5490
41,2025-06-12,7.67,7.695,7.41,7.44,1393814.0,7.51593,6353
42,2025-06-13,7.26,7.465,7.135,7.3,1479894.0,7.31166,7164
43,2025-06-16,7.38,7.765,7.365,7.72,1579840.0,7.62675,7716
44,2025-06-17,7.57,8.06,7.53,8.01,2495754.0,7.9087,11143
45,2025-06-18,8.06,8.48,7.92,8.41,1728841.0,8.29035,9013
46,2025-06-20,8.46,8.745,8.3,8.69,2342034.0,8.52441,10366
47,2025-06-23,8.65,8.7,8.205,8.4,2949896.0,8.46246,14413
48,2025-06-24,8.51,8.55,7.9701,8.07,1428668.0,8.21659,6967
49,2025-06-25,8.18,8.255,7.77,7.78,1314254.0,8.00147,6352
50,2025-06-26,7.78,7.94,7.58,7.84,1707501.0,7.77296,9940
51,2025-06-27,7.84,7.9796,7.215,7.45,2236465.0,7.48314,10619
52,2025-06-30,7.44,7.665,7.34,7.49,1177382.0,7.53241,6567
53,2025-07-01,7.36,8.06,7.27,7.79,3259946.0,7.76898,17544
54,2025-07-02,7.79,7.96,7.55,7.57,1363927.0,7.69559,7265
55,2025-07-03,7.59,8.0,7.5408,8.0,918344.0,7.85076,5636
56,2025-07-07,7.96,7.96,7.39,7.56,1270080.0,7.57348,7331
57,2025-07-08,7.6,7.72,6.775,6.93,3012698.0,7.00534,14633
58,2025-07-09,6.99,6.99,6.635,6.72,1643539.0,6.74085,7472
59,2025-07-10,6.69,6.865,6.59,6.83,1849140.0,6.73584,8701
60,2025-07-11,6.9,7.16,6.74,7.08,1241478.0,7.01231,6567
61,2025-07-14,7.07,7.2,6.9401,7.12,960518.0,7.11077,5327
62,2025-07-15,7.15,7.18,6.975,7.15,784682.0,7.10537,4483
63,2025-07-16,7.2,7.3,6.94,7.11,718686.0,7.07058,3571
64,2025-07-17,7.17,7.3499,7.135,7.15,644266.0,7.21847,3777
65,2025-07-18,7.23,7.55,7.14,7.33,1314533.0,7.40034,6300
66,2025-07-21,7.49,8.48,7.445,8.38,2407202.0,8.11153,12172
67,2025-07-22,8.36,8.56,8.155,8.17,1217010.0,8.31386,6819
68,2025-07-23,8.39,8.57,8.09,8.38,901739.0,8.30824,4653
69,2025-07-24,8.34,8.4445,7.99,8.0,782705.0,8.16946,4372
70,2025-07-25,8.01,8.09,7.65,7.69,990667.0,7.79207,5143
71,2025-07-28,7.73,7.75,7.55,7.71,937941.0,7.66295,5212
72,2025-07-29,7.88,7.89,7.335,7.51,844559.0,7.48854,5139
73,2025-07-30,7.525,7.8,7.365,7.53,1313193.0,7.61119,7074
74,2025-07-31,7.44,8.305,7.33,8.26,1372430.0,8.08187,6779
75,2025-08-01,8.1,8.73,7.97,8.47,2368875.0,8.49836,12292
76,2025-08-04,8.67,9.745,8.545,9.68,4155453.0,9.26236,18993
77,2025-08-05,10.84,11.0,9.39,10.23,4409045.0,10.26507,19169
78,2025-08-06,10.02,10.48,9.66,10.17,2198645.0,10.07032,12079
79,2025-08-07,10.17,10.47,9.74,9.9,2332516.0,10.07624,13926
80,2025-08-08,10.0,10.19,9.72,10.0,1942846.0,9.91573,10663
81,2025-08-11,9.9,9.935,9.48,9.84,1462484.0,9.71531,8395
82,2025-08-12,10.01,10.365,9.82,10.29,1393447.0,10.12098,7270
83,2025-08-13,10.31,10.705,10.135,10.51,978237.0,10.46816,5812
84,2025-08-14,10.3,10.92,10.26,10.51,1129659.0,10.66418,6297
85,2025-08-15,10.61,10.62,10.385,10.51,551880.0,10.51441,3035
86,2025-08-18,10.5,10.81,10.43,10.66,780343.0,10.64703,4481
87,2025-08-19,10.62,10.888,10.425,10.59,784463.0,10.61469,4720
88,2025-08-20,10.51,10.685,10.18,10.65,847656.0,10.5063,4641
89,2025-08-21,10.56,11.24,10.47,11.16,1882337.0,10.96903,8628
90,2025-08-22,11.22,11.78,11.026,11.68,2050181.0,11.56889,10444
91,2025-08-25,11.65,12.28,11.65,12.08,2006511.0,12.03313,8188
92,2025-08-26,11.91,12.15,11.42,11.62,1520618.0,11.7167,7181
93,2025-08-27,11.62,11.81,11.29,11.49,1202666.0,11.51304,6057
94,2025-08-28,11.48,11.65,10.91,11.2,1290734.0,11.16506,6936
95,2025-08-29,11.3,11.32,10.7657,10.82,816548.0,10.91527,4011
96,2025-09-02,10.51,10.67,10.21,10.55,2028531.0,10.42198,11395
97,2025-09-03,10.31,10.69,10.1007,10.56,2069513.0,10.50756,10692
98,2025-09-04,10.72,11.73,10.66,11.71,2124599.0,11.32231,10127
99,2025-09-05,11.73,11.9,11.35,11.6,1564946.0,11.60321,8027
100,2025-09-08,11.6,11.67,11.11,11.13,2245962.0,11.3511,10458
101,2025-09-09,11.09,11.1558,10.435,10.73,1432973.0,10.72628,7259
102,2025-09-10,10.73,10.82,10.43,10.8,841895.0,10.62925,5461
103,2025-09-11,10.9,11.16,10.815,10.92,959026.0,10.95135,5602
104,2025-09-12,10.84,10.84,10.4,10.405,733337.0,10.57297,3983
105,2025-09-15,10.54,11.08,10.5023,10.8,1052961.0,10.77055,5718
106,2025-09-16,10.8,10.91,10.18,10.2,1039273.0,10.34323,5340
