,date,open,high,low,close,volume,average,barCount
0,2025-04-14,131.09,131.43,127.84,129.95,1311582.0,129.687,7648
1,2025-04-15,129.27,131.39,128.78,129.54,916842.0,129.734,5030
2,2025-04-16,127.41,129.24,125.42,126.9,1082175.0,127.188,7787
3,2025-04-17,127.6,130.5,127.03,129.24,1415305.0,128.931,7957
4,2025-04-21,127.91,129.06,126.53,128.75,1228019.0,127.818,8355
5,2025-04-22,129.59,134.11,129.59,133.45,1930677.0,132.825,14905
6,2025-04-23,140.98,143.97,135.54,136.06,1800798.0,138.289,12427
7,2025-04-24,138.58,143.69,137.86,143.52,1423652.0,142.526,9782
8,2025-04-25,143.1,144.61,142.47,144.37,611795.0,143.806,4372
9,2025-04-28,144.57,145.79,143.25,144.9,660100.0,144.446,5006
10,2025-04-29,144.21,145.93,143.65,145.25,697119.0,144.974,4848
11,2025-04-30,143.1,146.84,142.45,146.38,969016.0,144.528,6775
12,2025-05-01,147.39,148.31,146.15,146.36,714245.0,147.574,5388
13,2025-05-02,148.36,150.45,147.81,149.93,723043.0,149.662,4280
14,2025-05-05,148.5,151.15,148.5,149.85,815102.0,150.506,5100
15,2025-05-06,147.93,149.7,147.75,148.53,652813.0,148.772,4977
16,2025-05-07,148.89,150.23,147.8,149.69,576720.0,149.284,4506
17,2025-05-08,151.12,154.06,149.78,152.12,912561.0,152.61,5721
18,2025-05-09,153.16,154.27,152.27,152.88,989205.0,153.245,6146
19,2025-05-12,155.76,161.15,154.86,160.98,1180458.0,159.671,6945
20,2025-05-13,161.39,163.4,160.39,162.39,865667.0,162.594,5443
21,2025-05-14,161.9,162.43,160.61,160.74,644371.0,161.355,4572
22,2025-05-15,160.19,163.61,159.9,163.12,1151314.0,162.016,5860
23,2025-05-16,163.35,164.11,162.02,163.99,625678.0,163.297,3811
24,2025-05-19,161.62,163.98,160.71,162.87,525403.0,162.949,3512
25,2025-05-20,162.72,163.55,161.76,162.89,599911.0,162.732,4357
26,2025-05-21,161.25,162.72,159.4,159.51,1018957.0,160.771,6596
27,2025-05-22,159.36,160.2,158.59,158.91,571561.0,159.396,4199
28,2025-05-23,155.37,158.4,155.37,157.56,685844.0,157.636,4714
29,2025-05-27,160.11,161.78,158.68,161.37,681084.0,161.118,4278
30,2025-05-28,162.08,162.39,160.17,160.29,511067.0,160.906,3401
31,2025-05-29,161.28,162.39,160.15,161.55,1210749.0,161.568,8504
32,2025-05-30,160.6,161.13,158.83,160.07,571489.0,159.889,4329
33,2025-06-02,159.35,160.32,158.09,159.87,718282.0,159.266,4960
34,2025-06-03,159.55,162.88,159.41,161.93,510032.0,161.842,3523
35,2025-06-04,163.0,163.18,161.3,162.07,562023.0,162.543,3601
36,2025-06-05,162.52,163.66,161.5,162.32,979311.0,162.726,5880
37,2025-06-06,164.2,165.15,163.61,164.65,644838.0,164.541,4291
38,2025-06-09,165.49,166.6,164.65,166.0,899521.0,166.0,5067
39,2025-06-10,166.7,167.0,164.87,166.39,2617898.0,166.318,9373
40,2025-06-11,166.99,167.94,165.41,165.75,668034.0,166.358,4889
41,2025-06-12,165.85,166.25,164.2,166.0,741594.0,165.648,4909
42,2025-06-13,163.25,165.41,162.33,162.62,513926.0,163.458,3265
43,2025-06-16,164.71,165.95,163.96,165.49,319902.0,165.397,2217
44,2025-06-17,164.81,165.5,162.9,163.66,609611.0,163.8,4387
45,2025-06-18,164.38,166.02,163.36,163.78,629474.0,164.458,4546
46,2025-06-20,164.64,165.22,162.34,163.2,782704.0,163.542,4582
47,2025-06-23,162.5,165.92,162.17,165.82,938921.0,164.426,6433
48,2025-06-24,166.95,167.49,166.1,166.48,627292.0,166.577,4573
