,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,131.09,131.43,127.84,128.06,422927.0,129.614,2396
1,2025-04-14 12:00:00-04:00,128.05,131.31,127.9,129.92,888655.0,129.722,5252
2,2025-04-15 09:30:00-04:00,129.27,131.39,128.78,130.53,177265.0,130.465,958
3,2025-04-15 12:00:00-04:00,130.73,130.93,129.12,129.53,739577.0,129.559,4072
4,2025-04-16 09:30:00-04:00,127.41,129.24,127.21,128.04,374310.0,127.878,2411
5,2025-04-16 12:00:00-04:00,128.04,128.19,125.42,126.94,707865.0,126.823,5376
6,2025-04-17 09:30:00-04:00,127.6,129.86,127.03,128.35,559343.0,127.965,2192
7,2025-04-17 12:00:00-04:00,128.44,130.5,128.12,129.21,855962.0,129.562,5765
8,2025-04-21 09:30:00-04:00,127.91,129.06,126.53,126.77,428029.0,127.777,2734
9,2025-04-21 12:00:00-04:00,126.79,129.03,126.69,128.75,799990.0,127.84,5621
10,2025-04-22 09:30:00-04:00,129.59,132.99,129.59,132.41,554427.0,132.096,3853
11,2025-04-22 12:00:00-04:00,132.51,134.11,131.21,133.46,1376250.0,133.119,11052
12,2025-04-23 09:30:00-04:00,140.98,143.97,136.43,136.93,797243.0,140.156,4816
13,2025-04-23 12:00:00-04:00,136.88,138.37,135.54,136.04,1003555.0,136.805,7611
14,2025-04-24 09:30:00-04:00,138.58,143.21,137.86,142.71,715570.0,141.789,4784
15,2025-04-24 12:00:00-04:00,142.74,143.69,142.54,143.53,708082.0,143.272,4998
16,2025-04-25 09:30:00-04:00,143.1,144.29,142.47,143.8,179258.0,143.192,1255
17,2025-04-25 12:00:00-04:00,143.82,144.61,143.18,144.37,432537.0,144.061,3117
18,2025-04-28 09:30:00-04:00,144.57,145.79,143.94,144.06,240636.0,144.56,1613
19,2025-04-28 12:00:00-04:00,144.01,145.61,143.25,144.9,419464.0,144.381,3393
20,2025-04-29 09:30:00-04:00,144.21,145.7,143.65,144.87,197638.0,144.711,1224
21,2025-04-29 12:00:00-04:00,144.94,145.93,144.19,145.19,499481.0,145.079,3624
22,2025-04-30 09:30:00-04:00,143.1,144.49,142.45,144.4,432676.0,143.587,2590
23,2025-04-30 12:00:00-04:00,144.4,146.84,143.65,146.25,536340.0,145.288,4185
24,2025-05-01 09:30:00-04:00,147.39,148.31,146.27,147.98,276650.0,147.816,2112
25,2025-05-01 12:00:00-04:00,147.89,148.07,146.15,146.33,437595.0,147.422,3276
26,2025-05-02 09:30:00-04:00,148.36,149.48,147.81,149.42,217127.0,148.917,1279
27,2025-05-02 12:00:00-04:00,149.42,150.45,149.39,149.94,505916.0,149.982,3001
28,2025-05-05 09:30:00-04:00,148.5,151.15,148.5,150.53,283381.0,150.42,1521
29,2025-05-05 12:00:00-04:00,150.62,151.05,149.77,149.84,531721.0,150.552,3579
30,2025-05-06 09:30:00-04:00,147.93,149.34,147.75,148.94,137488.0,148.636,1005
31,2025-05-06 12:00:00-04:00,148.98,149.7,148.28,148.53,515325.0,148.809,3972
32,2025-05-07 09:30:00-04:00,148.89,149.64,147.8,149.53,159232.0,148.901,1080
33,2025-05-07 12:00:00-04:00,149.53,150.23,148.51,149.66,417488.0,149.43,3426
34,2025-05-08 09:30:00-04:00,151.12,153.22,149.78,152.69,268238.0,151.67,1872
35,2025-05-08 12:00:00-04:00,152.74,154.06,152.02,152.14,644323.0,153.002,3849
36,2025-05-09 09:30:00-04:00,153.16,154.27,152.27,153.58,355572.0,153.52,1654
37,2025-05-09 12:00:00-04:00,153.56,153.73,152.48,152.92,633633.0,153.091,4492
38,2025-05-12 09:30:00-04:00,155.76,159.79,154.86,159.06,499610.0,158.666,2590
39,2025-05-12 12:00:00-04:00,159.0,161.15,158.91,160.99,680848.0,160.409,4355
40,2025-05-13 09:30:00-04:00,161.39,163.4,160.39,162.89,355897.0,162.507,2084
41,2025-05-13 12:00:00-04:00,162.84,163.1,162.13,162.43,509770.0,162.654,3359
42,2025-05-14 09:30:00-04:00,161.9,162.43,160.65,161.6,263153.0,161.741,1610
43,2025-05-14 12:00:00-04:00,161.6,161.67,160.61,160.76,381218.0,161.088,2962
44,2025-05-15 09:30:00-04:00,160.19,162.26,159.9,162.13,592323.0,161.162,2084
45,2025-05-15 12:00:00-04:00,162.13,163.61,162.08,163.2,558991.0,162.921,3776
46,2025-05-16 09:30:00-04:00,163.35,163.45,162.02,162.75,294242.0,162.861,1421
47,2025-05-16 12:00:00-04:00,162.69,164.11,162.68,163.98,331436.0,163.684,2390
48,2025-05-19 09:30:00-04:00,161.62,163.98,160.71,162.79,231601.0,162.877,1174
49,2025-05-19 12:00:00-04:00,162.89,163.71,162.57,162.88,293802.0,163.006,2338
50,2025-05-20 09:30:00-04:00,162.72,163.55,162.31,163.08,197561.0,162.948,1280
51,2025-05-20 12:00:00-04:00,163.1,163.45,161.76,162.8,402350.0,162.626,3077
52,2025-05-21 09:30:00-04:00,161.25,161.99,160.21,161.86,335441.0,161.444,1644
53,2025-05-21 12:00:00-04:00,161.83,162.72,159.4,159.45,683516.0,160.44,4952
54,2025-05-22 09:30:00-04:00,159.36,160.2,158.59,159.45,192919.0,159.503,1339
55,2025-05-22 12:00:00-04:00,159.47,159.88,158.69,158.82,378642.0,159.342,2860
56,2025-05-23 09:30:00-04:00,155.37,158.26,155.37,157.62,333284.0,157.358,2168
57,2025-05-23 12:00:00-04:00,157.71,158.4,157.35,157.56,352560.0,157.898,2546
58,2025-05-27 09:30:00-04:00,160.11,161.75,158.68,161.46,252183.0,160.532,1254
59,2025-05-27 12:00:00-04:00,161.4,161.78,161.15,161.41,428901.0,161.463,3024
60,2025-05-28 09:30:00-04:00,162.08,162.39,160.75,160.83,139686.0,161.316,897
61,2025-05-28 12:00:00-04:00,160.86,161.51,160.17,160.3,371381.0,160.752,2504
62,2025-05-29 09:30:00-04:00,161.28,162.11,160.15,161.12,482414.0,161.209,2786
63,2025-05-29 12:00:00-04:00,161.12,162.39,160.87,161.63,728335.0,161.805,5718
64,2025-05-30 09:30:00-04:00,160.6,161.13,159.58,159.71,148009.0,160.146,954
65,2025-05-30 12:00:00-04:00,159.72,160.46,158.83,159.98,423480.0,159.799,3375
66,2025-06-02 09:30:00-04:00,159.35,160.32,158.09,158.81,274840.0,159.028,1715
67,2025-06-02 12:00:00-04:00,158.81,159.95,158.56,159.9,443442.0,159.414,3245
68,2025-06-03 09:30:00-04:00,159.55,162.26,159.41,162.21,144187.0,160.842,979
69,2025-06-03 12:00:00-04:00,162.2,162.88,161.85,161.94,365845.0,162.236,2544
70,2025-06-04 09:30:00-04:00,163.0,163.18,161.3,162.63,217809.0,162.532,1127
71,2025-06-04 12:00:00-04:00,162.67,162.93,162.06,162.07,344214.0,162.55,2474
72,2025-06-05 09:30:00-04:00,162.52,163.05,161.5,163.03,152279.0,162.375,972
