,date,open,high,low,close,volume,average,barCount
0,2025-04-14,13.69,13.83,13.27,13.6,7874767.0,13.524,29329
1,2025-04-15,13.4,13.8,13.4,13.6,5832902.0,13.597,23261
2,2025-04-16,13.62,13.64,13.24,13.43,5633117.0,13.385,22441
3,2025-04-17,13.54,13.74,13.44,13.65,7369931.0,13.621,22187
4,2025-04-21,13.41,13.46,13.04,13.31,10833512.0,13.248,39724
5,2025-04-22,13.8,14.07,13.6,14.0,9284909.0,13.928,38868
6,2025-04-23,14.33,14.61,14.2,14.29,8674794.0,14.33,35883
7,2025-04-24,14.34,14.77,14.16,14.72,6940997.0,14.57,30214
8,2025-04-25,14.65,14.9,14.52,14.87,5460246.0,14.775,19229
9,2025-04-28,15.33,15.45,14.81,15.02,10137574.0,15.048,36477
10,2025-04-29,15.15,15.72,15.03,15.58,11557837.0,15.482,37601
11,2025-04-30,15.53,15.62,15.31,15.51,6798587.0,15.446,23428
12,2025-05-01,15.56,15.88,15.44,15.62,8426585.0,15.687,38735
13,2025-05-02,15.81,16.36,15.74,16.19,10013841.0,16.101,33354
14,2025-05-05,16.86,16.86,16.01,16.39,13605686.0,16.368,49130
15,2025-05-06,16.44,16.71,16.12,16.12,17563955.0,16.373,68004
16,2025-05-07,16.69,17.69,16.6,17.6,19322925.0,17.32,76130
17,2025-05-08,17.52,18.3,17.5,18.07,16408917.0,18.093,69359
18,2025-05-09,18.2,18.25,16.89,16.93,15318116.0,17.332,60338
19,2025-05-12,17.25,18.07,16.9,17.96,15295328.0,17.825,65492
20,2025-05-13,17.77,17.89,17.23,17.48,11464445.0,17.437,39628
21,2025-05-14,17.47,17.5,16.68,16.89,9537160.0,16.917,35004
22,2025-05-15,16.85,17.1,16.8,16.87,7076854.0,16.948,27883
23,2025-05-16,17.12,17.22,16.75,16.94,7747446.0,16.941,24365
24,2025-05-19,16.93,17.06,16.74,17.02,4504687.0,16.911,15283
25,2025-05-20,17.1,17.2,16.71,16.78,7406440.0,16.864,23230
26,2025-05-21,16.68,16.88,16.39,16.55,8682272.0,16.612,31711
27,2025-05-22,16.46,17.08,16.38,16.94,6214968.0,16.805,25197
28,2025-05-23,16.57,17.08,16.55,16.96,5245974.0,16.839,18251
29,2025-05-27,17.38,18.01,17.32,17.71,10494862.0,17.823,43728
30,2025-05-28,17.99,18.15,17.72,18.15,8560223.0,17.941,25562
31,2025-05-29,18.2,18.28,17.34,17.53,10615966.0,17.574,37558
32,2025-05-30,17.45,17.47,16.7,16.78,12846704.0,16.943,42141
33,2025-06-02,16.87,17.28,16.51,17.26,7968053.0,17.006,25869
34,2025-06-03,17.22,17.37,17.02,17.19,7742980.0,17.207,24567
35,2025-06-04,17.19,17.66,17.13,17.52,9552848.0,17.469,25678
36,2025-06-05,17.57,17.87,17.06,17.25,9512099.0,17.435,28103
37,2025-06-06,17.58,17.83,17.34,17.77,7721505.0,17.617,24418
38,2025-06-09,17.9,18.09,17.77,18.07,7203901.0,17.98,24395
39,2025-06-10,18.06,18.29,17.54,17.59,11573387.0,17.862,32716
40,2025-06-11,17.64,17.79,17.27,17.32,9352854.0,17.492,28717
41,2025-06-12,17.21,17.75,17.05,17.71,6491524.0,17.57,20503
42,2025-06-13,17.29,17.42,16.9,16.99,10615012.0,17.118,29598
43,2025-06-16,17.29,17.73,17.21,17.5,7921357.0,17.508,24963
44,2025-06-17,17.41,17.41,16.84,16.89,10904964.0,17.041,28276
45,2025-06-18,16.96,17.3,16.82,17.06,9708165.0,17.123,25591
46,2025-06-20,17.2,17.27,16.88,16.95,7679492.0,17.001,20721
47,2025-06-23,17.0,17.02,16.65,16.97,8474519.0,16.883,24968
48,2025-06-24,17.22,17.31,16.97,17.09,8057945.0,17.163,26862
49,2025-06-25,17.18,17.18,16.85,17.0,7465180.0,16.971,17815
50,2025-06-26,17.0,17.09,16.56,16.56,11342251.0,16.768,29604
51,2025-06-27,16.56,16.91,16.42,16.76,7312256.0,16.74,24245
52,2025-06-30,16.89,16.95,16.64,16.76,6102360.0,16.766,18564
53,2025-07-01,16.7,16.92,16.54,16.64,9453059.0,16.72,25619
54,2025-07-02,16.95,17.14,16.72,17.05,9301072.0,16.972,24770
55,2025-07-03,17.3,17.3,16.86,17.01,4907198.0,17.028,13862
56,2025-07-07,17.03,17.1,16.77,16.85,7873338.0,16.933,25259
57,2025-07-08,16.82,16.88,16.55,16.63,9637361.0,16.691,26037
58,2025-07-09,16.73,17.07,16.69,16.71,9501218.0,16.792,24048
59,2025-07-10,16.75,16.77,16.45,16.53,7335057.0,16.591,18057
60,2025-07-11,16.34,16.43,16.18,16.4,7309107.0,16.318,18165
61,2025-07-14,16.34,16.74,16.32,16.42,9462456.0,16.462,23557
62,2025-07-15,16.6,16.6,15.99,16.04,10700538.0,16.123,20546
63,2025-07-16,16.0,16.1,15.82,16.01,12854628.0,15.97,30333
64,2025-07-17,16.04,16.39,16.02,16.31,7194397.0,16.209,14799
65,2025-07-18,16.35,16.49,15.94,16.06,10785860.0,16.089,26138
