,date,open,high,low,close,volume,average,barCount
0,2025-04-14,12.53,13.11,12.49,12.63,5514108.0,12.78955,22920
1,2025-04-15,12.69,12.9,12.66,12.79,3655689.0,12.7851,14493
2,2025-04-16,12.5,12.5,12.24,12.33,4091031.0,12.35573,13885
3,2025-04-17,12.55,12.6963,12.245,12.29,3257266.0,12.40393,15706
4,2025-04-21,12.34,12.35,11.8401,11.97,4701069.0,11.99841,19772
5,2025-04-22,12.25,12.505,11.97,12.49,14281270.0,12.31739,38444
6,2025-04-23,12.98,13.43,12.91,13.14,9302956.0,13.15598,33256
7,2025-04-24,13.1,13.37,12.865,13.3,3904618.0,13.19358,17009
8,2025-04-25,13.46,13.53,13.1101,13.36,3121645.0,13.28991,11946
9,2025-04-28,13.42,13.5997,13.36,13.44,1810196.0,13.46351,8502
10,2025-04-29,13.41,13.67,13.36,13.55,1891112.0,13.5106,7532
11,2025-04-30,13.5,13.53,13.25,13.42,2073432.0,13.35585,9263
12,2025-05-01,13.4,13.555,13.31,13.37,1185241.0,13.40179,5422
13,2025-05-02,13.815,14.375,13.77,14.31,5317910.0,14.19348,22464
14,2025-05-05,14.14,14.34,14.03,14.2,2533038.0,14.17936,11754
15,2025-05-06,14.26,14.7,14.215,14.41,3271251.0,14.50992,15839
16,2025-05-07,14.46,14.57,14.1,14.25,4543670.0,14.30605,19804
17,2025-05-08,14.53,14.58,13.955,14.21,5062613.0,14.21358,17400
18,2025-05-09,14.43,14.55,13.95,14.08,4774398.0,14.16316,17309
19,2025-05-12,14.41,14.69,14.25,14.33,7246231.0,14.38497,28573
20,2025-05-13,13.58,14.9,13.3,14.69,8925381.0,14.3302,39646
21,2025-05-14,15.38,17.05,15.38,16.99,18587622.0,16.46296,63335
22,2025-05-15,16.63,16.68,15.97,16.36,8649128.0,16.25878,33045
23,2025-05-16,16.63,16.88,16.61,16.62,5012988.0,16.74542,19274
24,2025-05-19,16.36,16.77,16.21,16.74,3346064.0,16.59711,14418
25,2025-05-20,16.88,17.105,16.73,17.01,5811440.0,16.96502,23910
26,2025-05-21,16.98,17.3,16.82,16.99,4247487.0,17.06714,18490
27,2025-05-22,17.0,17.15,16.82,16.93,2920180.0,16.94852,14053
