,date,open,high,low,close,volume,average,barCount
0,2025-04-14,64.66,66.21,62.63,63.78,3181077.0,63.996,21587
1,2025-04-15,63.36,64.58,63.22,63.94,1524335.0,63.902,11197
2,2025-04-16,62.99,64.19,61.91,62.87,1759134.0,62.947,12381
3,2025-04-17,62.82,64.0,62.41,63.64,1529778.0,63.521,10610
4,2025-04-21,63.09,63.28,61.6,63.18,2045075.0,62.511,14835
5,2025-04-22,63.66,65.47,63.35,64.92,1963339.0,64.618,12895
6,2025-04-23,68.68,71.11,66.26,66.58,2967759.0,67.714,20401
7,2025-04-24,66.64,69.11,66.64,68.3,2022632.0,68.345,14289
8,2025-04-25,68.19,69.67,68.1,68.88,1643060.0,68.75,12401
9,2025-04-28,68.81,69.71,68.26,69.26,2509061.0,69.008,15498
10,2025-04-29,68.8,70.15,68.26,70.04,1727793.0,69.717,11449
11,2025-04-30,68.81,70.71,67.21,70.65,2758365.0,69.579,17708
12,2025-05-01,70.63,71.46,70.4,70.49,2550044.0,70.999,18007
13,2025-05-02,71.71,72.82,70.81,72.76,2878117.0,72.097,20760
14,2025-05-05,72.4,74.25,72.4,73.29,1972272.0,73.539,14827
15,2025-05-06,72.14,74.33,71.98,73.31,2333810.0,73.455,15923
16,2025-05-07,74.01,75.6,73.65,74.75,5107179.0,74.825,35417
17,2025-05-08,79.19,80.99,75.48,77.54,7230113.0,77.723,44277
18,2025-05-09,78.37,79.03,77.31,78.01,2599765.0,78.008,17598
19,2025-05-12,83.29,84.88,81.17,82.66,3530110.0,82.283,20936
20,2025-05-13,82.89,84.75,82.41,83.6,2173731.0,83.987,15532
21,2025-05-14,83.61,84.75,82.97,83.26,3010782.0,83.74,21645
22,2025-05-15,82.66,83.92,82.16,83.24,1692036.0,82.825,11553
23,2025-05-16,83.59,83.78,82.5,82.82,1475996.0,82.909,10136
24,2025-05-19,81.13,83.24,81.13,82.37,1344302.0,82.3,9037
25,2025-05-20,82.75,83.52,82.08,82.52,1348244.0,82.639,8847
26,2025-05-21,81.57,81.64,79.69,79.72,2110769.0,80.554,14802
27,2025-05-22,79.53,79.98,78.85,78.99,1659198.0,79.251,11893
28,2025-05-23,77.16,77.84,76.29,76.87,2180527.0,77.056,14997
29,2025-05-27,78.67,81.3,78.28,80.9,3194827.0,80.564,19642
30,2025-05-28,80.83,81.47,80.0,80.42,1294192.0,80.412,8067
31,2025-05-29,80.86,80.9,77.92,78.44,2106411.0,78.564,14998
32,2025-05-30,77.72,78.95,77.27,78.55,992226.0,78.502,6334
33,2025-06-02,78.65,79.0,76.92,78.56,1438190.0,78.168,10491
34,2025-06-03,78.5,79.27,78.21,78.7,1492389.0,78.734,9847
35,2025-06-04,78.56,79.36,78.21,78.32,1311778.0,78.725,8129
36,2025-06-05,77.81,79.9,77.79,79.22,1312421.0,79.2,8933
37,2025-06-06,78.95,79.52,77.86,78.95,1208873.0,78.624,8240
38,2025-06-09,79.37,80.05,78.25,79.26,1318811.0,79.435,7698
39,2025-06-10,79.76,80.45,79.31,79.91,1719225.0,79.769,10866
40,2025-06-11,81.09,82.5,81.08,81.75,1924954.0,81.681,13916
41,2025-06-12,82.31,82.59,81.15,82.2,1566358.0,81.975,10341
42,2025-06-13,81.14,81.75,78.59,78.91,1753989.0,79.617,12549
43,2025-06-16,80.51,84.64,80.35,84.26,2497472.0,83.577,15804
44,2025-06-17,82.81,83.71,82.53,82.76,1964398.0,83.047,13351
45,2025-06-18,83.05,85.33,83.0,84.24,2057851.0,84.551,13832
46,2025-06-20,84.94,85.31,83.95,84.33,1560175.0,84.387,10634
47,2025-06-23,83.54,86.04,83.26,85.75,1815089.0,85.029,12221
48,2025-06-24,87.18,87.8,86.41,87.26,1314220.0,87.265,8303
49,2025-06-25,87.18,87.31,85.17,85.42,1408975.0,85.844,9632
50,2025-06-26,85.58,86.61,84.12,86.22,1655520.0,85.581,11009
51,2025-06-27,86.77,87.86,85.88,87.11,1327490.0,86.874,8645
52,2025-06-30,87.37,88.03,86.96,87.81,1440083.0,87.563,9660
53,2025-07-01,86.6,89.18,86.6,86.94,2358714.0,87.934,14414
54,2025-07-02,86.67,87.77,84.39,86.48,1846858.0,86.119,13241
55,2025-07-03,87.43,90.84,86.68,90.2,2872336.0,90.021,18073
56,2025-07-07,90.46,92.62,90.35,92.47,2783307.0,91.891,18618
57,2025-07-08,92.9,93.48,90.67,92.21,1868889.0,91.938,11714
58,2025-07-09,92.95,95.6,92.83,95.31,3277993.0,94.763,19495
59,2025-07-10,95.85,98.25,95.59,97.64,2544724.0,97.369,16965
60,2025-07-11,97.76,98.65,96.8,98.43,1837900.0,97.925,11898
61,2025-07-14,98.81,101.74,98.43,101.55,3357159.0,100.6,21277
