,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,64.66,66.21,63.09,63.29,1117696.0,64.494,8037
1,2025-04-14 12:00:00-04:00,63.29,64.34,62.63,63.78,2063381.0,63.726,13550
2,2025-04-15 09:30:00-04:00,63.36,64.58,63.22,63.98,552823.0,63.959,4083
3,2025-04-15 12:00:00-04:00,63.98,64.46,63.39,63.94,971512.0,63.869,7114
4,2025-04-16 09:30:00-04:00,62.99,64.19,62.73,63.39,482573.0,63.583,3329
5,2025-04-16 12:00:00-04:00,63.43,63.81,61.91,62.87,1276561.0,62.707,9052
6,2025-04-17 09:30:00-04:00,62.82,63.98,62.41,63.11,486736.0,63.374,2925
7,2025-04-17 12:00:00-04:00,63.11,64.0,62.88,63.63,1043042.0,63.59,7685
8,2025-04-21 09:30:00-04:00,63.09,63.28,61.84,62.06,541760.0,62.623,3885
9,2025-04-21 12:00:00-04:00,62.07,63.25,61.6,63.2,1503315.0,62.471,10950
10,2025-04-22 09:30:00-04:00,63.66,64.84,63.35,64.8,558741.0,64.304,3469
11,2025-04-22 12:00:00-04:00,64.79,65.47,63.95,64.92,1404598.0,64.744,9426
12,2025-04-23 09:30:00-04:00,68.68,71.11,66.7,66.95,1616879.0,68.495,10691
13,2025-04-23 12:00:00-04:00,66.99,67.58,66.26,66.58,1350880.0,66.78,9710
14,2025-04-24 09:30:00-04:00,66.64,68.64,66.64,68.1,609580.0,67.954,3637
15,2025-04-24 12:00:00-04:00,68.12,69.11,68.07,68.29,1413052.0,68.514,10652
16,2025-04-25 09:30:00-04:00,68.19,69.67,68.1,68.42,520274.0,68.615,3838
17,2025-04-25 12:00:00-04:00,68.41,69.3,68.41,68.87,1122786.0,68.813,8563
18,2025-04-28 09:30:00-04:00,68.81,69.71,68.57,68.81,1101187.0,69.272,6665
19,2025-04-28 12:00:00-04:00,68.81,69.26,68.26,69.25,1407874.0,68.8,8833
20,2025-04-29 09:30:00-04:00,68.8,69.75,68.26,69.31,474611.0,69.219,2901
21,2025-04-29 12:00:00-04:00,69.34,70.15,69.14,70.03,1253182.0,69.906,8548
22,2025-04-30 09:30:00-04:00,68.81,69.95,67.21,69.81,1286397.0,69.162,7903
23,2025-04-30 12:00:00-04:00,69.86,70.71,69.25,70.62,1471968.0,69.943,9805
24,2025-05-01 09:30:00-04:00,70.63,71.46,70.48,70.89,935021.0,71.066,6346
25,2025-05-01 12:00:00-04:00,70.92,71.44,70.4,70.5,1615023.0,70.96,11661
26,2025-05-02 09:30:00-04:00,71.71,72.5,70.81,71.4,1132773.0,71.465,8424
27,2025-05-02 12:00:00-04:00,71.39,72.82,71.39,72.72,1745344.0,72.508,12336
28,2025-05-05 09:30:00-04:00,72.4,74.25,72.4,73.5,725412.0,73.604,5240
29,2025-05-05 12:00:00-04:00,73.51,73.96,73.02,73.3,1246860.0,73.502,9587
30,2025-05-06 09:30:00-04:00,72.14,74.07,71.98,73.73,775902.0,73.473,5442
31,2025-05-06 12:00:00-04:00,73.75,74.33,73.0,73.34,1557908.0,73.445,10481
32,2025-05-07 09:30:00-04:00,74.01,75.56,73.65,75.22,1653471.0,74.834,10965
33,2025-05-07 12:00:00-04:00,75.22,75.6,74.12,74.73,3453708.0,74.821,24452
34,2025-05-08 09:30:00-04:00,79.19,80.99,75.48,77.79,4296754.0,77.642,23825
35,2025-05-08 12:00:00-04:00,77.79,79.17,77.18,77.53,2933359.0,77.842,20452
36,2025-05-09 09:30:00-04:00,78.37,79.03,77.31,78.22,1190168.0,78.087,7692
37,2025-05-09 12:00:00-04:00,78.19,78.2,77.54,78.01,1409597.0,77.942,9906
38,2025-05-12 09:30:00-04:00,83.29,84.88,81.17,81.53,2014092.0,82.306,11203
39,2025-05-12 12:00:00-04:00,81.56,82.64,81.55,82.6,1516018.0,82.254,9733
40,2025-05-13 09:30:00-04:00,82.89,84.75,82.41,84.36,899485.0,84.045,6119
41,2025-05-13 12:00:00-04:00,84.36,84.75,83.45,83.6,1274246.0,83.947,9413
42,2025-05-14 09:30:00-04:00,83.61,84.75,83.38,84.62,972031.0,84.142,6931
43,2025-05-14 12:00:00-04:00,84.62,84.66,82.97,83.26,2038751.0,83.548,14714
44,2025-05-15 09:30:00-04:00,82.66,83.92,82.16,82.71,701970.0,82.667,4523
45,2025-05-15 12:00:00-04:00,82.72,83.32,82.52,83.26,990066.0,82.937,7030
46,2025-05-16 09:30:00-04:00,83.59,83.78,82.5,83.0,665538.0,83.047,4514
47,2025-05-16 12:00:00-04:00,82.98,83.07,82.59,82.81,810458.0,82.796,5622
48,2025-05-19 09:30:00-04:00,81.13,83.24,81.13,82.11,629820.0,82.349,4189
49,2025-05-19 12:00:00-04:00,82.11,82.54,82.02,82.33,714482.0,82.258,4848
50,2025-05-20 09:30:00-04:00,82.75,83.52,82.33,82.65,502117.0,83.048,3102
51,2025-05-20 12:00:00-04:00,82.65,82.72,82.08,82.52,846127.0,82.397,5745
52,2025-05-21 09:30:00-04:00,81.57,81.64,80.29,81.22,1042335.0,80.995,6927
53,2025-05-21 12:00:00-04:00,81.22,81.52,79.69,79.7,1068434.0,80.123,7875
54,2025-05-22 09:30:00-04:00,79.53,79.98,78.85,79.4,625039.0,79.419,4474
55,2025-05-22 12:00:00-04:00,79.4,79.46,78.92,78.99,1034159.0,79.149,7419
56,2025-05-23 09:30:00-04:00,77.16,77.84,76.29,77.15,820267.0,77.242,5556
57,2025-05-23 12:00:00-04:00,77.15,77.38,76.56,76.86,1360260.0,76.943,9441
58,2025-05-27 09:30:00-04:00,78.67,81.3,78.28,81.13,1082192.0,80.135,6870
59,2025-05-27 12:00:00-04:00,81.13,81.27,80.34,80.9,2112635.0,80.783,12772
60,2025-05-28 09:30:00-04:00,80.83,81.47,80.0,80.12,661150.0,80.378,3950
61,2025-05-28 12:00:00-04:00,80.14,80.65,80.14,80.41,633042.0,80.448,4117
62,2025-05-29 09:30:00-04:00,80.86,80.9,78.04,78.04,871037.0,78.776,6572
63,2025-05-29 12:00:00-04:00,78.07,78.74,77.92,78.45,1235374.0,78.414,8426
64,2025-05-30 09:30:00-04:00,77.72,78.89,77.27,78.67,291134.0,78.253,1498
65,2025-05-30 12:00:00-04:00,78.67,78.95,78.17,78.54,701092.0,78.606,4836
66,2025-06-02 09:30:00-04:00,78.65,79.0,76.92,77.92,523266.0,77.676,3661
67,2025-06-02 12:00:00-04:00,77.93,78.84,77.77,78.56,914924.0,78.449,6830
68,2025-06-03 09:30:00-04:00,78.5,79.27,78.21,78.9,649208.0,78.782,3619
69,2025-06-03 12:00:00-04:00,78.89,79.04,78.4,78.7,843181.0,78.697,6228
70,2025-06-04 09:30:00-04:00,78.56,79.36,78.44,79.3,533274.0,78.873,3271
71,2025-06-04 12:00:00-04:00,79.3,79.34,78.21,78.28,778504.0,78.623,4858
72,2025-06-05 09:30:00-04:00,77.81,79.63,77.79,79.47,471180.0,78.962,3049
73,2025-06-05 12:00:00-04:00,79.44,79.9,78.68,79.22,841241.0,79.333,5884
74,2025-06-06 09:30:00-04:00,78.95,79.52,77.86,78.47,454454.0,78.434,2989
75,2025-06-06 12:00:00-04:00,78.46,79.01,78.14,78.94,754419.0,78.739,5251
76,2025-06-09 09:30:00-04:00,79.37,79.68,78.25,79.29,367392.0,79.074,2305
77,2025-06-09 12:00:00-04:00,79.29,80.05,79.18,79.22,951419.0,79.574,5393
78,2025-06-10 09:30:00-04:00,79.76,80.45,79.31,79.79,785641.0,79.804,4690
79,2025-06-10 12:00:00-04:00,79.79,80.09,79.45,79.92,933584.0,79.74,6176
80,2025-06-11 09:30:00-04:00,81.09,82.5,81.08,81.38,731796.0,81.675,4905
81,2025-06-11 12:00:00-04:00,81.4,82.17,81.13,81.73,1193158.0,81.685,9011
82,2025-06-12 09:30:00-04:00,82.31,82.59,81.15,82.02,606621.0,81.921,3841
83,2025-06-12 12:00:00-04:00,82.03,82.25,81.49,82.21,959737.0,82.008,6500
84,2025-06-13 09:30:00-04:00,81.14,81.75,79.43,80.47,550061.0,80.31,3746
85,2025-06-13 12:00:00-04:00,80.49,80.53,78.59,78.92,1203928.0,79.301,8803
86,2025-06-16 09:30:00-04:00,80.51,83.54,80.35,83.27,721223.0,82.62,4804
87,2025-06-16 12:00:00-04:00,83.27,84.64,83.07,84.27,1776249.0,83.965,11000
88,2025-06-17 09:30:00-04:00,82.81,83.71,82.53,83.24,613057.0,83.338,4339
89,2025-06-17 12:00:00-04:00,83.27,83.46,82.62,82.74,1351341.0,82.916,9012
90,2025-06-18 09:30:00-04:00,83.05,85.33,83.0,84.59,948210.0,84.635,5643
91,2025-06-18 12:00:00-04:00,84.59,85.14,84.15,84.25,1109641.0,84.479,8189
92,2025-06-20 09:30:00-04:00,84.94,85.31,83.95,84.38,618561.0,84.513,3555
93,2025-06-20 12:00:00-04:00,84.38,84.6,83.98,84.33,941614.0,84.305,7079
94,2025-06-23 09:30:00-04:00,83.54,84.81,83.26,84.21,487807.0,84.282,3177
95,2025-06-23 12:00:00-04:00,84.23,86.04,83.29,85.76,1327282.0,85.304,9044
96,2025-06-24 09:30:00-04:00,87.18,87.71,86.41,87.27,598093.0,87.07,3317
97,2025-06-24 12:00:00-04:00,87.27,87.8,87.17,87.25,716127.0,87.427,4986
98,2025-06-25 09:30:00-04:00,87.18,87.31,85.97,86.09,404978.0,86.446,2805
99,2025-06-25 12:00:00-04:00,86.08,86.29,85.17,85.39,1003997.0,85.601,6827
100,2025-06-26 09:30:00-04:00,85.58,85.76,84.12,85.56,655160.0,84.88,4254
101,2025-06-26 12:00:00-04:00,85.58,86.61,85.47,86.22,1000360.0,86.039,6755
102,2025-06-27 09:30:00-04:00,86.77,87.74,85.88,87.56,470992.0,86.585,2547
103,2025-06-27 12:00:00-04:00,87.6,87.86,86.28,87.1,856498.0,87.033,6098
104,2025-06-30 09:30:00-04:00,87.37,88.03,87.03,87.09,411118.0,87.429,2928
105,2025-06-30 12:00:00-04:00,87.1,87.95,86.96,87.8,1028965.0,87.617,6732
106,2025-07-01 09:30:00-04:00,86.6,89.18,86.6,88.77,922923.0,88.206,5163
107,2025-07-01 12:00:00-04:00,88.79,89.02,86.86,86.93,1435791.0,87.759,9251
108,2025-07-02 09:30:00-04:00,86.67,87.77,84.39,86.09,1072862.0,86.035,7473
109,2025-07-02 12:00:00-04:00,86.1,86.51,85.74,86.47,773996.0,86.235,5768
110,2025-07-03 09:30:00-04:00,87.43,90.75,86.68,90.59,1591846.0,89.809,11454
111,2025-07-03 12:00:00-04:00,90.61,90.84,89.89,90.19,1280490.0,90.284,6619
112,2025-07-07 09:30:00-04:00,90.46,91.99,90.35,91.97,901455.0,91.35,6430
113,2025-07-07 12:00:00-04:00,91.98,92.62,91.32,92.44,1881852.0,92.151,12188
114,2025-07-08 09:30:00-04:00,92.9,93.48,90.67,92.1,1022288.0,91.795,5453
115,2025-07-08 12:00:00-04:00,92.08,92.32,91.9,92.2,846601.0,92.111,6261
116,2025-07-09 09:30:00-04:00,92.95,95.01,92.83,94.65,1210355.0,94.255,7091
117,2025-07-09 12:00:00-04:00,94.67,95.6,94.6,95.31,2067638.0,95.06,12404
118,2025-07-10 09:30:00-04:00,95.85,97.94,95.59,97.91,1198672.0,96.874,7453
119,2025-07-10 12:00:00-04:00,97.91,98.25,97.42,97.64,1346052.0,97.809,9512
120,2025-07-11 09:30:00-04:00,97.76,98.5,96.8,97.71,924657.0,97.602,5174
121,2025-07-11 12:00:00-04:00,97.7,98.65,97.48,98.42,913243.0,98.253,6724
122,2025-07-14 09:30:00-04:00,98.81,100.69,98.43,100.67,1537583.0,99.945,8575
123,2025-07-14 12:00:00-04:00,100.6,101.74,100.22,101.55,1819576.0,101.153,12702
124,2025-07-15 09:30:00-04:00,101.0,101.75,99.66,101.61,968172.0,100.752,6113
125,2025-07-15 12:00:00-04:00,101.61,101.83,100.65,101.59,1352881.0,101.334,9963
126,2025-07-16 09:30:00-04:00,101.83,102.25,100.0,100.74,711723.0,101.262,4382
127,2025-07-16 12:00:00-04:00,100.72,101.04,100.3,100.7,1174640.0,100.704,8368
128,2025-07-17 09:30:00-04:00,100.88,101.63,100.09,101.19,780245.0,100.843,5253
129,2025-07-17 12:00:00-04:00,101.19,102.31,101.16,102.15,1062217.0,101.92,7874
130,2025-07-18 09:30:00-04:00,102.51,103.88,101.78,103.79,574658.0,103.274,3792
131,2025-07-18 12:00:00-04:00,103.79,104.23,103.23,103.45,1317989.0,103.558,9745
132,2025-07-21 09:30:00-04:00,103.69,106.63,103.68,106.46,1270575.0,105.615,7707
133,2025-07-21 12:00:00-04:00,106.43,107.4,106.2,106.43,1451818.0,106.706,9462
134,2025-07-22 09:30:00-04:00,106.67,107.35,103.92,104.92,1346949.0,105.022,8596
135,2025-07-22 12:00:00-04:00,104.92,106.74,104.81,106.27,1162912.0,106.087,8269
136,2025-07-23 09:30:00-04:00,106.81,109.6,106.65,108.7,1167044.0,108.62,6814
137,2025-07-23 12:00:00-04:00,108.65,109.16,107.96,109.16,849740.0,108.657,6012
138,2025-07-24 09:30:00-04:00,109.14,109.32,107.54,108.24,803562.0,108.571,5327
139,2025-07-24 12:00:00-04:00,108.23,109.34,108.1,108.43,962057.0,108.707,6775
140,2025-07-25 09:30:00-04:00,110.06,110.22,107.09,107.79,887765.0,107.887,5620
141,2025-07-25 12:00:00-04:00,107.83,108.82,107.66,108.35,1121179.0,108.451,7642
142,2025-07-28 09:30:00-04:00,108.67,110.21,108.52,110.19,665019.0,109.585,3327
143,2025-07-28 12:00:00-04:00,110.2,110.44,109.62,110.43,774350.0,110.104,5591
144,2025-07-29 09:30:00-04:00,108.3,108.32,105.74,107.4,1312815.0,107.617,8282
145,2025-07-29 12:00:00-04:00,107.43,108.28,106.7,107.4,1691172.0,107.361,11077
146,2025-07-30 09:30:00-04:00,106.93,108.65,106.93,108.29,971605.0,108.093,4703
147,2025-07-30 12:00:00-04:00,108.32,108.82,107.25,108.23,1195215.0,108.224,8391
148,2025-07-31 09:30:00-04:00,107.66,109.4,107.66,108.4,717751.0,108.833,4183
149,2025-07-31 12:00:00-04:00,108.42,108.55,107.6,108.03,850310.0,108.13,6611
150,2025-08-01 09:30:00-04:00,105.94,106.24,103.76,106.12,1234675.0,105.103,8013
151,2025-08-01 12:00:00-04:00,106.12,106.42,104.78,106.32,1198856.0,105.723,8305
152,2025-08-04 09:30:00-04:00,108.21,110.31,107.68,110.27,753269.0,109.629,4790
153,2025-08-04 12:00:00-04:00,110.27,111.93,110.02,111.91,1417298.0,111.095,8795
154,2025-08-05 09:30:00-04:00,111.57,112.49,109.64,110.55,914632.0,110.877,6327
155,2025-08-05 12:00:00-04:00,110.58,112.02,110.57,111.53,1101348.0,111.575,7930
156,2025-08-06 09:30:00-04:00,111.65,112.4,110.78,112.2,615640.0,111.858,4294
157,2025-08-06 12:00:00-04:00,112.22,112.58,111.52,112.15,1313607.0,111.962,9016
158,2025-08-07 09:30:00-04:00,112.3,113.08,106.84,107.79,1832305.0,108.534,11667
159,2025-08-07 12:00:00-04:00,107.76,108.5,106.89,108.47,1833312.0,107.769,12518
160,2025-08-08 09:30:00-04:00,109.17,109.87,107.76,109.28,689925.0,108.993,4388
161,2025-08-08 12:00:00-04:00,109.29,109.52,108.72,109.09,884555.0,109.072,6583
162,2025-08-11 09:30:00-04:00,109.18,110.26,107.95,108.9,786734.0,109.266,5386
163,2025-08-11 12:00:00-04:00,108.93,109.03,107.83,107.96,1582192.0,108.315,10425
164,2025-08-12 09:30:00-04:00,109.27,111.66,108.64,111.6,994642.0,110.482,5933
165,2025-08-12 12:00:00-04:00,111.63,111.81,110.63,110.88,1203174.0,111.154,8309
166,2025-08-13 09:30:00-04:00,112.0,113.78,111.5,113.68,1586223.0,112.717,10025
167,2025-08-13 12:00:00-04:00,113.65,114.05,113.03,113.57,2034971.0,113.541,14990
168,2025-08-14 09:30:00-04:00,95.95,99.27,92.62,97.58,5166495.0,96.145,29087
169,2025-08-14 12:00:00-04:00,97.61,98.04,95.59,95.62,3007066.0,96.725,21557
170,2025-08-15 09:30:00-04:00,96.14,99.71,95.7,98.81,1552394.0,98.219,10789
171,2025-08-15 12:00:00-04:00,98.8,101.03,98.79,100.74,2378249.0,100.481,17210
172,2025-08-18 09:30:00-04:00,100.45,101.5,98.18,98.77,1132256.0,99.496,7209
173,2025-08-18 12:00:00-04:00,98.74,100.12,98.48,99.87,1347083.0,99.499,9463
174,2025-08-19 09:30:00-04:00,99.87,100.77,98.33,99.1,793357.0,99.107,4782
175,2025-08-19 12:00:00-04:00,99.11,99.2,97.45,97.93,1484969.0,97.91,9558
176,2025-08-20 09:30:00-04:00,97.73,99.54,97.24,98.23,795027.0,98.64,5473
177,2025-08-20 12:00:00-04:00,98.23,98.91,97.97,98.85,1172087.0,98.471,8212
178,2025-08-21 09:30:00-04:00,98.29,98.67,97.54,97.92,418311.0,98.098,2608
179,2025-08-21 12:00:00-04:00,97.86,98.63,97.68,98.39,689135.0,98.314,4918
180,2025-08-22 09:30:00-04:00,98.25,99.99,97.56,99.02,646415.0,99.071,4267
181,2025-08-22 12:00:00-04:00,99.03,99.76,98.79,99.65,1018136.0,99.289,7179
182,2025-08-25 09:30:00-04:00,99.66,100.41,97.92,98.52,783103.0,98.757,5225
183,2025-08-25 12:00:00-04:00,98.52,99.42,98.45,98.46,1209003.0,98.873,8680
184,2025-08-26 09:30:00-04:00,98.5,101.66,98.49,100.41,879798.0,100.72,5448
185,2025-08-26 12:00:00-04:00,100.43,101.27,100.1,100.68,1672808.0,100.717,11355
186,2025-08-27 09:30:00-04:00,100.8,101.16,99.86,100.48,600305.0,100.469,3837
187,2025-08-27 12:00:00-04:00,100.48,101.24,100.2,100.96,1116376.0,100.905,8553
188,2025-08-28 09:30:00-04:00,101.63,102.45,101.07,101.6,576983.0,101.743,3756
189,2025-08-28 12:00:00-04:00,101.6,102.69,101.34,102.61,1001491.0,102.171,7158
190,2025-08-29 09:30:00-04:00,102.16,103.5,101.88,102.19,668474.0,102.651,4270
191,2025-08-29 12:00:00-04:00,102.19,102.38,101.34,101.84,984597.0,101.764,6455
192,2025-09-02 09:30:00-04:00,100.16,103.15,99.87,102.5,692942.0,101.964,4243
193,2025-09-02 12:00:00-04:00,102.53,102.9,102.07,102.79,1104746.0,102.534,7665
194,2025-09-03 09:30:00-04:00,103.0,105.34,102.81,103.7,732330.0,103.987,5103
195,2025-09-03 12:00:00-04:00,103.72,104.47,103.3,104.42,965917.0,103.983,7142
196,2025-09-04 09:30:00-04:00,104.7,105.21,103.74,104.55,569969.0,104.315,4062
197,2025-09-04 12:00:00-04:00,104.54,105.85,104.19,105.82,991460.0,105.082,7536
198,2025-09-05 09:30:00-04:00,105.73,106.0,102.97,103.53,510779.0,104.282,3306
199,2025-09-05 12:00:00-04:00,103.53,104.53,103.45,104.21,725662.0,104.151,5469
200,2025-09-08 09:30:00-04:00,105.67,105.89,102.84,104.63,477817.0,104.42,2966
201,2025-09-08 12:00:00-04:00,104.63,105.09,104.32,104.86,865374.0,104.798,6173
202,2025-09-09 09:30:00-04:00,104.82,104.82,102.49,104.5,534654.0,103.633,3691
203,2025-09-09 12:00:00-04:00,104.5,105.25,103.8,105.17,1081463.0,104.757,7711
204,2025-09-10 09:30:00-04:00,107.03,107.52,101.6,103.69,1338368.0,103.519,8613
205,2025-09-10 12:00:00-04:00,103.7,105.4,103.26,105.28,1416898.0,104.494,10574
206,2025-09-11 09:30:00-04:00,106.83,107.13,105.22,106.49,709722.0,106.455,3808
207,2025-09-11 12:00:00-04:00,106.51,107.35,105.92,106.87,1195354.0,106.82,8498
208,2025-09-12 09:30:00-04:00,106.06,107.54,105.56,107.06,658700.0,106.989,4383
209,2025-09-12 12:00:00-04:00,107.06,108.0,106.43,106.47,934588.0,107.194,7492
210,2025-09-15 09:30:00-04:00,106.27,111.49,106.2,111.18,927969.0,109.814,5959
211,2025-09-15 12:00:00-04:00,111.13,111.13,109.6,110.17,940142.0,110.097,7126
212,2025-09-16 09:30:00-04:00,110.16,110.16,108.07,108.58,442038.0,108.83,2797
213,2025-09-16 12:00:00-04:00,108.56,109.54,107.76,109.5,927509.0,108.631,5911
214,2025-09-17 09:30:00-04:00,110.07,111.02,109.51,109.66,713094.0,110.189,3897
215,2025-09-17 12:00:00-04:00,109.66,110.47,108.73,109.88,875807.0,109.702,6948
216,2025-09-18 09:30:00-04:00,110.61,112.34,110.16,112.02,460253.0,111.512,3513
217,2025-09-18 12:00:00-04:00,111.99,113.46,111.99,113.33,982950.0,112.798,8154
218,2025-09-19 09:30:00-04:00,113.53,115.35,112.96,114.48,800063.0,114.308,4736
219,2025-09-19 12:00:00-04:00,114.46,115.05,113.92,114.2,750631.0,114.486,6308
220,2025-09-22 09:30:00-04:00,114.17,114.71,112.35,113.39,384185.0,113.473,3194
221,2025-09-22 12:00:00-04:00,113.42,114.25,113.06,113.87,649328.0,113.785,4950
222,2025-09-23 09:30:00-04:00,113.92,115.7,113.12,115.48,398490.0,114.708,2829
223,2025-09-23 12:00:00-04:00,115.42,116.49,115.24,116.12,773183.0,115.952,6243
224,2025-09-24 09:30:00-04:00,115.88,117.0,113.61,113.7,654102.0,115.127,2978
225,2025-09-24 12:00:00-04:00,113.74,114.32,113.22,113.41,897115.0,113.72,6809
226,2025-09-25 09:30:00-04:00,112.31,112.31,107.08,107.67,909095.0,109.438,6400
227,2025-09-25 12:00:00-04:00,107.65,107.95,106.26,107.81,1033257.0,107.242,7983
228,2025-09-26 09:30:00-04:00,108.25,108.72,107.12,107.88,469104.0,107.905,3109
229,2025-09-26 12:00:00-04:00,107.88,109.06,107.81,109.04,464404.0,108.615,3642
230,2025-09-29 09:30:00-04:00,110.5,111.0,108.58,109.53,416553.0,109.56,3073
231,2025-09-29 12:00:00-04:00,109.53,111.58,109.48,111.45,719511.0,110.845,5818
232,2025-09-30 09:30:00-04:00,111.95,113.88,109.99,110.68,534029.0,111.48,3732
233,2025-09-30 12:00:00-04:00,110.72,113.25,110.55,113.23,999721.0,112.237,6972
234,2025-10-01 09:30:00-04:00,112.03,113.33,111.62,112.94,474757.0,112.557,3393
235,2025-10-01 12:00:00-04:00,112.98,114.2,112.72,113.79,942215.0,113.434,7672
236,2025-10-02 09:30:00-04:00,114.75,115.01,113.41,114.62,307579.0,114.175,2329
237,2025-10-02 12:00:00-04:00,114.6,115.9,114.46,115.6,573131.0,115.463,4572
238,2025-10-03 09:30:00-04:00,116.38,117.77,115.75,116.64,297853.0,116.575,2135
239,2025-10-03 12:00:00-04:00,116.62,116.77,114.85,114.91,494928.0,115.59,4330
