,date,open,high,low,close,volume,average,barCount
0,2025-04-14,258.3,261.8,245.93,252.35,71759177.0,252.633,337300
1,2025-04-15,249.91,258.75,247.54,254.11,59903167.0,254.235,272690
2,2025-04-16,247.81,251.97,233.89,241.55,76640782.0,243.787,393386
3,2025-04-17,243.48,244.34,237.68,241.37,57335105.0,240.908,264386
4,2025-04-21,230.27,232.21,222.79,227.5,62479143.0,225.61,294592
5,2025-04-22,230.96,242.79,229.85,237.97,75171255.0,237.207,362721
6,2025-04-23,254.88,259.45,244.43,250.74,104264629.0,253.273,461475
7,2025-04-24,250.71,259.54,249.2,259.51,66589238.0,255.298,308174
8,2025-04-25,261.69,286.85,259.63,284.95,121592392.0,277.99,539626
9,2025-04-28,289.01,294.86,272.42,285.88,107320088.0,282.586,490614
10,2025-04-29,285.46,293.29,279.46,292.03,80220219.0,284.814,358174
11,2025-04-30,279.91,284.45,270.78,282.16,86602712.0,277.803,387334
12,2025-05-01,280.01,290.87,279.9,280.52,70629510.0,284.807,290949
13,2025-05-02,285.01,294.78,279.81,287.21,86056636.0,288.217,386764
14,2025-05-05,284.57,284.85,274.4,280.26,69834716.0,279.193,312297
15,2025-05-06,273.12,277.73,271.35,275.35,54465403.0,274.405,245484
16,2025-05-07,276.9,277.92,271.0,276.22,51309833.0,274.584,218270
17,2025-05-08,279.63,289.8,279.41,284.82,69953986.0,285.685,293422
18,2025-05-09,290.21,307.04,290.0,298.26,96026363.0,299.769,412029
19,2025-05-12,321.84,322.21,311.5,318.38,72643509.0,317.264,321276
20,2025-05-13,319.99,337.59,316.8,334.07,93566154.0,327.644,391625
21,2025-05-14,342.37,350.0,337.0,347.68,91799073.0,344.587,408707
22,2025-05-15,340.34,346.14,334.71,342.82,66948418.0,340.793,312993
23,2025-05-16,346.17,351.62,342.33,349.98,59993676.0,347.358,273833
24,2025-05-19,336.26,343.0,333.37,342.09,57720374.0,339.413,257540
25,2025-05-20,347.87,354.99,341.63,343.82,94298931.0,348.012,420014
26,2025-05-21,344.43,347.35,332.2,334.62,73306835.0,341.233,328285
27,2025-05-22,331.97,347.27,331.39,341.04,67482525.0,341.789,317463
28,2025-05-23,337.5,343.18,333.21,339.34,55994968.0,338.503,260466
29,2025-05-27,347.27,363.79,347.27,362.89,81450743.0,357.724,385275
30,2025-05-28,364.9,365.0,355.91,356.9,59843604.0,361.17,277533
31,2025-05-29,365.19,367.71,356.0,358.43,60087381.0,361.567,270216
32,2025-05-30,355.54,363.68,345.29,346.46,76483961.0,353.707,342367
33,2025-06-02,343.5,348.02,333.33,342.69,57106817.0,339.381,254980
34,2025-06-03,346.68,355.4,343.04,344.27,71725255.0,348.852,334002
35,2025-06-04,345.16,345.6,327.33,332.05,69148166.0,333.698,316106
36,2025-06-05,322.49,324.55,273.21,284.7,190442571.0,300.352,859529
37,2025-06-06,298.81,305.5,291.14,295.14,101538151.0,298.902,470290
38,2025-06-09,285.99,309.83,281.85,308.58,89520256.0,296.977,390085
39,2025-06-10,314.97,327.83,310.66,326.09,105709957.0,319.108,469742
40,2025-06-11,334.29,335.5,322.5,326.43,85278597.0,329.442,362502
41,2025-06-12,323.13,332.56,316.86,319.11,76333163.0,324.397,335546
42,2025-06-13,314.0,332.99,313.34,325.31,95068786.0,323.967,428882
43,2025-06-16,331.29,332.05,326.41,329.13,58070611.0,329.447,258319
44,2025-06-17,326.08,327.26,314.74,316.35,60570591.0,319.98,267087
45,2025-06-18,317.31,329.32,315.45,322.05,69531939.0,323.442,306605
46,2025-06-20,327.95,332.36,317.78,322.16,73321524.0,322.907,315955
47,2025-06-23,327.6,357.54,327.48,348.68,131616632.0,348.381,620436
48,2025-06-24,356.17,356.26,340.44,340.47,77397722.0,344.335,354306
49,2025-06-25,342.66,343.0,320.4,327.55,82459001.0,327.083,384528
50,2025-06-26,324.64,331.05,323.61,325.78,56590639.0,327.509,255323
51,2025-06-27,324.55,329.34,317.49,323.63,58580326.0,323.66,269572
52,2025-06-30,319.92,325.58,316.6,317.66,48917432.0,320.047,226995
53,2025-07-01,298.46,305.89,293.21,300.71,87428981.0,300.999,405867
54,2025-07-02,312.63,316.84,303.82,315.65,76404530.0,312.464,345248
55,2025-07-03,317.99,318.45,312.76,315.35,38824033.0,316.072,173905
56,2025-07-07,291.36,296.15,288.77,293.94,82714071.0,292.695,384177
57,2025-07-08,296.97,304.05,294.35,297.81,73924902.0,299.905,320683
58,2025-07-09,297.5,300.15,293.55,295.88,52471948.0,296.231,228896
59,2025-07-10,300.12,310.48,300.0,309.87,70547852.0,305.75,316642
60,2025-07-11,307.55,314.09,305.65,313.51,55123100.0,310.24,246522
61,2025-07-14,317.69,322.6,312.67,316.9,54158686.0,315.765,241911
62,2025-07-15,319.68,321.2,310.5,310.78,52939215.0,314.959,230552
63,2025-07-16,312.8,323.5,312.62,321.67,69673760.0,319.059,316031
64,2025-07-17,323.17,324.34,317.06,319.41,52359400.0,320.91,224101
65,2025-07-18,321.64,330.9,321.42,329.65,65441746.0,327.665,290195
66,2025-07-21,334.41,338.0,326.88,328.49,54226036.0,329.973,234348
67,2025-07-22,329.75,335.41,321.55,332.11,56750429.0,330.501,257131
68,2025-07-23,330.87,336.04,328.67,332.56,55636357.0,332.619,257393
69,2025-07-24,310.0,310.15,300.41,305.3,98274881.0,304.292,473486
70,2025-07-25,308.73,323.63,308.01,316.06,107000641.0,316.426,469776
71,2025-07-28,318.45,330.49,315.69,325.59,80127982.0,325.606,357566
72,2025-07-29,325.63,326.25,318.25,321.2,63769462.0,321.213,269462
73,2025-07-30,322.18,324.45,311.61,319.04,60865049.0,318.323,267460
74,2025-07-31,319.61,321.37,306.1,308.27,58116658.0,312.79,261180
75,2025-08-01,306.28,309.31,298.0,302.63,59214510.0,303.996,272249
76,2025-08-04,309.08,312.12,303.0,309.26,55920891.0,308.079,251118
77,2025-08-05,308.98,312.45,305.5,308.72,40808825.0,308.496,184267
78,2025-08-06,307.87,320.47,306.93,319.91,55088911.0,317.048,253503
79,2025-08-07,319.79,322.4,316.16,322.27,47336438.0,319.286,210595
80,2025-08-08,321.45,335.0,320.98,329.65,66162332.0,330.462,312821
81,2025-08-11,335.03,346.64,334.15,339.03,74637844.0,342.289,346542
82,2025-08-12,345.19,345.19,332.94,340.84,57368946.0,338.203,256805
83,2025-08-13,341.5,348.98,338.2,339.38,48737972.0,342.666,215747
84,2025-08-14,335.59,340.47,330.4,335.58,50710284.0,334.59,231161
85,2025-08-15,337.66,339.3,327.02,330.56,51735831.0,331.393,238615
86,2025-08-18,329.62,336.27,329.59,335.16,39556613.0,333.641,173665
87,2025-08-19,335.74,340.55,327.85,329.31,55344756.0,333.199,242697
88,2025-08-20,329.21,331.37,314.6,323.9,56024953.0,321.191,252917
89,2025-08-21,322.07,324.9,318.68,320.11,39220171.0,321.74,175268
90,2025-08-22,321.66,340.25,319.69,340.01,66360419.0,334.882,309260
91,2025-08-25,338.9,349.53,335.03,346.6,62601363.0,344.166,273081
